x,y,z,x2,y2,z2,altezza
-0.06,1.00,-0.35,0.16,0.94,-0.36,1.41
-0.06,1.00,-0.36,0.16,0.94,-0.36,1.41
-0.06,1.00,-0.37,0.15,0.94,-0.37,1.41
-0.02,0.99,-0.40,0.25,0.93,-0.39,1.42
0.03,0.99,-0.42,0.29,0.95,-0.43,1.43
0.07,0.95,-0.40,0.33,0.95,-0.44,1.43
0.12,0.95,-0.43,0.34,0.94,-0.42,1.43
0.04,0.96,-0.41,0.29,0.94,-0.45,1.43
-0.00,0.97,-0.42,0.25,0.95,-0.46,1.44
-0.01,0.98,-0.44,0.24,0.96,-0.46,1.44
-0.08,1.04,-0.51,0.26,0.96,-0.45,1.44
-0.37,1.12,-0.56,0.31,1.03,-0.47,1.44
-0.28,1.02,-0.45,0.49,1.06,-0.41,1.44
-0.15,1.00,-0.45,0.31,1.00,-0.49,1.44
-0.08,0.97,-0.46,0.27,0.98,-0.50,1.44
-0.05,0.95,-0.47,0.25,0.96,-0.49,1.43
-0.03,0.95,-0.46,0.23,0.96,-0.50,1.43
-0.04,0.95,-0.46,0.22,0.99,-0.52,1.43
-0.05,0.95,-0.43,0.22,1.05,-0.62,1.43
-0.05,0.96,-0.42,0.24,0.81,-0.61,1.43
-0.02,0.93,-0.44,0.28,0.82,-0.47,1.43
-0.09,0.93,-0.57,0.29,0.85,-0.47,1.42
-0.09,0.82,-0.44,0.27,0.87,-0.48,1.42
-0.06,0.86,-0.45,0.24,0.88,-0.49,1.42
-0.05,0.88,-0.47,0.25,0.89,-0.49,1.42
-0.04,0.89,-0.46,0.25,0.90,-0.48,1.42
-0.04,0.91,-0.46,0.25,0.90,-0.48,1.42
-0.03,0.92,-0.46,0.26,0.90,-0.47,1.41
-0.01,0.94,-0.46,0.27,0.90,-0.47,1.41
-0.01,0.96,-0.47,0.27,0.90,-0.47,1.41
-0.01,0.97,-0.48,0.28,0.90,-0.47,1.41
-0.01,0.98,-0.48,0.27,0.90,-0.48,1.41
-0.01,0.98,-0.48,0.27,0.90,-0.48,1.41
-0.04,1.00,-0.49,0.26,0.91,-0.48,1.41
-0.06,1.09,-0.54,0.26,0.91,-0.47,1.42
-0.21,0.95,-0.57,0.36,0.99,-0.47,1.42
-0.15,0.89,-0.47,0.34,0.87,-0.46,1.43
-0.14,0.93,-0.47,0.25,0.94,-0.52,1.42
-0.11,0.98,-0.49,0.22,0.97,-0.54,1.42
-0.04,1.06,-0.55,0.20,1.04,-0.57,1.42
-0.08,0.87,-0.58,0.19,0.89,-0.61,1.43
-0.08,0.88,-0.50,0.18,0.90,-0.53,1.43
-0.06,0.96,-0.50,0.19,0.95,-0.52,1.43
-0.03,0.97,-0.50,0.21,0.96,-0.50,1.44
-0.01,0.97,-0.46,0.23,0.95,-0.49,1.44
-0.00,0.95,-0.43,0.25,0.94,-0.48,1.44
0.03,0.95,-0.44,0.24,0.95,-0.48,1.43
-0.02,0.93,-0.43,0.17,0.93,-0.45,1.42
-0.21,1.01,-0.50,0.11,0.93,-0.44,1.42
-0.58,1.13,-0.49,0.09,0.93,-0.43,1.43
-0.41,1.05,-0.38,0.07,0.94,-0.45,1.42
-0.18,0.95,-0.40,0.12,0.96,-0.45,1.43
-0.01,0.93,-0.42,0.34,1.06,-0.53,1.44
0.07,0.92,-0.43,0.62,1.35,-0.58,1.44
0.08,0.90,-0.43,0.59,1.22,-0.54,1.43
0.09,0.92,-0.44,0.37,0.95,-0.50,1.43
0.06,0.93,-0.44,0.28,0.93,-0.47,1.43
0.04,0.98,-0.48,0.25,0.98,-0.51,1.42
-0.05,0.94,-0.58,0.21,0.92,-0.61,1.42
-0.08,0.78,-0.44,0.22,0.81,-0.49,1.43
-0.10,0.94,-0.48,0.20,0.88,-0.48,1.43
-0.48,1.11,-0.44,0.39,1.01,-0.47,1.43
-0.32,1.00,-0.39,0.42,1.04,-0.47,1.43
-0.06,0.71,-0.38,0.23,0.74,-0.40,1.42
-0.07,0.81,-0.43,0.24,0.87,-0.47,1.42
-0.07,0.90,-0.47,0.24,0.92,-0.50,1.43
-0.11,0.96,-0.50,0.20,0.91,-0.48,1.43
-0.47,1.38,-0.55,0.16,0.89,-0.43,1.44
-0.50,1.31,-0.40,0.11,0.90,-0.43,1.44
-0.26,1.02,-0.42,0.10,0.93,-0.45,1.43
-0.14,0.94,-0.41,0.14,0.93,-0.45,1.43
-0.09,0.94,-0.43,0.31,1.07,-0.57,1.44
0.01,0.92,-0.45,0.71,1.39,-0.55,1.45
0.07,0.92,-0.46,0.52,1.06,-0.53,1.44
0.08,0.94,-0.46,0.31,0.91,-0.46,1.43
0.03,0.95,-0.46,0.27,0.94,-0.48,1.43
-0.06,0.94,-0.43,0.17,1.00,-0.54,1.43
0.05,0.89,-0.42,0.20,1.18,-0.79,1.44
-0.18,0.77,-0.33,0.36,1.01,-0.62,1.44
-0.08,0.82,-0.38,0.23,0.94,-0.50,1.43
-0.05,0.91,-0.44,0.21,0.91,-0.45,1.43
-0.04,1.03,-0.50,0.19,1.03,-0.53,1.43
-0.10,0.79,-0.48,0.21,0.78,-0.49,1.43
-0.10,0.81,-0.43,0.20,0.84,-0.47,1.43
-0.12,0.89,-0.46,0.18,0.92,-0.49,1.43
-0.09,0.91,-0.45,0.18,0.94,-0.49,1.43
-0.10,0.90,-0.43,0.21,1.02,-0.57,1.43
-0.11,0.90,-0.42,0.26,0.77,-0.47,1.43
-0.08,0.89,-0.43,0.22,0.85,-0.46,1.43
-0.05,0.89,-0.43,0.22,0.90,-0.47,1.43
-0.06,0.88,-0.43,0.37,1.03,-0.58,1.43
-0.06,0.87,-0.41,0.54,1.02,-0.50,1.43
-0.05,0.89,-0.42,0.28,0.88,-0.47,1.43
-0.06,0.91,-0.43,0.22,0.90,-0.48,1.43
-0.22,1.14,-0.53,0.36,1.17,-0.60,1.44
-0.47,1.43,-0.36,0.59,1.38,-0.50,1.44
-0.27,1.12,-0.40,0.30,1.03,-0.54,1.43
-0.14,0.92,-0.32,0.02,1.02,-0.62,1.43
-0.18,0.90,-0.29,-0.01,0.81,-0.53,1.43
-0.24,0.95,-0.38,0.05,0.81,-0.45,1.43
-0.56,1.14,-0.44,0.13,0.81,-0.41,1.43
-0.40,0.97,-0.39,0.11,0.82,-0.43,1.42
-0.20,0.93,-0.43,0.09,0.85,-0.44,1.42
-0.12,1.01,-0.48,0.14,0.96,-0.46,1.42
-0.19,0.80,-0.52,0.17,0.79,-0.49,1.42
-0.18,0.78,-0.38,0.14,0.80,-0.43,1.42
-0.24,0.92,-0.48,0.10,0.82,-0.44,1.42
-0.48,0.91,-0.43,0.12,0.81,-0.40,1.42
-0.35,0.81,-0.35,0.10,0.85,-0.43,1.42
-0.13,0.82,-0.41,0.48,0.94,-0.49,1.42
-0.07,0.83,-0.44,0.41,0.82,-0.41,1.43
-0.06,0.84,-0.46,0.24,0.82,-0.46,1.43
-0.11,0.89,-0.47,0.26,0.88,-0.50,1.43
-0.13,0.90,-0.44,0.54,1.44,-0.56,1.44
-0.15,0.87,-0.40,0.41,1.20,-0.53,1.44
-0.10,0.88,-0.42,0.20,0.96,-0.53,1.43
-0.10,0.87,-0.40,0.18,0.94,-0.60,1.43
-0.08,0.88,-0.41,0.21,0.80,-0.45,1.43
-0.15,0.81,-0.50,0.22,0.81,-0.43,1.43
-0.13,0.80,-0.43,0.20,0.82,-0.43,1.42
-0.15,0.76,-0.45,0.22,0.80,-0.47,1.42
-0.18,0.88,-0.55,0.26,0.93,-0.57,1.42
-0.13,0.88,-0.47,0.21,0.85,-0.49,1.42
-0.11,0.84,-0.41,0.19,0.84,-0.47,1.42
-0.13,0.86,-0.41,0.18,0.86,-0.47,1.42
-0.11,0.88,-0.43,0.18,0.88,-0.46,1.42
-0.09,0.95,-0.47,0.17,0.95,-0.49,1.42
-0.12,0.76,-0.44,0.21,0.77,-0.44,1.43
-0.12,0.74,-0.39,0.22,0.77,-0.42,1.43
-0.13,0.75,-0.42,0.21,0.78,-0.44,1.42
-0.16,0.84,-0.49,0.20,0.86,-0.49,1.42
-0.10,0.92,-0.46,0.20,0.92,-0.48,1.42
-0.06,0.98,-0.47,0.17,0.98,-0.49,1.42
-0.13,0.86,-0.48,0.20,0.84,-0.47,1.42
-0.13,0.78,-0.39,0.20,0.81,-0.43,1.43
-0.15,0.83,-0.42,0.24,0.99,-0.55,1.43
-0.12,0.82,-0.38,0.60,1.21,-0.54,1.43
-0.10,0.82,-0.40,0.41,0.95,-0.49,1.44
-0.11,0.84,-0.42,0.21,0.87,-0.46,1.43
-0.14,0.90,-0.45,0.23,0.94,-0.50,1.44
-0.32,1.18,-0.56,0.40,1.23,-0.62,1.44
-0.50,1.41,-0.42,0.54,1.36,-0.51,1.44
-0.34,1.09,-0.41,0.30,1.02,-0.50,1.44
-0.15,0.92,-0.39,0.05,0.88,-0.40,1.43
-0.16,0.93,-0.39,0.05,0.90,-0.39,1.42
-0.18,0.97,-0.47,0.10,0.98,-0.45,1.42
-0.19,0.78,-0.41,0.12,0.79,-0.37,1.42
-0.23,0.80,-0.37,0.11,0.84,-0.40,1.42
-0.25,0.79,-0.34,0.24,1.06,-0.56,1.42
-0.22,0.81,-0.35,0.41,0.86,-0.57,1.42
-0.20,0.81,-0.37,0.21,0.75,-0.41,1.43
-0.37,1.00,-0.50,0.09,0.79,-0.40,1.42
-0.48,0.81,-0.43,0.11,0.79,-0.39,1.42
-0.34,0.78,-0.34,0.06,0.80,-0.41,1.42
-0.22,0.89,-0.43,0.08,0.86,-0.42,1.42
-0.16,1.00,-0.48,0.11,0.99,-0.45,1.42
-0.18,0.81,-0.50,0.15,0.78,-0.46,1.42
-0.18,0.71,-0.38,0.16,0.73,-0.38,1.42
-0.20,0.86,-0.52,0.14,0.85,-0.51,1.42
-0.20,1.03,-0.47,0.14,0.99,-0.49,1.42
-0.18,0.95,-0.44,0.12,0.97,-0.47,1.42
-0.15,0.91,-0.42,0.23,1.03,-0.55,1.43
-0.09,0.90,-0.42,0.58,1.19,-0.59,1.44
-0.01,0.90,-0.44,0.47,0.95,-0.49,1.44
-0.03,0.87,-0.43,0.23,0.82,-0.42,1.43
-0.13,0.91,-0.45,0.13,0.83,-0.40,1.43
-0.30,1.05,-0.57,0.07,0.83,-0.38,1.43
-0.59,1.13,-0.52,0.09,0.82,-0.36,1.44
-0.39,0.94,-0.39,0.06,0.84,-0.39,1.43
-0.16,0.88,-0.36,0.07,0.85,-0.40,1.44
-0.07,0.90,-0.40,0.22,0.94,-0.45,1.43
-0.02,0.90,-0.39,0.53,0.85,-0.49,1.44
-0.00,0.89,-0.39,0.40,0.80,-0.42,1.43
-0.08,0.94,-0.47,0.23,0.83,-0.40,1.43
-0.37,0.98,-0.55,0.17,0.82,-0.38,1.43
-0.40,0.77,-0.37,0.12,0.82,-0.41,1.42
-0.26,0.80,-0.37,0.12,0.94,-0.50,1.42
-0.19,0.84,-0.38,0.20,0.76,-0.52,1.43
-0.14,0.93,-0.46,0.17,0.76,-0.42,1.43
-0.18,0.87,-0.57,0.18,0.78,-0.40,1.42
-0.18,0.81,-0.45,0.17,0.80,-0.41,1.42
-0.15,0.98,-0.49,0.13,0.94,-0.49,1.42
-0.10,1.04,-0.53,0.12,1.01,-0.54,1.42
-0.13,0.78,-0.48,0.15,0.77,-0.47,1.43
-0.14,0.79,-0.42,0.16,0.78,-0.42,1.43
-0.16,0.96,-0.47,0.17,0.91,-0.47,1.43
-0.16,1.00,-0.45,0.18,0.96,-0.47,1.43
-0.17,0.98,-0.43,0.19,0.99,-0.49,1.43
-0.27,1.08,-0.43,0.46,1.35,-0.65,1.45
-0.62,1.43,-0.28,0.54,1.33,-0.53,1.46
-0.42,1.16,-0.34,0.26,1.03,-0.49,1.44
-0.19,0.96,-0.41,0.10,0.91,-0.43,1.43
-0.16,0.95,-0.42,0.11,0.90,-0.42,1.43
-0.18,0.93,-0.40,0.10,0.91,-0.45,1.43
-0.19,0.93,-0.40,0.07,0.89,-0.44,1.44
-0.19,0.92,-0.41,0.09,0.89,-0.44,1.43
-0.20,0.93,-0.41,0.08,0.89,-0.43,1.43
-0.28,1.03,-0.47,0.20,1.01,-0.52,1.43
-0.52,1.09,-0.43,0.46,1.04,-0.45,1.44
-0.34,0.94,-0.40,0.22,0.86,-0.42,1.43
-0.29,0.85,-0.47,0.08,0.85,-0.40,1.42
-0.33,1.09,-0.47,0.11,0.85,-0.39,1.43
-0.23,0.94,-0.41,0.21,0.84,-0.41,1.42
-0.15,0.90,-0.39,0.38,1.18,-0.53,1.43
-0.14,0.90,-0.40,0.28,1.03,-0.50,1.43
-0.13,0.94,-0.44,0.16,0.93,-0.45,1.43
-0.12,1.02,-0.53,0.12,0.99,-0.51,1.43
-0.21,0.92,-0.51,0.20,0.95,-0.50,1.43
-0.52,1.11,-0.37,0.45,1.06,-0.41,1.43
-0.35,0.94,-0.39,0.24,0.89,-0.43,1.43
-0.14,0.93,-0.44,0.08,0.88,-0.42,1.42
-0.12,0.92,-0.43,0.10,0.89,-0.43,1.42
-0.13,0.97,-0.46,0.11,0.95,-0.46,1.42
-0.15,0.82,-0.46,0.14,0.83,-0.46,1.42
-0.50,1.11,-0.42,0.44,1.08,-0.45,1.43
-0.47,1.03,-0.36,0.34,0.95,-0.43,1.42
-0.17,0.92,-0.52,0.13,0.91,-0.51,1.42
-0.13,0.79,-0.42,0.16,0.78,-0.40,1.43
-0.17,0.89,-0.49,0.15,0.81,-0.42,1.42
