x,y,z,x2,y2,z2,altezza
0.29,1.17,0.22,-0.09,1.26,0.19,1.62
0.30,1.17,0.22,-0.08,1.26,0.19,1.62
0.29,1.18,0.22,-0.08,1.26,0.19,1.62
0.21,1.12,0.25,-0.03,1.19,0.22,1.62
0.20,1.13,0.26,0.02,1.16,0.23,1.61
0.26,1.14,0.25,0.04,1.18,0.22,1.61
0.31,1.16,0.25,0.05,1.18,0.23,1.61
0.31,1.16,0.26,0.06,1.18,0.24,1.61
0.28,1.21,0.26,0.01,1.20,0.22,1.61
0.21,1.19,0.25,-0.08,1.20,0.21,1.62
0.16,1.20,0.25,-0.12,1.21,0.20,1.61
0.19,1.22,0.24,-0.08,1.21,0.19,1.62
0.20,1.21,0.23,-0.07,1.21,0.19,1.62
0.20,1.21,0.23,-0.06,1.22,0.18,1.62
0.19,1.22,0.24,-0.06,1.25,0.18,1.62
0.25,1.28,0.19,-0.13,1.33,0.16,1.62
0.71,1.36,0.37,-0.50,1.33,0.30,1.62
0.38,1.31,0.22,-0.35,1.38,0.29,1.62
0.35,1.22,0.22,-0.21,1.25,0.23,1.61
0.32,1.15,0.13,-0.14,1.17,0.15,1.60
0.27,1.18,-0.05,-0.14,1.21,-0.07,1.60
0.23,1.19,-0.19,-0.14,1.23,-0.22,1.61
0.27,1.27,-0.29,-0.08,1.27,-0.29,1.62
0.25,1.00,-0.35,-0.05,1.39,-0.31,1.62
0.30,0.90,-0.25,-0.08,1.55,-0.25,1.62
0.32,0.96,-0.22,-0.12,1.39,-0.39,1.62
0.32,1.03,-0.25,-0.14,0.95,-0.29,1.62
0.31,1.16,-0.28,-0.14,1.15,-0.29,1.62
0.32,1.15,-0.30,-0.08,1.17,-0.28,1.62
0.30,1.14,-0.30,-0.06,1.15,-0.28,1.62
0.29,1.15,-0.30,-0.05,1.15,-0.28,1.62
0.29,1.15,-0.30,-0.05,1.16,-0.28,1.62
0.30,1.15,-0.29,-0.05,1.16,-0.28,1.62
0.32,1.15,-0.29,-0.07,1.16,-0.27,1.62
0.38,1.16,-0.28,-0.12,1.16,-0.27,1.62
0.38,1.16,-0.27,-0.15,1.17,-0.26,1.62
0.38,1.14,-0.27,-0.15,1.16,-0.26,1.62
0.39,1.14,-0.27,-0.15,1.15,-0.26,1.62
0.43,1.40,-0.27,-0.17,1.15,-0.26,1.62
0.49,1.18,-0.37,-0.21,1.40,-0.18,1.61
0.48,0.89,-0.14,-0.28,0.90,-0.11,1.62
0.45,1.20,-0.27,-0.26,1.19,-0.25,1.62
0.37,1.37,-0.27,-0.20,1.41,-0.26,1.62
0.31,1.46,-0.22,-0.13,1.49,-0.19,1.62
0.26,0.85,-0.29,-0.10,0.84,-0.29,1.61
0.28,0.98,-0.28,-0.10,0.97,-0.26,1.62
0.28,1.22,-0.31,-0.14,1.22,-0.29,1.62
0.31,1.16,-0.30,-0.12,1.16,-0.29,1.62
0.33,1.14,-0.29,-0.08,1.13,-0.29,1.62
0.33,1.16,-0.31,-0.08,1.15,-0.30,1.62
0.32,1.16,-0.31,-0.07,1.16,-0.31,1.62
0.32,1.16,-0.30,-0.06,1.16,-0.31,1.62
0.32,1.16,-0.29,0.03,1.20,-0.31,1.63
0.34,1.17,-0.28,-0.62,1.38,-0.26,1.63
0.34,1.17,-0.28,-0.50,1.30,-0.16,1.63
0.32,1.21,-0.30,-0.17,1.15,-0.25,1.63
0.33,1.21,-0.30,-0.02,1.10,-0.25,1.63
0.45,1.41,-0.40,-0.06,1.09,-0.25,1.64
0.56,1.64,-0.25,-0.09,1.15,-0.23,1.63
0.31,1.08,-0.31,-0.08,1.16,-0.26,1.63
0.31,1.13,-0.33,-0.11,1.17,-0.29,1.63
0.31,1.26,-0.38,-0.12,1.35,-0.33,1.63
0.30,1.42,-0.31,-0.14,1.35,-0.32,1.62
0.25,1.02,-0.30,-0.11,1.02,-0.25,1.62
0.18,1.30,-0.34,-0.07,1.34,-0.30,1.63
0.76,1.31,-0.39,-0.62,1.21,-0.28,1.63
0.43,1.60,-0.16,-0.24,1.57,-0.14,1.62
0.32,0.85,-0.21,-0.12,0.87,-0.22,1.62
0.28,1.16,-0.33,-0.20,1.22,-0.33,1.63
0.32,1.21,-0.37,-0.16,1.28,-0.36,1.63
0.33,1.18,-0.35,-0.10,1.21,-0.34,1.64
0.35,1.17,-0.33,-0.40,1.56,-0.43,1.64
0.37,1.18,-0.31,-0.45,1.75,-0.16,1.63
0.34,1.20,-0.32,-0.30,1.46,-0.22,1.63
0.36,1.21,-0.33,-0.07,1.20,-0.25,1.63
0.35,1.22,-0.30,-0.05,1.15,-0.27,1.64
0.75,1.79,-0.24,-0.15,1.18,-0.24,1.64
0.57,1.49,-0.28,-0.15,1.22,-0.24,1.64
0.35,1.15,-0.32,-0.10,1.20,-0.27,1.63
0.37,1.12,-0.30,-0.03,1.16,-0.27,1.63
0.43,1.26,-0.30,0.15,1.17,-0.29,1.63
0.07,1.33,-0.31,0.16,1.14,-0.35,1.63
0.64,1.29,-0.25,-0.48,1.07,-0.03,1.63
0.43,1.21,-0.35,-0.22,1.15,-0.28,1.63
0.34,1.33,-0.33,-0.13,1.39,-0.30,1.63
0.30,1.47,-0.24,-0.12,1.48,-0.24,1.62
0.28,0.86,-0.26,-0.13,0.86,-0.31,1.62
0.28,0.97,-0.25,-0.12,0.97,-0.27,1.63
0.32,1.15,-0.31,-0.09,1.16,-0.29,1.63
0.33,1.21,-0.32,-0.09,1.20,-0.29,1.63
0.30,1.43,-0.28,-0.13,1.18,-0.28,1.63
0.30,0.93,-0.29,-0.15,1.18,-0.27,1.63
0.31,1.10,-0.32,-0.14,1.21,-0.29,1.63
0.31,1.13,-0.33,-0.14,1.17,-0.28,1.63
0.19,1.28,-0.29,-0.16,1.18,-0.28,1.63
0.87,1.39,-0.21,-0.19,1.18,-0.26,1.64
0.51,1.28,-0.28,-0.14,1.22,-0.28,1.63
0.39,1.26,-0.32,-0.12,1.24,-0.29,1.64
0.34,1.29,-0.28,-0.10,1.25,-0.26,1.64
0.69,1.83,-0.03,-0.56,1.74,-0.06,1.64
0.45,1.55,-0.20,-0.30,1.69,-0.04,1.63
0.38,1.24,-0.25,-0.14,1.59,-0.20,1.63
0.43,1.25,-0.21,-0.17,0.90,-0.28,1.63
0.42,1.22,-0.24,-0.10,1.20,-0.33,1.63
0.40,1.23,-0.24,-0.68,1.34,-0.18,1.63
0.40,1.21,-0.25,-0.57,1.41,-0.10,1.63
0.33,1.16,-0.28,-0.27,1.23,-0.28,1.62
0.32,1.16,-0.30,-0.12,1.25,-0.33,1.62
0.29,1.04,-0.36,-0.15,1.00,-0.40,1.62
0.30,1.00,-0.24,-0.16,1.01,-0.26,1.62
0.30,1.11,-0.27,-0.06,1.18,-0.32,1.62
0.33,1.09,-0.24,-0.60,1.06,-0.17,1.62
0.34,1.13,-0.28,-0.47,1.03,-0.17,1.62
0.25,1.14,-0.33,-0.25,0.98,-0.25,1.63
