x,y,z,x2,y2,z2,altezza
-0.08,1.19,0.02,0.12,1.10,0.06,1.65
-0.08,1.19,0.02,0.12,1.10,0.06,1.65
-0.09,1.19,0.03,0.11,1.10,0.06,1.65
-0.11,1.19,0.03,0.08,1.10,0.05,1.65
-0.12,1.19,0.04,0.05,1.12,0.05,1.65
-0.12,1.19,0.05,0.03,1.13,0.05,1.65
-0.12,1.19,0.06,0.03,1.13,0.06,1.64
-0.13,1.18,0.06,0.01,1.13,0.06,1.64
-0.14,1.17,0.06,0.00,1.13,0.06,1.64
-0.14,1.15,0.05,-0.00,1.14,0.06,1.64
-0.14,1.16,0.05,0.01,1.14,0.06,1.64
-0.13,1.17,0.05,0.01,1.15,0.06,1.65
-0.13,1.17,0.05,0.02,1.15,0.05,1.65
-0.13,1.18,0.04,0.01,1.17,0.05,1.65
-0.15,1.20,0.02,0.01,1.18,0.04,1.65
-0.15,1.20,0.01,-0.01,1.17,0.04,1.65
-0.56,1.30,0.16,0.38,1.36,0.09,1.66
-0.44,1.28,0.09,0.25,1.29,0.08,1.66
-0.34,1.31,0.03,0.16,1.22,0.06,1.65
-0.25,1.29,0.02,0.10,1.19,0.04,1.65
-0.18,1.27,0.03,0.06,1.19,0.03,1.65
-0.15,1.26,0.04,0.06,1.21,0.01,1.65
-0.15,1.26,0.05,0.09,1.35,0.00,1.65
-0.16,1.27,0.05,0.14,0.82,-0.05,1.65
-0.15,1.34,0.05,0.13,0.77,0.17,1.65
-0.22,1.12,-0.15,0.13,0.83,0.13,1.65
-0.12,0.94,0.07,0.13,0.88,0.12,1.65
-0.25,1.37,-0.01,0.09,0.97,0.04,1.65
-0.16,1.23,0.01,0.07,1.15,0.02,1.66
-0.15,1.20,0.02,0.09,1.17,0.01,1.66
-0.10,1.20,0.02,0.10,1.17,0.01,1.65
-0.08,1.20,0.03,0.09,1.17,0.02,1.66
-0.08,1.21,0.04,0.08,1.18,0.03,1.66
-0.09,1.21,0.05,0.07,1.19,0.04,1.66
-0.09,1.21,0.06,0.08,1.18,0.05,1.66
-0.10,1.21,0.07,0.07,1.18,0.06,1.65
-0.13,1.21,0.07,0.07,1.18,0.06,1.65
-0.15,1.21,0.06,0.07,1.18,0.05,1.65
-0.20,1.28,0.04,0.10,1.25,0.04,1.65
-0.32,1.19,-0.07,0.20,1.17,-0.02,1.66
-0.33,0.94,0.12,0.25,0.92,0.15,1.66
-0.27,1.20,0.04,0.19,1.22,0.06,1.66
-0.21,1.36,0.07,0.09,1.33,0.09,1.66
-0.20,1.39,0.10,0.07,1.35,0.12,1.65
-0.20,0.98,-0.01,0.08,0.92,0.04,1.66
-0.20,1.03,0.04,0.07,1.02,0.05,1.66
-0.19,1.14,0.03,0.05,1.11,0.02,1.66
-0.17,1.13,0.04,0.05,1.11,0.03,1.66
-0.14,1.20,0.03,0.08,1.11,0.03,1.66
-0.12,1.20,0.03,0.07,1.12,0.03,1.66
-0.11,1.20,0.02,0.08,1.10,0.04,1.66
-0.11,1.23,0.02,0.09,1.10,0.05,1.66
-0.11,1.25,0.03,0.07,1.10,0.05,1.67
-0.65,1.24,0.13,0.06,1.12,0.05,1.67
-0.28,1.08,0.05,0.00,1.15,0.03,1.67
-0.23,1.12,0.04,0.03,1.15,0.03,1.66
-0.21,1.12,0.04,0.14,1.16,0.03,1.67
-0.16,1.15,0.04,0.51,1.87,0.06,1.68
-0.12,1.16,0.02,0.37,1.35,-0.03,1.67
-0.12,1.21,0.01,0.16,0.95,0.14,1.66
-0.13,1.27,0.02,0.13,1.22,-0.03,1.66
-0.20,1.42,0.03,0.13,1.42,0.04,1.65
-0.23,1.12,-0.14,0.13,1.09,-0.12,1.66
-0.17,0.85,0.16,0.13,0.86,0.16,1.66
-0.14,1.16,0.02,0.09,1.08,0.01,1.66
-0.72,1.38,0.07,0.66,1.40,0.09,1.66
-0.42,1.48,0.13,0.36,1.53,0.22,1.65
-0.11,0.80,0.08,0.10,0.78,0.11,1.65
-0.16,0.94,0.08,0.11,0.92,0.09,1.66
-0.14,1.09,0.01,0.06,1.04,0.02,1.66
-0.19,1.09,-0.01,0.09,1.05,-0.00,1.66
-0.37,1.51,-0.21,0.09,1.00,0.03,1.67
-0.41,1.42,-0.07,0.08,1.10,0.02,1.66
-0.07,1.15,0.05,0.13,1.35,-0.03,1.67
-0.06,1.21,0.08,0.13,1.19,0.01,1.67
-0.07,1.17,0.09,0.14,1.17,0.05,1.67
-0.16,1.21,0.07,0.55,1.79,0.26,1.67
-0.14,1.20,0.05,0.29,1.29,0.01,1.66
-0.09,1.21,0.05,0.08,1.14,0.04,1.66
-0.12,1.15,0.06,0.09,1.10,0.02,1.66
-0.10,1.10,0.03,0.11,1.07,0.01,1.66
-0.09,1.04,-0.04,0.08,1.02,0.01,1.66
-0.35,1.62,0.20,0.28,1.60,0.28,1.66
-0.15,1.15,0.06,0.06,1.16,0.09,1.66
-0.09,1.14,0.08,0.10,1.16,0.08,1.65
-0.16,1.44,0.08,0.12,1.42,0.10,1.66
-0.19,0.74,0.07,0.15,0.78,0.09,1.66
-0.24,0.89,0.12,0.21,0.88,0.16,1.66
-0.21,1.04,0.06,0.15,1.03,0.03,1.65
-0.17,1.03,0.07,0.15,1.30,-0.02,1.65
-0.17,1.09,0.05,0.18,1.51,0.04,1.65
-0.19,1.16,0.05,0.23,0.74,0.18,1.65
-0.14,1.16,0.04,0.22,0.88,0.10,1.65
-0.15,1.17,0.05,0.10,1.09,0.02,1.66
-0.18,1.17,0.05,0.13,1.21,-0.01,1.66
-0.21,1.19,0.07,0.65,1.53,0.24,1.66
-0.16,1.18,0.04,0.29,1.32,0.02,1.66
-0.15,1.17,0.05,0.17,1.13,0.05,1.66
-0.13,1.17,0.04,0.21,1.18,0.02,1.67
-0.47,1.75,0.22,0.47,1.79,0.29,1.68
-0.22,1.41,0.04,0.21,1.34,0.04,1.66
-0.23,1.52,0.12,0.21,1.43,0.07,1.66
-0.05,0.94,0.11,0.21,1.33,0.06,1.67
-0.08,1.23,0.02,0.24,1.29,0.05,1.66
-0.79,1.48,0.16,0.24,1.27,0.09,1.67
-0.43,0.95,0.21,0.19,1.28,0.07,1.66
-0.18,1.20,0.03,0.13,1.25,0.05,1.66
