x,y,z,x2,y2,z2,altezza
-0.15,1.34,-0.55,0.06,1.27,-0.55,1.75
-0.16,1.34,-0.55,0.06,1.27,-0.55,1.75
-0.16,1.34,-0.55,0.06,1.28,-0.56,1.75
-0.12,1.34,-0.56,0.08,1.31,-0.56,1.76
-0.12,1.38,-0.56,0.11,1.36,-0.56,1.76
-0.12,1.37,-0.55,0.10,1.36,-0.54,1.76
-0.15,1.33,-0.55,0.08,1.33,-0.53,1.76
-0.13,1.24,-0.57,0.02,1.23,-0.56,1.76
-0.08,1.22,-0.61,0.02,1.20,-0.62,1.76
-0.07,1.26,-0.65,0.03,1.22,-0.65,1.76
-0.05,1.35,-0.67,0.06,1.32,-0.68,1.76
-0.62,1.44,-0.64,0.58,1.42,-0.61,1.76
-0.47,1.47,-0.61,0.48,1.45,-0.58,1.76
-0.11,1.44,-0.60,0.13,1.44,-0.60,1.76
-0.12,1.44,-0.59,0.14,1.44,-0.59,1.76
-0.12,1.47,-0.60,0.14,1.45,-0.60,1.76
-0.09,1.59,-0.58,0.17,1.58,-0.60,1.76
-0.10,1.56,-0.60,0.16,1.51,-0.62,1.76
-0.14,1.56,-0.58,0.13,1.35,-0.72,1.75
-0.15,1.53,-0.58,0.17,0.81,-0.55,1.73
-0.13,1.62,-0.55,0.18,0.94,-0.54,1.75
-0.16,0.84,-0.62,0.18,1.04,-0.52,1.73
-0.02,0.94,-0.46,0.17,1.09,-0.56,1.75
-0.07,1.16,-0.54,0.15,1.13,-0.58,1.76
-0.08,1.21,-0.55,0.12,1.17,-0.59,1.76
-0.10,1.19,-0.56,0.11,1.18,-0.60,1.75
-0.14,1.20,-0.58,0.11,1.18,-0.61,1.75
-0.15,1.20,-0.58,0.11,1.18,-0.61,1.75
-0.14,1.21,-0.59,0.14,1.18,-0.61,1.75
-0.18,1.45,-0.60,0.17,1.39,-0.65,1.75
-0.22,1.48,-0.61,0.21,1.47,-0.65,1.75
-0.20,1.42,-0.63,0.30,1.40,-0.68,1.73
-0.19,1.39,-0.63,0.36,1.37,-0.67,1.73
-0.23,1.42,-0.64,0.41,1.40,-0.67,1.73
-0.25,1.43,-0.66,0.44,1.41,-0.69,1.71
-0.28,0.83,-0.56,0.44,0.79,-0.58,1.69
-0.33,0.96,-0.53,0.40,0.95,-0.62,1.72
-0.17,1.32,-0.66,0.27,1.31,-0.71,1.73
-0.05,1.40,-0.68,0.13,1.41,-0.71,1.72
-0.06,1.36,-0.72,0.11,1.35,-0.77,1.69
-0.05,0.82,-0.54,0.10,0.80,-0.57,1.67
-0.05,0.97,-0.58,0.10,0.94,-0.59,1.72
-0.07,1.16,-0.63,0.12,1.15,-0.66,1.73
-0.09,1.22,-0.64,0.10,1.22,-0.66,1.74
-0.08,1.30,-0.73,0.09,1.31,-0.73,1.75
-0.07,1.32,-0.72,0.09,1.34,-0.71,1.76
-0.07,1.31,-0.74,0.10,1.29,-0.65,1.76
-0.11,1.36,-0.78,0.07,1.24,-0.60,1.76
-0.29,1.44,-0.87,0.03,1.23,-0.58,1.76
-0.80,1.32,-0.57,-0.00,1.24,-0.58,1.76
-0.39,1.24,-0.50,0.02,1.29,-0.62,1.76
-0.19,1.26,-0.51,0.20,1.34,-0.68,1.76
