x,y,z,x2,y2,z2,altezza
-0.28,1.32,-0.35,0.02,1.10,-0.37,1.70
-0.28,1.32,-0.35,0.02,1.09,-0.37,1.70
-0.27,1.32,-0.36,0.01,1.10,-0.36,1.70
-0.27,1.32,-0.35,0.01,1.09,-0.36,1.70
-0.22,1.33,-0.36,0.06,1.21,-0.38,1.72
-0.14,1.28,-0.40,0.13,1.25,-0.40,1.73
-0.05,1.18,-0.46,0.12,1.17,-0.45,1.72
-0.08,1.16,-0.51,0.06,1.16,-0.49,1.71
-0.07,1.24,-0.55,0.12,1.23,-0.55,1.71
-0.05,1.25,-0.59,0.15,1.24,-0.58,1.72
-0.06,1.26,-0.61,0.10,1.25,-0.60,1.72
-0.07,1.23,-0.61,0.08,1.22,-0.61,1.72
-0.15,1.37,-0.74,0.13,1.33,-0.72,1.72
-0.73,1.49,-0.61,0.72,1.50,-0.58,1.73
-0.32,1.43,-0.65,0.33,1.42,-0.61,1.73
-0.11,1.34,-0.57,0.21,1.35,-0.59,1.73
-0.14,1.37,-0.61,0.25,1.35,-0.60,1.73
-0.10,1.33,-0.59,0.19,1.33,-0.59,1.73
-0.07,1.29,-0.57,0.19,1.27,-0.61,1.72
-0.07,1.30,-0.53,0.20,1.20,-0.66,1.71
-0.10,1.32,-0.48,0.21,1.02,-0.84,1.67
-0.06,1.27,-0.53,0.16,0.86,-0.52,1.70
-0.07,1.22,-0.61,0.12,1.07,-0.47,1.71
-0.14,0.79,-0.50,0.13,1.14,-0.45,1.70
-0.08,1.01,-0.53,0.16,1.09,-0.52,1.72
-0.04,1.13,-0.55,0.16,1.14,-0.58,1.72
0.01,1.16,-0.55,0.13,1.18,-0.57,1.71
-0.03,1.16,-0.56,0.09,1.17,-0.58,1.71
-0.02,1.18,-0.58,0.12,1.19,-0.60,1.69
-0.06,1.20,-0.59,0.09,1.20,-0.60,1.68
-0.11,1.25,-0.62,0.06,1.23,-0.60,1.69
-0.12,1.26,-0.62,0.11,1.26,-0.62,1.71
-0.19,1.27,-0.66,0.30,1.28,-0.67,1.71
-0.21,1.27,-0.68,0.33,1.28,-0.68,1.72
-0.22,1.25,-0.69,0.28,1.23,-0.67,1.71
-0.23,1.24,-0.69,0.31,1.24,-0.69,1.71
-0.28,1.34,-0.68,0.32,1.29,-0.68,1.70
-0.41,0.83,-0.53,0.42,0.81,-0.49,1.69
-0.30,0.96,-0.59,0.34,0.96,-0.57,1.71
-0.17,1.12,-0.67,0.22,1.11,-0.67,1.71
-0.09,1.34,-0.69,0.15,1.33,-0.70,1.70
-0.08,1.19,-0.72,0.14,1.16,-0.71,1.68
-0.08,0.84,-0.54,0.12,0.88,-0.57,1.69
-0.03,1.05,-0.59,0.12,1.05,-0.61,1.71
-0.01,1.09,-0.60,0.14,1.13,-0.63,1.70
-0.09,1.12,-0.60,0.09,1.15,-0.60,1.71
-0.14,1.20,-0.67,0.09,1.20,-0.64,1.72
-0.14,1.24,-0.70,0.14,1.28,-0.71,1.71
-0.17,1.30,-0.77,0.13,1.26,-0.68,1.73
-0.24,1.37,-0.84,0.13,1.23,-0.64,1.73
-0.69,1.49,-0.91,0.14,1.22,-0.63,1.73
-0.40,1.32,-0.77,0.11,1.25,-0.66,1.73
-0.15,1.23,-0.64,0.18,1.25,-0.69,1.73
-0.09,1.21,-0.63,0.39,1.37,-0.75,1.74
-0.06,1.23,-0.62,0.50,1.58,-0.85,1.76
-0.04,1.22,-0.61,0.55,1.70,-0.86,1.76
-0.05,1.20,-0.63,0.27,1.26,-0.72,1.74
-0.15,1.19,-0.66,0.12,1.20,-0.69,1.73
-0.14,1.40,-0.74,0.12,1.39,-0.77,1.71
-0.11,1.44,-0.76,0.14,1.41,-0.79,1.67
-0.11,0.77,-0.64,0.14,0.78,-0.66,1.64
-0.09,1.02,-0.77,0.15,1.00,-0.76,1.68
-0.37,1.45,-1.08,0.42,1.43,-1.02,1.72
-0.34,1.44,-1.04,0.39,1.44,-1.01,1.71
-0.10,0.77,-0.87,0.12,0.78,-0.86,1.66
-0.10,0.98,-0.89,0.16,1.00,-0.91,1.70
-0.05,1.20,-0.96,0.18,1.21,-0.96,1.72
-0.19,1.41,-1.06,0.21,1.27,-0.92,1.73
-0.43,1.68,-1.16,0.14,1.14,-0.82,1.76
-0.49,1.77,-1.06,0.11,1.23,-0.83,1.77
-0.27,1.44,-0.93,0.14,1.28,-0.86,1.75
-0.12,1.32,-0.85,0.36,1.41,-0.93,1.75
-0.03,1.27,-0.83,0.49,1.48,-0.96,1.75
-0.05,1.24,-0.79,0.73,1.91,-1.07,1.78
-0.04,1.26,-0.81,0.61,1.72,-0.92,1.77
-0.06,1.24,-0.83,0.35,1.33,-0.88,1.74
-0.13,1.23,-0.87,0.18,1.26,-0.89,1.74
-0.05,1.27,-0.87,0.32,1.21,-0.93,1.74
-0.31,1.34,-0.93,0.38,1.14,-1.10,1.72
0.30,1.34,-0.74,-0.29,1.15,-0.68,1.72
0.09,1.36,-0.83,-0.13,1.12,-0.76,1.73
-0.09,1.30,-0.90,0.19,1.20,-0.91,1.73
-0.11,1.45,-0.95,0.20,1.42,-0.97,1.72
-0.22,1.06,-1.08,0.13,0.99,-1.05,1.69
-0.14,0.82,-0.76,0.15,0.81,-0.75,1.71
-0.12,1.12,-0.91,0.18,1.10,-0.91,1.72
-0.09,1.20,-0.89,0.21,1.24,-0.95,1.71
-0.11,1.21,-0.87,0.21,1.37,-0.97,1.71
-0.17,1.21,-0.84,0.17,0.72,-0.85,1.69
-0.10,1.18,-0.87,0.20,0.86,-0.76,1.71
-0.03,1.21,-0.86,0.31,1.15,-0.91,1.71
-0.01,1.24,-0.87,0.42,1.34,-0.96,1.71
-0.02,1.29,-0.86,0.92,1.50,-0.88,1.74
0.00,1.26,-0.89,0.49,1.18,-0.85,1.72
-0.08,1.27,-0.93,0.23,1.17,-0.88,1.72
-0.33,1.50,-1.01,0.34,1.48,-1.03,1.74
-0.64,1.97,-0.94,0.70,1.95,-0.93,1.81
-0.41,1.75,-0.94,0.49,1.74,-0.95,1.75
-0.18,1.44,-0.97,0.31,1.40,-0.94,1.71
-0.26,0.77,-0.87,0.33,1.25,-0.84,1.65
-0.10,1.04,-0.99,0.30,1.27,-0.88,1.69
-0.65,1.62,-1.14,0.32,1.24,-0.82,1.72
-0.59,1.38,-0.89,0.23,1.29,-0.89,1.72
-0.31,1.33,-0.88,0.22,1.31,-0.90,1.71
-0.13,1.39,-0.90,0.24,1.37,-0.89,1.71
-0.11,1.30,-0.89,0.20,1.24,-0.91,1.62
-0.21,0.78,-0.33,0.13,0.83,-0.40,1.63
-0.33,1.09,-0.43,0.17,1.03,-0.39,1.67
-0.57,1.21,-0.58,0.15,1.10,-0.23,1.67
-0.78,1.18,-0.32,0.12,1.15,-0.21,1.69
-0.29,1.06,-0.19,0.19,1.19,-0.32,1.70
-0.20,1.12,-0.22,0.73,1.17,-0.16,1.70
-0.19,1.10,-0.24,0.23,1.01,-0.17,1.71
-0.31,1.21,-0.30,0.09,1.18,-0.26,1.73
