x,y,z,x2,y2,z2
0.19,1.11,-0.76,-0.18,1.16,-0.87
0.19,1.11,-0.76,-0.17,1.15,-0.87
0.19,1.10,-0.76,-0.16,1.16,-0.87
0.17,1.08,-0.77,-0.17,1.16,-0.87
0.15,1.09,-0.78,-0.19,1.34,-0.87
0.21,1.24,-0.74,-0.30,1.59,-0.77
0.14,1.57,-0.62,-0.28,1.61,-0.75
0.11,1.60,-0.62,-0.28,1.62,-0.75
0.10,1.59,-0.61,-0.29,1.61,-0.73
0.05,1.36,-0.79,-0.30,1.35,-0.91
0.06,1.23,-0.79,-0.29,1.24,-0.89
0.06,1.17,-0.77,-0.28,1.18,-0.89
0.12,1.16,-0.77,-0.24,1.19,-0.90
0.13,1.19,-0.76,-0.28,1.22,-0.94
0.13,1.21,-0.77,-0.32,1.24,-0.96
0.15,1.22,-0.77,-0.35,1.22,-0.93
0.20,1.27,-0.73,-0.42,1.26,-0.86
0.13,1.24,-0.77,-0.34,1.27,-0.88
0.11,1.21,-0.77,-0.27,1.26,-0.89
0.10,1.22,-0.79,-0.23,1.25,-0.90
0.09,1.22,-0.80,-0.23,1.24,-0.91
0.08,1.20,-0.82,-0.23,1.23,-0.91
0.08,1.20,-0.85,-0.26,1.22,-0.91
0.10,1.16,-0.91,-0.27,1.22,-0.91
0.14,0.99,-0.82,-0.26,1.23,-0.94
0.17,0.98,-0.79,-0.25,1.15,-1.01
0.17,1.02,-0.80,-0.30,1.10,-0.92
0.12,1.03,-0.82,-0.25,1.10,-0.89
0.11,1.04,-0.81,-0.25,1.13,-0.90
0.14,1.10,-0.81,-0.27,1.13,-0.90
0.13,1.11,-0.79,-0.28,1.15,-0.90
0.13,1.10,-0.81,-0.21,1.19,-0.89
0.12,1.09,-0.82,-0.23,1.15,-0.91
0.12,1.07,-0.83,-0.23,1.09,-0.91
0.09,1.07,-0.84,-0.23,1.08,-0.92
0.18,1.10,-0.85,-0.28,1.10,-0.93
0.17,1.09,-0.84,-0.28,1.12,-0.92
0.16,1.10,-0.85,-0.28,1.09,-0.92
0.17,1.10,-0.85,-0.30,1.10,-0.94
0.20,1.12,-0.88,-0.36,1.08,-0.97
0.29,0.95,-0.79,-0.44,0.92,-0.79
0.28,1.09,-0.84,-0.53,1.12,-0.84
0.16,1.02,-0.82,-0.35,1.12,-0.89
0.12,1.14,-0.86,-0.25,1.19,-0.94
0.11,0.95,-0.90,-0.23,0.92,-0.93
0.15,1.20,-0.83,-0.30,1.18,-0.91
0.14,0.96,-0.81,-0.28,0.97,-0.88
0.10,1.00,-0.82,-0.25,1.07,-0.92
0.10,1.04,-0.84,-0.23,1.11,-0.93
0.14,1.09,-0.84,-0.27,1.15,-0.97
0.16,1.11,-0.84,-0.30,1.19,-0.98
0.15,1.10,-0.83,-0.35,1.24,-0.99
0.16,1.11,-0.83,-0.40,1.30,-1.00
0.18,1.18,-0.83,-0.85,1.26,-0.79
0.19,1.29,-0.83,-0.43,1.30,-0.79
0.18,1.25,-0.84,-0.54,1.25,-0.75
0.27,1.42,-0.88,-0.44,1.30,-0.78
0.37,1.58,-0.89,-0.49,1.31,-0.76
0.36,1.59,-0.76,-0.49,1.29,-0.77
0.17,1.28,-0.85,-0.42,1.29,-0.84
0.11,1.08,-0.83,-0.28,1.16,-0.88
0.11,1.06,-0.82,-0.24,1.08,-0.92
0.13,1.30,-0.86,-0.25,1.28,-0.97
0.14,0.94,-0.78,-0.31,0.98,-0.86
0.13,1.11,-0.84,-0.34,1.13,-0.88
0.52,1.39,-0.79,-0.69,1.31,-0.81
0.19,1.29,-0.82,-0.39,1.29,-0.85
0.11,0.96,-0.87,-0.26,0.95,-0.89
0.10,1.11,-0.79,-0.34,1.16,-0.87
0.07,1.17,-0.83,-0.28,1.19,-0.89
0.08,1.11,-0.81,-0.30,1.23,-0.90
0.11,1.12,-0.81,-0.58,1.58,-0.96
0.14,1.18,-0.81,-0.62,1.63,-0.72
0.09,1.20,-0.82,-0.36,1.21,-0.85
0.08,1.15,-0.81,-0.29,1.25,-0.89
0.23,1.37,-0.92,-0.34,1.26,-0.86
0.51,1.76,-0.78,-0.36,1.28,-0.84
0.19,1.37,-0.84,-0.34,1.28,-0.90
0.10,1.13,-0.85,-0.25,1.19,-0.92
0.08,1.20,-0.88,-0.28,1.22,-0.93
-0.01,1.34,-0.96,-0.37,1.14,-0.92
0.11,1.50,-1.12,-0.15,1.11,-0.97
-0.14,1.36,-0.72,-0.52,1.03,-0.82
0.19,1.39,-0.88,-0.36,1.22,-0.92
0.15,1.28,-0.91,-0.22,1.18,-0.97
0.14,1.14,-0.92,-0.27,1.23,-1.03
0.17,1.10,-0.98,-0.30,1.09,-1.07
0.19,1.05,-0.79,-0.30,1.07,-0.85
0.10,1.16,-0.88,-0.26,1.20,-0.96
0.11,1.10,-0.92,-0.26,1.19,-0.95
0.13,1.22,-1.00,-0.29,1.17,-0.94
0.17,0.94,-0.88,-0.33,1.17,-0.92
0.11,1.01,-0.82,-0.30,1.16,-0.94
0.14,1.21,-0.90,-0.30,1.18,-0.94
0.23,1.47,-0.95,-0.38,1.17,-0.90
0.56,1.49,-0.69,-0.45,1.17,-0.88
0.18,1.11,-0.80,-0.35,1.19,-0.94
0.19,1.25,-0.90,-0.31,1.27,-0.97
0.30,1.48,-0.91,-0.40,1.43,-0.98
0.55,1.81,-0.71,-0.69,1.80,-0.72
0.28,1.39,-0.84,-0.42,1.37,-0.90
0.14,1.25,-0.88,-0.28,1.29,-0.98
0.19,1.26,-0.82,-0.36,0.91,-0.88
0.20,1.27,-0.81,-0.37,1.36,-1.02
0.23,1.28,-0.79,-0.78,1.48,-0.97
0.22,1.21,-0.82,-0.34,1.17,-0.82
0.10,1.07,-0.85,-0.13,1.13,-0.88
0.13,1.16,-0.90,-0.19,1.23,-0.93
0.14,1.14,-0.99,-0.18,1.17,-1.01
0.16,1.00,-0.80,-0.21,1.02,-0.77
0.15,1.13,-0.85,-0.18,1.17,-0.87
0.20,1.17,-0.83,-0.69,1.09,-0.89
0.06,1.17,-0.85,-0.40,1.02,-0.71
0.22,1.16,-0.92,-0.31,1.03,-0.76
0.30,1.12,-0.77,-0.31,1.13,-0.81
0.11,1.03,-0.82,-0.23,1.10,-0.85
0.18,1.32,-0.91,-0.22,1.37,-0.90
0.37,1.57,-0.95,-0.45,1.53,-0.95
0.48,1.74,-0.76,-0.62,1.75,-0.73
0.16,1.16,-0.85,-0.34,1.26,-0.82
0.15,1.26,-0.91,-0.21,1.18,-0.83
0.17,0.92,-0.74,-0.20,1.15,-0.80
0.21,1.04,-0.76,-0.21,1.03,-0.93
0.19,1.09,-0.81,-0.23,1.06,-0.83
0.14,0.96,-0.79,-0.20,1.00,-0.85
0.15,0.96,-0.93,-0.21,0.93,-0.93
0.13,1.24,-0.85,-0.22,1.35,-0.87
0.13,0.98,-0.78,-0.15,0.99,-0.75
0.11,1.00,-0.79,-0.17,1.05,-0.79
0.13,1.00,-0.79,-0.15,1.03,-0.79
0.16,1.24,-0.91,-0.16,1.25,-0.90
0.15,0.89,-0.88,-0.25,0.91,-0.88
0.19,0.95,-0.81,-0.19,0.97,-0.78
0.14,0.95,-0.83,-0.14,0.95,-0.81
0.15,0.87,-0.84,-0.15,0.84,-0.82
0.13,1.24,-0.89,-0.23,1.36,-0.87
0.14,0.97,-0.81,-0.15,0.99,-0.79
0.12,1.21,-0.88,-0.16,1.20,-0.89
0.15,0.88,-0.79,-0.22,0.87,-0.73
0.14,1.16,-0.92,-0.16,1.17,-0.86
0.45,1.48,-0.99,-0.47,1.46,-1.00
0.53,1.42,-0.75,-0.65,1.45,-0.73
0.13,1.06,-0.81,-0.26,1.09,-0.81
0.12,1.27,-0.88,-0.22,1.29,-0.87
0.29,1.48,-0.89,-0.34,1.44,-0.88
0.64,1.75,-0.76,-0.66,1.77,-0.79
0.30,1.44,-0.83,-0.42,1.53,-0.81
0.16,1.24,-0.82,-0.19,1.22,-0.84
0.14,1.02,-0.82,-0.13,1.06,-0.84
0.16,1.24,-0.93,-0.19,1.26,-0.95
0.18,0.84,-0.76,-0.24,0.83,-0.73
0.15,0.97,-0.79,-0.18,1.01,-0.78
0.19,1.09,-0.86,-0.13,1.07,-0.80
0.38,0.94,-0.87,-0.19,1.06,-0.75
0.14,0.93,-0.77,-0.20,1.07,-0.78
0.15,1.01,-0.81,-0.28,1.20,-0.88
0.18,1.10,-0.78,-0.55,0.91,-0.85
0.09,1.04,-0.80,-0.32,0.93,-0.76
0.03,1.05,-0.82,-0.22,1.15,-0.86
0.12,1.11,-0.86,-0.20,1.19,-0.87
0.15,1.01,-0.93,-0.26,1.01,-0.94
0.15,0.97,-0.80,-0.25,0.97,-0.76
0.09,1.20,-0.85,-0.23,1.21,-0.87
0.06,1.31,-0.85,-0.30,1.27,-0.92
0.05,1.14,-0.80,-0.32,1.24,-0.83
0.03,1.24,-0.84,-0.30,1.05,-0.75
0.36,1.49,-0.99,-0.35,1.06,-0.74
0.46,1.37,-0.75,-0.32,1.08,-0.76
0.03,1.05,-0.81,-0.29,1.07,-0.81
-0.02,1.07,-0.80,-0.27,1.13,-0.83
-0.02,1.10,-0.79,-0.36,1.32,-0.92
-0.01,1.13,-0.79,-0.87,1.43,-0.86
-0.01,1.09,-0.79,-0.56,1.03,-0.72
-0.02,1.10,-0.86,-0.34,1.08,-0.77
0.13,1.18,-0.96,-0.34,1.07,-0.77
0.54,1.06,-0.88,-0.29,1.05,-0.78
0.29,0.95,-0.77,-0.26,1.04,-0.79
0.02,1.08,-0.86,-0.25,1.07,-0.81
0.06,1.07,-0.80,-0.38,1.26,-0.91
0.10,1.09,-0.76,-0.60,0.78,-0.57
0.03,1.05,-0.82,-0.37,0.91,-0.75
0.11,0.83,-0.81,-0.29,1.06,-0.76
0.09,0.90,-0.75,-0.28,1.04,-0.78
0.09,1.05,-0.78,-0.31,1.10,-0.96
0.09,1.09,-0.78,-0.29,0.91,-0.72
0.06,1.00,-0.78,-0.26,1.03,-0.79
0.08,1.17,-0.86,-0.25,1.19,-0.84
0.10,0.86,-0.78,-0.25,0.85,-0.78
0.07,1.07,-0.87,-0.29,1.04,-0.79
