y,y2
1.11,1.16
1.11,1.15
1.10,1.16
1.08,1.16
1.09,1.34
1.24,1.59
1.57,1.61
1.60,1.62
1.59,1.61
1.36,1.35
1.23,1.24
1.17,1.18
1.16,1.19
1.19,1.22
1.21,1.24
1.22,1.22
1.27,1.26
1.24,1.27
1.21,1.26
1.22,1.25
1.22,1.24
1.20,1.23
1.20,1.22
1.16,1.22
0.99,1.23
0.98,1.15
1.02,1.10
1.03,1.10
1.04,1.13
1.10,1.13
1.11,1.15
1.10,1.19
1.09,1.15
1.07,1.09
1.07,1.08
1.10,1.10
1.09,1.12
1.10,1.09
1.10,1.10
1.12,1.08
0.95,0.92
1.09,1.12
1.02,1.12
1.14,1.19
0.95,0.92
1.20,1.18
0.96,0.97
1.00,1.07
1.04,1.11
1.09,1.15
1.11,1.19
1.10,1.24
1.11,1.30
1.18,1.26
1.29,1.30
1.25,1.25
1.42,1.30
1.58,1.31
1.59,1.29
1.28,1.29
1.08,1.16
1.06,1.08
1.30,1.28
0.94,0.98
1.11,1.13
1.39,1.31
1.29,1.29
0.96,0.95
1.11,1.16
1.17,1.19
1.11,1.23
1.12,1.58
1.18,1.63
1.20,1.21
1.15,1.25
1.37,1.26
1.76,1.28
1.37,1.28
1.13,1.19
1.20,1.22
1.34,1.14
1.50,1.11
1.36,1.03
1.39,1.22
1.28,1.18
1.14,1.23
1.10,1.09
1.05,1.07
1.16,1.20
1.10,1.19
1.22,1.17
0.94,1.17
1.01,1.16
1.21,1.18
1.47,1.17
1.49,1.17
1.11,1.19
1.25,1.27
1.48,1.43
1.81,1.80
1.39,1.37
1.25,1.29
1.26,0.91
1.27,1.36
1.28,1.48
1.21,1.17
1.07,1.13
1.16,1.23
1.14,1.17
1.00,1.02
1.13,1.17
1.17,1.09
1.17,1.02
1.16,1.03
1.12,1.13
1.03,1.10
1.32,1.37
1.57,1.53
1.74,1.75
1.16,1.26
1.26,1.18
0.92,1.15
1.04,1.03
1.09,1.06
0.96,1.00
0.96,0.93
1.24,1.35
0.98,0.99
1.00,1.05
1.00,1.03
1.24,1.25
0.89,0.91
0.95,0.97
0.95,0.95
0.87,0.84
1.24,1.36
0.97,0.99
1.21,1.20
0.88,0.87
1.16,1.17
1.48,1.46
1.42,1.45
1.06,1.09
1.27,1.29
1.48,1.44
1.75,1.77
1.44,1.53
1.24,1.22
1.02,1.06
1.24,1.26
0.84,0.83
0.97,1.01
1.09,1.07
0.94,1.06
0.93,1.07
1.01,1.20
1.10,0.91
1.04,0.93
1.05,1.15
1.11,1.19
1.01,1.01
0.97,0.97
1.20,1.21
1.31,1.27
1.14,1.24
1.24,1.05
1.49,1.06
1.37,1.08
1.05,1.07
1.07,1.13
1.10,1.32
1.13,1.43
1.09,1.03
1.10,1.08
1.18,1.07
1.06,1.05
0.95,1.04
1.08,1.07
1.07,1.26
1.09,0.78
1.05,0.91
0.83,1.06
0.90,1.04
1.05,1.10
1.09,0.91
1.00,1.03
1.17,1.19
0.86,0.85
1.07,1.04
1.19,1.19
1.27,1.25
1.42,1.35
1.53,1.45
1.78,1.77
1.43,1.45
1.10,1.11
1.07,1.11
1.10,1.12
1.10,1.12
1.09,1.12
1.20,1.16
1.34,1.28
1.46,1.38
1.09,1.08
1.02,1.06
1.08,1.64
1.07,1.05
1.41,1.02
1.23,1.05
1.02,1.04
1.31,1.31
0.92,0.86
1.43,1.42
1.22,1.19
1.23,1.23
1.19,1.19
1.25,1.27
1.03,0.96
1.35,1.36
1.29,1.34
1.40,1.39
0.94,0.91
1.09,1.11
1.17,1.12
1.18,1.03
1.08,1.04
0.99,1.10
1.53,1.53
1.33,1.36
1.32,1.23
1.39,1.36
0.95,0.93
1.11,1.12
0.93,0.88
1.17,1.15
1.14,1.20
1.18,1.20
0.89,0.88
0.98,0.96
0.97,1.01
1.02,0.97
1.03,0.92
1.07,1.34
1.36,1.31
1.46,1.43
0.98,1.01
1.29,1.04
0.96,1.13
1.06,0.90
1.11,0.94
1.03,1.10
1.31,1.32
0.95,0.94
0.96,0.97
0.91,0.86
1.27,1.23
1.13,1.15
1.05,1.02
0.99,0.99
1.03,0.95
1.11,1.14
1.04,1.05
1.27,1.27
1.39,1.39
1.00,1.02
1.09,1.49
1.16,1.53
1.31,1.00
1.58,1.04
1.02,1.03
1.12,1.10
1.39,1.34
1.48,1.45
1.31,1.21
0.98,0.98
1.22,1.24
0.87,0.86
0.95,0.92
0.91,0.86
1.36,1.34
1.18,1.27
1.01,0.98
1.08,1.08
1.53,1.49
1.67,1.74
1.08,1.14
1.29,1.09
0.91,1.08
1.02,1.15
1.04,1.19
1.08,1.27
1.10,0.91
1.27,1.23
1.31,1.29
1.37,1.33
1.50,1.46
1.54,1.47
1.01,1.10
1.06,1.11
1.35,1.37
0.89,0.87
0.91,0.88
0.97,0.92
0.88,0.83
1.36,1.42
1.10,1.19
1.03,1.02
1.34,1.29
1.52,1.48
1.78,1.79
1.40,1.47
1.16,1.22
0.89,0.86
0.89,0.85
1.02,0.95
1.46,1.49
0.99,0.98
0.97,0.94
1.02,1.01
1.00,1.06
1.32,1.36
0.87,0.83
0.91,0.87
0.96,0.98
0.96,0.98
0.95,0.97
0.94,0.98
0.94,0.97
0.05,0.9
0.05,0.9
