x,y,z,x2,y2,z2
-0.06,1.14,-0.16,0.29,1.18,-0.23
-0.06,1.14,-0.15,0.31,1.21,-0.22
-0.04,1.15,-0.14,0.35,1.68,0.01
-0.05,1.15,-0.12,0.37,1.74,0.11
-0.10,1.15,-0.13,0.33,1.74,0.12
-0.18,1.18,-0.17,0.24,1.70,-0.06
-0.22,1.28,-0.27,0.08,1.27,-0.32
-0.24,1.47,-0.29,0.08,1.46,-0.29
-0.18,1.78,-0.02,0.18,1.79,-0.03
-0.07,1.77,0.01,0.22,1.78,-0.00
-0.14,1.80,-0.12,0.27,1.80,-0.13
-0.38,0.94,-0.33,0.32,0.96,-0.37
-0.26,0.84,0.45,0.26,0.86,0.46
-0.30,0.82,-0.12,0.29,0.80,-0.05
-0.27,1.06,-0.30,0.14,1.04,-0.31
-0.51,1.28,-0.34,0.43,1.29,-0.46
-0.63,1.36,-0.28,0.65,1.46,-0.31
-0.44,1.89,-0.32,0.35,1.88,-0.41
-0.19,1.72,-0.28,0.17,1.72,-0.32
-0.16,1.45,-0.27,0.12,1.44,-0.29
-0.17,1.45,-0.32,0.14,1.46,-0.34
-0.18,1.45,-0.32,0.14,1.50,-0.36
-0.19,1.45,-0.32,0.16,1.67,-0.28
-0.19,1.51,-0.31,0.17,0.80,-0.22
-0.21,1.79,-0.11,0.21,0.81,-0.18
-0.18,1.23,-0.42,0.17,0.85,-0.24
-0.14,0.78,-0.16,0.19,0.81,-0.17
-0.16,0.81,-0.18,0.17,0.81,-0.18
-0.16,0.82,-0.18,0.11,1.56,-0.30
-0.15,0.84,-0.20,0.14,1.78,-0.14
-0.18,0.85,-0.22,0.13,1.77,-0.14
-0.20,0.87,-0.23,0.09,1.70,-0.25
-0.16,1.10,-0.31,0.09,1.21,-0.39
-0.16,1.16,-0.38,0.08,1.32,-0.30
-0.12,1.29,-0.34,0.10,1.27,-0.36
-0.13,1.28,-0.35,0.08,1.31,-0.35
-0.20,1.08,-0.34,0.15,1.04,-0.36
-0.38,1.10,-0.30,0.30,1.02,-0.36
-0.41,1.39,-0.30,0.32,1.46,-0.36
-0.50,1.04,-0.34,0.45,1.09,-0.41
-0.44,0.87,-0.21,0.43,0.88,-0.24
-0.24,1.01,-0.28,0.18,1.07,-0.31
-0.24,1.36,-0.32,0.18,1.42,-0.32
-0.19,1.40,-0.30,0.17,1.47,-0.29
-0.21,0.88,-0.29,0.22,0.90,-0.31
-0.18,0.85,-0.23,0.22,0.88,-0.27
-0.18,0.90,-0.28,0.19,0.97,-0.35
-0.16,0.97,-0.32,0.19,0.98,-0.36
-0.17,0.97,-0.32,0.22,0.93,-0.32
-0.13,0.97,-0.33,0.26,0.89,-0.28
0.01,1.08,-0.38,0.30,0.84,-0.19
0.11,1.15,-0.32,0.28,0.84,-0.14
-0.05,1.24,-0.41,0.16,0.84,-0.18
-0.66,1.36,-0.36,0.03,0.88,-0.27
-0.74,1.25,-0.14,-0.02,0.89,-0.30
-0.60,1.17,-0.19,0.02,0.96,-0.32
-0.43,1.09,-0.22,0.17,1.15,-0.42
-0.31,1.09,-0.28,0.48,1.53,-0.51
-0.26,1.10,-0.32,0.60,1.77,-0.12
