y,y2
0.82,1.22
0.79,1.21
1.03,1.32
1.74,1.75
1.75,1.77
1.76,1.77
1.53,1.54
1.14,1.14
0.90,0.90
1.05,1.04
1.17,1.18
1.29,1.35
0.88,0.89
0.82,0.80
0.98,1.14
0.85,0.91
0.82,0.82
0.87,1.05
0.85,1.45
1.04,0.77
1.64,0.92
0.85,0.86
0.85,0.84
0.89,0.87
1.02,1.04
1.29,1.34
1.31,1.31
1.38,1.38
1.38,1.38
1.33,1.36
1.35,1.35
1.34,1.34
1.35,1.35
1.38,1.42
1.53,1.60
0.83,0.87
0.88,0.84
1.32,1.35
1.49,1.61
1.40,1.47
0.89,0.87
1.20,1.23
1.14,1.19
1.19,1.20
1.19,1.21
1.19,1.21
1.20,1.20
1.12,0.86
1.27,0.83
1.24,0.82
0.93,0.83
0.79,0.86
0.81,1.08
0.79,1.87
0.89,1.77
1.37,1.64
1.63,1.69
1.55,1.62
0.96,0.95
1.32,1.33
1.36,1.41
1.48,1.54
1.20,1.20
0.80,0.78
1.00,1.03
1.23,1.20
1.27,1.08
1.72,1.11
1.62,1.14
1.00,1.11
0.79,1.17
0.81,1.39
0.84,1.74
0.88,1.46
1.07,1.36
1.06,1.34
1.09,1.34
0.99,1.31
1.21,1.39
1.48,1.56
1.52,1.59
1.32,1.36
0.87,0.88
1.10,1.27
1.12,1.26
1.20,1.48
1.28,1.01
1.29,1.05
1.10,1.04
1.09,1.21
1.12,1.36
1.12,1.21
1.17,1.24
1.14,1.15
1.42,1.41
1.85,1.93
1.82,1.87
0.91,1.51
0.96,1.27
1.27,1.34
1.07,1.31
0.89,1.58
1.41,1.71
1.51,1.56
0.90,0.84
1.36,0.96
1.11,0.92
0.99,0.96
0.89,1.24
0.95,1.04
0.89,0.82
1.01,0.98
1.23,1.18
1.82,1.85
1.79,1.87
1.74,1.68
1.72,0.78
1.69,0.76
0.76,0.81
0.78,0.77
0.91,0.90
1.44,1.50
1.52,1.52
1.50,1.51
1.51,1.50
1.51,1.50
1.28,1.28
0.87,0.89
0.91,0.88
0.94,0.91
1.26,1.30
1.34,1.39
1.31,1.36
0.95,0.99
1.14,1.14
1.33,1.34
1.42,1.45
1.41,1.39
1.35,1.33
1.33,1.33
1.57,1.60
1.78,1.81
1.66,1.70
1.60,1.62
1.54,1.58
0.96,0.94
0.98,1.15
0.97,1.60
0.98,1.29
1.27,0.81
1.54,0.83
1.15,0.81
0.87,0.85
1.42,1.44
1.54,1.61
1.28,1.31
0.80,0.80
0.84,0.82
1.40,1.44
1.47,1.48
1.34,1.30
1.28,1.32
1.27,1.39
1.24,1.19
1.30,0.99
1.36,1.22
1.29,1.06
1.34,1.08
1.29,1.20
1.30,1.47
1.28,1.34
1.30,0.77
1.46,0.82
1.44,0.84
0.92,0.88
0.78,1.48
0.81,1.33
1.34,0.79
1.49,0.83
0.82,0.84
1.04,0.96
1.46,1.52
1.02,1.04
0.81,0.80
0.93,0.95
1.18,1.23
1.21,1.21
1.31,1.28
1.65,1.67
1.79,1.79
1.67,1.70
1.39,1.41
1.41,1.27
1.36,1.32
1.18,1.16
1.08,1.03
1.24,1.26
1.31,1.36
1.34,1.39
1.02,1.12
1.22,1.05
1.54,1.00
1.44,1.03
1.42,1.68
1.50,1.64
1.50,1.57
1.08,1.11
1.36,1.34
1.50,1.52
1.48,1.44
1.33,1.30
1.46,1.49
1.32,1.35
1.30,1.32
1.48,1.50
1.59,1.60
0.88,0.88
1.10,0.97
1.19,0.97
1.01,1.05
1.05,1.12
1.17,1.18
1.37,1.40
1.47,1.54
1.57,1.58
1.46,1.52
0.87,0.92
0.87,0.87
0.92,0.90
1.05,1.05
1.42,1.47
1.46,1.50
1.12,1.16
0.86,0.84
0.88,0.89
0.89,1.38
0.90,1.46
1.14,1.41
1.28,1.34
1.36,1.40
1.45,1.52
1.47,1.55
1.47,1.14
1.14,0.82
0.86,0.90
1.35,1.39
1.41,1.47
0.86,0.87
0.88,0.87
0.92,0.90
0.95,0.93
1.42,1.46
1.49,1.52
1.11,1.17
0.86,0.86
0.95,0.95
1.38,1.43
1.41,1.43
1.39,1.39
1.43,1.42
1.48,1.32
1.74,1.30
1.50,1.31
1.38,1.60
1.40,1.65
1.42,1.48
1.33,1.34
1.32,1.34
1.35,1.36
1.47,1.50
1.49,1.53
1.11,1.10
0.94,0.92
0.96,0.95
1.18,1.20
1.47,1.51
1.28,1.32
1.15,1.17
1.34,1.37
1.82,1.85
1.79,1.83
1.69,1.59
1.67,0.85
1.69,0.82
1.70,0.85
1.48,0.83
0.81,0.84
0.78,0.81
1.02,1.00
1.37,1.38
1.31,1.32
1.38,1.40
1.55,1.56
1.59,1.60
1.53,1.56
0.97,0.99
0.75,0.76
0.78,0.79
0.81,0.82
1.07,1.08
1.46,1.50
1.46,1.46
1.40,1.38
1.39,1.39
1.52,1.54
1.75,1.78
1.68,1.71
1.21,1.25
0.86,0.85
0.94,0.96
1.48,1.55
1.44,1.45
0.86,0.84
0.87,0.86
1.29,1.33
1.39,1.45
0.90,0.89
0.78,0.79
0.77,0.82
0.79,0.77
0.76,0.81
0.76,1.01
0.75,1.01
0.74,1.01
0.77,1.00
0.76,1.01
0.77,1.00
0.97,1.07
0.97,1.07
0.97,1.07
