y,y2
1.14,0.75
1.14,0.75
1.14,0.74
1.08,0.75
1.08,0.97
1.13,1.08
1.15,1.08
1.15,1.09
1.16,1.10
1.16,1.10
1.17,1.09
1.23,1.10
1.24,1.21
1.22,1.20
1.16,1.09
1.14,1.01
1.14,1.01
1.14,1.01
1.32,1.01
0.93,1.02
0.81,1.21
0.88,1.11
0.99,0.85
1.05,0.99
1.07,0.99
1.08,1.01
1.08,1.02
1.08,1.02
1.08,1.03
1.08,1.03
1.08,1.03
1.08,1.03
1.08,1.03
1.07,1.03
1.26,1.19
1.24,1.15
0.88,0.90
1.11,1.09
1.32,1.27
1.30,1.24
0.92,0.93
1.03,1.03
1.16,1.12
1.14,1.12
1.13,1.10
1.11,1.08
1.11,1.09
1.11,1.09
1.10,1.11
1.12,1.26
1.15,1.13
1.16,0.95
1.14,0.94
1.63,0.95
1.54,0.97
1.32,1.00
1.14,1.08
1.33,1.27
1.25,1.17
1.11,1.07
1.30,1.21
1.25,1.23
1.41,1.34
0.90,0.88
0.91,0.92
0.90,0.92
0.88,1.00
0.89,1.41
0.93,1.61
0.97,1.23
0.97,1.02
1.06,1.01
1.68,1.02
1.55,1.04
1.15,1.04
1.16,1.05
1.26,1.05
1.29,1.03
1.21,1.09
1.12,1.07
1.49,1.45
1.53,1.54
0.85,0.85
0.84,0.82
0.84,0.79
1.36,0.78
1.51,0.78
0.82,0.81
0.97,0.83
1.25,0.85
1.37,0.85
1.34,0.87
1.23,0.99
1.12,1.07
1.39,1.32
1.73,1.70
1.58,1.51
1.38,1.34
1.33,0.95
1.27,1.29
1.30,1.29
1.30,1.24
1.36,1.30
1.43,1.33
0.86,0.85
0.96,0.99
0.98,1.12
1.02,1.09
1.03,0.91
1.15,0.78
1.03,0.85
1.05,1.04
1.21,1.19
1.64,1.56
1.68,1.68
1.48,1.43
1.23,1.46
0.89,1.32
1.06,0.73
1.33,0.93
1.45,1.39
0.86,0.83
0.88,0.88
1.01,1.01
1.17,1.13
1.20,1.15
1.40,1.31
0.79,0.80
0.77,0.80
0.76,0.79
0.85,0.80
1.56,1.51
1.47,1.21
1.12,1.08
0.80,0.80
1.09,1.06
1.40,1.41
1.31,1.31
1.19,1.14
1.23,1.20
1.49,1.45
1.76,1.79
1.65,1.66
1.51,1.53
1.53,1.56
1.28,1.34
0.79,0.79
0.77,0.76
1.35,0.78
0.79,0.84
0.73,1.38
0.83,1.40
0.93,0.82
1.01,0.93
1.17,1.16
1.44,1.39
0.80,0.83
0.73,0.74
1.10,1.05
1.50,1.43
1.45,1.20
1.27,0.96
1.40,0.99
1.29,1.01
1.07,1.06
0.88,1.16
0.88,1.20
0.92,1.41
0.96,1.30
1.00,1.05
1.34,0.91
0.95,0.93
0.78,0.98
0.75,1.27
0.77,1.17
0.87,0.85
1.51,0.76
0.82,1.05
0.82,1.44
0.91,0.80
1.03,0.83
1.33,1.04
1.34,1.27
0.83,0.85
1.00,1.02
1.01,0.98
1.00,0.94
1.10,0.99
1.38,1.16
1.68,1.71
1.61,1.62
1.43,1.37
1.21,1.18
1.19,1.13
1.17,1.13
1.14,1.12
1.17,1.15
1.31,1.25
1.29,1.36
1.26,1.31
1.09,1.33
1.04,1.56
1.26,1.42
1.06,1.20
0.94,1.17
1.13,1.23
1.19,1.17
1.21,1.21
1.26,1.29
1.23,1.27
1.10,1.12
1.00,1.08
1.41,1.38
1.03,1.05
1.29,1.33
1.46,1.46
1.01,1.11
0.98,0.95
1.00,1.06
0.99,1.09
1.16,0.92
1.02,1.04
1.37,1.35
1.30,1.33
1.33,1.34
1.51,1.49
1.29,1.31
0.77,0.78
0.77,0.76
0.74,0.74
1.54,1.46
1.55,1.52
1.47,1.45
0.80,0.84
0.76,0.81
1.36,0.83
1.50,1.05
1.48,0.86
1.50,1.46
1.40,1.32
1.30,1.32
1.53,1.24
1.40,1.09
0.78,1.42
0.96,0.73
1.02,0.77
1.45,1.40
1.14,1.14
0.75,0.73
0.75,0.72
0.73,0.71
1.44,1.24
1.59,1.57
1.47,1.43
0.74,0.75
0.71,0.72
1.22,1.12
1.34,1.23
1.35,1.36
1.26,1.27
1.02,1.15
1.00,1.70
1.05,1.52
1.26,1.06
1.66,1.00
1.56,1.11
1.42,1.27
1.33,1.28
1.39,1.36
1.30,1.27
1.40,1.42
1.50,1.44
0.79,0.82
0.77,0.79
0.75,0.75
1.50,1.43
1.39,1.29
0.77,0.81
0.85,0.88
1.68,1.64
1.67,1.68
1.60,1.53
0.86,1.14
0.73,1.13
0.72,1.10
0.72,1.42
0.75,1.09
0.83,0.79
0.84,0.84
1.21,1.18
1.34,1.31
1.36,1.31
1.30,1.28
1.46,1.49
1.61,1.58
1.56,1.54
0.73,0.73
0.72,0.72
0.70,0.72
0.76,0.76
1.63,1.57
1.64,1.58
1.30,1.23
1.20,1.11
1.38,1.31
1.71,1.73
1.59,1.60
1.55,1.52
0.78,0.80
0.75,0.77
1.38,1.24
1.62,1.54
0.76,0.78
0.71,0.71
0.83,0.79
1.50,1.49
1.38,1.34
0.71,0.74
0.70,0.72
0.80,0.85
1.12,1.08
1.14,1.16
1.10,1.12
1.10,1.13
1.10,1.13
1.16,1.16
1.16,1.16
1.16,1.16
1.17,1.17
1.16,1.17
