x,y,z,x2,y2,z2
-0.07,1.05,-0.54,0.07,1.15,-0.52
-0.07,1.06,-0.54,0.07,1.15,-0.52
-0.07,1.05,-0.54,0.07,1.15,-0.52
-0.07,1.06,-0.54,0.07,1.15,-0.52
-0.13,1.07,-0.55,0.06,1.15,-0.53
-0.18,1.07,-0.55,0.06,1.14,-0.54
-0.26,1.14,-0.56,0.15,1.17,-0.54
-0.22,1.09,-0.57,0.11,1.10,-0.56
-0.21,0.99,-0.56,0.08,1.02,-0.56
-0.20,0.95,-0.55,0.07,0.97,-0.57
-0.21,0.99,-0.58,0.09,1.00,-0.60
-0.22,1.00,-0.59,0.09,1.04,-0.62
-0.23,1.00,-0.59,0.10,1.05,-0.62
-0.23,1.01,-0.60,0.10,1.05,-0.62
-0.23,1.02,-0.60,0.09,1.07,-0.63
-0.25,1.06,-0.61,0.05,1.13,-0.65
-0.72,1.24,-0.31,0.59,1.21,-0.27
-0.62,1.17,-0.44,0.52,1.16,-0.40
-0.45,1.22,-0.55,0.32,1.22,-0.55
-0.38,1.26,-0.58,0.23,1.22,-0.60
-0.37,1.27,-0.59,0.21,1.23,-0.60
-0.37,1.27,-0.53,0.19,1.45,-0.56
-0.40,1.23,-0.43,0.16,1.61,-0.48
-0.43,1.27,-0.38,0.10,1.25,-0.94
-0.36,1.45,-0.39,0.12,1.21,-0.74
-0.28,1.55,-0.47,0.14,1.36,-0.51
-0.25,0.93,-0.46,0.18,1.34,-0.40
-0.19,1.15,-0.33,0.21,1.33,-0.29
-0.19,1.26,-0.29,0.25,1.32,-0.21
-0.24,1.27,-0.25,0.24,1.33,-0.15
-0.25,1.27,-0.24,0.22,1.33,-0.14
-0.25,1.27,-0.24,0.20,1.34,-0.14
-0.26,1.27,-0.24,0.19,1.35,-0.14
-0.28,1.28,-0.24,0.17,1.35,-0.14
-0.28,1.28,-0.25,0.18,1.36,-0.15
-0.29,1.30,-0.24,0.20,1.38,-0.16
-0.31,1.31,-0.23,0.19,1.40,-0.16
-0.32,1.31,-0.24,0.19,1.41,-0.16
-0.31,1.32,-0.24,0.20,1.42,-0.16
-0.39,1.48,-0.21,0.24,1.57,-0.11
-0.50,0.84,-0.25,0.39,0.90,-0.22
-0.50,1.00,-0.26,0.35,1.06,-0.26
-0.38,1.43,-0.15,0.23,1.50,-0.15
-0.26,1.52,-0.01,0.13,1.52,0.02
-0.23,1.41,-0.27,0.10,1.46,-0.20
-0.23,0.76,-0.26,0.10,0.80,-0.33
-0.21,1.07,-0.34,0.11,1.11,-0.39
-0.20,1.30,-0.25,0.14,1.31,-0.24
-0.08,1.20,-0.26,0.18,0.90,-0.19
-0.06,1.15,-0.28,0.13,0.87,-0.15
-0.08,1.15,-0.30,0.14,0.88,-0.17
-0.07,1.14,-0.29,0.13,0.89,-0.17
-0.07,1.14,-0.29,0.13,0.88,-0.17
-0.20,1.18,-0.35,0.11,0.89,-0.20
-0.73,1.37,-0.09,0.05,1.00,-0.26
-0.42,1.08,-0.14,-0.04,1.21,-0.29
-0.21,0.85,-0.12,0.01,1.18,-0.23
-0.16,0.84,-0.11,0.09,1.21,-0.25
-0.16,0.89,-0.14,0.59,1.77,-0.16
-0.19,0.97,-0.20,0.45,1.67,-0.14
-0.22,1.03,-0.22,0.24,1.25,-0.21
-0.27,1.07,-0.28,0.19,1.12,-0.31
