x,y,z,x2,y2,z2,altezza
-0.29,0.75,-0.31,0.05,1.09,-0.44,1.53
-0.28,0.75,-0.31,0.05,1.09,-0.44,1.53
-0.29,0.75,-0.31,0.05,1.09,-0.43,1.53
-0.29,0.75,-0.31,0.09,1.00,-0.44,1.53
-0.30,0.76,-0.32,0.12,0.93,-0.42,1.53
-0.22,1.06,-0.49,0.09,1.06,-0.48,1.52
-0.19,1.07,-0.50,0.07,1.10,-0.49,1.53
-0.20,1.07,-0.50,0.07,1.10,-0.50,1.53
-0.20,1.08,-0.50,0.07,1.10,-0.50,1.53
-0.19,1.08,-0.50,0.07,1.11,-0.50,1.53
-0.19,1.09,-0.50,0.07,1.12,-0.51,1.53
-0.19,1.10,-0.50,0.06,1.15,-0.51,1.53
-0.50,1.21,-0.54,0.48,1.26,-0.48,1.53
-0.59,1.16,-0.43,0.48,1.14,-0.38,1.53
-0.31,0.93,-0.41,0.17,0.98,-0.44,1.53
-0.18,0.83,-0.31,0.07,1.02,-0.47,1.53
-0.17,0.82,-0.29,0.05,0.98,-0.45,1.53
-0.18,0.82,-0.29,0.04,0.94,-0.43,1.53
-0.18,0.82,-0.28,0.06,1.14,-0.55,1.53
-0.21,0.82,-0.26,0.11,1.51,-0.42,1.53
-0.31,1.09,-0.39,0.09,0.77,-0.42,1.53
-0.23,1.50,-0.30,0.14,0.84,-0.36,1.53
-0.25,0.79,-0.43,0.13,0.92,-0.38,1.53
-0.28,0.67,-0.19,0.10,0.95,-0.41,1.54
-0.29,0.66,-0.07,0.12,0.91,-0.39,1.54
-0.30,0.67,-0.15,0.17,0.79,-0.35,1.54
-0.30,0.68,-0.17,0.28,0.70,-0.17,1.54
-0.30,0.70,-0.20,0.29,0.71,-0.18,1.54
-0.31,0.71,-0.22,0.20,0.71,-0.26,1.54
-0.33,0.70,-0.20,0.19,0.69,-0.22,1.54
-0.33,0.70,-0.22,0.19,0.69,-0.22,1.54
-0.35,1.13,-0.51,0.20,1.15,-0.52,1.53
-0.31,1.30,-0.47,0.17,1.35,-0.43,1.53
-0.31,1.29,-0.48,0.18,1.34,-0.43,1.53
-0.31,1.28,-0.49,0.19,1.35,-0.44,1.53
-0.34,1.27,-0.53,0.23,1.37,-0.50,1.53
-0.43,0.96,-0.59,0.36,0.90,-0.53,1.53
-0.38,1.02,-0.56,0.27,0.98,-0.55,1.52
-0.34,1.05,-0.55,0.18,1.11,-0.55,1.53
-0.32,1.08,-0.55,0.17,1.14,-0.54,1.53
-0.25,1.19,-0.53,0.13,1.26,-0.51,1.53
-0.27,0.96,-0.54,0.12,0.90,-0.52,1.52
-0.23,1.12,-0.52,0.07,1.14,-0.51,1.53
-0.25,1.09,-0.51,0.09,1.12,-0.49,1.53
-0.28,1.09,-0.53,0.11,1.12,-0.51,1.53
-0.28,1.11,-0.56,0.14,1.11,-0.52,1.49
-0.28,1.11,-0.57,0.15,1.11,-0.53,1.50
-0.32,1.06,-0.55,0.17,1.09,-0.53,1.52
-0.21,1.08,-0.55,0.18,1.07,-0.52,1.53
-0.26,1.15,-0.57,0.23,1.05,-0.49,1.53
-0.76,1.25,-0.40,0.22,1.08,-0.49,1.54
-0.50,0.85,-0.31,0.12,1.10,-0.50,1.54
-0.26,0.66,-0.04,0.06,1.08,-0.46,1.54
-0.30,0.67,-0.11,0.18,1.21,-0.54,1.54
-0.29,0.69,-0.15,0.61,1.72,-0.35,1.55
-0.33,0.72,-0.22,0.46,1.59,-0.44,1.54
-0.33,0.86,-0.35,0.23,1.19,-0.46,1.54
-0.29,0.94,-0.43,0.14,0.96,-0.47,1.53
-0.24,1.39,-0.38,0.16,1.44,-0.43,1.53
-0.23,0.82,-0.43,0.14,0.82,-0.43,1.53
-0.10,1.17,-0.51,0.07,1.32,-0.53,1.54
-0.18,1.23,-0.52,0.05,1.38,-0.51,1.53
-0.70,1.29,-0.38,0.57,1.25,-0.40,1.53
-0.30,1.35,-0.46,0.21,1.37,-0.46,1.52
-0.27,0.75,-0.36,0.18,0.75,-0.37,1.52
-0.26,0.76,-0.37,0.17,0.79,-0.41,1.53
-0.21,0.99,-0.47,0.14,0.87,-0.45,1.53
-0.33,1.26,-0.52,0.13,0.84,-0.43,1.54
-0.66,1.76,-0.38,0.13,0.91,-0.43,1.55
-0.63,1.57,-0.41,0.12,0.96,-0.45,1.55
-0.35,0.78,-0.33,0.13,0.95,-0.43,1.54
-0.28,0.65,-0.08,0.10,1.11,-0.47,1.54
