x,y,z,x2,y2,z2,altezza
0.16,1.20,0.08,-0.02,1.28,0.07,1.55
0.17,1.20,0.09,-0.03,1.28,0.07,1.55
0.17,1.20,0.09,-0.03,1.28,0.07,1.55
0.17,1.20,0.09,-0.03,1.28,0.07,1.55
0.16,1.21,0.09,0.00,1.26,0.06,1.55
0.16,1.21,0.09,0.01,1.22,0.04,1.56
0.15,1.21,0.08,-0.01,1.23,0.03,1.56
0.13,1.21,0.08,-0.00,1.22,0.04,1.56
0.12,1.21,0.09,0.01,1.22,0.05,1.56
0.12,1.22,0.09,0.01,1.22,0.05,1.56
0.12,1.21,0.08,0.00,1.22,0.05,1.56
0.12,1.21,0.07,0.00,1.22,0.04,1.56
0.26,1.27,0.06,-0.30,1.30,0.05,1.56
0.12,1.26,0.06,-0.17,1.29,0.04,1.56
0.10,1.25,0.08,-0.10,1.27,0.04,1.56
0.11,1.26,0.09,-0.10,1.27,0.04,1.56
0.11,1.26,0.08,-0.11,1.27,0.04,1.56
0.11,1.28,0.07,-0.12,1.27,0.03,1.56
0.11,1.30,0.07,-0.13,1.27,0.03,1.56
0.10,1.21,0.02,-0.14,1.28,0.04,1.56
0.12,1.25,0.06,-0.13,1.31,0.03,1.56
0.14,1.26,0.08,-0.09,1.34,0.03,1.56
0.15,1.27,0.10,-0.12,1.13,0.00,1.56
0.15,1.29,0.10,-0.13,1.25,0.04,1.56
0.16,1.30,0.11,-0.09,1.31,0.06,1.56
0.16,1.29,0.11,-0.07,1.32,0.07,1.56
0.15,1.29,0.11,-0.08,1.32,0.07,1.56
0.14,1.29,0.11,-0.09,1.31,0.07,1.56
0.12,1.29,0.11,-0.11,1.32,0.07,1.56
0.11,1.29,0.11,-0.11,1.31,0.07,1.56
0.12,1.29,0.11,-0.11,1.31,0.06,1.56
0.12,1.29,0.10,-0.10,1.31,0.06,1.56
0.13,1.29,0.10,-0.09,1.31,0.06,1.56
0.13,1.29,0.09,-0.09,1.31,0.05,1.56
0.14,1.29,0.08,-0.09,1.31,0.04,1.56
0.16,1.32,0.08,-0.09,1.36,0.05,1.56
0.20,1.20,0.03,-0.18,1.21,-0.02,1.56
0.17,1.33,0.08,-0.13,1.33,0.02,1.56
0.16,1.32,0.09,-0.08,1.33,0.04,1.56
0.15,1.32,0.09,-0.07,1.34,0.04,1.56
0.15,1.23,0.02,-0.06,1.27,-0.03,1.56
0.15,1.30,0.07,-0.06,1.29,0.02,1.56
0.15,1.34,0.10,-0.06,1.34,0.05,1.56
0.15,1.34,0.11,-0.06,1.35,0.07,1.56
0.15,1.34,0.12,-0.05,1.34,0.07,1.56
0.15,1.33,0.12,-0.03,1.32,0.06,1.56
0.15,1.33,0.11,-0.02,1.31,0.06,1.56
0.15,1.33,0.11,-0.02,1.30,0.05,1.56
0.15,1.33,0.10,-0.00,1.29,0.04,1.56
0.14,1.33,0.10,-0.08,1.33,-0.03,1.56
0.12,1.33,0.09,-0.29,1.38,0.01,1.56
0.11,1.33,0.10,-0.14,1.34,0.04,1.56
0.08,1.28,0.10,-0.13,1.33,0.04,1.56
0.21,1.32,0.02,-0.12,1.32,0.05,1.56
0.28,1.44,0.09,-0.12,1.34,0.05,1.56
0.10,1.27,0.10,-0.09,1.31,0.03,1.56
0.11,1.25,0.09,-0.08,1.29,0.03,1.56
0.13,1.30,0.08,-0.10,1.32,0.03,1.56
0.13,1.32,0.08,-0.09,1.34,0.03,1.56
0.12,1.15,0.03,-0.12,1.18,-0.02,1.56
0.14,1.34,0.08,-0.11,1.34,0.03,1.56
0.12,1.27,0.04,-0.07,1.30,0.01,1.55
0.26,1.32,0.06,-0.24,1.35,0.03,1.56
0.11,1.19,0.02,-0.11,1.21,-0.03,1.55
0.14,1.33,0.08,-0.10,1.35,0.04,1.56
0.14,1.33,0.08,-0.09,1.34,0.04,1.56
0.13,1.31,0.06,-0.06,1.23,0.01,1.56
0.14,1.32,0.07,-0.07,1.20,0.00,1.56
0.14,1.33,0.08,-0.28,1.47,0.03,1.56
0.12,1.34,0.08,-0.12,1.34,0.03,1.56
0.12,1.28,0.08,-0.09,1.31,0.03,1.56
0.14,1.24,0.08,-0.07,1.30,0.04,1.56
0.18,1.27,0.03,-0.06,1.29,0.04,1.56
0.26,1.46,0.14,-0.09,1.33,0.04,1.56
0.15,1.31,0.08,-0.08,1.31,0.03,1.56
0.14,1.26,0.05,-0.06,1.26,0.02,1.56
0.19,1.24,0.03,-0.09,1.23,-0.00,1.55
0.26,1.23,0.01,-0.19,1.22,-0.01,1.55
0.32,1.32,0.04,-0.30,1.32,0.05,1.56
0.26,1.34,0.07,-0.20,1.35,0.09,1.56
0.20,1.32,0.07,-0.14,1.32,0.05,1.55
0.18,1.34,0.08,-0.13,1.35,0.05,1.55
0.15,1.32,0.05,-0.09,1.33,0.02,1.56
0.16,1.29,0.04,-0.13,1.33,0.02,1.56
0.16,1.34,0.06,-0.11,1.34,0.04,1.56
0.15,1.36,0.07,-0.11,1.33,0.04,1.56
0.14,1.37,0.06,-0.12,1.34,0.05,1.56
0.15,1.14,-0.01,-0.12,1.35,0.06,1.55
0.11,1.30,0.06,-0.11,1.35,0.06,1.56
0.08,1.24,0.09,-0.11,1.35,0.07,1.55
0.08,1.22,0.07,-0.11,1.35,0.06,1.55
0.35,1.37,0.03,-0.11,1.35,0.06,1.55
0.11,1.31,0.06,-0.09,1.36,0.06,1.55
0.14,1.23,0.04,-0.10,1.34,0.05,1.56
0.16,1.17,0.04,-0.06,1.18,0.03,1.56
0.30,1.47,0.03,-0.25,1.44,-0.04,1.56
0.22,1.40,0.05,-0.21,1.41,0.02,1.56
0.17,1.37,0.05,-0.14,1.38,0.02,1.56
0.18,1.39,0.07,-0.13,1.17,-0.08,1.56
0.18,1.40,0.08,-0.12,1.28,-0.04,1.56
0.17,1.39,0.08,-0.12,1.29,-0.03,1.56
0.17,1.39,0.07,-0.30,1.40,0.05,1.56
0.14,1.37,0.07,-0.19,1.37,0.04,1.56
0.15,1.38,0.07,-0.16,1.37,0.03,1.55
0.15,1.36,0.04,-0.11,1.39,0.02,1.55
0.16,1.28,-0.01,-0.12,1.30,-0.03,1.55
0.17,1.37,0.05,-0.13,1.35,0.01,1.55
0.17,1.36,0.06,-0.12,1.24,-0.04,1.55
0.16,1.36,0.07,-0.25,1.29,-0.01,1.55
0.14,1.29,0.03,-0.17,1.33,0.01,1.55
0.33,1.23,0.02,-0.17,1.36,0.03,1.55
0.17,1.28,0.01,-0.13,1.33,0.01,1.55
0.13,1.23,0.02,-0.08,1.22,-0.00,1.55
0.14,1.21,0.01,-0.06,1.18,-0.00,1.56
0.27,1.46,0.05,-0.27,1.48,0.03,1.56
0.17,1.32,0.03,-0.15,1.35,0.01,1.56
0.16,1.35,0.04,-0.13,1.32,0.02,1.56
0.19,1.19,-0.02,-0.13,1.34,0.03,1.55
0.20,1.34,0.04,-0.13,1.36,0.03,1.55
0.20,1.35,0.05,-0.15,1.20,-0.01,1.55
0.17,1.38,0.07,-0.14,1.31,0.01,1.55
0.14,1.11,0.04,-0.07,1.08,0.03,1.55
0.19,1.27,-0.00,-0.11,1.21,-0.02,1.55
0.17,1.23,0.01,-0.07,1.20,0.00,1.56
0.16,1.28,0.02,-0.09,1.27,0.00,1.55
0.16,1.24,0.01,-0.10,1.24,-0.01,1.55
0.15,1.33,0.03,-0.10,1.32,0.00,1.55
0.14,1.33,0.02,-0.10,1.34,-0.00,1.55
0.13,1.18,-0.01,-0.09,1.14,-0.02,1.56
0.13,1.14,-0.00,-0.06,1.10,-0.00,1.55
0.15,0.97,0.00,-0.07,0.96,0.00,1.55
0.14,1.22,-0.03,-0.09,1.20,-0.05,1.55
0.12,1.20,-0.01,-0.07,1.17,-0.03,1.55
0.13,1.28,0.00,-0.06,1.25,-0.03,1.55
0.12,1.09,-0.01,-0.12,1.11,-0.04,1.55
0.13,1.21,-0.02,-0.10,1.22,-0.03,1.55
0.12,1.21,-0.03,-0.05,1.20,-0.04,1.55
0.31,1.31,0.00,-0.29,1.33,-0.03,1.55
0.17,1.27,0.00,-0.15,1.30,-0.02,1.55
0.15,1.20,-0.01,-0.09,1.20,-0.03,1.55
0.15,1.14,-0.00,-0.07,1.13,-0.02,1.56
0.28,1.45,-0.00,-0.24,1.41,-0.08,1.56
0.21,1.36,0.01,-0.19,1.36,-0.03,1.56
0.16,1.26,-0.00,-0.12,1.28,-0.03,1.56
0.17,1.26,0.00,-0.11,1.27,-0.02,1.56
0.16,1.29,0.01,-0.09,1.30,-0.02,1.55
0.16,1.13,-0.02,-0.09,1.13,-0.04,1.55
0.17,1.27,0.00,-0.08,1.27,-0.02,1.55
0.19,1.13,-0.01,-0.06,1.25,-0.01,1.55
0.26,1.24,-0.05,-0.07,1.24,-0.01,1.55
0.27,1.27,-0.04,-0.07,1.26,-0.01,1.55
0.18,1.28,0.00,-0.06,1.21,-0.02,1.55
0.18,1.29,0.01,-0.23,1.22,-0.12,1.55
0.17,1.30,0.00,-0.23,1.25,-0.04,1.55
0.15,1.31,0.02,-0.13,1.28,-0.01,1.56
0.14,1.32,0.02,-0.10,1.31,-0.02,1.56
0.15,1.33,0.01,-0.08,1.33,-0.03,1.56
0.16,1.11,-0.00,-0.07,1.03,-0.02,1.55
0.16,0.94,0.06,-0.05,0.91,0.04,1.55
0.16,1.17,-0.07,-0.09,1.11,-0.10,1.55
0.14,1.18,-0.01,-0.06,1.13,-0.03,1.55
0.14,1.17,-0.01,-0.06,1.17,-0.03,1.56
0.14,1.23,-0.05,-0.07,1.14,-0.02,1.56
0.31,1.33,-0.03,-0.08,1.16,-0.03,1.56
