x,y,z,x2,y2,z2
-0.01,1.23,-0.15,-0.20,1.00,-0.07
0.09,1.37,0.00,-0.21,0.99,-0.07
0.04,1.24,-0.12,-0.16,0.99,-0.07
0.02,1.24,-0.14,-0.17,0.98,-0.06
0.01,1.25,-0.14,-0.17,0.99,-0.06
0.04,1.29,-0.08,-0.17,0.99,-0.06
0.05,1.08,-0.12,-0.18,1.00,-0.07
0.06,1.12,-0.14,-0.18,1.06,-0.12
0.07,1.05,-0.11,-0.18,1.04,-0.09
0.08,0.99,-0.06,-0.16,0.98,-0.03
0.10,0.97,0.02,-0.12,0.98,0.02
0.11,1.04,0.03,-0.13,1.03,0.02
0.11,1.09,-0.02,-0.12,1.06,-0.03
0.12,1.10,-0.05,-0.14,1.08,-0.09
0.34,1.16,-0.30,-0.33,1.21,-0.38
0.51,1.18,-0.22,-0.54,1.23,-0.19
0.23,1.08,-0.15,-0.40,1.06,-0.09
0.16,1.00,-0.12,-0.26,0.98,-0.10
0.10,0.96,-0.06,-0.18,0.93,-0.05
0.11,0.96,-0.05,-0.15,0.84,0.03
0.14,1.18,-0.18,-0.15,0.82,0.01
0.15,1.26,-0.25,-0.16,0.81,-0.05
0.18,0.65,-0.37,-0.17,0.77,-0.12
0.13,0.84,-0.15,-0.23,1.10,-0.26
0.19,0.77,-0.06,-0.31,0.65,-0.38
0.14,0.86,-0.06,-0.07,0.76,-0.09
0.08,0.90,-0.07,-0.03,0.81,0.02
0.10,0.91,-0.09,-0.04,0.85,-0.03
0.10,0.90,-0.08,-0.06,0.86,-0.04
0.10,0.90,-0.07,-0.11,0.86,-0.04
0.10,0.90,-0.07,-0.16,0.88,-0.06
0.11,0.90,-0.08,-0.16,0.87,-0.07
0.14,0.83,-0.08,-0.16,0.81,-0.06
0.11,0.75,-0.06,-0.15,0.73,-0.03
0.12,0.73,-0.04,-0.17,0.72,-0.02
0.14,0.80,-0.08,-0.22,0.79,-0.06
0.17,0.93,-0.10,-0.27,0.95,-0.11
0.27,1.16,-0.13,-0.32,1.23,-0.14
0.47,0.60,-0.40,-0.59,0.70,-0.46
0.36,0.69,-0.23,-0.28,0.69,-0.20
0.21,0.92,-0.21,-0.16,0.92,-0.21
0.17,1.13,-0.31,-0.17,1.17,-0.34
0.17,1.13,-0.41,-0.12,1.19,-0.41
0.17,0.55,-0.51,-0.15,0.57,-0.48
0.13,0.81,-0.31,-0.10,0.83,-0.33
0.10,0.93,-0.20,-0.11,0.92,-0.22
0.11,0.92,-0.20,-0.17,0.99,-0.30
0.16,0.90,-0.21,-0.14,1.01,-0.38
0.18,0.91,-0.28,-0.11,1.06,-0.46
0.14,0.93,-0.28,-0.11,1.08,-0.45
0.14,0.89,-0.27,-0.10,1.10,-0.42
0.14,0.89,-0.29,-0.18,1.15,-0.46
0.11,0.88,-0.32,-0.62,1.17,-0.57
0.04,1.00,-0.39,-0.28,0.91,-0.34
0.06,1.02,-0.38,-0.18,0.78,-0.29
0.28,1.01,-0.46,-0.05,0.77,-0.31
0.64,1.72,-0.73,0.11,0.83,-0.32
0.54,1.30,-0.49,0.07,0.88,-0.40
0.25,0.88,-0.26,-0.10,0.90,-0.41
0.16,0.96,-0.39,-0.14,0.99,-0.48
0.17,1.10,-0.47,-0.12,1.11,-0.49
0.14,1.07,-0.41,-0.11,1.01,-0.39
0.03,1.01,-0.36,-0.19,1.05,-0.36
0.01,0.89,-0.30,-0.21,0.97,-0.35
-0.14,1.05,-0.34,-0.31,1.12,-0.31
-0.02,0.98,-0.32,-0.29,1.10,-0.32
0.01,0.95,-0.29,-0.21,1.02,-0.28
-0.06,0.95,-0.31,-0.23,1.03,-0.24
-0.09,0.95,-0.30,-0.24,1.03,-0.23
-0.07,0.94,-0.29,-0.22,1.02,-0.23
-0.05,0.93,-0.30,-0.23,1.02,-0.23
-0.06,0.94,-0.30,-0.24,1.02,-0.23
-0.07,0.94,-0.30,-0.25,1.02,-0.23
-0.09,0.96,-0.29,-0.25,1.01,-0.22
-0.09,0.96,-0.28,-0.25,1.01,-0.21
-0.16,0.98,-0.27,-0.26,1.02,-0.19
-0.21,1.01,-0.29,-0.30,1.03,-0.16
-0.21,1.03,-0.29,-0.31,1.04,-0.17
-0.21,1.05,-0.30,-0.30,1.06,-0.20
-0.22,1.06,-0.28,-0.30,1.07,-0.20
-0.21,1.04,-0.28,-0.30,1.04,-0.20
-0.20,1.04,-0.28,-0.29,1.02,-0.20
-0.17,1.05,-0.29,-0.28,1.03,-0.21
-0.16,1.06,-0.30,-0.26,1.02,-0.21
-0.13,1.05,-0.31,-0.26,1.00,-0.21
-0.12,1.06,-0.32,-0.25,0.99,-0.22
-0.10,1.06,-0.33,-0.25,0.99,-0.23
-0.01,1.13,-0.34,-0.24,1.08,-0.26
0.09,1.22,-0.37,-0.15,1.09,-0.31
0.15,0.72,-0.63,-0.14,0.98,-0.39
0.22,0.91,-0.46,-0.14,0.99,-0.43
0.17,0.95,-0.36,-0.14,1.11,-0.43
0.15,1.00,-0.37,-0.13,1.04,-0.41
0.64,1.22,-0.63,-0.08,0.98,-0.42
0.59,1.21,-0.47,-0.00,0.98,-0.44
0.24,0.94,-0.36,-0.13,1.09,-0.46
0.14,0.92,-0.29,-0.17,1.03,-0.43
0.30,1.19,-0.61,-0.29,1.26,-0.62
0.51,1.70,-0.66,-0.49,1.70,-0.53
0.23,1.26,-0.50,-0.29,1.37,-0.50
0.20,0.99,-0.42,-0.20,1.23,-0.53
0.27,0.89,-0.34,-0.18,0.64,-0.40
0.15,1.00,-0.38,-0.15,1.11,-0.48
0.19,0.94,-0.30,-0.69,1.23,-0.43
0.16,0.96,-0.35,-0.35,1.04,-0.41
0.13,0.97,-0.35,-0.20,0.93,-0.36
0.16,1.15,-0.49,-0.18,1.17,-0.48
0.17,0.53,-0.61,-0.19,0.57,-0.63
0.13,0.84,-0.42,-0.12,0.84,-0.44
0.12,0.90,-0.36,-0.09,0.97,-0.45
0.21,0.78,-0.29,-0.63,0.85,-0.42
0.10,0.90,-0.32,-0.22,0.74,-0.21
0.65,0.92,-0.40,-0.11,0.69,-0.23
0.53,0.84,-0.23,-0.08,0.73,-0.30
0.18,0.81,-0.30,-0.11,0.80,-0.35
0.23,1.08,-0.39,-0.24,1.13,-0.42
0.46,1.55,-0.70,-0.48,1.66,-0.56
0.33,1.59,-0.57,-0.38,1.56,-0.49
0.13,1.00,-0.37,-0.21,1.04,-0.41
0.22,0.64,-0.56,-0.12,1.03,-0.55
0.25,0.67,-0.19,-0.17,1.15,-0.57
0.26,0.71,-0.21,-0.26,0.59,-0.46
0.10,0.89,-0.36,-0.18,0.75,-0.21
0.16,0.77,-0.45,-0.19,0.70,-0.36
0.22,1.21,-0.70,-0.26,1.23,-0.67
0.24,0.79,-0.34,-0.12,0.78,-0.34
0.21,0.76,-0.26,-0.05,0.74,-0.26
0.22,0.83,-0.35,-0.04,0.79,-0.34
0.22,1.09,-0.51,-0.15,1.07,-0.51
0.19,1.09,-0.61,-0.13,1.08,-0.60
0.16,0.66,-0.59,-0.18,0.64,-0.56
0.16,0.83,-0.41,-0.13,0.83,-0.43
0.21,0.65,-0.48,-0.15,0.63,-0.45
0.17,1.24,-0.84,-0.19,1.21,-0.80
0.29,0.95,-0.62,-0.23,1.02,-0.60
0.25,1.00,-0.49,-0.18,1.00,-0.50
0.20,0.50,-0.65,-0.23,0.51,-0.63
0.24,0.68,-0.31,-0.18,0.67,-0.27
0.10,1.06,-0.54,-0.09,1.06,-0.53
0.68,1.31,-0.67,-0.68,1.24,-0.59
0.36,1.04,-0.46,-0.37,1.01,-0.44
0.19,0.75,-0.34,-0.10,0.74,-0.33
0.15,0.90,-0.44,-0.10,0.89,-0.42
0.11,0.85,-0.43,-0.08,0.83,-0.40
0.09,0.86,-0.43,-0.02,0.86,-0.39
0.07,0.86,-0.43,-0.03,0.82,-0.37
0.05,0.86,-0.42,-0.03,0.82,-0.36
0.02,0.87,-0.41,-0.04,0.82,-0.34
0.03,0.89,-0.41,-0.05,0.85,-0.35
0.21,1.35,-0.45,-0.25,1.37,-0.42
0.21,0.79,-0.41,-0.17,0.76,-0.39
0.30,0.85,-0.40,-0.19,0.79,-0.34
0.38,0.70,-0.32,-0.19,0.84,-0.39
0.28,0.84,-0.37,-0.19,1.00,-0.48
0.27,0.69,-0.25,-0.40,0.88,-0.49
0.20,0.72,-0.29,-0.35,0.71,-0.26
