y,y2
1.23,1.00
1.37,0.99
1.24,0.99
1.24,0.98
1.25,0.99
1.29,0.99
1.08,1.00
1.12,1.06
1.05,1.04
0.99,0.98
0.97,0.98
1.04,1.03
1.09,1.06
1.10,1.08
1.16,1.21
1.18,1.23
1.08,1.06
1.00,0.98
0.96,0.93
0.96,0.84
1.18,0.82
1.26,0.81
0.65,0.77
0.84,1.10
0.77,0.65
0.86,0.76
0.90,0.81
0.91,0.85
0.90,0.86
0.90,0.86
0.90,0.88
0.90,0.87
0.83,0.81
0.75,0.73
0.73,0.72
0.80,0.79
0.93,0.95
1.16,1.23
0.60,0.70
0.69,0.69
0.92,0.92
1.13,1.17
1.13,1.19
0.55,0.57
0.81,0.83
0.93,0.92
0.92,0.99
0.90,1.01
0.91,1.06
0.93,1.08
0.89,1.10
0.89,1.15
0.88,1.17
1.00,0.91
1.02,0.78
1.01,0.77
1.72,0.83
1.30,0.88
0.88,0.90
0.96,0.99
1.10,1.11
1.07,1.01
1.01,1.05
0.89,0.97
1.05,1.12
0.98,1.10
0.95,1.02
0.95,1.03
0.95,1.03
0.94,1.02
0.93,1.02
0.94,1.02
0.94,1.02
0.96,1.01
0.96,1.01
0.98,1.02
1.01,1.03
1.03,1.04
1.05,1.06
1.06,1.07
1.04,1.04
1.04,1.02
1.05,1.03
1.06,1.02
1.05,1.00
1.06,0.99
1.06,0.99
1.13,1.08
1.22,1.09
0.72,0.98
0.91,0.99
0.95,1.11
1.00,1.04
1.22,0.98
1.21,0.98
0.94,1.09
0.92,1.03
1.19,1.26
1.70,1.70
1.26,1.37
0.99,1.23
0.89,0.64
1.00,1.11
0.94,1.23
0.96,1.04
0.97,0.93
1.15,1.17
0.53,0.57
0.84,0.84
0.90,0.97
0.78,0.85
0.90,0.74
0.92,0.69
0.84,0.73
0.81,0.80
1.08,1.13
1.55,1.66
1.59,1.56
1.00,1.04
0.64,1.03
0.67,1.15
0.71,0.59
0.89,0.75
0.77,0.70
1.21,1.23
0.79,0.78
0.76,0.74
0.83,0.79
1.09,1.07
1.09,1.08
0.66,0.64
0.83,0.83
0.65,0.63
1.24,1.21
0.95,1.02
1.00,1.00
0.50,0.51
0.68,0.67
1.06,1.06
1.31,1.24
1.04,1.01
0.75,0.74
0.90,0.89
0.85,0.83
0.86,0.86
0.86,0.82
0.86,0.82
0.87,0.82
0.89,0.85
1.35,1.37
0.79,0.76
0.85,0.79
0.70,0.84
0.84,1.00
0.69,0.88
0.72,0.71
0.83,0.79
0.73,0.72
1.14,1.17
0.60,0.58
0.82,0.80
1.27,1.27
1.07,1.09
0.85,0.79
1.02,0.77
1.25,0.76
1.06,0.79
0.76,0.89
0.77,1.14
0.76,1.23
0.77,1.13
0.78,0.87
0.86,0.78
1.19,0.77
0.76,0.72
0.74,0.99
0.71,1.28
0.63,0.83
0.71,0.74
0.92,0.71
0.63,0.71
0.73,0.93
0.66,0.58
0.76,0.69
0.82,0.76
1.09,1.11
0.74,0.71
0.84,0.86
0.84,0.84
0.82,0.81
0.96,0.99
1.16,1.22
1.68,1.66
1.19,1.25
0.91,1.04
0.89,0.92
0.88,0.87
0.87,0.85
0.93,0.93
1.03,1.05
1.19,1.19
1.31,1.23
1.12,1.15
0.77,0.87
0.89,1.36
0.93,0.86
1.75,0.82
1.26,0.83
0.88,1.14
0.65,0.63
0.77,0.78
1.44,1.41
1.18,1.16
1.17,1.17
1.21,1.25
1.17,1.18
0.82,0.85
1.35,1.34
1.27,1.15
0.58,0.55
0.70,0.69
0.91,0.95
0.84,0.90
0.97,0.64
0.82,0.71
0.95,0.98
1.26,1.27
1.14,1.16
1.21,1.24
0.62,0.60
0.79,0.77
0.76,0.72
0.53,0.54
1.25,1.24
0.89,0.86
0.99,1.00
0.63,0.62
0.69,0.68
1.28,0.74
0.74,0.63
0.69,0.98
0.76,0.75
0.79,1.08
0.82,1.18
0.97,1.06
0.79,1.09
0.56,1.08
0.65,0.58
0.81,0.74
0.88,0.85
0.67,0.66
0.72,0.72
0.82,0.76
0.67,0.65
1.35,1.29
0.97,0.94
0.98,0.97
0.60,0.59
0.58,0.59
1.32,1.25
1.08,1.05
1.28,1.24
1.08,1.08
0.74,0.96
0.70,1.57
0.92,1.19
1.59,0.96
1.48,1.04
1.15,1.20
1.11,1.00
1.23,0.83
1.27,1.33
1.16,1.12
1.13,1.13
1.08,1.09
0.59,0.60
0.82,0.76
0.62,0.59
1.27,1.19
1.14,1.12
0.54,0.54
0.94,0.97
1.67,1.64
1.51,1.50
1.24,1.12
0.52,0.86
0.71,0.92
0.76,0.75
0.87,1.14
0.76,0.57
0.86,0.81
0.89,0.90
0.89,0.94
1.08,1.08
1.30,1.28
1.28,1.18
1.07,1.07
1.15,1.18
0.95,0.97
0.69,0.68
0.82,0.78
0.76,0.71
0.62,0.59
1.31,1.26
0.97,0.96
0.89,0.87
1.07,1.14
1.25,1.32
1.84,1.70
1.50,1.47
1.17,1.19
0.49,0.45
0.66,0.57
1.48,1.42
0.93,0.93
0.52,0.54
0.78,0.77
0.89,0.92
1.12,1.16
0.60,0.62
0.67,0.66
0.74,0.74
0.73,0.76
0.83,0.86
0.82,0.82
0.83,0.82
0.82,0.82
0.82,0.83
0.82,0.83
0.82,0.83
