x,y,z,x2,y2,z2,altezza
-0.27,1.21,0.03,0.03,1.15,0.09,1.57
-0.27,1.21,0.03,0.03,1.14,0.08,1.57
-0.27,1.21,0.03,0.03,1.14,0.08,1.57
-0.26,1.20,0.02,0.02,1.18,0.06,1.58
-0.23,1.21,0.02,0.03,1.23,0.08,1.58
-0.27,1.16,0.04,-0.00,1.20,0.08,1.57
-0.22,1.19,0.03,0.02,1.18,0.08,1.59
-0.17,1.16,0.03,0.10,1.19,0.04,1.58
-0.15,1.15,0.02,0.11,1.16,0.04,1.58
-0.23,1.16,-0.01,0.07,1.17,0.03,1.58
-0.26,1.18,-0.04,0.05,1.18,0.00,1.58
-0.38,1.25,-0.13,0.20,1.26,-0.09,1.58
-0.59,1.12,-0.00,0.44,1.15,0.02,1.58
-0.29,1.14,-0.05,0.17,1.15,-0.02,1.58
-0.23,1.16,-0.00,0.12,1.20,0.01,1.58
-0.22,1.17,0.01,0.11,1.18,0.02,1.58
-0.22,1.16,0.00,0.10,1.16,0.01,1.58
-0.22,1.16,-0.01,0.09,1.16,-0.00,1.58
-0.21,1.18,-0.02,0.07,1.23,-0.04,1.58
-0.22,1.19,-0.01,0.11,0.85,-0.02,1.58
-0.23,1.18,-0.02,0.11,1.02,0.07,1.58
-0.23,1.13,-0.17,0.14,1.10,0.05,1.57
-0.23,0.85,0.07,0.13,1.12,0.06,1.57
-0.16,1.13,0.02,0.07,1.20,0.02,1.57
-0.23,1.14,-0.01,0.08,1.16,0.03,1.58
-0.23,1.15,0.02,0.06,1.14,0.05,1.58
-0.24,1.16,0.01,0.07,1.15,0.04,1.58
-0.23,1.15,0.01,0.06,1.15,0.04,1.58
-0.22,1.16,0.01,0.07,1.16,0.04,1.58
-0.22,1.16,0.02,0.07,1.16,0.04,1.58
-0.21,1.16,0.03,0.06,1.16,0.04,1.58
-0.20,1.15,0.03,0.07,1.16,0.04,1.59
-0.17,1.15,0.04,0.11,1.17,0.05,1.58
-0.11,1.14,0.05,0.17,1.17,0.06,1.58
-0.13,1.16,-0.00,0.21,1.18,0.06,1.59
-0.41,0.88,-0.09,0.24,1.20,0.08,1.58
-0.43,0.98,0.06,0.35,0.88,0.62,1.58
-0.32,1.12,-0.00,0.20,1.04,0.11,1.58
-0.20,1.22,-0.00,0.09,1.22,0.00,1.58
-0.18,1.35,-0.02,0.08,1.35,-0.02,1.57
-0.27,0.74,0.08,0.17,0.74,0.12,1.56
-0.27,0.90,0.03,0.17,0.89,0.06,1.57
-0.18,1.20,-0.05,0.08,1.21,-0.05,1.58
-0.16,1.17,-0.01,0.05,1.18,0.01,1.59
-0.16,1.16,-0.01,0.07,1.17,0.02,1.58
-0.17,1.17,-0.02,0.07,1.18,0.02,1.58
-0.19,1.17,-0.02,0.07,1.18,0.03,1.59
-0.29,1.18,-0.01,0.04,1.18,0.06,1.58
-0.30,1.20,-0.05,0.03,1.17,0.09,1.58
-0.78,1.27,-0.03,0.07,1.17,0.11,1.58
-0.50,1.00,0.08,0.06,1.19,0.06,1.58
-0.32,1.04,0.07,0.06,1.24,0.02,1.59
-0.27,1.07,0.04,0.19,1.28,-0.01,1.59
-0.23,1.12,0.02,0.51,1.63,-0.08,1.60
-0.22,1.15,0.02,0.09,1.02,-0.06,1.59
-0.22,1.12,0.02,0.07,1.12,0.01,1.59
-0.21,1.12,0.01,0.10,1.16,0.02,1.59
-0.21,1.21,-0.08,0.10,1.25,-0.07,1.58
-0.19,1.09,-0.25,0.08,1.03,-0.23,1.55
-0.33,0.72,0.25,0.25,0.73,0.31,1.57
-0.31,0.93,0.03,0.22,0.91,0.09,1.58
-0.14,1.26,-0.21,0.03,1.24,-0.17,1.58
-0.26,1.33,-0.15,0.12,1.28,-0.11,1.57
-0.30,0.77,0.14,0.20,0.74,0.24,1.57
-0.26,1.03,-0.01,0.22,1.05,0.03,1.58
-0.26,1.24,-0.05,0.17,1.25,-0.02,1.58
-0.18,1.32,-0.10,0.18,1.19,-0.00,1.59
-0.47,1.58,-0.23,0.19,1.16,0.03,1.59
-0.72,1.19,0.00,0.18,1.16,0.04,1.59
-0.41,1.03,0.05,0.15,1.23,-0.00,1.58
-0.29,1.14,0.03,0.16,1.40,-0.04,1.59
-0.29,1.18,0.02,0.24,1.61,-0.04,1.59
-0.28,1.20,0.04,0.26,1.18,-0.28,1.59
-0.30,1.15,0.03,0.24,1.03,0.00,1.59
-0.28,1.18,-0.01,0.20,1.19,0.01,1.58
-0.23,1.17,-0.03,0.09,1.21,-0.04,1.58
-0.28,1.21,-0.08,0.17,1.26,-0.08,1.57
