x,y,z,x2,y2,z2
-0.25,0.95,-0.20,0.21,1.10,-0.13
-0.43,0.96,-0.27,0.22,1.10,-0.13
-0.64,0.97,-0.37,0.22,1.11,-0.13
-0.73,1.00,-0.41,0.20,1.10,-0.13
-0.80,1.02,-0.42,0.19,1.10,-0.15
-0.82,1.04,-0.42,0.17,1.11,-0.16
-0.86,1.05,-0.43,0.17,1.12,-0.16
-0.83,1.06,-0.42,0.18,1.13,-0.16
-0.72,1.05,-0.34,0.18,1.11,-0.15
-0.69,1.09,-0.31,0.16,1.14,-0.16
-0.81,1.04,-0.32,0.22,1.08,-0.14
-0.87,1.00,-0.37,0.16,1.10,-0.14
-1.05,0.97,-0.44,0.13,1.09,-0.14
-0.95,1.00,-0.43,0.12,1.06,-0.14
-0.70,1.06,-0.39,0.08,1.12,-0.16
-0.64,1.10,-0.38,0.06,1.14,-0.16
-0.83,1.12,-0.19,0.49,1.24,0.01
-0.71,1.06,-0.37,0.30,1.16,-0.12
-0.47,1.08,-0.31,0.11,1.08,-0.14
-0.53,1.11,-0.34,0.11,1.12,-0.15
-0.28,1.30,-0.26,0.09,1.38,-0.16
-0.20,1.44,-0.27,0.06,1.52,-0.13
-0.19,1.47,-0.28,0.06,1.55,-0.15
-0.20,0.98,-0.41,0.04,1.04,-0.30
-0.22,0.90,-0.26,0.08,0.88,-0.18
-0.20,1.21,-0.33,0.08,0.93,-0.19
-0.24,0.88,-0.17,0.12,0.97,-0.18
-0.37,1.06,-0.28,0.11,1.03,-0.20
-0.49,1.09,-0.32,0.12,1.06,-0.21
-0.57,1.07,-0.33,0.11,1.05,-0.18
-0.55,1.05,-0.31,0.12,1.05,-0.17
-0.53,1.03,-0.31,0.14,1.07,-0.17
-0.53,1.04,-0.30,0.16,1.04,-0.15
-0.50,1.03,-0.29,0.15,1.01,-0.15
-0.49,1.03,-0.30,0.12,1.00,-0.14
-0.48,1.00,-0.28,0.12,0.96,-0.11
-0.47,0.97,-0.26,0.12,0.92,-0.09
-0.49,1.05,-0.33,0.14,1.02,-0.20
-0.30,1.47,-0.25,0.15,1.56,-0.18
-0.34,1.30,-0.33,0.21,1.36,-0.31
-0.38,0.83,-0.16,0.23,0.85,-0.15
-0.51,0.98,-0.33,0.21,0.99,-0.23
-0.52,1.11,-0.37,0.19,1.12,-0.24
-0.17,1.37,-0.28,0.08,1.47,-0.22
-0.14,1.00,-0.35,0.06,1.05,-0.34
-0.19,0.93,-0.25,0.06,0.94,-0.25
-0.20,1.02,-0.23,0.10,1.07,-0.25
-0.26,1.09,-0.17,0.18,1.18,-0.18
-0.41,1.16,-0.19,0.25,1.22,-0.13
-0.48,1.15,-0.24,0.22,1.18,-0.15
-0.47,1.12,-0.26,0.18,1.09,-0.15
-0.19,1.16,-0.21,0.20,1.10,-0.13
-0.21,1.17,-0.19,0.22,1.11,-0.12
-0.58,1.23,-0.22,0.19,1.13,-0.16
-0.70,1.11,0.00,0.17,1.15,-0.18
-0.69,1.11,-0.20,0.15,1.17,-0.20
-0.52,1.06,-0.28,0.05,1.39,-0.22
-0.46,1.06,-0.27,0.22,1.44,-0.33
-0.43,1.08,-0.27,0.57,1.46,-0.17
-0.37,1.09,-0.25,0.24,1.00,-0.11
-0.31,1.08,-0.28,0.12,1.05,-0.20
-0.15,1.26,-0.31,0.10,1.36,-0.27
-0.14,1.40,-0.31,0.09,1.50,-0.24
-0.13,0.86,-0.18,0.08,0.85,-0.20
-0.10,1.03,-0.22,0.03,1.03,-0.25
-0.45,1.23,-0.23,0.33,1.31,-0.27
-0.82,1.43,-0.24,0.36,1.60,0.05
-0.11,0.97,-0.25,0.09,0.97,-0.26
-0.11,0.87,-0.09,0.02,0.83,-0.10
-0.08,0.88,-0.07,0.02,0.84,-0.10
-0.14,1.03,-0.22,0.04,0.95,-0.16
-0.44,1.44,-0.46,0.05,0.95,-0.16
-0.55,1.73,0.13,0.11,0.98,-0.18
-0.50,1.42,-0.14,0.08,1.00,-0.20
-0.25,1.03,-0.10,0.08,0.98,-0.18
-0.29,1.10,-0.15,0.13,1.20,-0.32
-0.36,1.12,-0.17,0.44,1.58,-0.32
-0.36,1.12,-0.19,0.33,1.15,-0.25
-0.35,1.11,-0.19,0.12,0.91,-0.10
-0.32,1.08,-0.19,0.09,0.95,-0.13
-0.29,1.19,-0.30,0.06,1.16,-0.25
-0.15,1.22,-0.26,-0.02,1.28,-0.31
-0.52,0.89,0.24,0.50,0.95,0.17
-0.45,0.86,0.08,0.37,0.89,0.00
-0.15,0.97,-0.12,0.08,0.97,-0.16
-0.19,1.31,-0.24,0.09,1.42,-0.22
-0.18,1.22,-0.31,0.11,1.25,-0.35
-0.21,0.84,-0.07,0.10,0.80,-0.09
-0.27,0.91,-0.16,0.07,0.87,-0.16
-0.30,0.91,-0.15,0.11,1.05,-0.27
-0.37,0.93,-0.17,0.12,1.39,-0.26
-0.40,0.94,-0.18,0.11,0.91,-0.23
-0.38,0.95,-0.17,0.08,0.90,-0.19
-0.35,0.95,-0.15,0.07,0.85,-0.11
-0.36,0.96,-0.16,0.09,1.08,-0.24
-0.35,0.96,-0.17,0.41,1.24,-0.26
-0.33,0.96,-0.16,0.22,1.03,-0.25
-0.32,1.00,-0.19,0.11,0.93,-0.16
-0.37,1.20,-0.34,0.15,1.21,-0.28
-0.56,1.59,-0.31,0.44,1.63,-0.25
-0.40,1.39,-0.29,0.29,1.36,-0.29
-0.20,1.27,-0.28,0.14,0.96,-0.17
-0.20,0.97,-0.26,0.18,0.98,-0.15
-0.13,1.00,-0.18,0.15,0.97,-0.15
-0.35,1.21,-0.27,0.14,0.96,-0.14
-0.60,1.17,-0.13,0.15,0.96,-0.14
-0.26,1.17,-0.27,0.12,1.11,-0.23
-0.12,1.41,-0.25,0.09,1.47,-0.21
-0.11,1.28,-0.29,0.09,1.31,-0.30
-0.14,0.95,-0.20,0.07,0.91,-0.20
-0.11,0.96,-0.19,0.04,0.92,-0.19
-0.30,1.09,-0.29,0.06,0.93,-0.19
-0.52,0.95,-0.12,0.07,0.96,-0.20
-0.26,0.94,-0.12,0.11,1.15,-0.29
-0.20,0.97,-0.14,0.34,0.99,-0.19
-0.18,0.98,-0.16,0.08,0.93,-0.16
-0.23,1.08,-0.23,0.09,1.11,-0.25
-0.43,1.38,-0.34,0.28,1.48,-0.30
-0.60,1.63,-0.27,0.46,1.62,-0.20
-0.35,1.08,-0.18,0.23,1.02,-0.17
-0.21,1.17,-0.21,0.14,1.28,-0.23
-0.22,1.18,-0.18,0.11,0.84,-0.15
-0.12,1.11,-0.23,0.13,0.87,-0.13
-0.17,1.03,-0.17,0.15,1.05,-0.23
-0.14,0.93,-0.11,0.09,0.86,-0.14
-0.20,1.16,-0.36,0.09,1.19,-0.38
-0.23,1.37,-0.16,0.13,1.36,-0.23
-0.17,1.00,-0.13,0.11,0.96,-0.19
-0.17,0.94,-0.07,0.12,0.86,-0.11
-0.18,1.21,-0.21,0.12,1.22,-0.26
-0.18,1.41,-0.17,0.10,1.48,-0.16
-0.18,0.92,-0.24,0.13,0.94,-0.30
-0.15,0.84,-0.09,0.09,0.77,-0.09
-0.14,0.90,-0.15,0.08,0.84,-0.16
-0.17,0.83,-0.09,0.07,0.79,-0.12
-0.21,1.23,-0.25,0.12,1.20,-0.28
-0.19,1.38,-0.20,0.11,1.41,-0.18
-0.15,1.35,-0.20,0.09,1.40,-0.19
-0.14,0.85,-0.10,0.09,0.82,-0.15
-0.15,1.13,-0.26,0.05,1.14,-0.28
