y,y2
0.95,1.10
0.96,1.10
0.97,1.11
1.00,1.10
1.02,1.10
1.04,1.11
1.05,1.12
1.06,1.13
1.05,1.11
1.09,1.14
1.04,1.08
1.00,1.10
0.97,1.09
1.00,1.06
1.06,1.12
1.10,1.14
1.12,1.24
1.06,1.16
1.08,1.08
1.11,1.12
1.30,1.38
1.44,1.52
1.47,1.55
0.98,1.04
0.90,0.88
1.21,0.93
0.88,0.97
1.06,1.03
1.09,1.06
1.07,1.05
1.05,1.05
1.03,1.07
1.04,1.04
1.03,1.01
1.03,1.00
1.00,0.96
0.97,0.92
1.05,1.02
1.47,1.56
1.30,1.36
0.83,0.85
0.98,0.99
1.11,1.12
1.37,1.47
1.00,1.05
0.93,0.94
1.02,1.07
1.09,1.18
1.16,1.22
1.15,1.18
1.12,1.09
1.16,1.10
1.17,1.11
1.23,1.13
1.11,1.15
1.11,1.17
1.06,1.39
1.06,1.44
1.08,1.46
1.09,1.00
1.08,1.05
1.26,1.36
1.40,1.50
0.86,0.85
1.03,1.03
1.23,1.31
1.43,1.60
0.97,0.97
0.87,0.83
0.88,0.84
1.03,0.95
1.44,0.95
1.73,0.98
1.42,1.00
1.03,0.98
1.10,1.20
1.12,1.58
1.12,1.15
1.11,0.91
1.08,0.95
1.19,1.16
1.22,1.28
0.89,0.95
0.86,0.89
0.97,0.97
1.31,1.42
1.22,1.25
0.84,0.80
0.91,0.87
0.91,1.05
0.93,1.39
0.94,0.91
0.95,0.90
0.95,0.85
0.96,1.08
0.96,1.24
0.96,1.03
1.00,0.93
1.20,1.21
1.59,1.63
1.39,1.36
1.27,0.96
0.97,0.98
1.00,0.97
1.21,0.96
1.17,0.96
1.17,1.11
1.41,1.47
1.28,1.31
0.95,0.91
0.96,0.92
1.09,0.93
0.95,0.96
0.94,1.15
0.97,0.99
0.98,0.93
1.08,1.11
1.38,1.48
1.63,1.62
1.08,1.02
1.17,1.28
1.18,0.84
1.11,0.87
1.03,1.05
0.93,0.86
1.16,1.19
1.37,1.36
1.00,0.96
0.94,0.86
1.21,1.22
1.41,1.48
0.92,0.94
0.84,0.77
0.90,0.84
0.83,0.79
1.23,1.20
1.38,1.41
1.35,1.40
0.85,0.82
1.13,1.14
1.20,1.25
1.17,1.12
0.94,0.89
1.06,1.02
1.25,1.27
1.76,1.75
1.34,1.33
0.97,0.89
1.21,1.22
1.39,1.43
0.90,0.82
0.86,0.82
1.05,1.14
1.23,1.05
1.25,0.74
1.28,0.84
0.95,0.89
0.81,0.86
0.87,0.82
1.33,1.38
0.97,0.96
0.78,0.73
0.80,0.76
1.54,1.54
1.31,1.26
1.00,1.07
1.02,1.24
1.02,0.98
1.00,0.83
1.00,0.85
1.13,0.88
1.25,0.88
1.15,0.87
0.97,0.92
1.00,1.14
1.02,1.01
1.00,0.74
1.03,0.77
1.28,0.81
0.83,0.79
0.76,0.83
0.89,1.10
1.21,0.77
1.22,0.85
0.88,0.85
1.17,1.20
1.39,1.47
0.94,0.92
0.83,0.79
0.86,0.82
0.93,0.91
1.04,1.05
1.19,1.23
1.58,1.60
1.48,1.47
1.10,1.05
0.95,0.91
0.97,0.93
0.97,0.92
0.99,0.94
1.04,0.97
1.16,1.13
1.31,1.34
1.11,1.02
0.85,0.80
1.28,0.79
1.43,0.80
1.03,1.21
0.99,1.47
1.06,1.16
1.23,1.34
0.98,0.97
1.26,1.25
1.03,0.95
1.03,0.96
1.35,1.38
1.42,1.46
1.23,1.23
1.10,1.14
1.43,1.47
1.37,1.42
0.89,0.84
0.90,0.80
1.07,0.90
1.06,0.99
0.96,1.07
1.04,1.03
1.25,1.29
1.01,0.95
1.19,1.22
1.46,1.52
0.85,0.80
0.75,0.74
0.77,0.75
1.29,1.33
1.43,1.44
1.52,1.52
1.08,1.04
0.81,0.77
0.82,0.93
0.78,1.40
0.87,0.95
1.36,0.89
1.30,1.24
1.25,1.27
0.99,1.51
1.02,1.51
1.08,0.92
1.18,0.80
0.88,0.83
1.30,1.35
1.35,1.40
0.81,0.75
0.79,0.75
0.77,0.73
0.83,0.82
1.55,1.59
1.54,1.56
0.94,0.89
0.77,0.73
1.01,1.02
1.29,1.33
1.26,1.30
1.21,1.20
1.06,0.98
1.34,0.95
1.53,1.00
1.14,1.30
1.09,1.52
1.08,0.97
0.96,0.81
1.17,1.15
1.28,1.31
1.10,1.04
0.97,0.86
1.38,1.42
0.89,0.84
0.76,0.72
0.80,0.74
1.34,1.38
1.53,1.54
1.30,1.30
1.00,1.00
1.36,1.39
1.46,1.41
0.97,1.36
0.95,1.48
0.98,0.73
1.18,0.76
1.34,0.77
1.30,0.78
0.75,0.78
0.80,0.77
0.86,0.81
1.08,1.08
1.23,1.27
1.29,1.26
0.99,0.93
1.05,1.00
1.39,1.43
0.87,0.80
0.78,0.75
0.79,0.75
0.77,0.72
1.20,1.25
1.40,1.37
1.07,1.02
0.98,0.88
1.24,1.26
1.66,1.66
1.35,1.31
1.34,1.36
1.05,0.98
0.75,0.72
0.88,0.86
1.63,1.64
1.12,1.06
0.76,0.73
0.76,0.73
1.43,1.46
1.50,1.54
0.82,0.77
0.75,0.74
0.77,0.78
0.79,0.78
0.79,0.77
0.75,0.75
0.75,0.75
0.74,0.73
0.74,0.73
