x,y,z,x2,y2,z2,altezza
-0.31,1.48,-0.13,0.20,1.07,-0.50,1.56
-0.30,1.49,-0.13,0.21,1.07,-0.50,1.56
-0.29,1.48,-0.12,0.24,1.18,-0.48,1.56
-0.25,1.54,-0.12,0.19,1.56,-0.25,1.56
-0.21,1.55,-0.11,0.17,1.61,-0.20,1.55
-0.18,1.55,-0.10,0.20,1.61,-0.18,1.55
-0.16,1.55,-0.09,0.22,1.61,-0.15,1.56
-0.16,1.54,-0.09,0.22,1.61,-0.13,1.57
-0.17,1.54,-0.09,0.20,1.60,-0.11,1.58
-0.20,1.38,-0.44,0.20,1.39,-0.46,1.57
-0.16,1.24,-0.54,0.07,1.21,-0.55,1.57
-0.20,1.18,-0.49,0.07,1.18,-0.51,1.58
-0.25,1.17,-0.48,0.12,1.17,-0.52,1.59
-0.32,1.21,-0.49,0.17,1.18,-0.53,1.59
-0.22,1.18,-0.51,0.12,1.19,-0.55,1.59
-0.27,1.25,-0.56,0.15,1.28,-0.60,1.59
-0.75,1.28,-0.47,0.62,1.27,-0.45,1.59
-0.50,0.97,-0.45,0.36,0.97,-0.45,1.58
-0.22,0.86,-0.43,0.13,0.87,-0.44,1.58
-0.22,0.99,-0.52,0.09,1.05,-0.56,1.57
-0.21,0.98,-0.48,0.09,1.26,-0.58,1.57
-0.21,1.02,-0.49,0.08,1.30,-0.53,1.56
-0.21,1.03,-0.49,0.09,1.32,-0.51,1.56
-0.22,1.03,-0.49,0.12,1.11,-0.64,1.56
-0.20,1.07,-0.49,0.11,1.04,-0.54,1.57
-0.17,1.21,-0.51,0.12,1.05,-0.51,1.57
-0.22,0.91,-0.46,0.13,1.05,-0.49,1.56
-0.17,0.95,-0.44,0.15,1.22,-0.48,1.56
-0.18,0.98,-0.44,0.13,1.68,-0.25,1.53
-0.18,0.98,-0.45,0.11,1.70,-0.24,1.53
-0.18,0.99,-0.46,0.10,1.70,-0.25,1.53
-0.20,1.01,-0.47,0.16,1.65,-0.32,1.54
-0.20,1.00,-0.45,0.12,1.11,-0.50,1.57
-0.22,0.98,-0.43,0.07,0.99,-0.45,1.58
-0.23,0.98,-0.42,0.02,0.97,-0.43,1.58
-0.20,1.00,-0.42,0.04,0.99,-0.43,1.58
-0.19,1.00,-0.43,0.11,0.97,-0.44,1.58
-0.31,1.10,-0.50,0.25,1.10,-0.52,1.57
-0.37,1.27,-0.50,0.30,1.33,-0.51,1.57
-0.35,1.35,-0.49,0.29,1.43,-0.46,1.57
-0.37,0.80,-0.37,0.32,0.81,-0.43,1.57
-0.33,0.85,-0.44,0.18,0.81,-0.43,1.57
-0.16,1.15,-0.56,0.09,1.17,-0.57,1.57
-0.10,1.37,-0.50,0.07,1.41,-0.49,1.57
-0.15,1.04,-0.64,0.10,1.09,-0.66,1.57
-0.15,0.81,-0.44,0.12,0.79,-0.45,1.57
-0.17,0.85,-0.44,0.06,0.83,-0.44,1.57
-0.14,0.87,-0.43,0.06,0.82,-0.42,1.57
-0.12,0.98,-0.49,0.11,0.88,-0.45,1.57
-0.13,1.05,-0.50,0.11,0.99,-0.50,1.57
-0.16,1.09,-0.53,0.13,1.02,-0.51,1.57
-0.21,1.14,-0.56,0.15,1.03,-0.50,1.58
-0.25,1.19,-0.57,0.15,1.05,-0.50,1.58
-0.60,1.36,-0.63,0.16,1.07,-0.51,1.59
-0.57,1.07,-0.49,0.11,1.09,-0.54,1.59
