x,y,z,x2,y2,z2
-0.05,1.17,0.14,0.21,0.74,0.29
0.02,1.10,0.16,0.22,0.73,0.29
0.06,1.02,0.18,0.24,0.73,0.31
0.05,1.02,0.18,0.24,0.73,0.31
-0.01,1.06,0.19,0.23,0.88,0.25
-0.11,1.08,0.27,0.16,1.07,0.25
-0.16,1.08,0.31,0.07,1.10,0.25
-0.20,1.04,0.34,0.04,1.06,0.26
-0.21,1.06,0.34,0.05,1.09,0.32
-0.17,1.08,0.33,0.05,1.10,0.31
-0.09,1.08,0.33,0.14,1.09,0.27
-0.06,1.07,0.32,0.17,1.07,0.27
-0.10,1.10,0.29,0.15,1.07,0.28
-0.15,1.11,0.28,0.11,1.07,0.28
-0.19,1.09,0.29,0.09,1.06,0.28
-0.21,1.08,0.31,0.05,1.06,0.29
-0.21,1.11,0.30,0.08,1.09,0.27
-0.33,1.18,0.19,0.23,1.15,0.17
-0.54,1.28,0.16,0.57,1.23,0.18
-0.23,1.09,0.25,0.24,1.12,0.22
-0.13,1.06,0.33,0.09,1.06,0.28
-0.14,1.08,0.32,0.10,1.07,0.28
-0.14,1.09,0.31,0.09,1.07,0.29
-0.15,1.10,0.32,0.09,1.06,0.29
-0.16,1.09,0.33,0.09,1.06,0.24
-0.18,1.08,0.35,0.14,0.96,0.14
-0.16,1.04,0.34,0.10,0.96,0.25
-0.18,1.18,0.22,0.14,0.94,0.31
-0.18,1.00,0.25,0.18,0.98,0.32
-0.16,1.02,0.32,0.09,1.02,0.29
-0.15,1.04,0.31,0.06,1.02,0.28
-0.13,1.03,0.31,0.06,1.02,0.29
-0.12,1.05,0.29,0.06,1.04,0.28
-0.10,1.08,0.30,0.05,1.07,0.28
-0.10,1.13,0.31,0.04,1.10,0.28
-0.11,1.13,0.28,0.05,1.11,0.26
-0.13,1.14,0.29,0.08,1.13,0.27
-0.13,1.15,0.30,0.10,1.14,0.28
-0.15,1.14,0.29,0.13,1.13,0.27
