y,y2
1.17,0.74
1.10,0.73
1.02,0.73
1.02,0.73
1.06,0.88
1.08,1.07
1.08,1.10
1.04,1.06
1.06,1.09
1.08,1.10
1.08,1.09
1.07,1.07
1.10,1.07
1.11,1.07
1.09,1.06
1.08,1.06
1.11,1.09
1.18,1.15
1.28,1.23
1.09,1.12
1.06,1.06
1.08,1.07
1.09,1.07
1.10,1.06
1.09,1.06
1.08,0.96
1.04,0.96
1.18,0.94
1.00,0.98
1.02,1.02
1.04,1.02
1.03,1.02
1.05,1.04
1.08,1.07
1.13,1.10
1.13,1.11
1.14,1.13
1.15,1.14
1.14,1.13
1.13,1.12
1.08,1.07
1.14,1.10
1.00,0.97
1.01,0.99
1.02,1.02
1.08,1.05
0.94,0.90
0.98,1.00
1.05,1.03
1.09,1.06
1.09,1.10
1.12,1.10
1.09,1.09
1.08,1.04
1.10,1.00
1.27,1.01
1.11,1.04
1.09,1.10
1.10,1.12
1.09,1.31
1.08,1.44
1.09,1.08
1.08,1.06
1.00,1.00
1.14,1.12
0.97,0.96
1.06,1.05
1.20,1.13
1.22,1.21
0.99,0.95
1.10,1.06
1.13,1.03
1.16,1.04
1.29,1.05
1.46,1.08
1.10,1.07
1.06,1.07
1.06,1.13
1.06,1.44
1.06,1.39
1.06,1.00
1.10,1.06
1.08,1.02
0.98,1.25
0.99,1.20
1.05,1.17
1.10,1.14
1.16,1.13
0.95,0.92
0.96,0.96
1.01,1.04
1.01,1.04
1.02,1.09
1.02,0.94
1.01,0.97
1.01,1.04
1.02,1.12
1.01,1.19
1.04,1.10
1.12,0.99
1.29,1.24
1.60,1.60
1.32,1.32
1.18,1.10
0.93,1.11
1.11,1.07
1.26,1.08
1.10,1.08
1.04,1.07
1.09,1.08
0.98,0.96
1.08,1.09
1.08,1.11
1.01,1.11
0.97,1.14
0.95,0.99
1.00,0.98
1.07,0.99
1.17,1.17
1.39,1.40
1.57,1.55
1.19,1.21
1.06,1.09
1.05,0.88
1.00,0.93
0.97,0.97
0.92,0.92
1.14,1.14
1.26,1.27
1.07,1.09
1.13,1.13
1.10,1.10
1.10,1.08
0.92,0.89
0.93,0.92
0.94,0.91
0.93,0.93
1.24,1.25
1.20,1.19
1.05,1.03
1.02,0.97
1.09,1.05
1.28,1.19
1.21,1.14
1.15,1.12
1.15,1.15
1.38,1.37
1.61,1.65
1.39,1.45
1.02,1.01
1.03,1.02
1.15,1.13
0.92,0.93
0.97,0.97
0.98,1.14
0.96,0.89
0.97,0.83
1.15,0.89
0.95,0.91
0.88,0.91
1.00,0.98
1.01,1.00
0.93,0.90
0.94,0.92
0.96,0.95
1.28,1.28
1.16,1.16
1.03,1.08
1.07,1.21
1.08,1.18
1.04,0.98
1.10,0.99
1.24,0.99
1.32,1.00
1.17,1.02
1.01,1.05
1.00,1.25
0.98,0.96
0.99,0.84
1.06,0.94
1.16,0.99
0.95,0.98
0.93,1.03
0.95,0.91
0.98,0.90
1.07,0.96
0.94,0.98
1.02,1.05
1.14,1.11
0.90,0.88
0.92,0.90
0.98,0.97
1.00,0.98
1.09,1.06
1.26,1.26
1.62,1.57
1.35,1.36
1.07,1.05
1.11,1.10
1.11,1.10
1.11,1.09
1.13,1.10
1.14,1.12
1.13,1.12
1.25,1.18
1.10,1.03
1.05,1.00
1.41,1.08
1.07,1.04
0.99,1.27
1.05,1.25
1.09,1.08
1.17,1.13
1.09,1.06
1.25,1.22
1.05,1.04
1.01,1.03
1.02,1.03
1.20,1.16
1.01,0.96
1.22,1.18
1.22,1.22
1.19,1.19
0.95,0.95
1.04,0.99
1.06,1.01
1.00,1.04
1.02,1.06
1.16,1.18
1.22,1.19
1.08,1.12
1.03,1.05
1.14,1.10
0.95,0.92
1.00,0.99
0.93,0.92
1.24,1.23
1.15,1.14
1.12,1.11
0.92,0.91
0.92,0.93
0.92,1.03
0.90,1.08
0.96,1.02
1.15,1.06
1.13,1.11
1.24,1.21
1.10,1.18
1.04,1.14
1.13,0.89
0.98,0.99
0.97,1.04
1.07,1.07
1.15,1.14
0.94,0.96
1.02,1.01
0.94,0.93
1.17,1.16
1.09,1.10
1.20,1.18
0.91,0.88
0.94,0.92
1.00,1.01
1.11,1.11
1.22,1.17
1.26,1.16
1.03,1.02
1.10,1.09
1.46,1.24
1.25,1.36
1.24,1.61
1.18,1.27
1.17,1.16
1.14,1.15
1.25,1.22
1.19,1.15
1.04,1.01
1.16,1.14
0.94,0.92
0.93,0.92
0.93,0.92
1.14,1.12
1.15,1.15
0.95,0.92
1.19,1.17
1.45,1.41
1.43,1.43
1.17,1.20
1.11,1.04
1.09,0.91
1.10,0.96
1.04,0.97
1.08,0.96
0.95,0.99
1.07,1.05
1.17,1.13
1.19,1.16
1.26,1.23
1.35,1.26
1.14,1.11
1.08,1.07
1.18,1.16
0.93,0.92
0.97,0.96
0.98,0.97
0.92,0.92
1.23,1.21
1.19,1.17
1.14,1.13
1.16,1.16
1.35,1.33
1.62,1.56
1.39,1.40
1.19,1.18
0.94,0.91
0.90,0.88
1.04,1.02
1.29,1.26
0.89,0.86
0.90,0.88
0.98,0.96
1.22,1.18
1.18,1.16
0.78,0.77
0.81,0.78
0.90,0.93
0.91,1.03
0.94,1.02
0.94,1.01
0.95,1.02
