x,y,z,x2,y2,z2,altezza
-0.08,0.80,-0.26,0.28,1.12,-0.42,1.52
-0.09,0.80,-0.26,0.28,1.12,-0.42,1.52
-0.11,0.84,-0.30,0.23,1.10,-0.40,1.52
-0.12,1.06,-0.35,0.13,1.06,-0.34,1.52
-0.09,1.14,-0.37,0.13,1.06,-0.34,1.53
-0.09,1.11,-0.40,0.13,1.07,-0.33,1.53
-0.06,1.08,-0.34,0.12,1.08,-0.33,1.53
-0.08,1.08,-0.33,0.12,1.08,-0.33,1.52
-0.09,1.03,-0.31,0.11,1.04,-0.32,1.53
-0.14,1.04,-0.34,0.15,1.04,-0.34,1.52
-0.13,1.07,-0.36,0.17,1.05,-0.36,1.52
-0.38,1.19,-0.36,0.40,1.13,-0.33,1.52
-0.26,1.19,-0.36,0.26,1.15,-0.36,1.52
-0.08,1.06,-0.34,0.11,1.05,-0.34,1.52
-0.06,1.06,-0.34,0.10,1.07,-0.34,1.52
-0.06,1.05,-0.34,0.11,1.06,-0.34,1.52
-0.06,1.04,-0.35,0.11,1.04,-0.35,1.52
-0.06,1.03,-0.34,0.14,1.06,-0.36,1.52
-0.06,1.03,-0.33,0.18,1.13,-0.37,1.51
-0.06,1.05,-0.32,0.16,0.88,-0.33,1.51
-0.07,1.09,-0.32,0.13,0.98,-0.32,1.51
-0.10,0.94,-0.35,0.13,1.01,-0.32,1.51
-0.06,1.02,-0.34,0.12,1.00,-0.32,1.51
-0.05,1.06,-0.32,0.13,1.00,-0.33,1.51
-0.03,1.05,-0.32,0.12,1.00,-0.33,1.51
-0.03,1.06,-0.31,0.12,1.01,-0.33,1.51
-0.03,1.04,-0.32,0.11,1.02,-0.34,1.51
-0.04,1.05,-0.31,0.11,1.03,-0.34,1.52
-0.08,1.13,-0.36,0.15,1.07,-0.37,1.52
-0.14,1.14,-0.52,0.18,1.16,-0.54,1.52
-0.11,1.19,-0.54,0.13,1.20,-0.54,1.53
-0.10,1.22,-0.53,0.13,1.23,-0.55,1.53
-0.11,1.19,-0.44,0.15,1.14,-0.48,1.53
-0.13,1.03,-0.35,0.18,1.04,-0.36,1.52
-0.18,1.06,-0.37,0.24,1.04,-0.38,1.52
-0.31,0.93,-0.38,0.36,0.93,-0.37,1.51
-0.17,1.03,-0.37,0.22,1.01,-0.35,1.51
-0.06,1.03,-0.33,0.14,1.00,-0.34,1.51
-0.07,1.05,-0.34,0.16,1.03,-0.35,1.51
-0.07,1.16,-0.35,0.16,1.15,-0.36,1.51
-0.09,0.94,-0.38,0.14,0.93,-0.35,1.51
-0.07,1.05,-0.35,0.10,1.04,-0.34,1.51
-0.06,1.07,-0.31,0.10,1.03,-0.34,1.51
-0.08,1.19,-0.34,0.13,1.03,-0.35,1.51
-0.01,1.36,-0.30,0.13,1.03,-0.35,1.48
0.02,1.38,-0.26,0.15,1.04,-0.35,1.48
0.02,1.39,-0.25,0.15,1.03,-0.34,1.48
-0.02,1.28,-0.36,0.15,1.03,-0.34,1.49
-0.07,1.20,-0.40,0.16,1.03,-0.33,1.51
-0.28,1.27,-0.36,0.14,1.04,-0.32,1.52
-0.11,1.12,-0.35,0.13,1.06,-0.33,1.52
-0.07,1.07,-0.33,0.16,1.05,-0.35,1.52
-0.05,1.04,-0.33,0.20,1.11,-0.42,1.52
-0.03,1.05,-0.32,0.43,1.45,-0.45,1.53
-0.02,1.07,-0.31,0.24,1.30,-0.35,1.52
-0.02,1.06,-0.31,0.15,1.09,-0.36,1.52
-0.04,1.01,-0.31,0.12,1.02,-0.34,1.52
-0.08,1.05,-0.36,0.15,1.05,-0.38,1.51
-0.18,0.97,-0.41,0.18,1.00,-0.40,1.51
-0.13,0.97,-0.35,0.17,0.96,-0.33,1.51
-0.12,1.10,-0.40,0.19,1.09,-0.40,1.51
-0.36,1.21,-0.29,0.39,1.20,-0.33,1.51
-0.08,1.20,-0.33,0.17,1.18,-0.34,1.50
-0.07,0.97,-0.35,0.11,0.97,-0.32,1.50
-0.05,1.03,-0.35,0.12,1.02,-0.35,1.51
-0.07,1.03,-0.35,0.12,1.01,-0.35,1.52
-0.11,1.07,-0.40,0.13,1.01,-0.34,1.52
-0.28,1.42,-0.36,0.12,1.02,-0.33,1.53
-0.17,1.33,-0.32,0.11,1.05,-0.34,1.52
-0.09,1.20,-0.34,0.13,1.08,-0.35,1.52
-0.07,1.08,-0.34,0.15,1.07,-0.36,1.52
-0.05,1.02,-0.33,0.22,1.11,-0.44,1.52
-0.04,1.03,-0.32,0.30,1.36,-0.33,1.52
-0.05,1.08,-0.32,0.21,1.22,-0.35,1.52
-0.06,1.05,-0.32,0.15,1.06,-0.34,1.51
-0.05,1.03,-0.32,0.16,1.02,-0.35,1.52
0.03,1.03,-0.34,0.27,1.01,-0.34,1.51
-0.27,1.15,-0.31,0.08,1.11,-0.33,1.51
-0.02,1.17,-0.31,0.15,1.15,-0.32,1.51
-0.01,1.09,-0.32,0.13,1.07,-0.33,1.51
-0.04,1.06,-0.33,0.12,1.04,-0.35,1.51
-0.06,1.15,-0.32,0.17,1.14,-0.34,1.51
-0.12,0.91,-0.35,0.17,0.91,-0.32,1.51
-0.08,1.03,-0.35,0.11,1.01,-0.35,1.51
-0.05,0.99,-0.33,0.13,0.99,-0.34,1.51
-0.04,0.99,-0.32,0.16,1.05,-0.37,1.51
-0.04,0.99,-0.32,0.21,0.99,-0.41,1.51
-0.07,1.01,-0.33,0.17,0.89,-0.31,1.51
-0.04,1.02,-0.31,0.12,1.03,-0.32,1.52
-0.06,1.02,-0.31,0.15,1.06,-0.34,1.52
-0.05,1.02,-0.29,0.28,1.15,-0.42,1.52
-0.07,1.05,-0.30,0.34,1.19,-0.31,1.52
-0.07,1.05,-0.31,0.18,1.03,-0.33,1.52
-0.10,1.10,-0.33,0.19,1.12,-0.35,1.53
-0.19,1.27,-0.40,0.23,1.24,-0.43,1.52
-0.24,1.37,-0.24,0.27,1.36,-0.27,1.52
-0.10,1.06,-0.36,0.15,1.10,-0.36,1.52
