x,y,z,x2,y2,z2,altezza
-0.26,1.14,0.10,-0.05,1.12,0.09,1.55
-0.26,1.15,0.10,-0.05,1.12,0.09,1.55
-0.25,1.15,0.11,-0.05,1.12,0.09,1.55
-0.25,1.15,0.11,-0.05,1.12,0.09,1.55
-0.26,1.16,0.11,-0.05,1.14,0.09,1.57
-0.25,1.16,0.10,-0.06,1.16,0.09,1.58
-0.24,1.16,0.10,-0.09,1.16,0.10,1.58
-0.24,1.20,0.09,-0.08,1.21,0.09,1.59
-0.23,1.20,0.09,-0.08,1.22,0.10,1.59
-0.29,1.19,0.07,-0.01,1.23,0.08,1.58
-0.23,1.19,0.09,-0.07,1.23,0.11,1.58
-0.23,1.21,0.08,-0.05,1.25,0.10,1.58
-0.48,1.25,0.06,0.18,1.27,0.12,1.58
-0.31,1.28,0.04,0.09,1.28,0.09,1.58
-0.29,1.26,0.07,0.02,1.27,0.10,1.59
-0.30,1.27,0.09,0.02,1.28,0.12,1.59
-0.29,1.30,0.10,0.06,1.32,0.13,1.59
-0.29,1.32,0.11,0.04,1.33,0.13,1.58
-0.30,1.29,0.11,0.03,1.35,0.13,1.57
-0.31,1.28,0.09,0.02,1.30,0.04,1.57
-0.33,1.26,0.08,0.05,1.17,0.03,1.57
-0.30,1.27,0.07,0.05,1.18,0.07,1.57
-0.26,1.05,-0.03,0.07,1.25,0.11,1.56
-0.31,1.24,0.07,0.07,1.27,0.12,1.57
-0.28,1.33,0.16,0.06,1.31,0.15,1.57
-0.29,1.34,0.17,0.06,1.34,0.16,1.58
-0.31,1.35,0.17,0.05,1.35,0.16,1.58
-0.32,1.35,0.16,0.05,1.34,0.14,1.58
-0.32,1.35,0.16,0.05,1.35,0.16,1.58
-0.32,1.34,0.15,0.05,1.35,0.15,1.58
-0.32,1.35,0.16,0.06,1.36,0.18,1.58
-0.32,1.35,0.17,0.05,1.38,0.20,1.58
-0.31,1.34,0.17,0.05,1.38,0.21,1.58
-0.31,1.34,0.17,0.05,1.38,0.22,1.58
-0.32,1.36,0.18,0.07,1.40,0.24,1.58
-0.33,1.38,0.18,0.10,1.43,0.25,1.57
-0.43,1.09,-0.03,0.24,1.16,-0.02,1.57
-0.40,1.11,0.07,0.16,1.19,0.08,1.57
-0.34,1.31,0.15,0.12,1.34,0.18,1.57
-0.32,1.35,0.20,0.10,1.38,0.24,1.57
-0.30,1.35,0.19,0.07,1.39,0.24,1.57
-0.28,0.92,0.08,0.09,0.98,0.08,1.57
-0.29,1.26,0.11,0.08,1.31,0.16,1.57
-0.27,1.31,0.16,0.05,1.33,0.19,1.57
-0.27,1.27,0.13,0.06,1.32,0.19,1.57
-0.21,1.23,0.13,0.05,1.34,0.23,1.57
-0.21,1.21,0.13,0.06,1.33,0.21,1.57
-0.21,1.21,0.13,0.06,1.33,0.20,1.57
-0.19,1.21,0.13,0.07,1.33,0.20,1.57
-0.26,1.24,0.09,0.07,1.32,0.20,1.57
-0.61,1.29,0.04,0.05,1.32,0.20,1.57
-0.37,1.26,0.09,-0.04,1.32,0.16,1.57
-0.37,1.24,0.11,-0.07,1.25,0.13,1.57
-0.37,1.24,0.12,0.03,1.19,0.07,1.57
-0.36,1.26,0.13,0.32,1.49,0.13,1.57
-0.33,1.26,0.12,0.04,1.25,0.07,1.57
-0.32,1.29,0.14,0.02,1.29,0.14,1.57
-0.30,1.32,0.16,0.02,1.35,0.20,1.57
-0.27,1.34,0.18,0.03,1.37,0.20,1.57
-0.27,1.07,0.01,0.08,1.18,0.00,1.57
-0.30,1.18,0.06,0.08,1.23,0.09,1.57
-0.24,1.26,0.08,0.02,1.27,0.08,1.57
-0.57,1.23,0.05,0.34,1.30,0.17,1.57
-0.31,1.38,0.10,0.10,1.42,0.18,1.56
-0.25,1.04,0.06,0.06,1.12,0.07,1.57
-0.32,1.33,0.14,0.06,1.37,0.19,1.57
-0.26,1.22,0.08,0.05,1.35,0.18,1.57
-0.29,1.18,0.06,0.06,1.34,0.19,1.57
-0.56,1.56,0.07,0.07,1.35,0.20,1.57
-0.38,1.34,0.04,0.02,1.33,0.15,1.57
-0.36,1.23,0.08,-0.06,1.22,0.11,1.57
-0.36,1.26,0.09,-0.05,1.17,0.08,1.57
-0.34,1.28,0.10,0.24,1.48,-0.12,1.57
-0.34,1.29,0.10,0.30,1.57,0.02,1.57
-0.29,1.27,0.09,0.09,1.36,0.02,1.57
-0.30,1.26,0.08,0.05,1.30,0.07,1.57
-0.30,1.19,0.05,0.15,1.20,0.08,1.57
-0.38,1.17,0.05,0.22,1.21,0.10,1.57
-0.22,1.08,-0.09,0.21,1.22,0.12,1.56
-0.44,1.35,0.13,0.08,1.36,0.14,1.56
-0.38,1.38,0.20,0.02,1.40,0.17,1.58
-0.35,1.34,0.13,0.03,1.35,0.11,1.57
-0.28,1.37,0.13,0.04,1.37,0.13,1.56
-0.22,0.91,0.04,0.06,0.92,0.10,1.56
-0.26,1.26,0.07,0.08,1.28,0.13,1.56
-0.28,1.30,0.13,0.05,1.31,0.15,1.57
-0.35,1.34,0.18,0.04,1.35,0.15,1.57
-0.39,1.35,0.19,0.07,1.33,0.11,1.57
-0.39,1.36,0.19,0.10,1.09,0.05,1.57
-0.38,1.35,0.19,0.02,1.26,0.09,1.57
-0.38,1.34,0.19,-0.05,1.18,0.10,1.57
-0.38,1.35,0.19,0.08,1.23,0.03,1.57
-0.37,1.34,0.18,0.28,1.32,0.04,1.57
-0.31,1.30,0.11,0.12,1.28,0.07,1.57
-0.27,1.23,0.03,0.10,1.30,0.11,1.57
-0.37,1.42,-0.09,0.08,1.31,0.12,1.59
-0.53,1.54,-0.03,0.06,1.31,0.12,1.58
-0.41,1.26,0.08,0.01,1.28,0.11,1.58
-0.31,1.31,0.11,0.01,1.38,0.17,1.57
-0.27,0.92,0.09,0.08,1.34,0.17,1.57
-0.28,1.30,0.11,0.08,1.35,0.19,1.57
-0.69,1.31,0.07,0.09,1.34,0.19,1.57
-0.34,1.21,0.05,0.06,1.33,0.17,1.57
-0.29,1.24,0.10,0.06,1.35,0.18,1.57
-0.24,1.34,0.13,0.05,1.39,0.19,1.57
-0.20,0.84,0.03,0.07,0.92,-0.01,1.56
-0.30,1.27,0.05,0.05,1.33,0.12,1.57
-0.20,1.22,0.05,0.04,1.36,0.18,1.57
-0.68,1.07,0.04,0.05,1.33,0.14,1.57
-0.50,1.12,0.13,-0.10,1.17,0.09,1.56
-0.43,1.22,0.15,0.37,1.13,-0.07,1.56
-0.36,1.25,0.08,0.23,1.25,0.05,1.56
-0.27,1.21,0.06,0.06,1.23,0.07,1.57
-0.26,1.10,0.06,0.01,1.10,0.07,1.57
-0.49,1.60,-0.20,0.33,1.57,-0.13,1.58
-0.51,1.60,-0.03,0.25,1.53,0.01,1.58
-0.36,1.25,0.04,0.11,1.35,0.06,1.57
-0.34,1.32,0.09,0.09,1.14,-0.14,1.57
-0.33,1.39,0.14,0.03,1.11,0.07,1.57
-0.23,0.93,-0.05,0.08,1.21,0.12,1.57
-0.30,1.22,0.03,0.08,1.24,0.12,1.57
-0.26,0.96,0.06,0.03,0.96,0.10,1.57
-0.29,1.25,-0.13,0.05,1.33,-0.07,1.56
-0.33,1.45,0.12,0.07,1.46,0.14,1.57
-0.34,1.42,0.16,0.11,1.44,0.18,1.57
-0.35,1.42,0.18,0.11,1.42,0.17,1.57
-0.33,1.42,0.15,0.07,1.43,0.18,1.57
-0.27,1.42,0.17,0.05,1.44,0.22,1.57
-0.23,0.82,0.05,0.06,0.88,0.05,1.57
-0.29,1.19,0.03,0.05,1.26,0.08,1.57
-0.27,1.09,0.01,0.06,1.11,0.04,1.57
-0.24,0.86,-0.01,0.07,0.90,0.03,1.56
-0.26,1.22,0.02,0.05,1.25,0.07,1.56
-0.25,1.34,0.13,0.06,1.35,0.17,1.57
-0.21,0.85,0.01,0.11,0.89,0.01,1.57
-0.20,0.94,0.06,0.03,0.99,0.07,1.57
-0.17,1.12,0.02,-0.06,1.18,0.08,1.57
-0.60,1.31,-0.08,0.48,1.28,0.14,1.57
-0.46,1.31,-0.01,0.24,1.34,0.08,1.57
-0.26,1.08,0.03,0.04,1.11,0.05,1.57
-0.24,1.07,0.03,-0.00,1.12,0.05,1.57
-0.26,1.12,-0.01,0.02,1.21,-0.00,1.58
-0.51,1.77,-0.01,0.33,1.74,0.16,1.58
-0.45,1.49,0.00,0.21,1.55,0.12,1.58
-0.37,1.54,0.14,0.16,1.58,0.21,1.57
-0.32,1.55,0.19,0.11,1.56,0.23,1.57
-0.27,1.36,-0.02,0.09,1.40,0.04,1.57
-0.23,1.03,0.01,0.07,1.08,0.05,1.57
-0.31,1.36,0.07,0.09,1.36,0.13,1.56
-0.33,1.35,0.12,0.15,1.40,0.06,1.56
-0.33,1.34,0.12,0.20,1.02,-0.06,1.56
-0.34,1.36,0.12,0.07,1.27,0.09,1.56
-0.37,1.40,0.09,0.06,1.29,0.13,1.56
-0.46,0.90,0.01,0.03,1.28,0.13,1.56
-0.47,1.29,0.10,0.03,1.32,0.14,1.56
-0.42,1.36,0.15,0.04,1.36,0.17,1.56
-0.35,1.41,0.19,0.03,1.41,0.22,1.56
-0.24,0.84,0.05,0.08,0.88,0.08,1.57
-0.28,1.20,0.01,0.05,1.26,0.08,1.57
-0.26,0.95,-0.07,0.06,1.00,-0.02,1.56
-0.27,1.36,0.08,0.04,1.33,0.11,1.57
-0.33,1.26,0.08,-0.03,1.17,0.04,1.57
-0.33,1.29,0.18,-0.06,1.19,0.06,1.57
-0.33,1.30,0.19,0.43,1.31,0.01,1.57
-0.29,1.28,0.14,0.11,1.34,0.07,1.57
-0.24,1.20,0.09,0.07,1.32,0.14,1.57
-0.23,1.19,0.08,0.05,1.30,0.14,1.57
-0.24,1.21,0.07,0.04,1.30,0.15,1.57
-0.66,1.29,0.06,0.04,1.30,0.15,1.57
-0.48,1.33,0.13,-0.03,1.26,0.10,1.57
-0.41,1.35,0.19,-0.07,1.32,0.12,1.57
-0.39,1.33,0.19,-0.00,1.30,0.09,1.56
-0.36,1.33,0.18,0.38,1.00,0.04,1.56
-0.33,1.31,0.13,0.06,1.18,0.07,1.56
-0.25,1.28,0.07,0.03,1.27,0.14,1.56
-0.46,1.14,-0.06,0.01,1.28,0.14,1.56
-0.57,0.99,0.06,-0.00,1.26,0.12,1.56
-0.40,1.24,0.12,-0.01,1.29,0.09,1.56
-0.37,1.25,0.13,0.05,1.07,0.01,1.56
-0.31,1.29,0.15,0.01,1.30,0.17,1.56
-0.28,0.89,-0.01,0.03,1.28,0.16,1.56
-0.35,1.24,0.09,0.03,1.28,0.15,1.56
-0.33,1.31,0.15,0.03,1.31,0.17,1.57
-0.29,1.31,0.13,0.03,1.34,0.17,1.56
-0.24,0.91,0.04,0.09,0.95,0.05,1.57
-0.32,1.30,0.09,0.06,1.30,0.12,1.57
-0.32,1.26,0.08,0.04,1.26,0.09,1.57
-0.33,1.25,0.08,0.00,1.21,0.07,1.57
-0.30,1.11,0.02,0.00,1.13,0.05,1.57
-0.28,1.18,-0.03,0.04,1.21,-0.00,1.58
-0.54,1.71,0.04,0.30,1.70,0.18,1.58
-0.41,1.45,0.08,0.17,1.52,0.15,1.57
-0.36,1.32,0.10,0.08,1.37,0.14,1.57
-0.35,1.29,0.10,0.04,1.31,0.12,1.57
-0.34,1.29,0.10,0.04,1.29,0.12,1.57
-0.30,1.25,0.07,0.02,1.24,0.09,1.57
-0.27,1.22,0.07,0.00,1.21,0.08,1.57
-0.25,1.20,0.06,-0.02,1.20,0.09,1.57
-0.21,1.20,0.04,-0.05,1.23,0.09,1.57
-0.59,1.31,0.00,0.36,1.35,0.13,1.57
-0.37,1.19,-0.01,0.13,1.25,0.05,1.57
-0.34,1.00,0.01,0.09,1.21,0.11,1.57
-0.46,1.45,0.06,0.09,1.24,0.13,1.57
-0.34,1.11,0.06,0.17,1.01,0.08,1.57
-0.33,1.16,0.09,0.16,1.45,0.11,1.57
-0.30,1.11,0.10,0.11,1.26,0.07,1.57
