x,y,z,x2,y2,z2,altezza
0.04,1.10,-0.34,-0.10,1.19,-0.21,1.72
0.03,1.10,-0.33,-0.10,1.18,-0.20,1.72
0.03,1.13,-0.26,-0.13,1.15,-0.19,1.74
0.06,1.22,-0.31,-0.11,1.29,-0.32,1.75
0.07,1.15,-0.28,-0.19,1.23,-0.32,1.75
0.12,1.16,-0.28,-0.28,1.24,-0.34,1.75
0.12,1.15,-0.26,-0.27,1.26,-0.33,1.75
0.19,1.17,-0.28,-0.22,1.25,-0.31,1.74
0.19,1.16,-0.27,-0.24,1.24,-0.31,1.74
0.16,1.12,-0.26,-0.35,1.27,-0.33,1.74
0.18,1.16,-0.29,-0.42,1.28,-0.36,1.74
0.51,1.42,-0.44,-0.73,1.44,-0.42,1.73
0.60,1.24,-0.10,-0.67,1.26,-0.06,1.74
0.28,1.15,-0.23,-0.33,1.18,-0.19,1.75
0.18,1.21,-0.34,-0.18,1.24,-0.31,1.74
0.17,1.19,-0.33,-0.13,1.22,-0.29,1.74
0.15,1.18,-0.33,-0.13,1.21,-0.28,1.74
0.13,1.13,-0.34,-0.16,1.18,-0.27,1.71
0.14,1.17,-0.40,-0.19,1.17,-0.25,1.70
0.14,0.87,-0.36,-0.21,1.21,-0.23,1.69
0.16,0.79,-0.14,-0.23,1.21,-0.29,1.67
0.17,0.88,-0.08,-0.31,0.87,-0.31,1.67
0.16,0.91,-0.04,-0.27,0.95,-0.06,1.74
0.08,0.97,-0.10,-0.23,1.04,-0.09,1.74
0.08,1.09,-0.14,-0.23,1.15,-0.11,1.74
0.09,1.11,-0.16,-0.23,1.16,-0.12,1.74
0.09,1.13,-0.17,-0.22,1.17,-0.13,1.74
0.10,1.16,-0.20,-0.22,1.19,-0.14,1.74
0.11,1.14,-0.18,-0.23,1.18,-0.13,1.74
0.12,1.13,-0.17,-0.22,1.17,-0.13,1.74
0.15,1.12,-0.18,-0.23,1.17,-0.13,1.74
0.19,1.11,-0.20,-0.26,1.16,-0.17,1.73
0.23,1.15,-0.26,-0.29,1.21,-0.24,1.73
0.27,1.22,-0.35,-0.33,1.26,-0.32,1.73
0.31,1.21,-0.37,-0.35,1.23,-0.32,1.73
0.41,0.99,-0.37,-0.52,0.99,-0.29,1.69
0.26,0.85,-0.14,-0.36,0.96,-0.09,1.73
0.15,1.25,-0.36,-0.23,1.28,-0.30,1.74
0.12,1.23,-0.38,-0.20,1.24,-0.32,1.74
0.13,1.21,-0.41,-0.20,1.22,-0.34,1.68
0.15,0.86,-0.26,-0.25,0.92,-0.22,1.70
0.12,0.92,-0.12,-0.24,0.98,-0.07,1.74
0.08,1.14,-0.29,-0.23,1.15,-0.20,1.74
-0.07,1.02,-0.17,-0.23,1.11,-0.14,1.75
0.04,0.86,-0.07,-0.29,1.04,-0.08,1.75
0.09,0.91,-0.09,-0.30,1.13,-0.20,1.75
0.15,0.92,-0.07,-0.27,1.23,-0.28,1.75
0.18,0.92,-0.07,-0.31,1.31,-0.33,1.75
0.14,0.94,-0.09,-0.39,1.40,-0.34,1.75
0.12,1.03,-0.16,-0.84,1.43,0.00,1.76
0.23,1.27,-0.35,-0.48,1.00,0.08,1.76
0.34,1.44,-0.44,-0.12,0.99,-0.12,1.76
0.37,1.50,-0.44,-0.08,1.01,-0.09,1.76
0.62,1.85,-0.33,-0.13,1.00,-0.06,1.77
0.40,1.54,-0.23,-0.21,1.12,-0.15,1.76
0.18,1.19,-0.29,-0.20,1.15,-0.24,1.75
0.16,1.14,-0.32,-0.18,1.15,-0.28,1.74
0.13,1.19,-0.37,-0.17,1.18,-0.33,1.74
0.16,1.02,-0.44,-0.20,1.00,-0.39,1.72
0.16,1.13,-0.34,-0.30,1.15,-0.27,1.75
0.29,1.46,-0.47,-0.36,1.44,-0.41,1.75
0.65,1.69,-0.17,-0.63,1.69,-0.05,1.74
0.22,1.37,-0.46,-0.26,1.33,-0.39,1.71
0.08,0.80,-0.01,-0.23,0.83,0.02,1.72
0.08,0.99,-0.05,-0.16,1.04,-0.04,1.75
0.06,1.15,-0.19,-0.16,1.33,-0.22,1.75
0.05,1.06,-0.13,-0.43,1.57,-0.32,1.76
0.08,1.06,-0.13,-0.73,2.00,-0.01,1.76
0.23,1.18,-0.26,-0.69,1.48,0.12,1.76
0.32,1.36,-0.44,-0.37,1.03,0.01,1.76
0.36,1.46,-0.47,-0.21,1.04,-0.02,1.76
0.43,1.53,-0.45,-0.17,1.01,0.01,1.76
0.70,1.91,-0.08,-0.17,1.04,0.03,1.76
0.44,1.13,-0.12,-0.22,1.00,0.00,1.76
0.25,1.04,-0.24,-0.23,1.10,-0.18,1.75
0.34,1.10,-0.34,-0.32,1.22,-0.34,1.74
0.45,1.14,-0.40,-0.37,1.29,-0.40,1.72
-0.19,1.05,-0.41,0.15,1.31,-0.41,1.70
-0.33,1.22,-0.10,0.25,1.49,0.00,1.74
-0.16,1.48,-0.29,0.14,1.59,0.02,1.75
0.01,1.54,-0.38,-0.02,1.59,-0.12,1.74
0.11,1.38,-0.51,-0.16,1.42,-0.41,1.71
0.08,0.97,-0.28,-0.17,1.04,-0.22,1.73
0.17,1.20,-0.29,-0.21,1.23,-0.12,1.74
0.13,1.15,-0.32,-0.17,1.14,-0.05,1.74
0.12,1.12,-0.37,-0.22,1.12,-0.04,1.73
0.14,1.16,-0.48,-0.25,1.12,-0.00,1.71
0.00,0.90,-0.24,-0.22,1.13,-0.02,1.73
0.05,1.05,-0.27,-0.18,1.13,-0.08,1.73
0.16,1.13,-0.35,-0.12,1.12,-0.08,1.74
0.33,1.28,-0.40,-0.08,1.11,-0.05,1.74
0.69,1.34,-0.25,-0.14,1.09,-0.01,1.75
0.43,1.29,-0.32,-0.30,1.21,-0.17,1.75
0.40,1.49,-0.38,-0.43,1.47,-0.31,1.76
0.43,1.62,-0.39,-0.51,1.59,-0.31,1.77
0.56,2.02,0.21,-0.55,2.01,0.27,1.75
0.41,1.83,0.22,-0.34,1.80,0.26,1.74
0.31,1.76,0.10,-0.24,1.43,-0.26,1.73
0.35,1.66,0.01,-0.27,0.93,-0.02,1.75
0.36,1.60,-0.04,-0.30,1.36,-0.22,1.75
0.34,1.54,-0.11,-0.89,1.51,0.15,1.76
0.40,1.42,-0.13,-0.60,1.30,0.17,1.76
0.20,1.07,-0.30,-0.22,1.14,-0.24,1.75
0.17,1.32,-0.39,-0.20,1.32,-0.35,1.73
0.14,0.79,-0.25,-0.25,0.81,-0.20,1.71
0.24,0.84,-0.04,-0.32,1.07,-0.13,1.74
0.22,0.90,-0.14,-0.35,1.25,-0.27,1.74
0.20,0.93,-0.16,-0.81,1.22,0.14,1.75
0.27,1.01,-0.28,-0.45,0.91,0.13,1.74
0.57,1.14,-0.33,-0.23,1.02,-0.06,1.75
0.73,1.11,0.10,-0.39,0.96,0.12,1.76
0.41,0.97,-0.17,-0.38,1.05,-0.10,1.76
0.37,1.42,-0.38,-0.40,1.49,-0.33,1.76
0.62,2.00,-0.11,-0.65,1.98,-0.14,1.76
0.45,1.91,0.22,-0.46,1.83,0.27,1.75
0.32,1.66,-0.07,-0.43,1.18,-0.13,1.73
0.15,0.88,-0.38,-0.29,1.17,-0.14,1.73
0.20,0.82,-0.02,-0.25,1.42,-0.27,1.74
0.29,0.83,0.09,-0.32,0.79,-0.08,1.74
0.24,0.76,0.02,-0.33,0.80,0.01,1.71
0.15,0.80,-0.21,-0.22,0.87,-0.22,1.72
0.19,1.85,-0.08,-0.28,1.83,-0.06,1.74
0.21,1.78,0.06,-0.25,1.76,0.08,1.74
0.18,1.74,0.03,-0.21,1.73,0.07,1.75
0.18,1.65,-0.06,-0.19,1.64,-0.05,1.75
0.16,1.37,-0.27,-0.20,1.33,-0.26,1.74
0.16,1.26,-0.38,-0.22,1.18,-0.33,1.73
0.12,0.81,-0.18,-0.23,0.85,-0.12,1.73
0.13,0.86,-0.20,-0.25,0.94,-0.19,1.73
0.13,0.85,-0.21,-0.22,0.92,-0.21,1.75
0.12,1.58,-0.34,-0.23,1.51,-0.30,1.76
0.17,1.74,-0.10,-0.25,1.70,-0.07,1.75
0.15,1.65,-0.24,-0.21,1.58,-0.23,1.74
0.11,0.82,-0.26,-0.24,0.85,-0.25,1.72
0.15,1.01,-0.30,-0.24,1.09,-0.21,1.74
0.24,1.33,-0.42,-0.35,1.38,-0.36,1.75
0.84,1.50,0.00,-0.88,1.43,0.05,1.75
0.48,0.96,0.10,-0.53,0.99,0.15,1.75
0.34,1.27,-0.34,-0.44,1.33,-0.30,1.75
0.36,1.49,-0.40,-0.47,1.50,-0.37,1.76
0.62,1.90,-0.26,-0.70,1.87,-0.26,1.76
0.49,1.93,0.24,-0.65,1.89,0.21,1.75
0.30,1.10,-0.18,-0.51,1.01,-0.05,1.75
0.23,0.94,-0.14,-0.31,0.94,-0.10,1.75
0.13,1.08,-0.27,-0.21,1.16,-0.26,1.73
0.13,0.98,-0.35,-0.23,0.97,-0.31,1.72
0.17,0.94,-0.26,-0.31,0.91,-0.03,1.74
0.33,1.13,-0.42,-0.25,0.94,-0.08,1.73
0.41,1.24,-0.46,-0.18,1.00,-0.06,1.73
0.36,0.86,-0.25,-0.23,1.06,-0.09,1.74
0.24,0.80,-0.06,-0.39,1.18,-0.28,1.73
0.20,0.87,-0.04,-0.50,1.17,-0.36,1.72
0.15,0.88,-0.04,-0.47,0.85,-0.07,1.73
0.13,0.85,-0.08,-0.26,0.91,-0.10,1.73
0.15,0.86,-0.16,-0.16,0.94,-0.18,1.69
0.13,1.22,-0.38,-0.16,1.22,-0.35,1.71
0.10,0.74,-0.19,-0.16,0.75,-0.16,1.65
0.08,0.72,-0.14,-0.17,0.76,-0.15,1.67
0.04,1.39,-0.44,-0.17,1.37,-0.39,1.72
-0.07,1.49,-0.34,-0.21,1.57,-0.16,1.74
0.04,1.34,-0.35,-0.15,1.38,-0.14,1.74
0.33,1.33,-0.44,-0.09,1.25,-0.12,1.74
0.82,1.42,-0.32,-0.14,1.11,-0.11,1.74
0.55,0.92,-0.01,-0.16,1.20,-0.21,1.76
0.37,0.89,-0.03,-0.25,1.30,-0.35,1.75
0.28,0.92,-0.06,-0.34,1.30,-0.39,1.74
0.20,0.94,-0.08,-0.49,1.34,-0.42,1.75
0.16,0.94,-0.10,-0.85,1.37,-0.01,1.75
0.12,0.96,-0.16,-0.46,0.89,0.05,1.74
0.24,0.93,-0.20,-0.19,0.97,-0.11,1.73
0.40,1.18,-0.39,-0.09,1.02,-0.08,1.73
0.54,0.82,-0.11,-0.16,1.02,-0.03,1.73
0.27,0.73,0.05,-0.21,0.96,-0.06,1.73
0.19,0.84,-0.04,-0.37,1.17,-0.29,1.74
0.17,0.86,-0.03,-0.75,1.04,-0.33,1.72
0.19,0.88,-0.02,-0.62,0.84,0.21,1.75
0.22,1.12,-0.28,-0.31,0.90,-0.04,1.72
0.21,0.80,-0.21,-0.18,1.03,-0.08,1.71
0.24,0.81,-0.03,-0.24,1.25,-0.25,1.73
0.20,0.88,-0.00,-0.32,0.85,-0.19,1.72
0.14,0.92,-0.11,-0.31,0.98,-0.14,1.73
0.10,1.15,-0.33,-0.23,1.17,-0.30,1.72
0.12,1.17,-0.42,-0.20,1.17,-0.39,1.72
0.13,0.81,-0.09,-0.25,0.88,-0.07,1.75
0.17,0.80,-0.03,-0.28,0.92,-0.08,1.75
0.08,0.87,-0.11,-0.29,1.08,-0.23,1.75
0.05,0.89,-0.11,-0.41,1.36,-0.38,1.76
0.06,0.91,-0.10,-0.49,1.47,-0.45,1.77
0.10,1.04,-0.16,-0.72,1.76,-0.47,1.77
0.60,1.96,0.42,-0.88,1.86,0.42,1.78
0.59,1.23,0.17,-0.80,1.18,0.19,1.78
0.22,1.08,-0.13,-0.42,1.12,-0.12,1.77
0.27,1.05,-0.13,-0.30,1.13,-0.05,1.77
0.28,0.99,-0.05,-0.20,1.06,-0.05,1.77
0.24,0.94,-0.09,-0.14,1.12,-0.07,1.77
0.19,1.07,-0.24,-0.23,1.13,-0.14,1.75
0.33,1.24,-0.37,-0.39,1.26,-0.31,1.74
0.42,1.34,-0.38,-0.50,1.31,-0.37,1.75
0.75,1.21,-0.03,-0.93,1.18,0.10,1.75
0.37,0.84,0.02,-0.52,0.88,0.11,1.72
0.23,0.98,-0.19,-0.51,1.13,-0.24,1.74
0.21,1.10,-0.23,-0.40,1.66,0.15,1.75
0.27,1.00,-0.31,-0.31,1.02,-0.06,1.75
0.26,1.79,-0.16,-0.26,1.07,-0.09,1.74
0.23,1.27,-0.26,-0.23,1.07,-0.15,1.74
0.16,1.16,-0.37,-0.19,1.10,-0.27,1.74
0.10,0.95,-0.44,-0.20,0.93,-0.36,1.68
0.26,1.36,-0.46,-0.40,1.31,-0.36,1.72
0.71,1.16,0.16,-0.77,1.20,0.14,1.72
0.22,0.90,-0.06,-0.37,0.98,-0.06,1.70
0.14,1.02,-0.17,-0.25,1.12,-0.21,1.72
0.14,1.05,-0.26,-0.23,1.07,-0.22,1.73
0.13,1.30,-0.36,-0.21,1.27,-0.32,1.70
0.15,1.10,-0.33,-0.32,1.05,-0.23,1.72
0.76,1.60,-0.10,-0.86,1.62,-0.10,1.72
0.33,1.63,-0.15,-0.36,1.64,-0.11,1.71
0.12,0.88,-0.43,-0.28,0.84,-0.38,1.66
0.07,0.90,-0.10,-0.23,0.95,-0.03,1.74
0.12,0.96,-0.18,-0.27,1.08,-0.27,1.72
0.13,0.97,-0.21,-0.79,1.03,-0.15,1.71
0.58,1.13,-0.38,-0.52,0.94,0.05,1.72
0.56,1.01,-0.18,-0.30,0.99,-0.09,1.73
0.35,1.40,-0.40,-0.39,1.36,-0.36,1.74
0.73,1.26,-0.02,-0.81,1.28,-0.01,1.74
0.42,1.02,-0.12,-0.48,1.10,-0.17,1.72
0.36,1.31,-0.34,-0.45,1.35,-0.33,1.72
0.34,0.82,-0.30,-0.56,0.84,-0.27,1.64
0.25,0.99,-0.27,-0.36,0.99,-0.17,1.73
0.28,1.02,-0.33,-0.41,1.10,-0.34,1.74
0.29,0.91,-0.33,-0.43,0.91,-0.27,1.73
0.28,1.79,-0.11,-0.34,1.79,0.04,1.74
0.24,1.62,-0.14,-0.28,1.64,-0.02,1.70
0.16,1.38,-0.41,-0.20,1.31,-0.40,1.69
0.07,0.82,-0.17,-0.22,0.84,-0.10,1.72
0.17,0.84,-0.22,-0.23,1.01,-0.04,1.72
0.19,1.55,-0.32,-0.25,1.03,-0.03,1.72
0.19,1.64,-0.07,-0.20,0.95,-0.14,1.74
0.18,1.56,-0.03,-0.23,1.27,-0.46,1.73
0.20,1.41,-0.24,-0.24,1.73,-0.07,1.74
0.49,1.36,-0.41,-0.62,1.41,-0.32,1.74
0.71,1.21,0.09,-0.83,1.21,0.24,1.74
0.42,1.19,-0.22,-0.50,0.91,0.02,1.74
0.37,1.14,-0.45,-0.44,0.94,-0.04,1.71
0.25,0.87,-0.13,-0.49,0.92,-0.13,1.72
0.24,1.04,-0.19,-0.55,0.82,0.17,1.72
0.17,1.01,-0.19,-0.38,0.83,0.09,1.74
0.16,1.21,-0.31,-0.29,1.22,-0.25,1.73
0.12,0.86,-0.34,-0.22,0.87,-0.31,1.70
0.11,0.86,-0.15,-0.29,0.88,-0.08,1.74
0.10,0.88,-0.22,-0.28,0.88,-0.16,1.73
0.16,0.87,-0.34,-0.24,0.81,-0.24,1.73
0.17,1.71,-0.21,-0.30,1.70,-0.17,1.74
0.15,1.67,-0.19,-0.24,1.68,-0.11,1.73
0.12,1.43,-0.41,-0.21,1.45,-0.36,1.72
0.11,0.76,-0.19,-0.23,0.79,-0.16,1.70
0.14,0.74,-0.16,-0.22,0.76,-0.10,1.71
0.13,1.76,-0.17,-0.20,1.71,-0.14,1.73
0.11,1.65,-0.25,-0.17,1.64,-0.15,1.74
0.72,1.50,-0.25,-0.89,1.45,-0.17,1.72
0.56,1.63,0.16,-0.65,1.65,0.22,1.75
0.29,1.69,-0.09,-0.45,1.65,-0.06,1.76
0.25,1.54,-0.28,-0.78,1.90,0.01,1.76
0.25,1.50,-0.36,-0.70,1.20,0.03,1.76
0.66,1.76,-0.37,-0.45,0.96,0.01,1.76
0.47,1.28,-0.27,-0.33,1.00,-0.08,1.74
0.25,1.19,-0.32,-0.38,1.18,-0.31,1.71
0.18,1.18,-0.34,-0.40,1.23,-0.37,1.72
0.13,1.20,-0.36,-0.43,1.24,-0.40,1.73
0.74,1.38,-0.10,-0.97,1.32,-0.20,1.73
0.65,1.05,0.18,-0.79,1.10,0.15,1.74
0.32,0.93,-0.21,-0.32,1.04,-0.20,1.73
0.17,1.20,-0.40,-0.21,1.24,-0.35,1.71
0.11,0.84,-0.23,-0.23,0.86,-0.20,1.71
0.10,0.84,-0.26,-0.19,0.87,-0.21,1.70
0.11,0.82,-0.31,-0.21,0.82,-0.26,1.69
0.15,1.62,-0.28,-0.21,1.60,-0.22,1.73
0.14,1.52,-0.33,-0.22,1.52,-0.27,1.70
0.08,0.83,-0.26,-0.26,0.85,-0.22,1.66
0.12,1.04,-0.25,-0.25,1.07,-0.17,1.70
0.67,1.94,-0.03,-0.75,1.93,-0.05,1.75
0.43,1.87,0.28,-0.52,1.93,0.27,1.75
0.30,1.74,0.07,-0.37,1.71,0.07,1.72
0.11,0.76,-0.30,-0.40,1.28,-0.06,1.68
0.12,0.72,-0.07,-0.38,1.29,-0.06,1.72
0.14,0.79,-0.02,-0.31,1.21,-0.14,1.74
0.18,0.83,0.01,-0.28,1.23,-0.25,1.73
0.19,0.82,0.06,-0.31,0.83,-0.27,1.72
0.14,0.82,-0.05,-0.31,0.87,-0.15,1.71
0.12,0.87,-0.09,-0.26,0.94,-0.12,1.75
0.14,0.91,-0.14,-0.22,0.93,-0.10,1.75
0.18,0.94,-0.18,-0.20,0.94,-0.12,1.75
