x,y,z,x2,y2,z2
-0.17,0.82,-0.13,0.08,0.76,0.29
-0.17,0.82,-0.12,0.05,0.78,0.29
-0.16,0.81,-0.14,0.07,0.76,0.28
-0.16,0.80,-0.14,0.06,0.76,0.29
-0.17,0.76,-0.14,-0.05,0.77,0.34
-0.33,0.73,-0.01,-0.20,0.78,0.51
-0.71,0.81,0.31,-0.29,0.77,0.63
-0.96,0.81,0.53,-0.49,0.71,0.83
-1.08,0.76,0.66,-0.83,0.79,1.14
-1.33,0.75,0.89,-1.01,0.79,1.29
-1.72,0.80,1.15,-1.30,0.76,1.48
-1.88,0.81,1.30,-1.70,0.78,1.70
-1.86,0.91,1.19,-2.01,0.79,1.71
-1.51,0.87,0.93,-1.92,0.79,1.32
-1.32,0.84,0.83,-1.70,1.08,0.93
-1.27,0.88,0.88,-1.43,1.32,0.70
-1.08,1.05,0.61,-1.29,1.17,0.47
-0.95,1.23,0.43,-1.09,1.04,0.41
-0.90,1.16,0.32,-1.09,1.24,0.19
-0.81,1.19,0.18,-1.02,1.13,0.06
-0.68,1.17,0.05,-0.85,1.15,-0.05
-0.56,1.18,-0.08,-0.74,1.12,-0.18
-0.41,1.17,-0.24,-0.61,1.08,-0.38
-0.27,1.18,-0.33,-0.46,1.15,-0.52
-0.12,1.15,-0.38,-0.30,1.13,-0.62
0.05,1.19,-0.46,-0.12,1.18,-0.65
0.20,1.23,-0.47,0.01,1.22,-0.71
0.34,1.21,-0.51,0.19,1.20,-0.76
0.52,1.24,-0.53,0.45,1.13,-0.72
0.60,1.24,-0.49,0.53,1.27,-0.73
0.76,1.22,-0.45,0.69,1.13,-0.78
0.80,1.19,-0.23,0.84,1.09,-0.62
0.46,1.22,-0.05,0.86,1.04,-0.36
0.07,1.27,-0.12,0.63,1.03,-0.14
-0.14,1.26,-0.08,0.29,1.12,0.05
-0.27,1.24,0.03,-0.02,1.16,0.19
-0.42,1.19,0.23,-0.21,1.11,0.39
-0.66,1.20,0.37,-0.43,1.10,0.63
-0.98,1.10,0.45,-0.65,1.08,0.81
-1.19,1.18,0.69,-0.85,1.08,0.97
-1.41,1.14,0.90,-1.10,1.03,1.18
-1.61,1.14,1.06,-1.38,1.12,1.39
