y,y2
1.05,1.14
1.05,1.12
1.06,1.11
1.09,1.11
1.11,1.10
1.11,1.10
1.14,1.13
1.14,1.14
1.15,1.15
1.17,1.17
1.20,1.18
1.29,1.26
1.21,1.19
1.24,1.20
1.08,1.11
1.07,1.07
1.05,1.06
0.91,0.95
1.31,0.99
0.82,1.00
0.88,1.10
0.89,0.89
0.90,0.83
0.99,1.00
1.05,1.08
0.97,0.98
1.00,1.02
1.00,1.02
1.02,1.03
1.02,1.04
1.02,1.05
1.03,1.05
1.09,1.11
1.07,1.08
1.30,1.28
0.86,0.85
0.88,0.84
1.12,1.13
1.23,1.21
1.33,1.27
0.79,0.79
1.01,0.96
1.01,1.00
1.04,1.04
1.04,1.08
1.06,1.07
1.07,1.08
1.07,1.15
1.07,1.26
1.07,1.10
1.09,0.86
1.32,0.99
1.28,0.98
1.60,0.96
1.54,0.97
0.92,0.97
0.84,0.83
1.41,1.34
0.90,0.87
1.00,0.93
1.29,1.25
1.33,1.27
1.33,1.25
0.72,0.72
0.81,0.76
1.01,1.05
0.98,1.44
0.97,1.73
0.97,1.41
1.35,0.99
1.56,0.91
1.34,0.90
1.67,0.91
1.29,0.99
0.88,0.93
1.16,0.95
1.20,1.01
1.26,0.97
1.13,0.94
0.98,0.91
1.05,1.00
1.24,1.21
0.77,0.75
1.05,0.99
1.05,1.02
1.04,1.03
1.05,1.02
0.89,1.01
1.02,1.02
1.18,1.03
1.29,1.01
1.29,1.02
1.28,1.14
1.49,1.44
1.55,1.52
1.77,1.68
1.44,1.38
1.32,1.06
1.21,0.93
1.16,1.29
1.12,1.19
1.03,1.00
1.25,1.17
1.43,1.35
0.77,0.78
0.87,1.11
0.83,1.09
0.81,0.92
0.93,0.78
1.15,0.80
0.95,0.86
1.13,1.04
1.36,1.35
1.78,1.75
1.71,1.59
1.46,1.33
0.78,1.23
0.78,1.25
0.79,0.81
0.92,0.93
0.80,0.80
1.49,1.39
1.33,1.26
1.32,1.28
1.26,1.24
1.17,1.16
1.17,1.13
0.77,0.77
1.05,1.03
0.76,0.78
1.35,1.25
1.48,1.44
1.42,1.37
0.76,0.74
1.04,0.97
1.22,1.20
1.37,1.33
1.34,1.26
1.64,1.55
1.37,1.37
1.35,1.34
1.78,1.72
1.52,1.48
1.13,1.18
1.30,1.26
0.85,0.89
0.92,0.88
1.29,0.99
1.41,0.93
0.72,0.89
0.85,1.05
0.87,1.22
0.86,0.75
1.04,1.05
1.34,1.32
1.35,1.32
0.74,0.75
0.79,0.81
1.47,1.40
1.48,1.35
1.34,1.18
1.27,1.06
1.31,1.03
1.20,1.08
1.13,1.22
0.98,1.33
0.96,1.31
0.92,1.19
1.01,0.99
1.22,0.95
1.35,0.91
0.77,0.88
0.79,0.97
0.82,1.24
0.82,0.89
0.83,0.74
1.11,0.78
0.72,0.86
0.78,1.02
0.78,0.73
0.84,0.80
1.14,1.11
0.97,0.97
0.71,0.71
1.02,0.93
1.49,1.40
1.52,1.45
1.48,1.40
1.35,1.35
1.73,1.63
1.40,1.44
1.00,1.06
0.99,1.03
1.13,1.08
1.17,1.11
1.18,1.13
1.19,1.15
1.27,1.28
1.29,1.15
1.04,0.95
0.93,1.16
0.96,1.33
1.02,1.05
1.81,1.04
1.38,1.06
1.19,1.18
0.92,0.93
1.31,1.30
1.20,1.08
0.95,1.01
0.96,0.96
0.95,0.97
1.31,1.24
1.04,0.99
1.40,1.30
1.46,1.33
0.83,0.85
0.74,0.77
0.80,1.15
0.80,1.02
1.04,0.77
0.99,0.82
1.11,1.14
1.28,1.13
0.85,0.89
1.26,1.21
0.80,0.84
0.72,0.72
0.97,0.93
0.91,0.85
1.49,1.38
1.35,1.23
1.16,1.09
0.73,0.74
0.78,0.73
1.43,0.74
1.52,0.76
1.52,1.20
1.43,1.47
1.31,1.28
1.24,1.06
1.17,0.90
1.03,0.84
0.71,1.12
0.77,0.72
0.80,0.75
1.17,1.15
0.82,0.82
0.73,0.72
0.84,0.85
0.77,0.75
1.54,1.46
1.56,1.47
1.04,1.04
0.69,0.69
0.69,0.68
1.43,1.36
1.42,1.33
1.31,1.30
0.95,0.99
0.88,1.29
0.87,1.66
0.90,1.09
1.59,0.81
1.67,0.84
0.96,0.93
1.06,1.02
1.21,1.07
1.29,1.27
0.91,0.90
0.99,0.96
1.10,1.08
0.71,0.70
0.74,0.76
0.95,0.88
1.67,1.60
1.39,1.32
0.70,0.72
0.80,0.82
1.82,1.77
1.80,1.79
1.69,1.62
0.72,1.40
0.74,1.32
0.74,1.34
0.73,1.38
0.73,0.76
0.72,0.71
0.88,0.83
1.02,1.00
0.92,1.04
1.36,1.34
1.24,1.17
0.99,1.04
1.50,1.43
1.01,1.03
0.72,0.72
0.78,0.76
0.71,0.72
0.86,0.80
1.58,1.51
1.17,1.18
0.77,0.76
0.77,0.76
1.01,1.02
1.87,1.84
1.79,1.73
1.34,1.33
0.70,0.71
0.70,0.72
1.56,1.36
1.34,1.25
0.72,0.72
0.71,0.70
1.06,0.97
1.63,1.55
0.98,0.97
0.77,0.75
0.76,0.74
0.90,0.98
0.69,0.72
0.71,0.75
0.89,0.86
0.91,0.88
0.93,0.90
0.92,0.89
0.91,0.89
0.93,0.90
0.91,0.88
0.90,0.87
