distanza,distanzaDx,distanzaSx,distanza
0.49,0.01,0.04,0.49
0.47,0.02,0.03,0.47
0.48,0.01,0.01,0.48
0.48,0.04,0.12,0.48
0.49,0.21,0.23,0.49
0.54,0.5,0.15,0.54
0.53,0.33,0.29,0.53
0.57,0.18,0.47,0.57
0.54,0.34,0.23,0.54
0.51,0.47,0.35,0.51
0.54,0.22,0.46,0.54
0.44,0.15,0.31,0.44
0.55,0.44,0.4,0.55
0.57,0.22,0.53,0.57
0.46,0.08,0.43,0.46
0.5,0.37,0.31,0.5
0.28,0.29,0.25,0.28
0.24,0.14,0.3,0.24
0.24,0.17,0.18,0.24
0.25,0.18,0.2,0.25
0.2,0.18,0.17,0.2
0.21,0.22,0.24,0.21
0.26,0.17,0.22,0.26
0.27,0.16,0.19,0.27
0.3,0.19,0.19,0.3
0.26,0.16,0.15,0.26
0.31,0.15,0.19,0.31
0.29,0.18,0.27,0.29
0.23,0.09,0.16,0.23
0.25,0.17,0.22,0.25
0.35,0.23,0.22,0.35
0.4,0.39,0.27,0.4
0.54,0.4,0.32,0.54
0.61,0.21,0.4,0.61
0.47,0.17,0.34,0.47
0.31,0.25,0.28,0.31
0.28,0.28,0.33,0.28
0.36,0.34,0.28,0.36
0.49,0.33,0.26,0.49
0.45,0.31,0.33,0.45
0.43,0.26,0.36,0.43
0.4,,,0.4
