x,y,z,x2,y2,z2
-0.23,1.12,-0.12,-0.02,1.00,-0.11
-0.20,1.06,-0.12,0.02,1.00,-0.11
-0.23,0.80,-0.17,0.22,0.86,-0.24
-0.26,1.16,-0.52,0.23,1.25,-0.52
-0.14,1.05,-0.25,0.20,1.04,-0.28
-0.22,1.02,-0.29,0.26,1.07,-0.31
-0.25,1.10,-0.30,0.23,1.14,-0.34
-0.26,1.11,-0.31,0.24,1.15,-0.36
-0.24,1.10,-0.32,0.27,1.14,-0.36
-0.24,1.10,-0.33,0.26,1.13,-0.36
-0.17,1.07,-0.38,0.13,1.13,-0.40
-0.71,1.21,-0.35,0.70,1.21,-0.26
-0.38,1.11,-0.41,0.42,1.18,-0.41
-0.20,1.00,-0.37,0.23,1.01,-0.41
-0.22,1.05,-0.34,0.19,1.08,-0.40
-0.20,1.05,-0.34,0.14,1.06,-0.40
-0.15,1.03,-0.34,0.14,1.04,-0.39
-0.14,1.01,-0.35,0.12,1.02,-0.42
-0.15,1.00,-0.34,0.14,1.10,-0.44
-0.15,0.97,-0.33,0.13,0.86,-0.40
-0.14,1.07,-0.34,0.10,0.89,-0.37
-0.17,0.78,-0.33,0.10,0.88,-0.34
-0.14,0.91,-0.28,0.10,0.92,-0.30
-0.14,0.96,-0.27,0.12,0.95,-0.29
-0.14,0.99,-0.27,0.11,0.99,-0.29
-0.14,0.99,-0.27,0.12,1.00,-0.30
-0.13,0.99,-0.27,0.11,1.00,-0.32
-0.15,1.01,-0.28,0.13,1.02,-0.32
-0.16,1.02,-0.27,0.14,1.03,-0.32
-0.18,1.02,-0.27,0.17,1.04,-0.33
-0.21,1.03,-0.28,0.21,1.05,-0.34
-0.21,1.02,-0.28,0.20,1.05,-0.34
-0.23,1.01,-0.28,0.20,1.04,-0.35
-0.27,0.87,-0.31,0.23,0.88,-0.37
-0.34,1.12,-0.39,0.28,1.17,-0.45
-0.43,0.78,-0.37,0.36,0.81,-0.42
-0.28,0.92,-0.36,0.23,0.91,-0.38
-0.16,0.95,-0.32,0.14,0.96,-0.36
-0.13,0.85,-0.30,0.12,0.85,-0.35
-0.15,1.12,-0.36,0.13,1.19,-0.39
-0.11,0.82,-0.23,0.09,0.83,-0.27
-0.11,0.89,-0.26,0.08,0.88,-0.30
-0.13,0.92,-0.27,0.09,0.93,-0.30
-0.14,0.94,-0.27,0.11,0.95,-0.31
-0.14,0.96,-0.27,0.11,0.98,-0.32
-0.18,0.98,-0.29,0.14,1.01,-0.34
-0.20,0.98,-0.28,0.14,1.01,-0.34
-0.22,1.05,-0.40,0.16,1.03,-0.34
-0.43,1.19,-0.52,0.15,1.01,-0.33
-0.58,1.01,-0.33,0.09,1.01,-0.35
-0.27,0.93,-0.28,0.16,1.10,-0.40
-0.23,0.93,-0.25,0.28,1.18,-0.42
-0.14,0.89,-0.24,0.29,1.09,-0.37
-0.06,0.89,-0.24,0.60,1.65,-0.34
-0.06,0.96,-0.27,0.39,1.24,-0.37
-0.16,0.98,-0.30,0.18,1.02,-0.35
-0.15,0.93,-0.27,0.11,0.94,-0.32
-0.15,1.02,-0.38,0.10,1.07,-0.43
-0.16,0.80,-0.35,0.09,0.81,-0.38
-0.25,1.03,-0.40,0.16,1.08,-0.48
-0.35,1.14,-0.44,0.22,1.17,-0.49
-0.35,1.15,-0.41,0.33,1.23,-0.43
-0.16,0.77,-0.43,0.17,0.78,-0.46
-0.16,0.80,-0.25,0.12,0.77,-0.23
-0.16,0.94,-0.26,0.14,0.98,-0.34
-0.31,1.21,-0.41,0.16,1.06,-0.38
-0.37,1.29,-0.41,0.10,1.03,-0.37
-0.76,1.57,-0.29,0.02,1.02,-0.36
-0.50,1.30,-0.40,0.05,1.07,-0.37
-0.20,0.92,-0.27,0.39,1.38,-0.40
-0.08,0.85,-0.16,0.26,1.38,-0.45
-0.03,0.82,-0.15,0.28,1.12,-0.32
0.06,0.83,-0.15,0.64,1.65,-0.20
-0.00,0.91,-0.19,0.44,1.20,-0.37
-0.06,0.90,-0.26,0.27,1.14,-0.41
0.06,0.89,-0.36,-0.10,1.16,-0.43
0.11,0.90,-0.40,-0.23,1.15,-0.38
-0.37,0.87,-0.50,0.35,1.12,-0.53
-0.19,0.84,-0.37,0.22,1.01,-0.46
-0.18,0.94,-0.35,0.16,1.04,-0.43
-0.15,0.82,-0.36,0.12,0.85,-0.40
-0.14,0.97,-0.46,0.14,1.00,-0.50
-0.13,0.79,-0.27,0.11,0.79,-0.30
-0.16,0.89,-0.25,0.18,1.05,-0.43
-0.15,0.90,-0.25,0.14,0.99,-0.42
-0.16,0.89,-0.24,0.13,1.31,-0.44
-0.18,0.84,-0.21,0.11,0.72,-0.36
-0.15,0.89,-0.25,0.17,0.99,-0.40
-0.16,0.91,-0.26,0.16,0.99,-0.36
-0.13,0.90,-0.25,0.15,1.11,-0.41
-0.12,0.89,-0.25,0.60,1.22,-0.31
-0.15,0.98,-0.30,0.48,1.05,-0.22
-0.30,1.31,-0.37,0.31,1.36,-0.39
-0.22,0.98,-0.27,0.12,0.95,-0.31
-0.53,1.42,-0.36,0.40,1.46,-0.46
-0.51,1.45,-0.27,0.41,1.61,-0.28
-0.16,1.17,-0.37,0.22,1.24,-0.37
-0.18,0.82,-0.39,0.27,1.12,-0.34
-0.24,1.03,-0.45,0.26,1.13,-0.32
-0.34,1.22,-0.47,0.21,1.13,-0.32
-0.68,1.08,-0.29,0.20,1.14,-0.33
-0.33,1.12,-0.38,0.14,1.15,-0.36
-0.20,1.02,-0.36,0.10,1.01,-0.36
-0.12,1.11,-0.36,0.10,1.15,-0.39
-0.15,0.79,-0.27,0.09,0.78,-0.25
-0.21,1.00,-0.39,0.11,0.86,-0.26
-0.29,0.99,-0.37,0.06,0.84,-0.23
-0.55,0.85,-0.20,0.05,0.88,-0.27
-0.10,0.81,-0.19,0.10,1.07,-0.39
-0.04,0.83,-0.22,0.62,1.08,-0.24
-0.20,1.14,-0.42,0.46,1.29,-0.34
-0.23,1.03,-0.36,0.17,1.05,-0.38
-0.25,0.91,-0.23,0.08,0.93,-0.24
-0.69,1.60,-0.25,0.57,1.67,-0.19
-0.28,1.15,-0.34,0.31,1.42,-0.34
-0.13,0.92,-0.18,0.16,1.21,-0.36
-0.16,0.89,-0.15,0.11,0.70,-0.16
-0.14,1.09,-0.32,0.13,0.78,-0.17
-0.16,0.69,-0.15,0.12,0.81,-0.19
-0.14,0.82,-0.21,0.09,0.85,-0.25
-0.13,0.67,-0.15,0.11,0.69,-0.18
-0.15,1.05,-0.24,0.09,1.03,-0.27
-0.14,1.00,-0.22,0.09,0.98,-0.25
-0.14,0.99,-0.22,0.09,1.00,-0.25
-0.12,0.99,-0.20,0.09,1.00,-0.22
-0.14,0.92,-0.26,0.10,0.92,-0.27
-0.16,0.88,-0.40,0.14,0.92,-0.43
-0.13,0.84,-0.24,0.13,0.84,-0.25
-0.14,0.82,-0.20,0.10,0.82,-0.22
-0.13,0.75,-0.13,0.10,0.73,-0.11
-0.15,0.99,-0.25,0.10,0.98,-0.27
-0.12,0.94,-0.21,0.08,0.93,-0.23
-0.12,1.12,-0.22,0.08,1.13,-0.23
-0.10,0.82,-0.11,0.11,0.87,-0.17
-0.17,0.99,-0.21,0.19,1.04,-0.26
-0.11,1.01,-0.17,0.03,1.10,-0.19
-0.52,1.07,-0.16,0.49,1.18,-0.18
-0.38,1.14,-0.21,0.38,1.20,-0.22
-0.36,1.16,-0.23,0.38,1.24,-0.25
-0.22,1.07,-0.24,0.27,1.16,-0.30
-0.46,1.20,-0.31,0.30,1.26,-0.37
-0.52,1.60,-0.02,0.42,1.63,-0.02
-0.42,1.37,-0.22,0.38,1.40,-0.23
-0.39,1.40,-0.20,0.36,1.44,-0.20
-0.29,1.42,-0.15,0.27,1.46,-0.15
-0.25,0.72,-0.12,0.24,0.72,-0.12
-0.24,0.77,-0.13,0.26,0.83,-0.21
-0.20,0.78,-0.11,0.36,1.22,-0.35
-0.16,0.77,-0.12,0.43,1.07,-0.33
-0.17,0.81,-0.13,0.36,0.73,-0.08
-0.34,1.20,-0.32,0.29,0.82,-0.18
-0.42,0.86,-0.29,0.23,0.84,-0.20
-0.27,0.70,-0.10,0.23,0.82,-0.19
-0.15,0.82,-0.19,0.16,0.84,-0.22
-0.15,0.91,-0.26,0.13,0.93,-0.30
-0.17,1.07,-0.25,0.14,1.09,-0.29
-0.19,0.74,-0.13,0.12,0.74,-0.16
-0.16,0.77,-0.17,0.13,0.76,-0.17
-0.10,1.21,-0.19,0.11,1.28,-0.21
-0.10,1.11,-0.19,0.26,1.23,-0.27
-0.05,0.94,-0.19,0.03,1.18,-0.30
-0.03,0.93,-0.19,-0.06,1.15,-0.13
-0.04,0.91,-0.17,0.72,1.23,-0.01
-0.05,0.93,-0.20,0.60,1.07,-0.06
-0.29,1.00,-0.25,0.52,1.13,-0.23
0.03,1.02,-0.20,0.35,0.84,-0.25
-0.16,1.12,-0.32,0.28,0.70,-0.09
-0.80,1.13,0.12,0.26,0.79,-0.25
-0.75,1.12,0.00,0.31,0.98,-0.34
-0.63,0.99,-0.08,-0.04,1.07,-0.36
-0.53,0.93,-0.11,0.15,1.15,-0.38
-0.47,0.92,-0.17,0.56,0.81,0.34
-0.46,0.93,-0.19,0.51,0.75,0.13
-0.09,1.14,-0.29,0.42,0.75,-0.00
-0.57,0.75,0.12,0.37,0.78,-0.06
-0.42,0.68,0.27,0.33,0.78,-0.12
-0.42,0.74,-0.02,0.17,1.13,-0.35
-0.28,0.76,-0.08,0.31,0.67,0.06
-0.27,1.07,-0.27,0.45,0.82,-0.10
-0.13,0.69,-0.11,0.36,0.77,-0.10
-0.13,0.76,-0.12,0.21,0.82,-0.19
-0.11,1.01,-0.26,0.11,1.06,-0.31
-0.21,0.77,-0.20,0.18,0.73,-0.23
-0.18,0.75,-0.11,0.19,0.76,-0.18
-0.16,0.83,-0.16,0.23,0.92,-0.26
-0.19,0.94,-0.20,0.27,1.01,-0.27
-0.26,1.07,-0.25,0.32,1.13,-0.29
-0.19,0.79,-0.10,0.11,0.79,-0.15
-0.68,1.52,-0.29,0.50,1.63,-0.44
-0.48,1.74,-0.18,0.39,1.81,-0.20
-0.49,1.55,-0.29,0.35,1.63,-0.30
-0.35,0.76,-0.08,0.28,0.72,-0.07
-0.35,0.69,0.05,0.33,0.70,0.02
-0.53,0.86,-0.07,0.50,0.92,-0.19
-0.28,0.88,-0.22,0.28,0.97,-0.30
-0.25,1.06,-0.29,0.28,1.11,-0.33
-0.24,1.02,-0.26,0.23,1.09,-0.32
-0.50,1.14,-0.26,0.36,1.20,-0.34
-0.51,1.12,-0.17,0.47,1.17,-0.20
-0.35,0.91,-0.17,0.32,1.03,-0.25
-0.48,1.36,-0.36,0.31,1.03,-0.26
-0.26,1.21,-0.24,0.27,0.99,-0.23
-0.21,0.90,-0.13,0.25,0.81,-0.15
-0.17,0.94,-0.16,0.22,1.45,-0.14
-0.10,0.93,-0.17,0.13,0.89,-0.17
-0.11,1.20,-0.25,0.12,1.26,-0.30
-0.21,0.92,-0.29,0.15,0.94,-0.35
-0.56,1.16,-0.33,0.47,1.21,-0.40
-0.24,1.11,-0.29,0.25,1.16,-0.35
-0.13,1.05,-0.25,0.13,1.07,-0.29
-0.14,1.00,-0.23,0.12,1.02,-0.28
-0.15,1.26,-0.27,0.10,1.29,-0.29
-0.15,0.99,-0.29,0.12,1.00,-0.36
-0.25,1.10,-0.35,0.19,1.14,-0.39
-0.35,1.08,-0.30,0.34,1.15,-0.32
