y,y2
0.80,1.03
0.81,1.03
0.81,1.03
0.83,1.04
0.93,1.10
0.97,1.10
1.01,1.12
1.05,1.17
1.08,1.19
1.15,1.20
1.16,1.19
1.22,1.26
1.21,1.27
1.44,1.54
1.79,1.77
1.47,1.51
1.25,1.24
1.08,1.08
1.12,1.21
0.99,0.86
1.05,0.91
0.83,0.87
0.96,0.95
0.98,1.00
1.00,1.02
1.00,1.03
1.00,1.03
1.01,1.04
1.01,1.05
1.02,1.07
1.03,1.07
1.03,1.06
1.03,1.05
1.01,1.02
1.18,1.21
0.83,0.81
0.96,0.99
1.09,1.13
1.05,1.09
1.12,1.19
0.87,0.93
0.98,1.00
1.00,1.04
1.05,1.06
1.04,1.05
1.11,1.05
1.11,1.04
1.14,1.04
1.21,1.03
1.20,1.03
1.08,1.12
0.95,1.32
0.94,1.17
0.93,1.75
0.99,1.37
1.00,0.93
0.98,1.01
1.15,1.19
0.83,0.81
1.07,1.14
1.20,1.21
1.21,1.28
1.05,1.11
0.81,0.80
1.08,1.11
1.42,1.14
1.29,1.09
1.72,1.10
1.45,1.10
0.98,1.09
0.98,1.31
1.03,1.21
1.01,1.68
1.12,1.31
1.03,1.15
0.97,1.18
0.96,1.17
0.96,1.24
1.03,1.25
1.10,1.15
0.92,0.94
1.17,1.23
0.79,0.76
0.96,1.02
0.93,1.08
0.93,1.19
0.91,0.77
0.93,0.88
0.92,0.90
0.93,1.19
0.93,1.24
0.96,1.19
1.38,1.47
0.93,0.90
1.53,1.57
1.84,1.89
1.65,1.81
0.94,1.55
1.01,1.43
1.18,1.45
1.10,1.44
0.88,1.24
1.19,1.26
1.29,1.37
0.74,0.69
0.92,0.78
1.03,0.72
0.98,0.77
0.74,1.05
0.78,1.13
0.87,0.95
1.11,1.14
0.78,0.82
1.78,1.78
1.68,1.72
1.44,1.61
1.27,0.67
1.24,0.71
0.74,0.76
0.82,0.78
0.72,0.72
1.27,1.27
1.19,1.23
1.17,1.15
0.95,0.92
0.94,0.94
1.02,1.05
0.80,0.82
0.96,0.88
0.71,0.70
1.35,1.41
1.26,1.36
1.24,1.32
0.73,0.74
0.98,1.10
1.04,1.24
1.24,1.23
1.20,1.29
0.92,0.94
0.74,0.75
1.08,1.22
1.70,1.73
1.57,1.64
1.48,1.54
1.20,1.25
0.79,0.79
0.79,0.84
0.77,1.10
0.75,1.28
0.80,0.66
1.08,0.77
1.17,0.75
0.67,0.73
0.90,0.88
1.24,1.32
1.11,1.20
0.70,0.72
0.76,0.77
1.18,1.32
1.07,1.18
0.93,1.15
0.90,1.20
0.92,1.30
0.96,0.98
1.00,0.81
1.07,0.79
1.23,0.78
0.96,0.79
0.85,1.04
0.78,1.26
0.69,1.21
0.72,0.79
0.91,0.71
1.44,0.78
0.78,0.75
0.70,0.78
0.82,1.20
0.82,0.68
1.29,0.77
0.67,0.76
0.69,0.68
1.04,1.06
1.06,1.10
0.72,0.71
0.74,0.75
0.96,0.96
0.77,0.78
0.81,0.81
1.36,1.37
1.74,1.77
1.63,1.70
1.12,1.12
1.06,1.08
1.07,1.10
1.11,1.16
1.12,1.11
1.10,1.15
1.11,1.20
1.12,1.14
0.86,1.03
1.14,0.93
1.14,0.88
0.97,0.99
0.99,1.51
1.02,1.05
1.13,1.15
0.89,0.85
1.21,1.26
1.01,1.08
1.00,0.96
0.95,0.94
0.93,0.90
1.10,1.14
1.04,1.07
1.08,1.15
1.15,1.20
0.85,0.81
0.90,0.82
0.99,0.85
0.90,0.86
0.83,1.04
0.93,1.03
1.20,1.21
1.08,1.21
1.02,1.02
1.22,1.31
0.80,0.81
0.86,0.89
0.76,0.76
0.94,1.01
1.27,1.36
1.26,1.36
0.88,0.88
0.71,0.72
0.72,0.73
0.71,1.32
0.70,1.34
1.23,1.34
1.25,1.30
1.22,1.26
1.20,1.26
1.21,1.38
1.16,0.84
1.04,0.72
0.74,0.79
0.74,0.72
1.03,1.05
0.77,0.80
0.80,0.82
0.87,0.88
0.81,0.81
1.15,1.16
1.01,1.11
0.95,0.92
0.90,0.89
0.84,0.82
1.16,1.13
1.17,1.22
1.30,1.31
1.22,1.28
1.25,1.25
1.55,1.23
1.17,1.22
0.94,1.55
0.93,1.54
0.95,1.01
1.06,1.13
1.15,1.22
1.25,1.29
1.00,1.08
1.02,1.03
0.98,1.01
1.01,1.06
0.91,0.88
1.03,1.02
1.12,1.14
1.10,1.13
0.84,0.88
1.29,1.34
1.72,1.76
1.19,1.33
1.04,1.11
1.00,0.82
1.04,0.92
1.06,0.95
1.03,0.92
0.86,0.93
1.06,1.00
1.09,1.07
1.12,1.11
1.08,1.08
1.22,1.27
1.14,1.25
1.15,1.22
1.13,1.16
0.88,0.90
1.02,0.99
1.05,1.06
1.05,1.03
0.99,0.99
1.21,1.27
1.16,1.27
1.27,1.33
0.81,0.80
1.34,1.34
1.88,1.93
1.72,1.83
0.93,0.93
0.70,0.70
0.69,0.68
1.26,1.36
1.09,1.12
0.69,0.68
0.71,0.71
0.89,0.90
1.18,1.26
0.81,0.80
0.69,0.71
0.74,0.79
0.88,0.94
0.88,0.93
0.91,0.95
1.35,1.38
1.53,1.53
1.51,1.52
1.53,1.53
1.60,1.62
1.61,1.61
1.03,1.25
0.73,0.80
