x,y,z,x2,y2,z2,altezza
-0.11,1.45,-0.13,0.07,1.12,-0.31,1.55
-0.16,1.35,-0.22,0.06,1.12,-0.30,1.56
-0.21,1.36,-0.22,0.15,1.25,-0.31,1.57
-0.20,1.51,-0.08,0.24,1.55,-0.17,1.56
-0.09,1.49,-0.04,0.24,1.62,-0.11,1.55
-0.06,1.49,-0.02,0.22,1.63,-0.11,1.54
-0.14,1.58,-0.03,0.21,1.65,-0.07,1.56
-0.14,1.58,0.01,0.21,1.64,-0.06,1.56
-0.21,1.54,-0.07,0.29,1.52,-0.23,1.59
-0.19,1.17,-0.36,0.23,1.16,-0.36,1.59
-0.13,1.21,-0.45,0.06,1.25,-0.41,1.59
-0.61,1.35,-0.42,0.65,1.36,-0.37,1.60
-0.31,1.12,-0.46,0.37,1.18,-0.42,1.59
-0.10,1.03,-0.38,0.14,1.00,-0.38,1.59
-0.05,1.02,-0.37,0.10,0.99,-0.44,1.57
-0.06,1.04,-0.38,0.14,1.08,-0.41,1.58
-0.12,1.06,-0.38,0.16,1.01,-0.39,1.58
-0.09,1.03,-0.38,0.14,0.99,-0.43,1.58
-0.17,1.17,-0.42,0.12,1.32,-0.44,1.58
-0.14,1.05,-0.38,0.09,0.89,-0.34,1.58
-0.13,1.30,-0.45,0.14,1.02,-0.41,1.58
-0.22,0.82,-0.35,0.14,1.03,-0.40,1.58
-0.15,0.93,-0.37,0.11,1.02,-0.39,1.58
-0.10,1.01,-0.38,0.13,1.03,-0.39,1.58
-0.09,1.01,-0.38,0.14,1.03,-0.39,1.58
-0.10,1.01,-0.38,0.14,1.03,-0.40,1.58
-0.11,1.01,-0.38,0.12,1.05,-0.41,1.58
-0.15,1.03,-0.40,0.15,1.07,-0.42,1.58
-0.19,1.04,-0.40,0.20,1.09,-0.42,1.58
-0.19,1.02,-0.40,0.20,1.09,-0.42,1.58
-0.19,1.03,-0.40,0.20,1.08,-0.41,1.58
-0.20,1.04,-0.39,0.18,1.09,-0.41,1.58
-0.23,1.09,-0.42,0.22,1.13,-0.42,1.58
-0.27,1.02,-0.42,0.23,1.01,-0.39,1.58
-0.36,1.22,-0.49,0.33,1.22,-0.48,1.58
-0.43,0.85,-0.35,0.35,0.86,-0.33,1.58
-0.29,0.93,-0.40,0.28,0.98,-0.40,1.58
-0.17,1.08,-0.41,0.16,1.10,-0.43,1.58
-0.13,0.98,-0.36,0.14,1.00,-0.38,1.58
-0.13,1.17,-0.42,0.16,1.19,-0.44,1.58
-0.17,0.90,-0.34,0.12,0.92,-0.35,1.58
-0.15,1.02,-0.40,0.14,1.07,-0.41,1.58
-0.13,1.08,-0.42,0.14,1.10,-0.42,1.58
