x,y,z,x2,y2,z2
0.04,1.29,-0.38,-0.24,1.23,-0.45
0.07,1.25,-0.37,-0.24,1.23,-0.46
0.15,1.11,-0.34,-0.23,1.22,-0.46
0.16,1.09,-0.34,-0.22,1.22,-0.46
0.16,1.09,-0.34,-0.22,1.22,-0.45
0.10,1.15,-0.35,-0.22,1.23,-0.47
0.06,1.15,-0.34,-0.21,1.21,-0.47
0.07,1.16,-0.38,-0.15,1.21,-0.56
0.08,1.16,-0.42,-0.15,1.15,-0.52
0.07,1.15,-0.41,-0.17,1.16,-0.50
0.05,1.15,-0.39,-0.17,1.16,-0.48
0.05,1.15,-0.40,-0.15,1.16,-0.49
0.06,1.16,-0.42,-0.14,1.16,-0.51
0.05,1.16,-0.42,-0.14,1.16,-0.51
0.05,1.15,-0.41,-0.14,1.16,-0.50
0.05,1.16,-0.41,-0.13,1.16,-0.50
0.05,1.16,-0.42,-0.13,1.16,-0.51
0.03,1.18,-0.43,-0.12,1.16,-0.52
0.61,1.39,-0.41,-0.63,1.42,-0.42
0.39,1.29,-0.44,-0.33,1.27,-0.48
0.12,1.18,-0.46,-0.13,1.17,-0.46
0.08,1.23,-0.47,-0.11,1.20,-0.44
0.10,1.24,-0.47,-0.13,1.19,-0.44
0.10,1.27,-0.48,-0.13,1.18,-0.44
0.11,1.33,-0.49,-0.14,1.17,-0.45
0.11,1.26,-0.54,-0.16,1.17,-0.44
0.12,1.00,-0.45,-0.17,1.21,-0.41
0.16,1.18,-0.41,-0.16,1.41,-0.40
0.12,1.22,-0.37,-0.19,0.94,-0.53
0.10,1.22,-0.41,-0.19,1.16,-0.47
0.09,1.22,-0.42,-0.18,1.22,-0.46
0.08,1.22,-0.42,-0.17,1.21,-0.45
0.08,1.21,-0.43,-0.17,1.21,-0.45
0.07,1.21,-0.44,-0.16,1.22,-0.46
0.08,1.21,-0.45,-0.15,1.21,-0.47
0.06,1.19,-0.46,-0.14,1.20,-0.47
0.07,1.20,-0.46,-0.15,1.20,-0.47
0.09,1.20,-0.45,-0.17,1.19,-0.45
0.14,1.20,-0.44,-0.23,1.20,-0.44
0.15,1.21,-0.43,-0.25,1.20,-0.43
0.21,1.33,-0.42,-0.30,1.31,-0.42
0.25,1.48,-0.40,-0.36,1.46,-0.39
0.30,0.89,-0.54,-0.40,0.92,-0.55
0.31,1.32,-0.48,-0.33,1.30,-0.47
0.21,1.44,-0.42,-0.21,1.39,-0.43
0.12,1.47,-0.41,-0.18,1.43,-0.42
0.07,1.03,-0.63,-0.15,1.01,-0.60
0.05,1.05,-0.54,-0.14,1.09,-0.53
0.08,1.29,-0.53,-0.14,1.27,-0.50
0.09,1.35,-0.47,-0.16,1.34,-0.45
0.12,1.29,-0.46,-0.18,1.26,-0.47
0.12,1.28,-0.46,-0.17,1.26,-0.47
0.12,1.28,-0.46,-0.17,1.25,-0.48
0.12,1.27,-0.46,-0.16,1.23,-0.48
0.12,1.27,-0.47,-0.16,1.22,-0.49
0.12,1.28,-0.47,-0.18,1.22,-0.49
0.12,1.33,-0.45,-0.67,1.42,-0.40
0.06,1.32,-0.48,-0.36,1.21,-0.42
0.09,1.29,-0.50,-0.28,1.20,-0.44
0.14,1.32,-0.60,-0.24,1.18,-0.50
0.59,1.65,-0.63,-0.27,1.20,-0.62
0.45,1.42,-0.65,-0.07,1.21,-0.68
0.21,1.25,-0.74,-0.02,1.22,-0.73
0.10,1.31,-0.78,-0.03,1.29,-0.74
0.10,1.37,-0.79,-0.09,1.36,-0.76
0.12,0.98,-0.82,-0.10,1.00,-0.80
0.09,1.24,-0.79,-0.02,1.19,-0.77
0.18,1.28,-0.87,-0.12,1.22,-0.88
0.38,1.60,-0.73,-0.27,1.59,-0.68
0.14,0.87,-0.89,-0.09,0.85,-0.90
0.12,1.14,-0.80,-0.05,1.09,-0.76
0.14,1.23,-0.83,-0.05,1.18,-0.81
0.14,1.22,-0.82,-0.06,1.14,-0.81
0.14,1.25,-0.82,-0.14,1.19,-0.76
