y,y2
1.29,1.23
1.25,1.23
1.11,1.22
1.09,1.22
1.09,1.22
1.15,1.23
1.15,1.21
1.16,1.21
1.16,1.15
1.15,1.16
1.15,1.16
1.15,1.16
1.16,1.16
1.16,1.16
1.15,1.16
1.16,1.16
1.16,1.16
1.18,1.16
1.39,1.42
1.29,1.27
1.18,1.17
1.23,1.20
1.24,1.19
1.27,1.18
1.33,1.17
1.26,1.17
1.00,1.21
1.18,1.41
1.22,0.94
1.22,1.16
1.22,1.22
1.22,1.21
1.21,1.21
1.21,1.22
1.21,1.21
1.19,1.20
1.20,1.20
1.20,1.19
1.20,1.20
1.21,1.20
1.33,1.31
1.48,1.46
0.89,0.92
1.32,1.30
1.44,1.39
1.47,1.43
1.03,1.01
1.05,1.09
1.29,1.27
1.35,1.34
1.29,1.26
1.28,1.26
1.28,1.25
1.27,1.23
1.27,1.22
1.28,1.22
1.33,1.42
1.32,1.21
1.29,1.20
1.32,1.18
1.65,1.20
1.42,1.21
1.25,1.22
1.31,1.29
1.37,1.36
0.98,1.00
1.24,1.19
1.28,1.22
1.60,1.59
0.87,0.85
1.14,1.09
1.23,1.18
1.22,1.14
1.25,1.19
1.28,1.78
1.28,1.30
1.25,1.15
1.24,1.16
1.45,1.12
1.67,1.17
1.31,1.15
1.16,1.14
1.17,1.16
1.21,1.20
0.97,0.95
0.89,0.92
1.18,1.20
1.40,1.39
1.18,1.18
1.12,1.15
1.38,1.36
1.35,1.30
1.37,1.26
0.90,1.20
1.26,1.23
1.23,1.18
1.23,1.14
1.39,1.15
1.33,1.17
1.22,1.15
1.28,1.22
1.76,1.76
1.71,1.68
1.44,1.46
1.34,0.92
1.29,1.05
1.29,1.21
1.29,1.32
1.29,1.27
1.44,1.46
1.16,1.14
0.95,0.95
1.12,1.06
1.13,1.08
1.10,1.09
1.17,1.02
1.07,1.02
1.20,1.24
1.22,1.18
1.26,1.21
1.83,1.78
1.47,1.38
1.36,1.12
0.90,1.11
1.04,1.19
1.04,0.92
1.09,1.05
0.91,0.92
1.56,1.55
1.38,1.33
1.32,1.27
1.36,1.32
1.43,1.42
0.99,0.95
1.02,1.05
1.18,1.15
0.84,0.83
1.44,1.55
1.37,1.39
1.42,1.42
0.86,0.87
1.14,1.10
1.28,1.25
1.35,1.38
1.26,1.23
1.23,1.19
1.29,1.24
1.75,1.75
1.64,1.59
1.36,1.29
1.32,1.31
1.39,1.38
0.83,0.86
1.19,1.08
1.42,1.08
0.95,1.05
1.06,1.17
1.18,1.31
1.18,0.97
1.16,1.11
1.19,1.16
1.31,1.32
1.11,1.12
0.97,1.00
0.79,0.80
1.53,1.58
1.45,1.49
1.28,1.18
1.30,1.11
1.38,1.16
1.31,1.16
1.26,1.22
1.25,1.21
1.25,1.27
1.25,1.36
1.25,1.17
1.27,1.12
1.07,1.10
0.94,1.12
1.14,1.12
1.16,1.31
1.16,0.94
1.26,1.01
1.12,1.07
0.99,1.16
1.14,1.29
1.09,0.93
1.22,1.22
1.33,1.35
0.87,0.85
1.09,1.09
1.19,1.16
1.27,1.23
1.26,1.23
1.27,1.23
1.70,1.68
1.64,1.64
1.46,1.40
1.19,1.15
1.20,1.18
1.18,1.17
1.16,1.15
1.17,1.15
1.18,1.14
1.32,1.29
1.30,1.28
1.18,0.98
1.26,1.69
1.39,1.44
1.23,1.07
1.51,1.09
1.28,1.16
1.46,1.43
0.87,0.85
1.30,1.31
1.20,1.23
1.17,1.13
1.20,1.16
1.31,1.30
1.25,1.24
1.18,1.10
1.30,1.35
1.48,1.47
0.83,0.82
1.04,1.02
1.18,1.06
1.09,1.08
1.05,0.96
1.10,1.05
1.26,1.27
1.29,1.30
1.31,1.19
1.43,1.41
0.80,0.82
1.01,0.99
0.80,0.77
1.11,1.18
1.63,1.65
1.55,1.54
0.86,0.85
0.83,0.84
0.98,0.90
1.55,0.99
1.11,1.14
1.08,0.86
1.11,1.02
1.30,1.33
1.31,1.29
1.47,1.22
0.93,1.25
1.01,1.03
1.03,0.84
1.20,1.23
1.39,1.42
0.89,0.91
1.25,1.24
0.89,0.86
1.09,1.11
1.55,1.58
1.51,1.50
0.95,0.96
1.28,1.25
1.21,1.20
1.03,0.99
1.23,1.12
1.33,1.37
1.30,1.16
1.29,1.20
1.29,1.71
1.26,1.19
1.64,1.13
1.41,1.18
1.18,1.14
1.25,1.20
1.24,1.20
1.32,1.37
1.19,1.16
1.37,1.36
0.94,0.94
1.09,1.06
1.37,1.35
0.84,0.86
1.21,1.20
1.10,1.14
1.04,1.02
1.28,1.16
1.72,1.73
1.44,1.45
1.42,1.25
0.81,1.12
1.03,1.19
1.06,1.21
1.05,1.31
1.08,1.00
1.17,1.27
1.17,1.13
1.18,1.14
1.19,1.15
1.40,1.40
1.29,1.27
1.32,1.31
1.42,1.41
0.91,0.90
1.03,1.01
1.02,1.00
1.12,1.14
0.81,0.78
0.92,0.93
1.13,1.07
1.19,1.13
1.22,1.14
1.61,1.66
1.68,1.70
1.51,1.48
1.30,1.30
0.80,0.75
0.77,0.77
1.69,1.69
1.08,1.12
0.81,0.79
1.05,1.02
1.49,1.50
1.51,1.53
0.76,0.76
0.85,0.88
0.97,0.98
1.11,1.14
1.19,1.19
1.18,1.14
1.16,1.13
