x,y,z,x2,y2,z2,altezza
0.02,1.24,-0.28,0.22,1.13,-0.21,1.62
0.02,1.24,-0.27,0.22,1.13,-0.21,1.62
0.03,1.24,-0.27,0.23,1.13,-0.21,1.62
0.03,1.24,-0.26,0.23,1.13,-0.20,1.62
0.03,1.24,-0.26,0.24,1.14,-0.20,1.62
0.00,1.24,-0.26,0.19,1.19,-0.22,1.63
-0.06,1.24,-0.26,0.11,1.17,-0.25,1.63
-0.09,1.23,-0.25,0.06,1.18,-0.25,1.63
-0.11,1.23,-0.25,0.05,1.17,-0.24,1.63
-0.13,1.21,-0.26,0.07,1.16,-0.24,1.63
-0.14,1.26,-0.28,0.15,1.27,-0.27,1.63
-0.14,1.29,-0.36,0.12,1.21,-0.32,1.62
-0.04,1.23,-0.31,0.19,1.15,-0.35,1.62
-0.07,1.16,-0.30,0.20,1.13,-0.34,1.62
-0.08,1.16,-0.31,0.19,1.13,-0.33,1.62
-0.12,1.17,-0.35,0.16,1.14,-0.36,1.63
-0.17,1.28,-0.47,0.20,1.26,-0.51,1.63
-0.75,1.33,-0.07,0.77,1.35,-0.22,1.64
-0.43,0.96,-0.13,0.50,0.97,-0.10,1.63
-0.14,1.09,-0.30,0.14,1.00,-0.27,1.63
-0.13,1.11,-0.28,0.13,1.02,-0.25,1.63
-0.13,1.08,-0.26,0.12,1.05,-0.27,1.63
-0.11,1.08,-0.25,0.14,1.04,-0.31,1.62
-0.14,1.07,-0.24,0.15,1.14,-0.40,1.62
-0.19,1.08,-0.23,0.19,1.17,-0.56,1.62
-0.18,1.11,-0.27,0.15,0.86,-0.29,1.62
-0.18,1.30,-0.39,0.17,0.98,-0.29,1.62
-0.22,0.87,-0.27,0.18,1.00,-0.25,1.61
-0.17,1.02,-0.26,0.12,1.01,-0.29,1.62
-0.13,1.15,-0.30,0.14,1.05,-0.32,1.63
-0.12,1.12,-0.28,0.13,1.07,-0.31,1.64
-0.09,1.12,-0.29,0.12,1.08,-0.31,1.63
-0.09,1.13,-0.30,0.11,1.08,-0.31,1.63
-0.11,1.12,-0.29,0.12,1.08,-0.31,1.63
-0.12,1.13,-0.29,0.12,1.09,-0.30,1.63
-0.14,1.13,-0.29,0.11,1.09,-0.30,1.63
-0.15,1.13,-0.29,0.11,1.09,-0.30,1.63
