y,y2
1.23,1.16
1.23,1.16
1.23,1.16
1.23,1.16
1.22,1.17
1.22,1.18
1.20,1.19
1.20,1.18
1.24,1.18
1.22,1.19
1.22,1.25
1.31,1.18
1.30,1.20
1.27,1.20
1.25,1.20
1.25,1.19
1.30,1.20
1.23,1.24
1.26,1.22
1.25,1.20
1.23,1.19
1.22,1.18
1.22,1.20
1.22,1.22
1.22,1.01
1.28,1.02
1.19,1.04
1.05,1.06
1.17,1.13
1.18,1.16
1.19,1.17
1.20,1.16
1.19,1.15
1.19,1.15
1.19,1.16
1.19,1.16
1.19,1.15
1.18,1.15
1.18,1.15
1.19,1.17
1.27,1.22
1.12,1.08
1.21,1.17
1.21,1.19
1.22,1.20
1.06,1.03
1.14,1.11
1.18,1.15
1.18,1.15
1.18,1.16
1.18,1.16
1.18,1.16
1.18,1.15
1.20,1.15
1.29,1.15
1.23,1.16
1.22,1.16
1.17,1.18
1.17,1.43
1.17,1.30
1.17,1.15
1.17,1.15
1.21,1.20
1.25,1.24
1.10,1.07
1.22,1.18
1.25,1.23
1.32,1.30
1.10,1.07
1.18,1.15
1.19,1.16
1.20,1.15
1.48,1.14
1.46,1.14
1.22,1.16
1.17,1.17
1.16,1.23
1.16,1.63
1.17,1.28
1.16,1.12
1.14,1.12
1.14,1.12
1.14,1.13
1.45,1.40
1.24,1.30
1.17,1.13
1.25,1.22
1.01,1.00
1.10,1.07
1.17,1.13
1.15,1.13
1.18,1.26
1.18,0.99
1.18,1.09
1.17,1.14
1.17,1.23
1.17,1.33
1.17,1.15
1.18,1.16
1.37,1.32
1.62,1.63
1.25,1.25
1.18,1.27
0.97,1.05
1.09,1.03
1.46,1.03
1.18,1.05
1.13,1.07
1.20,1.16
1.08,1.09
1.08,1.04
1.15,1.07
1.16,1.06
1.07,1.09
1.08,1.13
1.08,1.07
1.13,1.12
1.18,1.17
1.47,1.44
1.50,1.49
1.16,1.16
1.17,1.20
1.31,1.00
1.03,1.08
1.13,1.11
1.06,1.04
1.25,1.23
1.13,1.10
1.07,1.05
1.09,1.06
1.08,1.06
1.24,1.20
0.96,0.95
1.01,0.98
1.02,0.99
0.94,0.94
1.05,1.05
1.03,1.04
1.21,1.16
0.98,0.94
1.14,1.12
1.34,1.30
1.16,1.18
1.07,1.06
1.11,1.10
1.30,1.27
1.61,1.60
1.15,1.22
1.12,1.10
1.10,1.09
1.24,1.22
0.97,0.97
1.03,1.02
1.06,1.29
1.04,0.95
1.05,0.94
1.27,1.00
0.96,1.00
1.00,1.03
1.09,1.06
1.27,1.23
0.98,0.95
0.95,0.92
0.94,0.93
1.17,1.14
1.07,1.04
1.06,1.08
1.06,1.32
1.06,1.15
1.06,1.01
1.07,1.02
1.18,1.01
1.37,1.02
1.11,1.02
1.05,1.04
1.04,1.14
1.03,0.97
1.03,0.95
1.05,1.02
1.23,1.01
0.91,1.01
1.01,1.02
1.07,0.91
1.05,0.91
1.25,0.94
0.95,0.96
1.04,0.99
1.23,1.18
0.99,0.96
1.01,0.97
1.03,1.01
1.05,1.03
1.13,1.10
1.27,1.24
1.72,1.71
1.30,1.32
1.06,1.03
1.07,1.04
1.07,1.06
1.07,1.06
1.07,1.05
1.11,1.07
1.19,1.18
1.41,1.37
1.02,1.00
1.07,0.99
1.37,1.00
1.01,1.01
1.03,1.37
1.03,1.03
1.09,1.07
1.26,1.24
1.13,1.07
1.35,1.32
1.10,1.06
1.07,1.03
1.15,1.12
1.21,1.19
1.05,1.01
1.37,1.32
1.25,1.23
1.28,1.25
1.00,0.97
1.10,1.02
1.15,1.02
1.01,1.08
0.99,1.00
1.09,1.06
1.44,1.37
1.15,1.18
1.15,1.12
1.27,1.25
0.95,0.93
0.95,0.93
0.95,0.94
1.23,1.19
1.08,1.06
1.26,1.23
0.94,0.94
0.96,0.93
0.99,1.09
0.98,0.94
0.92,0.95
1.11,0.99
1.23,1.18
1.33,1.33
1.06,1.03
1.09,1.21
1.00,0.94
0.95,0.93
0.92,0.97
1.11,1.08
1.22,1.19
0.99,0.95
0.99,0.95
0.91,0.89
1.22,1.16
1.10,1.05
1.23,1.22
0.89,0.88
0.87,0.86
1.22,1.18
1.19,1.13
1.29,1.28
1.24,1.28
1.11,1.06
1.59,1.09
1.61,1.09
1.05,1.21
1.05,1.67
1.03,1.09
1.03,1.03
1.09,1.09
1.32,1.31
1.24,1.28
1.08,1.05
1.28,1.26
0.94,0.92
0.97,0.97
0.90,0.91
1.35,1.35
1.38,1.36
0.94,0.93
1.11,1.10
1.50,1.53
1.63,1.60
1.09,1.10
1.13,1.13
1.06,0.84
1.08,0.89
1.08,0.92
1.21,0.91
0.87,0.92
0.96,0.94
1.09,1.00
1.11,1.08
1.25,1.21
1.27,1.30
1.08,1.08
1.17,1.14
1.26,1.25
0.95,0.91
0.98,0.94
1.00,0.96
0.96,0.94
1.30,1.25
1.15,1.13
1.11,1.10
1.11,1.11
1.27,1.21
1.72,1.76
1.35,1.38
1.23,1.23
0.95,0.92
0.91,0.89
0.91,0.99
1.36,1.33
0.91,0.90
0.90,0.89
0.98,0.97
1.27,1.25
1.29,1.28
0.85,0.84
0.90,0.87
0.95,0.90
0.97,0.94
0.97,0.96
0.98,0.98
0.99,0.97
0.99,0.96
