x,y,z,x2,y2,z2
0.02,1.00,0.32,0.15,1.03,0.26
0.03,1.00,0.32,0.15,1.03,0.26
0.02,1.00,0.31,0.15,1.03,0.26
0.02,1.00,0.31,0.15,1.02,0.26
0.03,1.00,0.31,0.17,1.01,0.26
0.01,1.02,0.30,0.19,1.00,0.25
-0.04,1.08,0.24,0.19,1.05,0.23
-0.03,1.11,0.20,0.15,1.09,0.21
-0.06,1.11,0.18,0.15,1.10,0.21
-0.07,1.12,0.16,0.14,1.11,0.17
-0.08,1.13,0.15,0.15,1.12,0.14
-0.11,1.18,0.09,0.17,1.16,0.07
-0.55,1.34,0.08,0.60,1.32,-0.04
-0.38,1.11,0.19,0.50,1.12,0.15
-0.17,1.14,0.13,0.25,1.10,0.12
-0.10,1.20,0.13,0.17,1.15,0.13
-0.08,1.16,0.16,0.16,1.13,0.15
-0.07,1.15,0.18,0.16,1.11,0.15
-0.09,1.14,0.20,0.18,1.16,0.08
-0.14,1.14,0.20,0.20,1.24,0.02
-0.13,1.13,0.20,0.18,0.90,0.06
-0.09,1.17,0.14,0.15,1.01,0.15
-0.16,0.95,0.06,0.21,1.02,0.17
-0.13,1.03,0.15,0.20,1.04,0.15
-0.06,1.14,0.13,0.15,1.08,0.13
-0.07,1.15,0.14,0.14,1.09,0.13
-0.07,1.14,0.15,0.13,1.08,0.14
-0.07,1.16,0.15,0.12,1.11,0.13
-0.07,1.17,0.15,0.13,1.12,0.13
-0.14,1.19,0.15,0.14,1.14,0.14
-0.17,1.18,0.16,0.15,1.14,0.16
-0.17,1.20,0.14,0.17,1.16,0.16
-0.10,1.16,0.15,0.20,1.16,0.14
-0.12,1.17,0.14,0.21,1.14,0.13
-0.14,1.16,0.13,0.22,1.14,0.11
-0.20,1.24,0.09,0.28,1.22,0.07
-0.41,0.99,-0.03,0.41,0.97,-0.02
-0.24,1.01,0.12,0.28,0.97,0.14
-0.12,1.21,0.05,0.18,1.14,0.09
-0.10,1.28,0.05,0.16,1.25,0.07
-0.09,1.25,0.06,0.18,1.22,0.06
-0.14,0.97,0.09,0.20,0.91,0.09
-0.10,1.09,0.12,0.20,1.06,0.14
-0.06,1.15,0.13,0.17,1.11,0.15
-0.05,1.14,0.15,0.17,1.11,0.15
-0.04,1.14,0.15,0.17,1.11,0.15
-0.04,1.13,0.14,0.16,1.10,0.14
-0.04,1.13,0.14,0.15,1.10,0.14
-0.04,1.16,0.12,0.15,1.09,0.13
-0.24,1.32,-0.03,0.15,1.08,0.14
-0.66,1.29,0.19,0.12,1.09,0.13
-0.29,1.07,0.18,0.08,1.10,0.11
-0.10,1.13,0.16,0.16,1.17,0.05
-0.04,1.07,0.20,0.31,1.29,-0.01
-0.02,1.07,0.20,0.71,1.74,-0.03
0.02,1.09,0.19,0.48,1.32,0.01
0.01,1.09,0.19,0.22,1.04,0.14
-0.02,1.08,0.19,0.17,1.06,0.15
-0.10,1.22,0.12,0.22,1.19,0.08
-0.22,1.00,0.02,0.21,0.95,0.03
-0.12,1.03,0.14,0.16,1.00,0.13
-0.11,1.29,0.03,0.20,1.25,-0.00
-0.53,1.35,0.20,0.63,1.35,0.11
-0.17,1.28,0.06,0.24,1.26,0.05
-0.10,0.91,0.23,0.15,0.90,0.22
-0.07,1.07,0.16,0.15,1.05,0.14
-0.09,1.16,0.12,0.18,1.05,0.14
-0.15,1.28,0.09,0.20,1.00,0.17
-0.62,1.75,0.24,0.19,1.01,0.17
-0.41,1.43,0.11,0.16,1.03,0.15
