y,y2
1.00,1.03
1.00,1.03
1.00,1.03
1.00,1.02
1.00,1.01
1.02,1.00
1.08,1.05
1.11,1.09
1.11,1.10
1.12,1.11
1.13,1.12
1.18,1.16
1.34,1.32
1.11,1.12
1.14,1.10
1.20,1.15
1.16,1.13
1.15,1.11
1.14,1.16
1.14,1.24
1.13,0.90
1.17,1.01
0.95,1.02
1.03,1.04
1.14,1.08
1.15,1.09
1.14,1.08
1.16,1.11
1.17,1.12
1.19,1.14
1.18,1.14
1.20,1.16
1.16,1.16
1.17,1.14
1.16,1.14
1.24,1.22
0.99,0.97
1.01,0.97
1.21,1.14
1.28,1.25
1.25,1.22
0.97,0.91
1.09,1.06
1.15,1.11
1.14,1.11
1.14,1.11
1.13,1.10
1.13,1.10
1.16,1.09
1.32,1.08
1.29,1.09
1.07,1.10
1.13,1.17
1.07,1.29
1.07,1.74
1.09,1.32
1.09,1.04
1.08,1.06
1.22,1.19
1.00,0.95
1.03,1.00
1.29,1.25
1.35,1.35
1.28,1.26
0.91,0.90
1.07,1.05
1.16,1.05
1.28,1.00
1.75,1.01
1.43,1.03
1.06,1.06
1.04,1.12
1.03,1.33
1.04,1.64
1.07,1.08
1.07,1.05
1.06,1.05
1.11,1.08
1.28,1.23
1.22,1.19
1.13,1.07
1.25,1.22
1.27,1.27
0.92,0.88
1.01,0.99
1.06,1.02
1.04,1.09
1.04,1.09
1.03,0.88
1.06,1.00
1.05,1.11
1.05,1.32
1.05,1.13
1.07,0.98
1.12,1.06
1.47,1.50
1.71,1.70
1.17,1.17
1.18,0.99
1.04,0.90
1.26,0.91
1.35,0.91
1.02,0.96
1.13,1.06
1.27,1.26
0.93,0.88
1.07,0.91
1.18,0.91
1.14,0.96
0.99,1.06
1.01,1.04
1.03,0.91
1.13,1.03
1.25,1.19
1.76,1.76
1.41,1.37
1.04,1.16
1.17,0.88
1.25,0.92
0.94,1.00
0.93,0.92
0.88,0.84
1.26,1.18
1.06,0.98
1.08,1.02
1.08,1.05
1.19,1.16
1.21,1.20
0.90,0.85
0.93,0.87
0.94,0.88
1.28,1.23
1.24,1.23
1.22,1.21
0.89,0.85
1.01,0.98
1.24,1.20
1.34,1.30
1.01,1.00
1.06,1.06
1.15,1.16
1.54,1.53
1.64,1.63
1.06,1.02
1.08,1.06
1.25,1.24
1.02,0.91
0.94,0.94
0.99,1.16
0.99,1.21
0.99,0.86
1.16,0.96
1.24,0.97
0.89,0.97
1.01,0.99
1.19,1.14
1.27,1.23
0.90,0.85
0.89,0.86
1.37,1.32
1.22,1.19
1.07,1.13
1.05,1.23
1.04,1.09
1.07,0.90
1.13,0.96
1.17,0.95
1.31,0.94
1.09,0.94
0.98,0.99
1.06,1.17
1.04,1.26
1.02,0.84
1.07,0.91
1.24,0.93
0.92,0.92
0.83,0.94
1.06,1.25
1.07,0.82
1.23,0.90
0.87,0.93
0.96,0.95
1.26,1.20
1.15,1.14
0.90,0.88
0.96,0.95
0.97,0.96
0.99,0.98
1.12,1.09
1.45,1.45
1.66,1.66
1.06,1.04
1.05,1.03
1.05,1.03
1.05,1.04
1.05,1.04
1.06,1.04
1.09,1.08
1.30,1.32
1.05,1.06
0.93,0.88
1.29,0.94
1.28,0.95
0.95,1.11
0.99,1.40
1.00,0.95
1.13,1.11
1.04,0.96
1.28,1.24
1.21,1.15
0.98,0.94
1.00,0.96
1.13,1.10
1.33,1.32
1.11,1.08
1.37,1.34
1.39,1.39
0.92,0.85
0.97,0.91
1.13,0.93
1.07,1.03
0.95,1.09
1.04,1.05
1.33,1.35
1.15,1.15
1.09,1.04
1.32,1.34
0.90,0.84
0.89,0.85
0.92,0.88
0.98,1.05
1.38,1.42
1.36,1.36
0.97,0.91
0.89,0.85
0.95,0.86
1.09,1.25
0.99,1.03
1.27,1.04
1.19,1.12
1.28,1.37
1.05,1.10
0.99,1.29
0.98,0.94
1.21,0.86
0.84,0.90
0.99,0.96
1.30,1.26
0.96,0.90
0.93,0.89
0.96,0.89
0.89,0.87
1.36,1.34
1.31,1.30
1.06,1.00
0.87,0.85
0.87,0.85
1.21,1.15
1.23,1.22
1.26,1.27
1.12,1.10
1.30,1.08
1.74,1.04
1.06,1.06
1.02,1.68
1.00,1.35
1.01,1.03
1.05,1.08
1.25,1.21
1.33,1.27
1.03,1.03
1.20,1.19
1.15,1.13
0.92,0.87
0.92,0.88
0.92,0.94
1.32,1.26
1.22,1.20
0.97,0.95
1.27,1.23
1.72,1.65
1.15,1.14
1.07,1.15
1.06,0.85
1.02,0.90
1.03,1.02
1.22,0.95
0.90,0.92
0.93,0.97
1.09,1.06
1.13,1.07
1.15,1.11
1.36,1.34
1.13,1.10
1.08,1.04
1.21,1.21
1.02,0.94
0.93,0.88
0.96,0.92
0.94,0.90
0.97,0.98
1.14,1.11
1.08,1.04
1.15,1.11
1.16,1.12
1.37,1.39
1.68,1.73
1.12,1.12
1.21,1.18
0.94,0.91
0.83,0.88
1.35,1.34
1.28,1.28
0.88,0.85
0.90,0.88
1.18,1.15
1.31,1.31
0.98,0.90
0.84,0.80
0.92,0.85
0.94,0.88
0.92,0.88
0.91,0.91
0.93,0.94
0.95,0.94
0.95,0.96
0.95,0.96
0.95,0.95
0.95,0.95
0.95,0.95
