x,y,z,x2,y2,z2,altezza
-0.30,1.24,-0.31,0.07,1.15,-0.37,1.69
-0.25,1.26,-0.30,0.08,1.14,-0.37,1.69
-0.24,1.25,-0.30,0.08,1.14,-0.37,1.69
-0.24,1.25,-0.30,0.08,1.14,-0.37,1.69
-0.24,1.25,-0.30,0.08,1.14,-0.37,1.69
-0.23,1.25,-0.29,0.07,1.13,-0.36,1.69
-0.22,1.33,-0.30,0.03,1.23,-0.35,1.69
-0.22,1.22,-0.33,-0.06,1.21,-0.35,1.69
-0.20,1.22,-0.32,0.02,1.18,-0.36,1.69
-0.22,1.22,-0.33,0.04,1.10,-0.35,1.69
-0.22,1.24,-0.34,0.02,1.19,-0.37,1.69
-0.23,1.26,-0.35,-0.01,1.24,-0.38,1.70
-0.24,1.26,-0.36,-0.00,1.26,-0.39,1.70
-0.26,1.31,-0.39,0.01,1.31,-0.42,1.71
-0.26,1.32,-0.41,-0.00,1.32,-0.45,1.72
-0.26,1.32,-0.42,-0.01,1.32,-0.45,1.71
-0.25,1.31,-0.42,-0.02,1.32,-0.46,1.71
-0.26,1.31,-0.46,0.07,1.34,-0.49,1.71
-0.68,1.40,-0.32,0.42,1.44,-0.22,1.71
-0.51,1.31,-0.41,0.25,1.40,-0.35,1.71
-0.37,1.33,-0.42,0.12,1.33,-0.41,1.70
-0.24,1.25,-0.36,0.05,1.28,-0.44,1.70
-0.22,1.24,-0.34,0.04,1.27,-0.48,1.70
-0.24,1.23,-0.33,0.07,1.33,-0.53,1.70
-0.23,1.22,-0.32,0.14,1.65,-0.47,1.69
-0.23,1.20,-0.30,0.16,1.11,-0.69,1.64
-0.23,1.14,-0.29,0.08,0.74,0.01,1.67
-0.23,1.45,-0.37,0.17,0.85,-0.14,1.68
-0.21,0.86,-0.26,0.12,0.93,-0.23,1.67
-0.24,1.12,-0.33,0.01,1.14,-0.41,1.70
-0.23,1.29,-0.35,0.01,1.26,-0.42,1.70
-0.17,1.20,-0.32,-0.02,1.15,-0.36,1.70
-0.23,1.27,-0.38,0.03,1.30,-0.41,1.70
-0.24,1.33,-0.40,0.01,1.29,-0.44,1.69
-0.28,1.31,-0.44,0.02,1.28,-0.45,1.69
-0.29,1.47,-0.46,0.04,1.40,-0.47,1.70
-0.33,1.58,-0.38,0.10,1.60,-0.36,1.70
-0.29,1.13,-0.35,0.03,1.16,-0.35,1.70
-0.25,1.23,-0.41,0.02,1.21,-0.41,1.70
-0.26,1.24,-0.44,0.07,1.24,-0.45,1.70
-0.35,1.63,-0.45,0.17,1.62,-0.43,1.70
-0.37,1.63,-0.46,0.20,1.70,-0.33,1.67
-0.45,0.80,0.09,0.07,0.80,0.20,1.63
-0.45,0.85,-0.09,0.10,0.74,-0.02,1.69
-0.29,1.47,-0.50,0.15,1.47,-0.50,1.69
-0.28,1.74,-0.31,0.06,1.77,-0.25,1.68
-0.19,1.37,-0.66,0.16,1.40,-0.60,1.61
-0.45,0.82,-0.03,0.16,0.79,0.18,1.64
-0.45,0.90,-0.13,0.11,0.75,-0.13,1.69
-0.26,1.17,-0.40,-0.00,1.08,-0.42,1.70
-0.20,1.32,-0.45,-0.00,0.97,-0.32,1.70
-0.02,1.31,-0.37,0.02,0.94,-0.29,1.70
0.00,1.37,-0.35,0.03,0.93,-0.28,1.69
-0.20,1.44,-0.61,0.03,0.94,-0.29,1.69
-0.18,1.38,-0.61,0.03,0.95,-0.31,1.69
-0.87,1.42,-0.51,-0.00,0.94,-0.30,1.68
-0.76,1.19,-0.03,-0.01,1.09,-0.41,1.69
-0.45,1.09,-0.27,0.07,1.36,-0.60,1.70
-0.37,1.09,-0.29,0.18,1.37,-0.58,1.70
-0.39,1.07,-0.23,0.42,1.62,-0.61,1.70
-0.40,1.10,-0.25,0.39,1.73,-0.34,1.70
-0.33,1.18,-0.33,0.16,1.40,-0.45,1.70
-0.33,1.58,-0.44,0.12,1.65,-0.43,1.69
-0.34,1.78,-0.26,0.04,1.85,-0.25,1.66
-0.33,1.75,-0.38,0.05,1.79,-0.35,1.64
-0.28,0.78,-0.26,0.04,0.74,-0.21,1.63
-0.17,1.34,-0.49,-0.15,1.19,-0.61,1.69
-0.76,1.52,-0.54,0.46,1.55,-0.52,1.68
-0.64,1.77,-0.03,0.25,1.82,0.07,1.68
-0.24,0.88,-0.38,0.03,0.81,-0.29,1.67
-0.42,0.92,-0.21,0.18,0.76,-0.02,1.69
-0.28,1.15,-0.40,-0.01,1.10,-0.48,1.70
-0.19,1.12,-0.37,-0.00,0.98,-0.39,1.70
-0.31,1.24,-0.54,0.03,0.83,-0.22,1.70
-0.52,1.99,-0.09,0.01,0.92,-0.32,1.70
-0.50,1.66,-0.18,-0.04,1.11,-0.45,1.70
-0.36,1.27,-0.32,-0.02,1.21,-0.50,1.71
-0.31,1.23,-0.29,0.02,1.28,-0.47,1.71
-0.31,1.20,-0.27,0.55,1.80,-0.26,1.71
-0.28,1.23,-0.31,0.26,1.59,-0.39,1.70
-0.29,1.23,-0.36,0.13,1.43,-0.44,1.70
-0.28,1.13,-0.38,0.04,1.29,-0.48,1.70
-0.09,1.17,-0.44,-0.27,1.34,-0.48,1.69
0.11,1.21,-0.40,-0.43,1.38,-0.40,1.69
-0.74,1.21,-0.30,0.50,1.43,-0.01,1.69
-0.57,1.16,-0.32,0.31,1.18,-0.24,1.69
-0.41,1.26,-0.40,0.14,1.24,-0.41,1.69
-0.32,1.69,-0.30,0.07,1.74,-0.30,1.68
-0.22,1.29,-0.62,0.12,1.30,-0.57,1.65
-0.29,0.87,-0.26,0.09,0.72,-0.10,1.66
-0.26,1.14,-0.41,0.04,1.06,-0.47,1.69
-0.28,1.20,-0.35,0.07,1.60,-0.49,1.69
-0.35,1.13,-0.28,0.07,1.79,-0.30,1.68
-0.36,1.14,-0.27,0.09,0.72,-0.19,1.67
-0.31,1.17,-0.30,0.13,0.75,-0.03,1.68
-0.30,1.20,-0.30,0.04,1.21,-0.53,1.69
-0.37,1.19,-0.25,-0.11,1.39,-0.53,1.69
-0.42,1.17,-0.25,0.70,1.46,-0.01,1.69
-0.33,1.21,-0.34,0.26,0.96,-0.17,1.69
-0.28,1.20,-0.32,0.05,1.17,-0.44,1.70
-0.34,1.18,-0.29,0.13,1.35,-0.55,1.70
-0.68,1.94,-0.25,0.47,1.99,0.03,1.70
-0.57,1.83,-0.20,0.27,1.90,-0.12,1.69
-0.43,1.80,-0.26,0.12,1.86,-0.20,1.69
-0.18,0.81,-0.49,0.16,1.72,-0.27,1.66
-0.21,1.04,-0.33,0.17,1.42,-0.38,1.69
-0.36,1.29,-0.61,0.15,1.34,-0.39,1.69
-0.77,1.34,-0.08,0.10,1.29,-0.39,1.69
-0.37,1.30,-0.43,0.07,1.32,-0.45,1.69
-0.27,1.70,-0.40,0.06,1.73,-0.40,1.68
-0.21,1.53,-0.56,0.11,1.61,-0.46,1.62
-0.23,0.84,-0.33,0.11,0.79,-0.31,1.63
-0.23,1.14,-0.50,0.14,1.07,-0.49,1.67
-0.38,1.07,-0.56,0.08,0.93,-0.32,1.62
-0.82,1.09,0.01,-0.01,1.06,-0.46,1.67
-0.53,0.97,-0.09,0.05,1.23,-0.61,1.68
-0.39,1.02,-0.32,0.63,1.26,-0.05,1.69
-0.31,1.00,-0.31,0.08,0.94,-0.29,1.70
-0.34,1.23,-0.49,0.05,1.29,-0.55,1.70
-0.43,1.39,-0.65,0.26,1.52,-0.55,1.70
-0.53,1.93,-0.13,0.22,1.92,0.04,1.69
-0.40,1.64,-0.24,0.04,1.91,-0.13,1.69
-0.38,1.29,-0.28,0.11,1.78,-0.38,1.68
-0.32,1.25,-0.27,0.07,0.71,-0.02,1.68
-0.23,1.17,-0.49,0.15,0.81,-0.17,1.65
-0.27,0.93,-0.28,0.12,1.08,-0.40,1.68
-0.31,1.19,-0.42,0.13,1.42,-0.48,1.68
-0.22,0.81,-0.38,0.04,0.83,-0.39,1.65
-0.42,1.79,-0.13,0.06,1.80,0.01,1.67
-0.41,1.67,-0.22,0.03,1.71,-0.20,1.68
-0.37,1.46,-0.33,-0.01,1.51,-0.37,1.69
-0.36,1.38,-0.35,0.00,1.40,-0.40,1.70
-0.35,1.54,-0.34,0.03,1.59,-0.37,1.69
-0.25,1.01,-0.50,0.04,0.96,-0.48,1.66
-0.30,0.99,-0.36,0.06,0.88,-0.36,1.68
-0.27,1.22,-0.47,0.05,1.26,-0.53,1.68
-0.25,0.73,-0.24,0.05,0.69,-0.17,1.61
-0.37,1.71,-0.28,0.12,1.73,-0.12,1.66
-0.37,1.61,-0.22,0.09,1.67,-0.16,1.68
-0.33,1.61,-0.34,0.04,1.65,-0.27,1.64
-0.27,0.82,-0.20,0.05,0.73,0.00,1.62
-0.30,1.09,-0.35,0.13,0.91,-0.29,1.70
-0.47,1.36,-0.63,0.30,1.46,-0.51,1.69
-0.87,1.35,-0.11,0.55,1.42,-0.01,1.69
-0.50,1.06,-0.30,0.26,1.07,-0.32,1.70
-0.39,1.27,-0.49,0.13,1.28,-0.49,1.70
-0.38,1.23,-0.50,0.09,1.27,-0.50,1.70
-0.74,1.96,-0.35,0.49,1.91,-0.02,1.71
-0.56,1.80,-0.16,0.22,1.79,-0.12,1.70
-0.48,1.59,-0.34,0.13,1.65,-0.37,1.69
-0.37,1.76,-0.31,0.03,1.81,-0.31,1.67
-0.34,1.72,-0.37,0.01,1.79,-0.33,1.65
-0.23,0.81,-0.30,0.02,0.76,-0.22,1.63
-0.30,1.01,-0.35,0.05,0.93,-0.37,1.68
-0.31,1.08,-0.34,0.21,1.72,-0.40,1.68
-0.34,1.04,-0.27,0.42,1.30,-0.59,1.65
-0.38,1.13,-0.34,0.06,0.73,0.01,1.67
-0.43,1.67,-0.28,0.12,0.85,-0.25,1.68
-0.53,0.80,-0.43,0.04,0.87,-0.21,1.62
-0.54,0.84,0.03,-0.02,0.96,-0.35,1.68
-0.39,1.16,-0.50,-0.03,1.14,-0.51,1.69
-0.37,1.59,-0.51,0.08,1.61,-0.50,1.68
-0.19,1.31,-0.63,0.14,1.37,-0.56,1.61
-0.22,0.96,-0.41,0.06,0.94,-0.43,1.65
