x,y,z,x2,y2,z2
-0.38,1.68,0.04,0.14,1.05,-0.33
-0.38,1.68,0.05,0.14,1.04,-0.32
-0.36,1.67,0.07,0.15,1.06,-0.32
-0.34,1.68,-0.02,0.14,1.58,-0.20
-0.27,1.36,-0.33,0.21,1.70,-0.00
-0.18,1.08,-0.32,0.27,1.71,-0.06
-0.21,1.07,-0.32,0.24,1.71,-0.07
-0.25,1.06,-0.31,0.18,1.70,-0.00
-0.31,1.05,-0.33,0.10,1.67,0.04
-0.31,1.05,-0.35,0.05,1.67,0.04
-0.33,1.32,-0.39,0.10,1.74,-0.06
-0.21,1.77,-0.16,0.14,1.77,-0.07
-0.14,1.77,-0.12,0.19,1.77,-0.10
-0.19,1.36,-0.46,0.22,1.34,-0.49
-0.20,1.31,-0.49,0.23,1.32,-0.52
-0.40,1.31,-0.49,0.58,1.36,-0.51
-0.58,1.07,-0.28,0.71,1.02,-0.23
-0.24,0.86,-0.26,0.29,0.85,-0.27
-0.10,1.02,-0.34,0.23,1.04,-0.39
-0.12,1.05,-0.38,0.23,1.04,-0.38
-0.06,1.04,-0.36,0.24,1.13,-0.43
-0.10,1.07,-0.37,0.22,1.28,-0.45
-0.13,1.07,-0.36,0.21,1.26,-0.48
-0.14,1.21,-0.38,0.23,0.89,-0.38
-0.15,1.36,-0.42,0.23,0.87,-0.35
-0.13,0.96,-0.42,0.24,0.89,-0.34
-0.11,0.87,-0.32,0.25,0.88,-0.33
-0.13,0.91,-0.34,0.19,0.89,-0.34
-0.17,1.27,-0.39,0.17,1.27,-0.42
-0.17,1.71,-0.12,0.22,1.71,-0.13
-0.13,1.72,-0.09,0.20,1.72,-0.10
-0.13,1.72,-0.08,0.19,1.73,-0.10
-0.17,1.72,-0.15,0.20,1.73,-0.18
-0.27,1.23,-0.46,0.26,1.26,-0.50
-0.25,0.78,0.02,0.34,0.77,0.01
-0.26,0.80,-0.12,0.33,0.76,-0.13
-0.30,1.13,-0.45,0.29,1.06,-0.49
-0.31,1.25,-0.44,0.35,1.31,-0.52
-0.34,1.28,-0.44,0.43,1.31,-0.52
-0.39,0.90,-0.33,0.57,0.98,-0.42
-0.30,0.79,-0.15,0.46,0.79,-0.18
-0.26,0.83,-0.27,0.39,0.81,-0.29
-0.18,1.16,-0.41,0.27,1.16,-0.46
-0.12,1.16,-0.44,0.20,1.20,-0.48
-0.13,0.78,-0.22,0.25,0.78,-0.25
-0.16,0.76,-0.14,0.29,0.76,-0.14
-0.12,0.79,-0.22,0.22,0.85,-0.31
-0.15,0.82,-0.23,0.14,0.83,-0.29
-0.28,0.76,-0.16,0.14,0.76,-0.13
-0.33,0.76,-0.14,0.06,0.78,-0.13
-0.30,0.96,-0.40,0.05,0.81,-0.21
-0.33,1.28,-0.55,0.06,0.81,-0.19
-0.45,1.34,-0.56,0.06,0.79,-0.15
-0.87,1.26,-0.31,0.05,0.80,-0.20
-0.79,1.05,-0.07,0.05,0.82,-0.25
-0.63,0.94,-0.06,0.11,0.95,-0.38
-0.53,0.94,-0.19,0.32,1.23,-0.54
-0.48,0.94,-0.27,0.78,1.91,-0.43
