x,y,z,x2,y2,z2,altezza
-0.19,1.05,-0.03,0.02,1.05,-0.11,1.56
-0.20,1.06,-0.07,0.03,1.06,-0.11,1.56
-0.20,0.98,-0.08,0.05,0.98,-0.09,1.56
-0.31,0.74,0.18,0.24,0.75,0.16,1.57
-0.32,0.83,0.04,0.25,0.76,0.17,1.57
-0.34,1.22,-0.11,0.23,1.01,-0.08,1.57
-0.34,1.47,0.00,0.18,1.36,-0.07,1.58
-0.28,1.37,-0.11,0.24,1.38,-0.08,1.58
-0.23,1.22,-0.12,0.18,1.25,-0.12,1.58
-0.16,1.16,-0.16,0.08,1.26,-0.16,1.59
0.02,1.14,-0.09,-0.20,1.33,-0.02,1.59
-0.54,1.31,-0.17,0.40,1.33,-0.25,1.59
-0.75,1.33,0.10,0.75,1.33,0.15,1.59
-0.53,1.43,-0.10,0.53,1.54,-0.04,1.59
-0.38,1.50,-0.10,0.36,1.61,-0.08,1.59
-0.33,1.36,-0.16,0.31,1.43,-0.21,1.57
-0.26,1.22,-0.20,0.28,1.27,-0.25,1.53
-0.28,1.23,-0.19,0.22,1.21,-0.23,1.56
-0.27,1.23,-0.18,0.21,1.40,-0.23,1.55
-0.24,1.19,-0.20,0.10,0.79,-0.13,1.55
-0.18,1.47,-0.15,0.17,1.08,-0.28,1.58
-0.20,1.01,-0.27,0.16,1.06,-0.24,1.58
-0.23,0.96,-0.16,0.19,1.08,-0.22,1.58
-0.25,1.15,-0.14,0.19,1.13,-0.19,1.59
-0.26,1.17,-0.13,0.20,1.17,-0.18,1.59
-0.25,1.14,-0.13,0.17,1.13,-0.18,1.58
-0.22,1.12,-0.12,0.17,1.10,-0.18,1.57
-0.21,1.11,-0.12,0.19,1.10,-0.18,1.57
-0.22,1.11,-0.12,0.19,1.11,-0.17,1.57
-0.23,1.10,-0.11,0.19,1.11,-0.18,1.57
-0.23,1.10,-0.10,0.19,1.10,-0.16,1.57
-0.23,1.11,-0.09,0.20,1.11,-0.16,1.57
-0.26,1.12,-0.09,0.22,1.13,-0.16,1.56
-0.26,1.07,-0.08,0.23,1.07,-0.16,1.56
-0.31,1.17,-0.15,0.29,1.20,-0.24,1.56
-0.48,0.95,-0.24,0.41,0.90,-0.26,1.50
-0.38,0.93,-0.11,0.35,0.94,-0.15,1.56
-0.28,1.28,-0.11,0.23,1.31,-0.15,1.58
-0.28,1.34,-0.07,0.17,1.41,-0.08,1.58
-0.19,1.23,-0.06,0.15,1.30,-0.09,1.57
-0.21,0.86,-0.03,0.15,0.84,-0.04,1.56
-0.24,1.01,-0.08,0.16,1.03,-0.10,1.59
-0.23,1.11,-0.07,0.14,1.16,-0.10,1.59
-0.23,1.09,-0.07,0.17,1.13,-0.08,1.59
-0.23,1.10,-0.06,0.20,1.11,-0.07,1.56
-0.22,1.13,-0.08,0.21,1.11,-0.08,1.57
-0.22,1.17,-0.15,0.21,1.11,-0.09,1.57
-0.15,1.12,-0.15,0.23,1.11,-0.09,1.57
-0.19,1.19,-0.17,0.21,1.10,-0.09,1.57
-0.83,1.30,-0.08,0.13,1.06,-0.10,1.54
-0.40,0.89,0.03,0.22,1.23,-0.24,1.55
-0.20,0.90,0.05,0.11,1.22,-0.24,1.56
-0.19,0.91,0.05,0.28,1.27,-0.27,1.56
-0.03,0.93,0.05,0.58,1.73,-0.32,1.58
0.00,0.99,-0.01,0.41,1.47,-0.22,1.58
-0.12,1.10,-0.08,0.30,1.08,-0.16,1.57
-0.17,1.15,-0.18,0.18,1.13,-0.19,1.56
-0.16,1.11,-0.15,0.13,1.08,-0.20,1.56
-0.16,0.93,-0.18,0.14,0.91,-0.23,1.53
-0.31,1.10,-0.24,0.22,1.19,-0.32,1.55
-0.14,1.08,-0.24,-0.09,1.23,-0.23,1.56
-0.63,1.31,-0.05,0.67,1.34,0.03,1.56
-0.14,1.21,-0.27,0.14,1.27,-0.27,1.51
-0.14,0.79,-0.00,0.14,0.75,-0.01,1.53
-0.27,1.11,-0.18,0.20,1.15,-0.25,1.57
-0.16,1.22,-0.20,0.21,1.19,-0.23,1.58
-0.11,0.96,-0.06,0.29,1.12,-0.20,1.57
-0.66,1.74,-0.35,0.17,1.12,-0.25,1.56
-0.62,1.29,-0.21,0.07,1.19,-0.30,1.56
-0.12,0.95,-0.07,0.33,1.41,-0.30,1.57
-0.07,0.95,0.01,0.26,1.52,-0.34,1.58
-0.03,0.92,0.05,0.06,1.10,-0.15,1.58
0.08,0.95,0.04,0.66,1.78,0.01,1.60
-0.02,1.01,-0.09,0.40,1.32,-0.22,1.58
-0.08,0.99,-0.21,0.12,1.28,-0.36,1.56
0.13,0.98,-0.22,-0.20,1.23,-0.28,1.54
0.22,0.99,-0.12,-0.34,1.17,-0.10,1.51
-0.40,0.96,-0.46,0.37,1.26,-0.45,1.47
-0.55,1.00,-0.16,0.54,1.11,-0.19,1.50
-0.10,0.92,-0.23,0.00,1.16,-0.34,1.51
-0.10,0.91,-0.19,0.14,1.04,-0.29,1.52
-0.21,1.17,-0.31,0.16,1.22,-0.34,1.51
-0.13,0.73,-0.07,0.11,0.72,-0.10,1.50
-0.22,0.86,-0.13,0.12,0.97,-0.28,1.55
-0.24,0.98,-0.17,0.12,1.16,-0.32,1.56
-0.23,0.99,-0.16,0.13,1.22,-0.33,1.53
-0.19,0.91,-0.11,0.18,1.18,-0.39,1.49
-0.18,0.93,-0.11,0.12,0.76,-0.15,1.52
-0.27,0.98,-0.10,0.18,1.20,-0.37,1.55
-0.18,0.95,-0.08,-0.13,1.26,-0.25,1.55
-0.05,0.93,-0.08,0.14,1.25,-0.31,1.54
0.00,0.98,-0.12,0.80,1.24,0.20,1.55
-0.25,1.26,-0.26,0.47,0.95,-0.05,1.56
-0.16,1.00,-0.14,0.24,1.01,-0.16,1.57
-0.35,1.13,-0.24,0.20,1.11,-0.27,1.58
-0.59,1.83,-0.05,0.40,1.92,0.01,1.64
-0.37,1.44,-0.24,0.29,1.63,-0.14,1.59
-0.20,1.19,-0.33,0.31,1.45,-0.21,1.55
-0.23,0.84,-0.22,0.34,1.27,-0.20,1.55
-0.26,1.19,-0.33,0.29,1.26,-0.23,1.56
-0.77,1.25,-0.17,0.23,1.26,-0.25,1.55
-0.40,0.97,-0.15,0.15,1.06,-0.26,1.56
-0.19,1.12,-0.30,0.11,1.16,-0.32,1.56
-0.14,1.23,-0.30,0.09,1.29,-0.32,1.54
-0.18,0.77,-0.19,0.12,0.79,-0.24,1.48
