x,y,z,x2,y2,z2
-0.04,1.09,-0.15,0.18,1.08,-0.12
-0.04,1.08,-0.15,0.18,1.08,-0.12
-0.05,1.08,-0.15,0.18,1.08,-0.12
-0.18,1.12,-0.16,0.13,1.09,-0.15
-0.24,1.14,-0.13,0.08,1.20,-0.19
-0.23,1.15,-0.15,0.03,1.29,-0.24
-0.23,1.17,-0.16,-0.01,1.20,-0.25
-0.23,1.15,-0.15,-0.02,1.24,-0.27
-0.23,1.18,-0.17,-0.02,1.18,-0.27
-0.24,1.14,-0.16,0.00,1.13,-0.21
-0.23,1.16,-0.17,0.02,1.16,-0.20
-0.23,1.17,-0.18,0.03,1.18,-0.20
-0.22,1.11,-0.16,0.02,1.16,-0.18
-0.22,1.06,-0.15,0.02,1.14,-0.17
-0.23,1.13,-0.20,-0.05,1.23,-0.17
-0.38,1.25,-0.29,0.05,1.35,-0.22
-0.84,1.39,-0.20,0.60,1.44,-0.22
-0.59,1.22,-0.19,0.39,1.22,-0.20
-0.24,1.03,-0.11,0.08,1.00,-0.12
-0.24,1.07,-0.14,0.08,1.01,-0.13
-0.21,1.09,-0.14,0.08,1.03,-0.13
-0.22,1.09,-0.15,0.07,1.03,-0.13
-0.22,1.09,-0.15,0.11,1.31,-0.26
-0.23,1.08,-0.14,0.14,1.32,-0.35
-0.22,1.11,-0.16,0.09,0.97,-0.22
-0.22,1.39,-0.19,0.16,0.81,-0.00
-0.20,1.10,-0.27,0.20,0.84,0.00
-0.19,1.10,-0.15,0.15,0.84,-0.04
-0.24,1.07,-0.14,0.05,1.03,-0.15
-0.22,1.19,-0.13,0.02,1.07,-0.17
-0.20,1.19,-0.12,0.01,1.08,-0.16
-0.22,1.22,-0.13,0.01,1.09,-0.16
-0.27,1.22,-0.14,0.07,1.17,-0.16
-0.28,1.15,-0.16,0.11,1.20,-0.14
-0.22,1.16,-0.12,0.11,1.08,-0.13
-0.26,1.14,-0.13,0.10,1.09,-0.13
-0.26,1.10,-0.11,0.08,1.05,-0.11
-0.28,1.02,-0.07,0.10,0.99,-0.07
-0.39,1.02,-0.11,0.17,1.00,-0.11
-0.52,1.56,-0.08,0.29,1.57,-0.15
-0.61,0.98,-0.16,0.43,1.03,-0.19
-0.43,1.39,-0.20,0.28,1.31,-0.25
-0.25,1.19,-0.20,0.07,1.18,-0.24
-0.31,1.57,-0.08,0.08,1.59,-0.11
-0.21,1.22,-0.34,0.05,1.26,-0.34
-0.23,1.35,-0.28,0.03,1.34,-0.28
-0.22,0.99,-0.17,0.05,0.97,-0.17
-0.21,1.01,-0.09,0.06,0.95,-0.11
-0.22,1.03,-0.10,0.01,1.02,-0.13
-0.25,1.05,-0.11,-0.01,1.04,-0.13
-0.26,1.04,-0.09,-0.02,1.03,-0.11
-0.25,1.05,-0.10,-0.01,1.01,-0.10
-0.26,1.17,-0.16,0.01,0.97,-0.09
-0.58,1.31,-0.32,-0.03,0.95,-0.11
-0.90,1.35,-0.19,-0.03,0.99,-0.13
-0.43,0.83,-0.02,-0.02,1.00,-0.13
-0.34,0.89,-0.07,0.09,1.09,-0.19
-0.27,0.92,-0.08,0.34,1.50,-0.42
-0.24,0.92,-0.08,0.54,1.78,-0.30
-0.20,0.96,-0.10,0.34,1.26,-0.25
-0.19,0.97,-0.10,0.05,1.01,-0.13
-0.20,1.01,-0.15,0.04,1.05,-0.18
-0.22,1.41,-0.21,0.06,1.43,-0.26
-0.18,1.03,-0.25,0.05,1.10,-0.28
-0.22,1.22,-0.26,0.03,1.26,-0.26
-0.52,1.30,-0.34,0.28,1.31,-0.35
-0.55,1.49,-0.17,0.33,1.54,-0.21
-0.16,1.01,-0.29,0.05,1.03,-0.30
-0.19,1.04,-0.20,0.01,1.01,-0.20
-0.25,0.92,-0.08,0.05,0.90,-0.10
-0.33,1.10,-0.20,0.05,0.90,-0.09
-0.59,1.50,-0.38,0.01,0.90,-0.09
-0.87,1.84,-0.22,-0.00,0.92,-0.11
-0.55,1.24,-0.21,-0.04,0.93,-0.12
-0.21,1.12,-0.21,0.05,0.94,-0.16
-0.12,1.13,-0.24,0.18,1.02,-0.26
-0.13,1.12,-0.24,0.58,1.73,-0.49
-0.15,1.10,-0.24,0.60,1.63,-0.48
-0.19,1.07,-0.23,0.19,1.02,-0.30
-0.28,1.01,-0.23,0.02,1.04,-0.26
-0.50,0.93,-0.20,-0.19,1.24,-0.24
-0.36,0.96,-0.42,-0.40,1.32,-0.32
0.27,1.17,-0.23,0.23,1.38,-0.55
-0.04,0.95,-0.25,0.11,1.20,-0.37
-0.20,0.99,-0.27,0.09,1.08,-0.30
-0.22,1.41,-0.29,0.08,1.42,-0.32
-0.19,1.05,-0.40,0.10,1.09,-0.41
-0.18,0.96,-0.31,0.08,1.01,-0.32
-0.18,1.01,-0.24,0.08,0.97,-0.23
-0.19,1.03,-0.24,0.08,0.87,-0.19
-0.20,1.04,-0.23,0.08,1.35,-0.39
-0.21,1.04,-0.22,0.11,1.02,-0.41
-0.19,1.04,-0.22,0.04,0.90,-0.21
-0.19,1.05,-0.23,0.05,0.92,-0.22
-0.22,1.06,-0.22,0.09,1.18,-0.33
-0.24,1.05,-0.21,0.63,1.46,-0.36
-0.22,1.05,-0.20,0.27,1.10,-0.32
-0.23,0.98,-0.17,0.08,0.93,-0.15
-0.41,1.29,-0.33,0.18,1.26,-0.36
-0.76,1.83,-0.27,0.52,1.83,-0.32
-0.52,1.47,-0.26,0.33,1.43,-0.29
-0.21,1.23,-0.26,0.16,0.93,-0.18
-0.20,0.89,-0.29,0.13,0.91,-0.17
-0.15,1.10,-0.24,0.14,0.85,-0.13
-0.52,1.33,-0.39,0.10,0.83,-0.14
-0.85,1.32,-0.18,0.10,0.85,-0.15
-0.26,0.94,-0.21,0.05,0.91,-0.20
-0.18,1.33,-0.29,0.06,1.32,-0.31
-0.14,1.22,-0.32,0.07,1.27,-0.32
-0.18,1.05,-0.30,0.10,1.00,-0.31
-0.28,1.10,-0.29,0.09,0.87,-0.19
-0.61,1.10,-0.29,0.06,0.86,-0.18
-0.62,1.00,-0.18,0.04,1.00,-0.24
-0.26,0.98,-0.20,0.16,1.10,-0.36
-0.31,0.98,-0.18,0.55,1.09,-0.28
-0.25,0.95,-0.14,0.14,0.88,-0.13
-0.39,1.20,-0.31,0.15,1.16,-0.31
-0.62,1.60,-0.40,0.37,1.62,-0.46
-0.80,1.84,-0.23,0.56,1.82,-0.28
-0.47,1.28,-0.27,0.25,1.24,-0.29
-0.25,1.21,-0.21,0.06,1.30,-0.31
