y,y2
1.09,1.08
1.08,1.08
1.08,1.08
1.12,1.09
1.14,1.20
1.15,1.29
1.17,1.20
1.15,1.24
1.18,1.18
1.14,1.13
1.16,1.16
1.17,1.18
1.11,1.16
1.06,1.14
1.13,1.23
1.25,1.35
1.39,1.44
1.22,1.22
1.03,1.00
1.07,1.01
1.09,1.03
1.09,1.03
1.09,1.31
1.08,1.32
1.11,0.97
1.39,0.81
1.10,0.84
1.10,0.84
1.07,1.03
1.19,1.07
1.19,1.08
1.22,1.09
1.22,1.17
1.15,1.20
1.16,1.08
1.14,1.09
1.10,1.05
1.02,0.99
1.02,1.00
1.56,1.57
0.98,1.03
1.39,1.31
1.19,1.18
1.57,1.59
1.22,1.26
1.35,1.34
0.99,0.97
1.01,0.95
1.03,1.02
1.05,1.04
1.04,1.03
1.05,1.01
1.17,0.97
1.31,0.95
1.35,0.99
0.83,1.00
0.89,1.09
0.92,1.50
0.92,1.78
0.96,1.26
0.97,1.01
1.01,1.05
1.41,1.43
1.03,1.10
1.22,1.26
1.30,1.31
1.49,1.54
1.01,1.03
1.04,1.01
0.92,0.90
1.10,0.90
1.50,0.90
1.84,0.92
1.24,0.93
1.12,0.94
1.13,1.02
1.12,1.73
1.10,1.63
1.07,1.02
1.01,1.04
0.93,1.24
0.96,1.32
1.17,1.38
0.95,1.20
0.99,1.08
1.41,1.42
1.05,1.09
0.96,1.01
1.01,0.97
1.03,0.87
1.04,1.35
1.04,1.02
1.04,0.90
1.05,0.92
1.06,1.18
1.05,1.46
1.05,1.10
0.98,0.93
1.29,1.26
1.83,1.83
1.47,1.43
1.23,0.93
0.89,0.91
1.10,0.85
1.33,0.83
1.32,0.85
0.94,0.91
1.33,1.32
1.22,1.27
1.05,1.00
1.10,0.87
1.10,0.86
1.00,1.00
0.98,1.10
0.98,1.09
0.95,0.88
1.20,1.16
1.60,1.62
1.84,1.82
1.28,1.24
1.21,1.30
1.23,0.96
1.10,0.89
0.89,0.85
0.74,0.75
0.81,0.81
1.43,1.39
1.08,1.01
0.99,0.92
0.99,0.91
1.37,1.40
0.87,0.90
0.83,0.84
0.81,0.78
0.81,0.78
1.47,1.44
1.31,1.26
1.32,1.35
0.91,0.92
1.18,1.20
1.32,1.31
1.35,1.36
1.01,0.99
0.97,0.94
1.26,1.24
1.81,1.81
1.33,1.31
0.98,0.97
0.97,0.96
1.31,1.33
0.97,0.97
0.94,0.87
1.02,1.20
1.02,1.02
1.02,0.77
1.19,0.78
0.93,0.85
0.94,0.87
0.94,0.83
1.06,1.01
0.96,0.98
0.89,0.90
0.93,0.93
1.40,1.40
1.03,0.96
1.10,1.14
1.09,1.35
1.08,1.30
1.07,0.92
1.13,0.86
1.30,0.85
1.40,0.85
1.24,0.88
1.08,0.92
1.09,1.15
1.07,1.16
1.09,1.01
1.07,0.84
1.29,0.81
0.89,0.87
0.91,0.87
1.02,0.91
1.09,0.85
1.28,0.84
1.07,0.90
0.98,0.91
1.36,1.35
0.99,1.01
0.97,0.92
0.98,0.94
0.99,0.95
0.97,0.94
1.26,1.24
1.89,1.87
1.64,1.62
1.09,1.08
1.06,1.08
1.04,1.06
1.04,1.05
1.03,1.04
1.03,1.04
1.12,1.20
1.38,1.43
1.17,1.23
0.80,0.89
1.53,0.89
1.02,0.85
1.05,1.08
0.98,1.18
1.02,1.00
1.34,1.38
1.00,1.05
1.37,1.35
0.98,0.95
1.02,0.96
0.95,0.90
1.04,1.01
0.93,0.96
1.30,1.29
1.48,1.55
1.35,1.42
0.82,0.90
0.90,0.86
1.08,0.90
1.05,1.03
1.00,1.11
1.24,1.17
1.36,1.40
1.15,1.15
0.94,0.95
1.31,1.36
1.00,1.05
0.86,0.85
0.73,0.77
1.31,1.29
1.03,0.99
1.22,1.28
0.94,0.98
1.08,0.84
1.04,1.16
0.95,0.91
0.90,0.87
1.06,0.88
1.20,1.16
1.34,1.39
1.09,1.13
1.06,1.32
1.07,1.00
0.91,0.94
1.03,0.97
1.04,0.90
1.10,1.20
1.04,1.03
1.00,0.95
0.95,0.91
1.30,1.28
1.09,1.07
1.35,1.38
0.90,0.95
0.79,0.81
1.08,1.06
1.46,1.36
1.39,1.38
1.36,1.41
1.16,1.02
1.71,0.93
1.50,0.96
1.14,1.31
1.17,1.68
1.11,1.04
1.07,0.97
1.13,1.12
1.30,1.31
1.27,1.29
1.03,1.00
1.36,1.38
0.95,0.96
0.92,0.92
0.81,0.82
1.36,1.31
1.33,1.36
0.91,0.95
0.99,1.02
1.56,1.53
1.70,1.71
1.17,1.12
1.15,1.23
1.11,0.88
1.04,0.79
1.04,0.78
1.30,0.81
1.02,0.83
0.96,0.79
0.96,0.83
1.09,1.05
1.30,1.35
1.40,1.44
1.02,1.02
0.99,0.93
1.39,1.40
1.04,1.08
0.91,0.88
0.93,0.92
0.75,0.75
1.33,1.28
1.04,1.01
1.02,1.01
0.99,1.00
1.33,1.40
1.79,1.83
1.70,1.72
1.14,1.19
0.94,0.99
0.91,0.92
0.88,0.97
1.28,1.24
0.95,0.98
0.83,0.85
0.91,0.91
1.39,1.37
1.48,1.48
0.96,1.00
0.97,0.90
0.79,0.78
0.89,0.84
0.96,0.93
0.99,0.94
1.00,0.96
1.01,0.96
1.01,0.95
