x,y,z,x2,y2,z2,altezza
-0.02,1.00,-0.09,0.16,1.00,-0.19,1.65
-0.03,1.00,-0.09,0.16,1.00,-0.19,1.65
-0.04,1.01,-0.10,0.15,1.00,-0.19,1.66
-0.05,1.09,-0.15,0.12,1.04,-0.22,1.66
-0.05,1.20,-0.18,0.07,1.12,-0.23,1.66
-0.15,1.27,-0.24,0.06,1.12,-0.21,1.65
-0.11,1.36,-0.21,0.05,1.14,-0.21,1.65
-0.16,1.33,-0.28,0.07,1.13,-0.21,1.63
-0.18,1.27,-0.33,0.07,1.14,-0.21,1.64
-0.18,1.17,-0.28,0.07,1.17,-0.23,1.66
-0.18,1.11,-0.21,0.04,1.14,-0.24,1.66
-0.17,1.01,-0.15,0.06,1.06,-0.22,1.67
-0.13,0.95,-0.13,0.07,1.03,-0.21,1.68
-0.11,0.91,-0.07,0.08,1.01,-0.20,1.67
-0.08,0.95,-0.09,0.02,1.10,-0.20,1.67
0.01,1.07,-0.15,-0.11,1.23,-0.16,1.67
-0.14,1.21,-0.29,-0.14,1.33,-0.19,1.67
-0.76,1.41,-0.33,0.65,1.45,-0.33,1.67
-0.63,1.34,-0.32,0.54,1.33,-0.33,1.67
-0.23,0.99,-0.16,0.17,0.98,-0.25,1.68
-0.17,1.15,-0.24,0.17,1.12,-0.33,1.67
-0.14,1.10,-0.25,0.10,1.02,-0.31,1.66
-0.17,1.09,-0.29,0.06,1.01,-0.36,1.65
-0.13,1.09,-0.31,0.13,1.02,-0.47,1.65
-0.12,1.10,-0.30,0.16,1.40,-0.64,1.64
-0.13,1.10,-0.32,0.14,1.03,-0.72,1.65
-0.11,1.14,-0.41,0.16,0.82,-0.41,1.65
-0.11,0.82,-0.50,0.17,0.89,-0.40,1.65
-0.11,1.16,-0.45,0.13,0.93,-0.43,1.66
-0.11,1.01,-0.34,0.11,0.95,-0.44,1.66
-0.07,0.99,-0.30,0.13,0.95,-0.43,1.64
-0.08,0.99,-0.28,0.11,0.96,-0.41,1.66
-0.09,1.04,-0.32,0.09,1.00,-0.41,1.66
-0.14,0.94,-0.28,0.12,0.95,-0.39,1.66
-0.19,0.91,-0.21,0.16,0.91,-0.33,1.66
-0.19,0.91,-0.22,0.13,0.90,-0.33,1.66
-0.23,0.88,-0.18,0.15,0.89,-0.31,1.66
-0.21,0.88,-0.18,0.14,0.88,-0.29,1.65
-0.20,0.86,-0.16,0.13,0.85,-0.28,1.65
-0.50,1.26,-0.47,0.31,1.30,-0.62,1.64
-0.48,1.61,-0.28,0.25,1.66,-0.37,1.62
-0.63,0.97,-0.59,0.46,0.96,-0.63,1.60
-0.49,1.46,-0.62,0.35,1.44,-0.69,1.65
-0.26,1.11,-0.46,0.10,1.03,-0.51,1.66
-0.33,1.60,-0.33,0.14,1.63,-0.43,1.67
-0.25,1.41,-0.62,0.10,1.43,-0.65,1.66
-0.22,1.28,-0.75,0.10,1.25,-0.78,1.66
-0.23,1.48,-0.53,0.09,1.32,-0.63,1.67
-0.21,1.02,-0.39,0.09,0.98,-0.44,1.68
-0.23,1.14,-0.44,0.11,1.15,-0.51,1.68
-0.21,1.06,-0.38,0.06,1.05,-0.44,1.68
-0.21,1.04,-0.37,0.04,0.99,-0.42,1.67
-0.25,1.09,-0.37,-0.00,0.97,-0.38,1.66
-0.20,1.21,-0.38,0.01,0.91,-0.35,1.66
-0.47,1.30,-0.63,-0.02,0.91,-0.37,1.66
-0.78,1.39,-0.61,-0.02,0.92,-0.38,1.67
-0.32,0.93,-0.39,-0.03,0.92,-0.42,1.67
-0.30,0.93,-0.39,0.07,0.90,-0.40,1.67
-0.20,0.92,-0.36,0.23,1.08,-0.53,1.67
-0.16,0.92,-0.33,0.62,1.86,-0.65,1.68
-0.15,0.92,-0.35,0.47,1.35,-0.65,1.67
-0.16,0.92,-0.35,0.13,0.89,-0.43,1.67
-0.19,0.95,-0.47,0.11,0.97,-0.54,1.66
-0.26,1.53,-0.43,0.12,1.55,-0.52,1.66
-0.21,0.91,-0.63,0.13,0.95,-0.70,1.66
-0.20,1.04,-0.50,0.05,1.07,-0.54,1.67
-0.28,1.32,-0.63,0.07,1.34,-0.59,1.68
-0.58,1.48,-0.65,0.48,1.52,-0.60,1.67
-0.15,1.12,-0.68,0.08,1.09,-0.75,1.66
-0.20,1.02,-0.52,0.05,0.99,-0.55,1.68
-0.25,1.00,-0.41,0.11,0.91,-0.46,1.68
-0.22,0.99,-0.39,0.11,0.83,-0.40,1.67
-0.32,1.30,-0.50,0.05,0.82,-0.36,1.67
-0.74,1.86,-0.60,0.04,0.85,-0.36,1.69
-0.56,1.53,-0.59,0.03,0.88,-0.40,1.68
-0.23,1.03,-0.40,0.07,0.91,-0.43,1.68
-0.18,1.09,-0.44,0.15,1.01,-0.47,1.68
-0.15,1.09,-0.43,0.52,1.56,-0.79,1.68
-0.16,1.06,-0.42,0.67,1.76,-0.70,1.68
-0.17,1.02,-0.42,0.39,1.17,-0.59,1.67
-0.29,0.94,-0.42,0.13,1.02,-0.51,1.67
-0.37,0.90,-0.50,-0.28,1.27,-0.47,1.67
0.19,1.13,-0.47,-0.37,1.30,-0.48,1.67
-0.47,1.06,-0.76,0.40,1.38,-0.77,1.67
-0.16,0.98,-0.60,-0.00,1.10,-0.65,1.68
-0.15,0.90,-0.50,-0.02,1.02,-0.53,1.68
-0.25,1.45,-0.58,0.13,1.50,-0.59,1.67
-0.19,1.34,-0.58,0.12,1.37,-0.59,1.67
