x,y,z,x2,y2,z2
-0.05,1.05,0.19,-0.36,1.10,0.08
-0.07,1.06,0.16,-0.35,1.11,0.08
-0.12,1.11,0.13,-0.41,1.13,0.06
-0.22,0.99,0.13,-0.42,0.99,0.09
-0.10,0.80,0.26,-0.64,0.76,0.29
-0.04,0.79,0.35,-0.64,0.78,0.29
-0.10,0.84,0.21,-0.51,0.83,0.17
-0.13,0.92,0.15,-0.48,0.85,0.13
-0.11,1.00,0.14,-0.48,0.97,0.09
-0.05,1.04,0.21,-0.54,1.00,0.12
-0.08,1.05,0.19,-0.52,1.00,0.13
-0.18,1.05,0.13,-0.44,1.05,0.08
-0.16,1.15,0.07,-0.45,1.20,0.02
-0.13,1.22,0.06,-0.47,1.25,-0.01
-0.15,1.30,0.05,-0.48,1.29,0.01
0.12,1.36,0.01,-0.73,1.37,-0.10
0.21,1.32,0.21,-0.90,1.31,0.05
-0.11,1.11,0.10,-0.47,1.08,0.07
-0.18,1.09,0.12,-0.40,1.07,0.10
-0.17,1.09,0.12,-0.42,1.11,0.08
-0.20,1.07,0.12,-0.44,1.11,0.07
-0.13,1.14,0.03,-0.40,1.10,0.08
-0.11,1.58,0.17,-0.43,1.12,0.07
-0.11,0.87,0.12,-0.48,1.07,0.10
-0.21,1.00,0.13,-0.46,1.29,0.06
-0.16,1.02,0.13,-0.40,1.04,0.03
-0.13,1.02,0.14,-0.44,0.91,0.10
-0.18,1.00,0.13,-0.42,0.99,0.07
-0.20,1.01,0.13,-0.40,1.04,0.10
-0.20,1.08,0.11,-0.41,1.05,0.08
-0.21,1.10,0.10,-0.39,1.18,0.08
-0.20,1.15,0.10,-0.41,1.12,0.07
-0.15,1.15,0.11,-0.42,1.11,0.08
-0.18,1.12,0.11,-0.42,1.14,0.09
-0.16,1.10,0.09,-0.43,1.12,0.07
-0.14,1.15,0.07,-0.50,1.09,0.05
-0.09,1.14,0.07,-0.52,1.10,0.03
0.01,1.14,0.08,-0.63,1.13,-0.02
0.09,1.38,0.08,-0.72,1.38,-0.03
0.13,0.92,0.12,-0.73,0.94,0.02
-0.04,0.80,0.30,-0.66,0.79,0.23
-0.07,1.06,0.05,-0.53,1.02,-0.02
-0.12,1.50,0.08,-0.47,1.50,0.00
-0.15,1.50,0.12,-0.43,1.49,0.05
-0.09,0.80,0.15,-0.45,0.80,0.12
-0.09,0.77,0.29,-0.49,0.80,0.17
-0.15,0.90,0.12,-0.42,0.86,0.09
-0.20,0.99,0.08,-0.43,1.25,-0.14
-0.18,0.96,0.12,-0.48,1.52,-0.18
-0.17,0.95,0.14,-0.53,1.58,-0.21
-0.20,0.96,0.13,-0.53,1.61,-0.19
-0.22,0.95,0.13,-0.52,1.60,-0.17
-0.23,0.96,0.12,-0.55,1.57,-0.14
-0.20,0.96,0.13,-0.95,1.54,-0.08
-0.12,1.07,0.10,-0.84,1.43,-0.15
-0.04,1.23,0.03,-0.50,1.15,0.00
0.11,1.52,0.02,-0.44,1.00,0.12
0.34,1.76,0.09,-0.48,1.01,0.13
0.16,1.60,0.10,-0.48,1.09,0.08
-0.09,1.19,0.10,-0.43,1.11,0.08
-0.17,1.02,0.15,-0.39,1.01,0.10
-0.11,1.33,0.08,-0.39,1.31,0.01
-0.09,1.07,0.05,-0.41,1.02,0.03
-0.11,0.97,0.15,-0.44,0.96,0.11
-0.08,1.34,0.04,-0.50,1.32,-0.04
0.41,1.42,0.26,-1.02,1.41,0.04
-0.02,1.43,0.10,-0.56,1.39,-0.00
-0.17,0.93,0.18,-0.42,0.91,0.16
-0.18,1.15,0.09,-0.46,1.14,0.03
-0.20,1.15,0.10,-0.48,1.16,0.03
-0.15,1.19,0.08,-0.54,1.31,-0.05
-0.13,1.15,0.11,-0.81,1.73,-0.13
-0.13,1.21,0.11,-0.72,1.61,-0.03
-0.10,1.25,0.05,-0.48,1.19,0.03
-0.05,1.28,0.03,-0.43,1.04,0.12
0.01,1.37,0.01,-0.43,1.06,0.10
0.38,1.72,0.23,-0.41,1.08,0.10
0.03,1.39,0.07,-0.33,1.08,0.10
-0.26,1.31,0.03,-0.22,1.09,0.07
-0.46,1.35,0.05,-0.10,1.15,0.10
-0.49,1.39,0.10,-0.09,1.20,0.13
0.02,1.33,-0.06,-0.44,1.08,-0.06
0.18,1.28,0.28,-0.83,1.10,0.16
-0.06,1.13,0.11,-0.52,1.09,0.03
-0.11,1.36,0.06,-0.43,1.35,-0.01
-0.12,1.42,0.09,-0.43,1.37,0.04
-0.12,0.91,0.11,-0.43,0.91,0.09
-0.11,1.21,0.04,-0.42,1.16,0.00
-0.16,1.16,0.07,-0.42,1.16,0.04
-0.16,1.08,0.07,-0.46,1.07,0.09
-0.11,1.28,0.04,-0.47,1.11,0.07
-0.11,1.04,0.06,-0.47,1.11,0.07
-0.13,1.11,0.03,-0.43,1.12,0.05
-0.06,1.25,-0.03,-0.45,1.13,0.06
0.10,1.36,-0.09,-0.46,1.13,0.07
0.05,1.31,-0.03,-0.44,1.14,0.06
-0.09,1.28,0.01,-0.43,1.24,0.01
0.05,1.47,0.03,-0.63,1.45,-0.06
0.15,1.55,0.06,-0.74,1.54,-0.05
0.29,1.82,0.33,-0.95,1.88,0.16
-0.01,1.56,0.16,-0.56,1.60,0.05
-0.03,1.31,0.12,-0.40,1.24,-0.03
-0.02,1.24,0.15,-0.36,1.01,0.01
-0.04,1.23,0.13,-0.42,1.33,-0.09
-0.04,1.20,0.15,-0.94,1.38,-0.02
-0.12,1.16,0.10,-0.53,1.09,0.02
-0.14,1.06,0.11,-0.35,1.01,0.09
-0.12,1.25,0.08,-0.37,1.22,0.01
-0.10,0.95,0.11,-0.43,0.86,0.10
-0.10,1.10,0.09,-0.41,1.07,0.03
-0.14,1.14,0.09,-0.47,1.18,-0.02
-0.13,1.09,0.15,-0.92,1.03,0.06
-0.16,1.08,0.09,-0.53,0.93,0.09
0.31,1.05,0.16,-0.52,0.96,0.08
0.07,1.10,0.09,-0.53,1.04,0.05
0.00,1.30,0.04,-0.55,1.29,-0.05
0.04,1.42,0.06,-0.65,1.46,-0.06
0.39,1.79,0.16,-0.89,1.78,-0.06
0.15,1.50,0.09,-0.86,1.67,0.05
-0.09,1.43,0.12,-0.48,1.14,0.05
-0.07,0.86,0.10,-0.42,1.07,0.08
-0.04,0.89,0.21,-0.46,1.14,0.02
-0.05,1.06,0.14,-0.44,0.85,0.13
-0.10,1.05,0.12,-0.42,1.03,0.04
-0.11,0.79,0.27,-0.49,0.77,0.19
-0.10,1.44,0.12,-0.44,1.37,0.01
-0.09,1.50,0.21,-0.50,1.50,0.12
-0.13,1.32,0.11,-0.45,1.33,0.04
-0.13,1.27,0.12,-0.45,1.22,0.05
-0.13,1.31,0.13,-0.43,1.29,0.03
-0.11,1.37,0.15,-0.41,1.28,0.06
-0.09,0.88,0.17,-0.49,0.88,0.13
-0.14,0.95,0.13,-0.45,0.91,0.11
-0.14,0.85,0.18,-0.39,0.88,0.12
-0.10,1.08,0.04,-0.42,1.06,-0.03
-0.08,1.45,0.19,-0.50,1.50,0.16
-0.14,1.50,0.25,-0.46,1.46,0.13
-0.09,0.84,0.14,-0.44,0.85,0.10
-0.13,1.18,0.03,-0.40,1.12,-0.02
-0.17,1.41,0.06,-0.44,1.37,-0.04
0.51,1.36,0.31,-1.15,1.37,0.11
0.28,1.14,0.26,-0.94,1.16,0.12
0.02,1.22,0.11,-0.62,1.22,0.02
0.04,1.44,0.08,-0.65,1.44,-0.01
0.14,1.55,0.06,-0.73,1.52,-0.06
0.37,1.65,0.27,-1.04,1.70,0.10
-0.05,1.01,0.17,-0.61,1.04,0.08
-0.14,1.06,0.10,-0.38,1.04,0.06
-0.11,1.42,0.14,-0.47,1.40,0.07
-0.11,0.87,0.09,-0.46,0.87,0.05
-0.07,0.85,0.22,-0.54,0.83,0.19
-0.02,1.07,0.09,-0.41,0.92,0.12
0.15,1.51,0.17,-0.45,0.95,0.10
0.11,0.79,0.31,-0.51,0.94,0.12
-0.05,0.78,0.27,-0.53,1.09,0.01
-0.10,0.86,0.19,-0.58,1.40,0.02
-0.09,0.93,0.19,-0.63,0.78,0.19
-0.09,0.96,0.14,-0.49,0.89,0.10
-0.06,1.33,0.09,-0.48,1.34,-0.02
-0.12,1.38,0.13,-0.42,1.34,0.03
-0.08,0.79,0.25,-0.50,0.79,0.17
-0.11,1.19,0.06,-0.44,1.13,-0.01
-0.11,1.21,0.03,-0.41,1.15,-0.02
-0.12,1.47,0.17,-0.43,1.43,0.09
-0.09,1.33,0.05,-0.42,1.28,0.07
-0.07,1.47,0.04,-0.46,1.21,0.09
0.48,1.35,0.21,-0.49,1.24,0.09
0.05,1.05,0.15,-0.45,1.16,0.07
-0.12,1.06,0.15,-0.43,1.09,0.08
-0.10,1.06,0.14,-0.55,1.34,-0.07
-0.11,1.04,0.15,-0.63,1.41,-0.09
-0.11,1.05,0.17,-1.08,1.30,0.01
-0.10,1.10,0.13,-0.71,1.00,0.06
-0.03,1.39,0.07,-0.42,1.02,0.11
-0.00,1.51,0.06,-0.46,1.05,0.09
0.24,0.86,0.48,-0.50,1.03,0.13
-0.01,0.77,0.39,-0.44,0.97,0.12
-0.13,0.91,0.16,-0.46,1.24,-0.02
-0.11,0.87,0.20,-0.75,1.10,-0.07
-0.07,0.93,0.22,-0.76,0.77,0.33
-0.06,1.35,0.07,-0.48,0.87,0.12
-0.02,0.76,0.34,-0.51,0.94,0.12
-0.04,0.84,0.22,-0.49,1.21,0.01
-0.11,0.97,0.15,-0.42,0.84,0.10
-0.08,1.13,0.09,-0.42,0.88,0.11
-0.11,1.36,0.07,-0.41,1.16,0.01
-0.13,1.35,0.11,-0.37,1.25,0.04
-0.07,0.81,0.30,-0.49,0.81,0.18
-0.11,1.01,0.11,-0.42,0.99,0.05
-0.15,1.19,0.09,-0.43,1.18,0.03
-0.11,1.27,0.10,-0.53,1.29,0.02
-0.03,1.36,0.09,-0.61,1.36,-0.01
0.09,1.50,0.06,-0.74,1.54,-0.06
0.38,1.82,0.34,-1.05,1.82,0.11
0.06,1.26,0.12,-0.70,1.30,0.01
-0.17,1.09,0.12,-0.44,1.08,0.06
-0.16,1.10,0.11,-0.45,1.08,0.07
-0.17,1.10,0.11,-0.44,1.06,0.08
-0.13,1.12,0.09,-0.45,1.12,0.04
-0.13,1.14,0.08,-0.47,1.15,0.01
-0.13,1.21,0.05,-0.44,1.19,-0.00
-0.11,1.35,-0.00,-0.53,1.28,-0.08
0.44,1.16,0.42,-1.14,1.26,0.16
0.06,0.99,0.16,-0.76,1.03,0.06
-0.11,0.96,0.12,-0.64,0.91,0.02
-0.06,1.05,0.12,-0.71,1.85,0.17
0.02,1.19,0.07,-0.56,1.37,-0.01
0.08,1.84,0.25,-0.53,1.22,0.01
0.01,1.54,0.12,-0.51,1.17,0.04
-0.08,1.37,0.08,-0.48,1.28,0.00
-0.13,1.25,0.07,-0.39,1.19,0.04
-0.09,1.13,0.04,-0.39,1.09,0.02
0.37,1.41,0.45,-0.98,1.43,0.24
-0.04,1.07,0.14,-0.57,1.12,0.05
-0.15,1.07,0.13,-0.41,1.06,0.09
-0.15,1.05,0.10,-0.40,1.07,0.05
-0.11,1.37,0.13,-0.42,1.34,0.07
-0.10,0.97,0.09,-0.43,0.96,0.06
0.43,1.48,0.33,-1.00,1.50,0.08
0.07,1.55,0.20,-0.69,1.56,0.06
-0.07,1.13,0.04,-0.45,1.13,-0.02
-0.11,0.96,0.17,-0.42,0.93,0.14
-0.10,1.13,0.09,-0.38,1.15,0.04
-0.07,1.03,0.14,-0.91,1.12,-0.10
0.09,1.11,0.04,-0.71,0.97,0.05
0.05,1.19,0.07,-0.49,1.06,0.05
-0.01,1.46,-0.01,-0.55,1.44,-0.10
0.49,1.36,0.38,-1.13,1.29,0.17
0.09,1.30,0.11,-0.68,1.24,-0.00
0.04,1.53,0.15,-0.64,1.46,0.03
0.25,0.92,0.22,-0.76,0.93,0.08
0.02,0.76,0.57,-0.70,0.77,0.42
0.09,0.92,0.16,-0.63,0.94,0.01
0.16,0.87,0.27,-0.75,0.85,0.12
0.11,1.79,0.15,-0.79,1.73,-0.04
-0.00,1.71,0.23,-0.65,1.72,0.10
-0.06,1.47,0.04,-0.46,1.41,-0.03
-0.11,0.86,0.12,-0.38,0.87,0.13
-0.07,0.79,0.18,-0.41,0.97,0.08
-0.08,1.70,0.08,-0.40,1.05,0.06
-0.09,1.64,0.26,-0.42,1.14,0.00
-0.04,1.46,0.17,-0.43,1.04,-0.16
-0.05,1.42,0.18,-0.52,1.60,0.04
-0.03,1.49,0.03,-0.57,1.48,-0.11
0.45,1.18,0.42,-1.12,1.18,0.21
0.11,1.24,0.10,-0.60,0.95,0.10
0.17,1.36,0.03,-0.45,1.00,0.12
0.08,0.77,0.37,-0.58,1.00,0.08
0.02,0.89,0.21,-0.72,1.39,-0.05
0.04,1.33,0.10,-0.59,1.35,-0.02
-0.05,1.51,0.14,-0.50,1.45,0.02
-0.06,0.81,0.07,-0.44,0.80,0.07
-0.07,0.80,0.27,-0.52,0.83,0.18
-0.08,0.94,0.06,-0.42,0.97,-0.02
-0.12,0.76,0.21,-0.40,0.77,0.17
-0.09,1.77,0.18,-0.49,1.79,0.05
-0.14,1.72,0.31,-0.48,1.75,0.24
-0.11,1.55,0.04,-0.43,1.53,-0.04
-0.03,0.74,0.47,-0.61,0.76,0.30
-0.06,0.71,0.35,-0.54,0.75,0.22
-0.08,1.57,-0.02,-0.43,1.53,-0.14
-0.18,1.63,0.13,-0.41,1.61,0.06
0.31,1.49,-0.06,-0.82,1.45,-0.18
0.45,1.19,0.29,-1.11,1.22,0.16
0.09,1.36,0.04,-0.72,1.43,-0.08
0.00,1.28,0.09,-1.00,1.86,0.01
-0.03,1.30,0.10,-0.85,1.55,-0.08
0.26,1.66,-0.01,-0.68,1.21,0.02
0.41,1.60,0.14,-0.75,1.20,0.02
0.02,1.20,0.12,-0.65,1.19,0.01
-0.10,1.08,0.14,-0.51,1.05,0.09
-0.06,1.23,0.06,-0.46,1.07,0.08
0.49,1.32,0.20,-0.70,1.32,-0.04
0.33,1.07,0.39,-1.02,1.15,0.22
-0.00,1.37,0.13,-0.54,1.33,0.00
-0.08,1.34,0.08,-0.40,1.26,0.02
-0.07,0.83,0.21,-0.43,0.83,0.20
-0.09,0.90,0.12,-0.41,0.95,0.03
-0.09,0.78,0.18,-0.42,0.81,0.08
-0.09,1.57,0.18,-0.51,1.58,0.05
-0.12,1.51,0.13,-0.44,1.44,0.04
-0.04,0.74,0.22,-0.45,0.75,0.20
-0.10,1.19,0.03,-0.49,1.18,-0.03
0.39,1.90,0.31,-0.99,1.90,0.08
0.30,1.73,0.32,-0.94,1.76,0.08
-0.01,1.60,0.17,-0.60,1.47,0.03
-0.06,0.79,0.14,-0.48,1.10,0.10
-0.05,0.80,0.25,-0.44,1.02,0.10
-0.07,0.87,0.21,-0.46,1.27,-0.04
-0.06,0.92,0.18,-0.48,1.53,0.09
-0.09,0.94,0.17,-0.46,0.83,0.06
-0.10,0.95,0.18,-0.48,0.83,0.14
-0.11,1.09,0.09,-0.48,1.08,0.01
0.02,1.33,0.04,-0.62,1.36,-0.09
0.07,1.38,0.02,-0.68,1.37,-0.09
0.34,1.41,0.03,-0.94,1.40,-0.11
0.45,1.21,0.32,-1.11,1.21,0.14
0.08,1.18,0.08,-0.71,1.26,-0.04
-0.11,1.22,0.04,-0.43,1.24,-0.04
-0.10,1.19,0.01,-0.39,1.17,-0.01
-0.10,0.84,0.20,-0.52,0.85,0.14
-0.13,0.91,0.13,-0.46,0.91,0.08
-0.16,0.87,0.14,-0.43,0.88,0.09
-0.15,0.82,0.15,-0.43,0.81,0.13
