y,y2
1.05,1.10
1.06,1.11
1.11,1.13
0.99,0.99
0.80,0.76
0.79,0.78
0.84,0.83
0.92,0.85
1.00,0.97
1.04,1.00
1.05,1.00
1.05,1.05
1.15,1.20
1.22,1.25
1.30,1.29
1.36,1.37
1.32,1.31
1.11,1.08
1.09,1.07
1.09,1.11
1.07,1.11
1.14,1.10
1.58,1.12
0.87,1.07
1.00,1.29
1.02,1.04
1.02,0.91
1.00,0.99
1.01,1.04
1.08,1.05
1.10,1.18
1.15,1.12
1.15,1.11
1.12,1.14
1.10,1.12
1.15,1.09
1.14,1.10
1.14,1.13
1.38,1.38
0.92,0.94
0.80,0.79
1.06,1.02
1.50,1.50
1.50,1.49
0.80,0.80
0.77,0.80
0.90,0.86
0.99,1.25
0.96,1.52
0.95,1.58
0.96,1.61
0.95,1.60
0.96,1.57
0.96,1.54
1.07,1.43
1.23,1.15
1.52,1.00
1.76,1.01
1.60,1.09
1.19,1.11
1.02,1.01
1.33,1.31
1.07,1.02
0.97,0.96
1.34,1.32
1.42,1.41
1.43,1.39
0.93,0.91
1.15,1.14
1.15,1.16
1.19,1.31
1.15,1.73
1.21,1.61
1.25,1.19
1.28,1.04
1.37,1.06
1.72,1.08
1.39,1.08
1.31,1.09
1.35,1.15
1.39,1.20
1.33,1.08
1.28,1.10
1.13,1.09
1.36,1.35
1.42,1.37
0.91,0.91
1.21,1.16
1.16,1.16
1.08,1.07
1.28,1.11
1.04,1.11
1.11,1.12
1.25,1.13
1.36,1.13
1.31,1.14
1.28,1.24
1.47,1.45
1.55,1.54
1.82,1.88
1.56,1.60
1.31,1.24
1.24,1.01
1.23,1.33
1.20,1.38
1.16,1.09
1.06,1.01
1.25,1.22
0.95,0.86
1.10,1.07
1.14,1.18
1.09,1.03
1.08,0.93
1.05,0.96
1.10,1.04
1.30,1.29
1.42,1.46
1.79,1.78
1.50,1.67
1.43,1.14
0.86,1.07
0.89,1.14
1.06,0.85
1.05,1.03
0.79,0.77
1.44,1.37
1.50,1.50
1.32,1.33
1.27,1.22
1.31,1.29
1.37,1.28
0.88,0.88
0.95,0.91
0.85,0.88
1.08,1.06
1.45,1.50
1.50,1.46
0.84,0.85
1.18,1.12
1.41,1.37
1.36,1.37
1.14,1.16
1.22,1.22
1.44,1.44
1.55,1.52
1.65,1.70
1.01,1.04
1.06,1.04
1.42,1.40
0.87,0.87
0.85,0.83
1.07,0.92
1.51,0.95
0.79,0.94
0.78,1.09
0.86,1.40
0.93,0.78
0.96,0.89
1.33,1.34
1.38,1.34
0.79,0.79
1.19,1.13
1.21,1.15
1.47,1.43
1.33,1.28
1.47,1.21
1.35,1.24
1.05,1.16
1.06,1.09
1.06,1.34
1.04,1.41
1.05,1.30
1.10,1.00
1.39,1.02
1.51,1.05
0.86,1.03
0.77,0.97
0.91,1.24
0.87,1.10
0.93,0.77
1.35,0.87
0.76,0.94
0.84,1.21
0.97,0.84
1.13,0.88
1.36,1.16
1.35,1.25
0.81,0.81
1.01,0.99
1.19,1.18
1.27,1.29
1.36,1.36
1.50,1.54
1.82,1.82
1.26,1.30
1.09,1.08
1.10,1.08
1.10,1.06
1.12,1.12
1.14,1.15
1.21,1.19
1.35,1.28
1.16,1.26
0.99,1.03
0.96,0.91
1.05,1.85
1.19,1.37
1.84,1.22
1.54,1.17
1.37,1.28
1.25,1.19
1.13,1.09
1.41,1.43
1.07,1.12
1.07,1.06
1.05,1.07
1.37,1.34
0.97,0.96
1.48,1.50
1.55,1.56
1.13,1.13
0.96,0.93
1.13,1.15
1.03,1.12
1.11,0.97
1.19,1.06
1.46,1.44
1.36,1.29
1.30,1.24
1.53,1.46
0.92,0.93
0.76,0.77
0.92,0.94
0.87,0.85
1.79,1.73
1.71,1.72
1.47,1.41
0.86,0.87
0.79,0.97
1.70,1.05
1.64,1.14
1.46,1.04
1.42,1.60
1.49,1.48
1.18,1.18
1.24,0.95
1.36,1.00
0.77,1.00
0.89,1.39
1.33,1.35
1.51,1.45
0.81,0.80
0.80,0.83
0.94,0.97
0.76,0.77
1.77,1.79
1.72,1.75
1.55,1.53
0.74,0.76
0.71,0.75
1.57,1.53
1.63,1.61
1.49,1.45
1.19,1.22
1.36,1.43
1.28,1.86
1.30,1.55
1.66,1.21
1.60,1.20
1.20,1.19
1.08,1.05
1.23,1.07
1.32,1.32
1.07,1.15
1.37,1.33
1.34,1.26
0.83,0.83
0.90,0.95
0.78,0.81
1.57,1.58
1.51,1.44
0.74,0.75
1.19,1.18
1.90,1.90
1.73,1.76
1.60,1.47
0.79,1.10
0.80,1.02
0.87,1.27
0.92,1.53
0.94,0.83
0.95,0.83
1.09,1.08
1.33,1.36
1.38,1.37
1.41,1.40
1.21,1.21
1.18,1.26
1.22,1.24
1.19,1.17
0.84,0.85
0.91,0.91
0.87,0.88
0.82,0.81
1.71,1.65
1.65,1.63
1.62,1.61
1.47,1.48
1.52,1.54
1.77,1.77
1.75,1.82
1.42,1.37
0.79,0.79
0.77,0.78
1.39,1.32
1.47,1.39
0.78,0.76
0.79,0.76
0.89,0.84
1.37,1.33
1.27,1.21
0.79,0.78
0.82,0.80
0.79,0.79
0.90,0.84
0.93,0.86
0.96,0.87
0.95,0.90
0.94,0.92
0.94,0.92
