x,y,z,x2,y2,z2
-0.19,0.99,0.19,0.22,0.79,0.45
-0.20,0.99,0.19,0.28,0.79,0.39
-0.20,0.99,0.20,0.26,0.80,0.36
-0.18,0.89,0.22,0.20,0.76,0.38
-0.17,0.72,0.37,0.14,0.74,0.39
-0.14,0.71,0.38,0.15,0.73,0.39
-0.19,0.73,0.35,0.15,0.73,0.34
-0.17,0.73,0.35,0.07,0.75,0.32
-0.16,0.80,0.36,0.12,0.79,0.34
-0.23,1.12,0.23,0.19,1.10,0.22
-0.22,1.16,0.24,0.22,1.14,0.22
-0.28,1.18,0.25,0.27,1.16,0.25
-0.59,1.24,0.23,0.64,1.18,0.26
-0.25,1.10,0.22,0.26,1.03,0.22
-0.17,1.22,0.33,0.15,1.07,0.20
-0.17,1.23,0.36,0.09,1.05,0.29
-0.15,1.20,0.32,0.13,1.10,0.30
-0.16,1.19,0.28,0.15,1.17,0.21
-0.17,1.13,0.27,0.16,1.34,0.10
-0.19,1.12,0.28,0.16,1.04,-0.10
-0.21,1.27,0.22,0.11,0.75,0.23
-0.19,1.28,0.16,0.18,0.80,0.32
-0.23,0.77,0.27,0.20,0.88,0.31
-0.18,0.96,0.23,0.14,0.94,0.24
-0.15,0.99,0.27,0.10,1.00,0.23
-0.13,0.98,0.25,0.11,1.02,0.24
-0.10,0.99,0.23,0.15,1.03,0.26
-0.09,1.00,0.24,0.13,1.04,0.27
-0.13,1.02,0.25,0.12,1.04,0.26
-0.14,1.01,0.25,0.12,1.04,0.27
-0.13,1.04,0.25,0.13,1.04,0.27
-0.18,1.13,0.27,0.18,1.11,0.28
-0.24,1.12,0.26,0.21,1.15,0.28
-0.24,1.11,0.27,0.20,1.13,0.28
-0.28,1.07,0.23,0.24,1.10,0.26
-0.36,1.17,0.19,0.31,1.14,0.24
-0.43,0.81,0.25,0.30,0.79,0.31
-0.22,1.01,0.19,0.16,0.96,0.23
-0.12,1.17,0.18,0.09,1.17,0.20
-0.12,1.22,0.24,0.07,1.20,0.26
-0.13,0.94,0.14,0.12,0.91,0.16
-0.11,0.91,0.22,0.10,0.85,0.25
-0.12,1.08,0.25,0.10,0.93,0.24
-0.08,1.06,0.28,0.11,0.97,0.25
-0.05,1.04,0.27,0.13,0.97,0.25
-0.07,1.05,0.25,0.16,0.95,0.26
-0.13,1.06,0.22,0.16,0.96,0.26
-0.16,1.11,0.21,0.15,0.96,0.26
-0.28,1.17,0.22,0.13,0.94,0.26
-0.61,1.24,0.18,0.11,0.93,0.26
-0.57,1.03,0.25,0.15,0.94,0.26
-0.25,0.87,0.27,0.22,1.04,0.22
-0.12,0.88,0.29,0.35,1.13,0.19
-0.11,0.85,0.30,0.48,1.35,0.11
-0.17,0.87,0.28,0.65,1.59,0.17
-0.17,0.95,0.22,0.39,1.21,0.15
-0.12,1.11,0.20,0.23,1.10,0.20
-0.14,1.06,0.19,0.15,1.06,0.20
-0.17,1.08,0.19,0.13,1.05,0.19
-0.21,0.87,0.23,0.16,0.84,0.26
-0.19,1.06,0.20,0.18,1.02,0.21
-0.46,1.25,0.23,0.46,1.21,0.21
-0.36,1.24,0.23,0.38,1.22,0.24
-0.15,0.83,0.23,0.16,0.83,0.23
-0.14,0.97,0.24,0.20,0.82,0.29
-0.20,1.11,0.19,0.16,0.84,0.28
-0.34,1.20,0.17,0.17,0.82,0.31
-0.48,1.38,0.10,0.18,0.78,0.33
-0.59,1.58,0.20,0.20,0.79,0.34
-0.35,1.21,0.23,0.21,0.95,0.26
-0.16,1.07,0.24,0.30,1.11,0.19
-0.11,1.07,0.25,0.41,1.18,0.17
-0.17,1.08,0.27,0.66,1.55,0.13
-0.21,1.13,0.27,0.62,1.50,0.23
-0.14,1.13,0.23,0.27,1.06,0.25
-0.09,1.11,0.22,0.23,1.00,0.26
-0.25,1.21,0.15,0.26,0.97,0.25
-0.32,1.18,0.11,0.25,0.96,0.16
0.17,1.25,0.31,-0.27,1.07,0.33
0.03,1.26,0.25,-0.20,1.02,0.29
-0.12,1.28,0.24,-0.01,1.08,0.20
-0.20,1.28,0.24,0.13,1.20,0.19
-0.19,0.92,0.15,0.18,0.92,0.17
-0.15,0.86,0.24,0.19,0.87,0.25
-0.15,1.07,0.24,0.16,1.01,0.21
-0.16,1.12,0.29,0.16,1.11,0.18
-0.18,1.14,0.30,0.18,1.14,0.14
-0.21,1.12,0.30,0.22,0.76,0.18
-0.18,1.13,0.28,0.23,0.97,0.10
-0.15,1.15,0.29,0.27,1.16,0.07
-0.18,1.14,0.31,0.34,1.16,0.09
-0.19,1.13,0.32,0.74,1.25,0.15
-0.16,1.13,0.22,0.47,1.13,0.12
-0.22,1.21,0.14,0.36,1.22,0.11
-0.29,1.26,0.12,0.33,1.24,0.12
-0.62,1.65,0.19,0.59,1.61,0.10
-0.42,1.46,0.18,0.40,1.37,0.16
-0.24,1.29,0.12,0.24,0.98,0.26
-0.19,0.86,0.18,0.25,0.98,0.29
-0.23,1.16,0.13,0.21,0.93,0.27
-0.59,1.26,0.13,0.18,0.93,0.27
-0.37,1.17,0.15,0.18,0.99,0.25
-0.21,1.18,0.19,0.14,1.13,0.19
-0.20,1.22,0.25,0.12,1.16,0.24
-0.18,0.98,0.16,0.15,1.00,0.20
-0.18,0.87,0.23,0.16,0.78,0.29
-0.25,1.04,0.19,0.14,0.82,0.31
-0.61,1.04,0.20,0.14,0.83,0.31
-0.38,0.86,0.29,0.20,0.94,0.27
-0.09,0.81,0.34,0.29,1.04,0.20
-0.15,0.85,0.30,0.57,0.89,0.37
-0.16,0.93,0.26,0.28,0.84,0.30
-0.25,1.15,0.19,0.24,1.08,0.17
-0.45,1.41,0.10,0.40,1.36,0.08
-0.57,1.67,0.23,0.56,1.61,0.17
-0.32,1.30,0.18,0.32,1.19,0.17
-0.19,1.27,0.27,0.17,1.09,0.14
-0.18,1.26,0.23,0.13,0.80,0.24
-0.18,0.94,0.08,0.17,0.89,0.27
-0.17,0.77,0.25,0.18,0.84,0.28
-0.16,0.82,0.24,0.10,0.81,0.25
-0.21,1.01,0.13,0.10,0.97,0.11
-0.18,1.19,0.22,0.08,1.20,0.17
-0.16,1.12,0.27,0.08,1.08,0.23
-0.16,1.12,0.27,0.08,1.05,0.25
-0.14,1.07,0.29,0.08,1.03,0.26
-0.17,1.11,0.25,0.09,1.09,0.24
-0.29,0.87,0.15,0.15,0.81,0.23
-0.21,0.90,0.22,0.14,0.83,0.29
-0.19,0.95,0.20,0.12,0.89,0.25
-0.19,0.93,0.14,0.16,0.87,0.18
-0.18,1.30,0.14,0.17,1.24,0.12
-0.18,1.29,0.17,0.15,1.24,0.15
-0.17,1.11,0.11,0.15,1.06,0.13
-0.18,0.97,0.17,0.20,0.89,0.20
-0.23,1.18,0.15,0.25,1.15,0.15
-0.44,1.26,0.17,0.45,1.27,0.15
-0.60,1.24,0.23,0.59,1.18,0.22
-0.36,1.27,0.14,0.40,1.20,0.16
-0.29,1.26,0.12,0.38,1.23,0.16
-0.34,1.31,0.10,0.40,1.28,0.15
-0.60,1.68,0.19,0.60,1.64,0.22
-0.41,1.48,0.18,0.43,1.42,0.21
-0.19,1.20,0.19,0.20,1.09,0.21
-0.15,1.12,0.21,0.17,1.04,0.27
-0.13,1.12,0.19,0.18,1.05,0.23
-0.11,0.89,0.25,0.19,0.85,0.27
0.14,1.21,0.30,0.26,0.90,0.17
0.31,1.33,0.52,0.34,1.12,0.08
0.35,1.31,0.44,0.46,0.86,0.14
0.17,1.28,0.25,0.29,0.83,0.23
