y,y2
0.99,0.79
0.99,0.79
0.99,0.80
0.89,0.76
0.72,0.74
0.71,0.73
0.73,0.73
0.73,0.75
0.80,0.79
1.12,1.10
1.16,1.14
1.18,1.16
1.24,1.18
1.10,1.03
1.22,1.07
1.23,1.05
1.20,1.10
1.19,1.17
1.13,1.34
1.12,1.04
1.27,0.75
1.28,0.80
0.77,0.88
0.96,0.94
0.99,1.00
0.98,1.02
0.99,1.03
1.00,1.04
1.02,1.04
1.01,1.04
1.04,1.04
1.13,1.11
1.12,1.15
1.11,1.13
1.07,1.10
1.17,1.14
0.81,0.79
1.01,0.96
1.17,1.17
1.22,1.20
0.94,0.91
0.91,0.85
1.08,0.93
1.06,0.97
1.04,0.97
1.05,0.95
1.06,0.96
1.11,0.96
1.17,0.94
1.24,0.93
1.03,0.94
0.87,1.04
0.88,1.13
0.85,1.35
0.87,1.59
0.95,1.21
1.11,1.10
1.06,1.06
1.08,1.05
0.87,0.84
1.06,1.02
1.25,1.21
1.24,1.22
0.83,0.83
0.97,0.82
1.11,0.84
1.20,0.82
1.38,0.78
1.58,0.79
1.21,0.95
1.07,1.11
1.07,1.18
1.08,1.55
1.13,1.50
1.13,1.06
1.11,1.00
1.21,0.97
1.18,0.96
1.25,1.07
1.26,1.02
1.28,1.08
1.28,1.20
0.92,0.92
0.86,0.87
1.07,1.01
1.12,1.11
1.14,1.14
1.12,0.76
1.13,0.97
1.15,1.16
1.14,1.16
1.13,1.25
1.13,1.13
1.21,1.22
1.26,1.24
1.65,1.61
1.46,1.37
1.29,0.98
0.86,0.98
1.16,0.93
1.26,0.93
1.17,0.99
1.18,1.13
1.22,1.16
0.98,1.00
0.87,0.78
1.04,0.82
1.04,0.83
0.86,0.94
0.81,1.04
0.85,0.89
0.93,0.84
1.15,1.08
1.41,1.36
1.67,1.61
1.30,1.19
1.27,1.09
1.26,0.80
0.94,0.89
0.77,0.84
0.82,0.81
1.01,0.97
1.19,1.20
1.12,1.08
1.12,1.05
1.07,1.03
1.11,1.09
0.87,0.81
0.90,0.83
0.95,0.89
0.93,0.87
1.30,1.24
1.29,1.24
1.11,1.06
0.97,0.89
1.18,1.15
1.26,1.27
1.24,1.18
1.27,1.20
1.26,1.23
1.31,1.28
1.68,1.64
1.48,1.42
1.20,1.09
1.12,1.04
1.12,1.05
0.89,0.85
1.21,0.90
1.33,1.12
1.31,0.86
1.28,0.83
1.23,0.88
0.90,0.89
0.93,0.94
1.10,1.04
1.19,1.10
0.91,0.88
0.85,0.80
0.93,0.86
1.28,1.21
1.30,1.15
1.33,1.15
1.31,1.23
1.31,1.10
1.30,0.99
1.10,0.73
1.12,0.68
1.27,0.68
1.08,0.69
0.67,0.73
0.68,1.06
0.70,1.03
0.82,0.67
1.07,0.76
1.24,0.71
0.79,0.75
1.07,1.01
1.28,0.83
1.35,0.82
1.22,0.96
0.82,1.03
1.19,1.15
1.25,1.19
0.78,0.77
0.93,0.86
1.04,0.95
1.06,0.94
1.12,0.97
1.27,1.22
1.63,1.58
1.21,1.18
0.92,0.91
0.66,0.70
0.66,0.69
0.66,0.69
0.67,0.69
0.68,0.71
1.06,0.99
1.24,1.21
1.06,0.93
0.95,0.76
1.50,0.74
1.34,0.75
1.33,1.07
1.33,1.51
1.32,1.32
1.17,1.16
0.94,0.84
1.28,1.17
1.15,1.03
1.16,1.05
1.09,1.03
1.16,1.14
0.97,0.92
1.22,1.16
1.30,1.20
1.29,1.24
0.82,0.79
1.03,0.81
1.08,0.83
1.03,0.98
0.97,0.94
1.20,1.07
1.34,1.27
1.26,1.18
1.35,1.28
1.25,1.22
0.70,0.70
0.69,0.69
0.71,0.69
1.21,1.04
1.48,1.41
1.36,1.33
0.77,0.77
0.64,0.69
0.67,0.96
0.76,1.47
0.90,1.34
1.46,1.26
1.29,1.21
1.33,1.24
1.11,1.11
0.97,1.20
1.24,0.77
0.85,0.79
0.71,0.82
1.16,1.11
1.14,1.10
0.70,0.70
0.73,0.73
0.71,0.72
1.07,0.98
1.32,1.30
1.24,1.20
0.73,0.73
0.72,0.71
0.96,0.92
1.23,1.20
1.22,1.20
1.23,1.08
1.26,0.91
1.54,0.87
1.45,0.95
1.08,1.28
1.12,1.56
1.09,0.98
1.11,0.98
1.17,1.09
1.26,1.18
1.20,1.07
1.19,1.08
1.19,1.15
0.73,0.77
0.68,0.69
0.69,0.69
1.14,1.08
1.30,1.26
0.96,0.96
1.11,1.01
1.43,1.39
1.57,1.54
1.21,1.13
1.21,1.09
1.21,0.73
1.22,0.78
1.21,0.77
1.17,0.81
0.75,0.89
1.04,1.02
1.05,1.00
1.02,0.97
1.15,1.12
1.28,1.22
1.35,1.25
1.41,1.35
1.26,1.22
0.73,0.73
0.73,0.70
0.72,0.72
0.69,0.68
1.09,1.03
1.34,1.31
1.23,1.20
1.20,1.15
1.24,1.14
1.64,1.53
1.58,1.48
1.35,1.29
0.86,0.87
0.76,0.70
1.00,0.91
1.44,1.35
0.86,0.86
0.72,0.72
0.86,0.81
1.18,1.12
1.22,1.21
0.74,0.70
0.90,0.84
1.20,1.18
1.24,1.21
1.22,1.13
1.20,1.06
1.14,1.31
1.25,1.24
1.24,1.21
1.17,1.20
1.12,1.15
1.31,1.28
1.13,1.07
