x,y,z,x2,y2,z2,altezza
0.05,1.15,-0.00,-0.15,1.14,-0.01,1.52
0.05,1.15,-0.01,-0.15,1.14,-0.01,1.52
0.05,1.15,-0.01,-0.15,1.14,-0.01,1.52
0.05,1.14,-0.02,-0.15,1.14,-0.02,1.52
0.04,1.13,-0.02,-0.15,1.13,-0.02,1.52
0.03,1.12,-0.03,-0.14,1.11,-0.03,1.52
0.03,1.09,-0.04,-0.17,1.11,-0.04,1.52
0.03,1.10,-0.03,-0.19,1.09,-0.04,1.53
0.06,1.11,-0.03,-0.14,1.09,-0.02,1.53
0.14,1.13,-0.02,-0.05,1.10,-0.02,1.52
0.21,1.12,-0.01,-0.07,1.11,-0.02,1.52
0.32,1.18,-0.05,-0.27,1.17,-0.05,1.52
0.64,1.21,-0.01,-0.65,1.24,-0.00,1.51
0.27,1.05,-0.08,-0.29,1.10,-0.06,1.51
0.18,1.02,-0.07,-0.11,1.10,-0.08,1.52
0.20,1.03,-0.07,-0.06,1.07,-0.07,1.52
0.19,1.02,-0.07,-0.03,1.06,-0.05,1.52
0.20,1.02,-0.08,-0.02,1.07,-0.05,1.51
0.20,1.08,-0.12,-0.06,1.07,-0.04,1.51
0.23,0.78,-0.10,-0.10,1.09,-0.03,1.51
0.20,0.78,-0.02,-0.15,1.21,-0.05,1.52
0.16,0.85,-0.02,-0.20,1.22,-0.12,1.51
0.15,0.89,-0.02,-0.23,0.88,-0.08,1.50
0.10,1.00,-0.07,-0.19,1.06,-0.08,1.50
0.04,1.00,-0.06,-0.26,0.99,-0.05,1.51
0.04,1.04,-0.06,-0.24,1.01,-0.07,1.51
0.08,1.04,-0.04,-0.20,1.04,-0.09,1.51
0.07,1.04,-0.05,-0.19,1.05,-0.09,1.53
0.05,1.03,-0.05,-0.23,1.06,-0.08,1.53
0.05,1.00,-0.05,-0.23,1.05,-0.07,1.52
0.07,1.02,-0.04,-0.23,1.05,-0.07,1.52
0.14,1.03,-0.03,-0.32,1.07,-0.09,1.51
0.23,1.02,-0.02,-0.41,1.08,-0.08,1.51
0.30,1.04,-0.03,-0.51,1.07,-0.08,1.51
0.28,1.08,-0.08,-0.50,1.12,-0.15,1.51
0.31,1.16,-0.09,-0.52,1.19,-0.19,1.52
0.27,0.73,-0.00,-0.49,0.80,-0.05,1.51
0.15,0.90,-0.09,-0.33,0.99,-0.15,1.51
0.07,1.14,-0.13,-0.24,1.19,-0.15,1.51
0.05,1.15,-0.15,-0.22,1.22,-0.16,1.52
0.09,0.75,-0.17,-0.18,0.78,-0.20,1.49
0.00,0.77,-0.11,-0.19,0.85,-0.14,1.51
-0.03,0.91,-0.15,-0.22,0.99,-0.14,1.51
-0.02,0.92,-0.12,-0.26,1.04,-0.11,1.51
0.01,0.97,-0.14,-0.24,1.09,-0.13,1.51
0.06,0.98,-0.15,-0.17,1.11,-0.11,1.52
0.09,0.99,-0.14,-0.14,1.11,-0.08,1.52
0.04,0.98,-0.14,-0.20,1.10,-0.09,1.52
-0.00,0.96,-0.13,-0.29,1.12,-0.11,1.51
0.04,0.94,-0.11,-0.81,1.36,-0.27,1.52
0.07,1.00,-0.12,-0.52,1.15,-0.13,1.52
0.22,1.12,-0.14,-0.30,1.10,-0.10,1.53
0.36,1.20,-0.17,-0.23,1.16,-0.08,1.54
0.50,1.47,-0.29,-0.21,1.17,-0.06,1.56
0.63,1.73,-0.16,-0.25,1.19,-0.00,1.56
0.35,1.30,-0.12,-0.21,1.20,-0.07,1.53
0.13,1.10,-0.13,-0.18,1.16,-0.11,1.52
0.08,1.14,-0.13,-0.21,1.18,-0.11,1.52
0.06,1.01,-0.12,-0.23,1.05,-0.14,1.52
0.10,0.80,-0.09,-0.23,0.90,-0.10,1.52
0.20,1.06,-0.13,-0.32,1.14,-0.12,1.51
0.60,1.24,-0.07,-0.71,1.30,-0.11,1.51
