x,y,z,x2,y2,z2,altezza
-0.32,1.23,-0.12,-0.17,1.13,-0.12,1.53
-0.33,1.23,-0.12,-0.18,1.13,-0.11,1.53
-0.33,1.23,-0.12,-0.18,1.12,-0.11,1.53
-0.33,1.22,-0.12,-0.17,1.12,-0.11,1.54
-0.29,1.20,-0.13,-0.14,1.12,-0.13,1.55
-0.28,1.16,-0.15,-0.12,1.14,-0.14,1.55
-0.29,1.16,-0.16,-0.12,1.14,-0.15,1.55
-0.29,1.17,-0.17,-0.12,1.15,-0.16,1.55
-0.29,1.18,-0.17,-0.12,1.15,-0.17,1.55
-0.25,1.22,-0.17,-0.11,1.15,-0.19,1.55
-0.27,1.25,-0.19,-0.07,1.20,-0.22,1.56
-0.29,1.23,-0.18,0.04,1.24,-0.30,1.56
-0.84,1.28,-0.18,0.51,1.36,-0.18,1.56
-0.61,1.08,-0.18,0.37,1.05,-0.11,1.56
-0.43,1.08,-0.21,0.10,1.00,-0.15,1.56
-0.40,1.11,-0.21,0.05,1.03,-0.18,1.55
-0.39,1.11,-0.20,0.02,1.03,-0.19,1.55
-0.37,1.12,-0.21,0.01,1.13,-0.24,1.55
-0.38,1.11,-0.18,-0.01,1.50,-0.25,1.55
-0.40,1.10,-0.14,0.00,1.09,-0.45,1.56
-0.38,1.14,-0.16,0.04,0.90,-0.20,1.56
-0.32,1.46,-0.22,0.02,0.95,-0.12,1.56
-0.33,0.90,-0.25,0.09,1.10,-0.12,1.55
-0.47,1.04,-0.22,0.09,1.16,-0.15,1.56
-0.45,1.12,-0.23,0.04,1.16,-0.17,1.56
-0.39,1.15,-0.24,0.01,1.18,-0.18,1.56
-0.38,1.17,-0.24,0.01,1.20,-0.19,1.55
-0.38,1.18,-0.24,0.00,1.20,-0.19,1.56
-0.38,1.17,-0.22,0.00,1.20,-0.19,1.55
-0.37,1.19,-0.22,-0.01,1.21,-0.19,1.56
-0.38,1.19,-0.21,-0.01,1.21,-0.18,1.56
-0.40,1.17,-0.19,0.01,1.20,-0.17,1.56
-0.40,1.18,-0.18,0.02,1.20,-0.16,1.56
-0.38,1.18,-0.17,-0.01,1.17,-0.16,1.56
-0.40,1.17,-0.16,0.04,1.38,-0.21,1.56
-0.42,1.19,-0.14,0.09,1.41,-0.29,1.56
-0.56,0.88,-0.12,0.18,0.94,-0.14,1.56
-0.51,1.17,-0.20,0.15,1.17,-0.18,1.56
-0.39,1.20,-0.23,0.03,1.20,-0.21,1.56
-0.28,1.34,-0.25,-0.07,1.33,-0.23,1.56
-0.27,1.32,-0.23,-0.06,1.33,-0.21,1.56
-0.28,1.05,-0.24,-0.02,1.08,-0.24,1.56
-0.32,1.16,-0.24,-0.01,1.15,-0.23,1.56
-0.33,1.15,-0.23,-0.03,1.15,-0.23,1.56
-0.34,1.15,-0.23,-0.04,1.16,-0.23,1.56
-0.34,1.16,-0.24,-0.04,1.16,-0.24,1.56
-0.32,1.16,-0.24,-0.03,1.16,-0.23,1.56
-0.24,1.22,-0.30,0.00,1.16,-0.21,1.56
-0.29,1.27,-0.38,0.05,1.15,-0.18,1.56
-0.51,1.32,-0.45,0.07,1.15,-0.17,1.56
-0.83,1.29,-0.19,0.06,1.14,-0.17,1.56
-0.82,1.25,-0.19,0.01,1.17,-0.20,1.56
-0.65,1.17,-0.29,-0.02,1.21,-0.24,1.56
-0.44,1.01,-0.20,0.13,1.41,-0.32,1.56
-0.46,1.00,-0.15,0.42,1.72,-0.02,1.56
-0.42,1.03,-0.17,0.42,1.49,-0.12,1.56
-0.33,1.03,-0.17,0.10,1.06,-0.20,1.56
-0.31,1.03,-0.16,-0.03,1.00,-0.18,1.56
-0.31,1.34,-0.18,0.01,1.30,-0.20,1.55
-0.28,0.90,-0.18,0.04,0.92,-0.15,1.56
-0.31,1.10,-0.22,0.03,1.08,-0.21,1.56
-0.35,1.26,-0.29,0.08,1.28,-0.28,1.56
-0.68,1.45,-0.15,0.38,1.47,-0.09,1.56
-0.29,1.04,-0.31,0.09,1.08,-0.28,1.55
-0.32,0.86,-0.16,0.04,0.88,-0.14,1.56
-0.29,1.01,-0.22,-0.05,1.01,-0.21,1.56
-0.31,1.11,-0.29,-0.03,1.00,-0.20,1.56
-0.41,1.41,-0.37,-0.01,0.99,-0.18,1.56
-0.61,1.72,-0.16,0.02,1.00,-0.17,1.56
-0.52,1.36,-0.26,-0.00,1.11,-0.20,1.56
-0.40,1.13,-0.20,0.01,1.20,-0.22,1.56
-0.41,1.11,-0.17,0.05,1.26,-0.22,1.56
-0.40,1.11,-0.17,0.33,1.63,-0.24,1.56
-0.42,1.09,-0.14,0.31,1.59,-0.09,1.56
-0.39,1.13,-0.17,0.15,1.22,-0.16,1.55
-0.37,1.15,-0.17,0.07,1.18,-0.18,1.55
-0.35,1.20,-0.19,-0.02,1.19,-0.21,1.55
-0.50,1.13,-0.15,-0.08,1.31,-0.41,1.57
-0.34,0.98,-0.30,0.45,1.40,0.00,1.55
-0.72,1.21,0.16,0.33,1.32,0.17,1.57
-0.60,1.14,-0.02,0.26,1.29,0.05,1.57
-0.40,1.27,-0.16,0.09,1.31,-0.13,1.57
-0.27,1.22,-0.23,0.05,1.30,-0.18,1.57
-0.38,0.98,-0.19,0.11,1.05,-0.14,1.57
-0.42,1.17,-0.15,0.08,1.15,-0.15,1.56
-0.40,1.17,-0.15,0.02,1.25,-0.21,1.56
-0.46,1.16,-0.11,0.03,1.39,-0.29,1.56
-0.49,1.16,-0.08,0.15,0.91,-0.36,1.56
-0.45,1.18,-0.15,0.14,1.14,-0.25,1.56
-0.43,1.18,-0.17,0.02,1.22,-0.28,1.56
-0.46,1.18,-0.14,0.04,1.32,-0.31,1.56
-0.47,1.20,-0.15,0.51,1.40,-0.27,1.57
-0.45,1.21,-0.17,0.19,1.35,-0.20,1.56
-0.39,1.19,-0.19,0.08,1.19,-0.18,1.56
-0.34,1.17,-0.20,0.06,1.19,-0.19,1.56
-0.63,1.71,-0.29,0.37,1.73,-0.24,1.58
-0.61,1.35,-0.22,0.26,1.45,-0.15,1.57
-0.29,1.23,-0.31,0.11,1.04,-0.12,1.56
-0.30,0.91,-0.39,0.20,1.09,-0.06,1.56
-0.39,0.97,-0.31,0.18,1.10,-0.08,1.57
-0.52,1.32,-0.41,0.14,1.13,-0.14,1.57
-0.77,1.25,-0.21,0.18,1.15,-0.12,1.57
-0.51,1.25,-0.27,0.03,1.18,-0.19,1.57
-0.41,1.23,-0.27,0.05,1.16,-0.18,1.56
-0.34,1.31,-0.24,0.04,1.29,-0.16,1.55
-0.35,0.90,-0.21,0.07,0.99,-0.15,1.55
-0.40,1.15,-0.28,0.06,1.15,-0.19,1.53
-0.37,1.11,-0.33,0.07,1.16,-0.13,1.55
-0.72,1.08,-0.17,0.06,1.15,-0.16,1.56
-0.52,1.03,-0.18,-0.11,1.15,-0.16,1.57
-0.52,1.05,-0.14,0.48,1.08,-0.10,1.57
-0.44,1.08,-0.18,0.22,1.08,-0.10,1.57
-0.32,1.13,-0.20,0.05,1.13,-0.18,1.57
-0.38,1.23,-0.26,0.08,1.26,-0.26,1.56
-0.77,1.72,-0.13,0.42,1.77,-0.00,1.57
-0.56,1.11,-0.18,0.23,1.32,-0.11,1.56
-0.42,1.05,-0.17,0.06,1.22,-0.21,1.56
-0.41,1.14,-0.16,0.10,0.87,-0.13,1.56
-0.26,1.07,-0.44,0.16,1.08,-0.08,1.56
-0.46,0.89,-0.25,0.13,1.08,-0.09,1.56
-0.40,0.95,-0.18,0.03,1.10,-0.18,1.56
-0.26,1.13,-0.24,0.04,1.22,-0.26,1.56
-0.34,0.91,-0.23,0.09,0.91,-0.17,1.56
-0.32,1.01,-0.24,0.07,1.02,-0.21,1.56
-0.28,1.07,-0.23,0.02,1.03,-0.21,1.56
-0.29,1.27,-0.25,0.02,1.22,-0.24,1.56
-0.28,1.35,-0.20,0.02,1.34,-0.19,1.56
-0.25,0.90,-0.34,0.05,0.91,-0.30,1.57
-0.32,1.01,-0.25,0.04,1.00,-0.21,1.56
-0.33,1.15,-0.22,0.01,1.09,-0.21,1.55
-0.31,1.29,-0.18,0.01,1.26,-0.16,1.55
-0.28,0.92,-0.22,0.02,0.94,-0.18,1.56
-0.33,1.25,-0.18,0.02,1.22,-0.17,1.56
-0.29,1.27,-0.19,-0.02,1.22,-0.17,1.56
-0.31,1.06,-0.23,0.00,1.04,-0.18,1.56
-0.28,1.28,-0.21,-0.02,1.21,-0.20,1.56
-0.26,1.24,-0.20,-0.02,1.22,-0.21,1.56
-0.64,1.35,-0.03,0.32,1.35,-0.04,1.56
-0.53,1.26,-0.15,0.19,1.22,-0.14,1.56
-0.34,1.16,-0.21,0.05,1.14,-0.19,1.56
-0.38,1.21,-0.24,0.07,1.20,-0.21,1.56
-0.62,1.70,-0.36,0.38,1.67,-0.13,1.57
-0.59,1.45,-0.24,0.34,1.45,0.11,1.56
-0.33,0.97,-0.12,0.06,0.97,-0.09,1.56
-0.32,1.15,-0.20,-0.02,1.12,-0.18,1.56
-0.30,1.28,-0.20,-0.00,1.26,-0.18,1.56
-0.26,0.98,-0.23,0.03,1.01,-0.21,1.56
-0.33,1.17,-0.21,0.01,1.16,-0.21,1.56
-0.37,1.20,-0.16,0.00,1.28,-0.19,1.56
-0.38,1.17,-0.13,0.15,1.02,-0.30,1.56
-0.35,1.30,-0.17,0.11,1.06,-0.16,1.56
-0.36,1.34,-0.21,0.08,1.11,-0.10,1.55
-0.44,1.25,-0.26,0.07,1.15,-0.09,1.56
-0.55,0.96,-0.20,0.06,1.15,-0.11,1.56
-0.45,1.18,-0.20,-0.00,1.20,-0.17,1.55
-0.34,1.34,-0.17,-0.03,1.31,-0.16,1.56
-0.28,1.23,-0.19,-0.02,1.20,-0.19,1.56
-0.29,0.94,-0.20,0.02,0.95,-0.19,1.56
-0.28,0.87,-0.25,-0.00,0.91,-0.26,1.56
-0.35,1.62,-0.23,0.05,1.58,-0.20,1.56
-0.39,1.61,-0.12,0.04,1.58,-0.14,1.56
-0.38,1.58,-0.18,0.05,1.53,-0.18,1.56
-0.48,1.50,-0.13,-0.03,1.39,-0.32,1.55
-0.48,1.51,-0.16,0.46,1.29,-0.10,1.56
-0.45,1.47,-0.21,0.28,1.37,-0.25,1.56
-0.34,1.28,-0.28,0.19,1.28,-0.21,1.56
-0.30,1.24,-0.32,0.16,1.20,-0.14,1.56
-0.51,1.33,-0.45,0.15,1.23,-0.13,1.57
-0.76,1.34,-0.27,0.12,1.21,-0.14,1.56
-0.46,1.03,-0.19,0.05,1.13,-0.18,1.56
-0.46,1.17,-0.21,0.03,1.26,-0.23,1.55
-0.47,1.13,-0.15,0.16,1.21,-0.29,1.56
-0.45,1.15,-0.18,0.26,1.03,-0.16,1.56
-0.35,1.18,-0.22,0.14,1.15,-0.14,1.56
-0.31,1.22,-0.24,0.11,1.20,-0.14,1.56
-0.70,0.98,-0.21,0.12,1.22,-0.13,1.56
-0.54,1.05,-0.20,0.05,1.20,-0.20,1.56
-0.42,1.11,-0.18,0.04,1.01,-0.38,1.56
-0.38,1.26,-0.22,0.07,1.06,-0.21,1.56
-0.29,1.27,-0.33,0.11,1.15,-0.11,1.56
-0.29,0.89,-0.29,0.10,1.15,-0.10,1.56
-0.38,1.27,-0.26,0.02,1.27,-0.18,1.56
-0.31,1.39,-0.20,-0.00,1.38,-0.16,1.56
-0.23,0.89,-0.27,0.04,0.97,-0.25,1.56
-0.27,1.00,-0.25,0.03,1.00,-0.19,1.56
-0.26,1.04,-0.25,0.01,1.04,-0.21,1.56
-0.27,1.04,-0.24,-0.01,1.05,-0.21,1.56
-0.30,1.03,-0.22,0.01,1.10,-0.23,1.56
-0.33,1.05,-0.22,0.04,1.23,-0.23,1.56
-0.35,1.23,-0.21,0.44,1.71,-0.22,1.57
-0.66,1.57,0.26,0.37,1.55,-0.10,1.57
-0.58,1.35,-0.07,0.23,1.26,-0.15,1.56
-0.33,1.16,-0.21,-0.01,1.16,-0.19,1.56
-0.29,1.15,-0.20,-0.01,1.16,-0.19,1.56
-0.29,1.15,-0.19,-0.01,1.15,-0.19,1.56
-0.30,1.16,-0.20,-0.00,1.16,-0.20,1.56
-0.31,1.17,-0.21,0.00,1.19,-0.22,1.56
-0.30,1.22,-0.22,-0.02,1.23,-0.24,1.56
-0.43,1.28,-0.28,0.15,1.32,-0.29,1.57
-0.66,1.21,-0.20,0.40,1.25,-0.18,1.56
-0.41,1.05,-0.23,0.12,1.02,-0.19,1.56
-0.61,1.57,-0.41,0.12,1.05,-0.17,1.56
-0.47,1.24,-0.29,0.08,1.00,-0.17,1.56
-0.37,0.98,-0.17,0.26,1.10,-0.27,1.56
-0.42,1.04,-0.17,0.20,1.61,-0.23,1.56
-0.31,1.07,-0.20,0.05,1.11,-0.21,1.56
-0.29,1.24,-0.23,0.01,1.26,-0.23,1.55
-0.32,0.85,-0.24,0.04,0.90,-0.25,1.57
-0.53,1.34,-0.41,0.24,1.36,-0.37,1.56
-0.77,1.27,-0.16,0.47,1.34,-0.08,1.55
-0.41,1.00,-0.18,0.11,0.98,-0.16,1.56
-0.33,1.02,-0.19,-0.03,0.93,-0.16,1.56
-0.33,1.25,-0.25,-0.01,1.19,-0.27,1.56
-0.28,1.28,-0.28,0.01,1.31,-0.25,1.56
-0.30,1.22,-0.29,0.04,1.22,-0.28,1.57
-0.68,1.37,-0.23,0.44,1.42,-0.12,1.55
-0.34,1.55,-0.17,0.08,1.55,-0.15,1.56
-0.26,0.91,-0.30,0.07,0.94,-0.28,1.57
-0.28,0.95,-0.23,0.06,0.94,-0.20,1.56
-0.36,1.13,-0.35,0.05,1.00,-0.21,1.56
-0.66,1.08,-0.31,0.02,1.08,-0.23,1.56
-0.55,0.95,-0.17,0.42,1.13,-0.27,1.56
-0.35,1.14,-0.28,0.17,1.13,-0.28,1.56
-0.74,1.37,-0.35,0.48,1.40,-0.30,1.56
-0.69,1.20,-0.18,0.42,1.28,-0.14,1.56
-0.34,0.99,-0.19,0.08,0.99,-0.17,1.56
-0.50,1.30,-0.25,0.22,1.30,-0.22,1.56
-0.61,0.85,-0.17,0.38,0.89,-0.11,1.56
-0.59,1.08,-0.26,0.29,1.03,-0.20,1.56
-0.50,0.92,-0.23,0.22,0.94,-0.20,1.56
-0.54,0.78,-0.13,0.31,0.85,-0.13,1.56
-0.54,1.50,-0.21,0.23,1.48,-0.19,1.56
-0.35,1.46,-0.28,0.09,1.45,-0.25,1.56
-0.27,0.91,-0.40,0.08,0.93,-0.38,1.56
-0.32,0.79,-0.23,0.07,0.78,-0.20,1.56
-0.34,0.79,-0.18,0.06,0.80,-0.20,1.56
-0.33,0.78,-0.18,0.15,1.28,-0.32,1.56
-0.29,0.85,-0.35,0.13,1.35,-0.23,1.56
-0.35,1.27,-0.55,0.16,1.29,-0.19,1.56
-0.37,1.37,-0.44,0.14,1.31,-0.25,1.56
-0.67,1.33,-0.40,0.45,1.36,-0.25,1.56
-0.88,1.24,-0.10,0.58,1.33,-0.04,1.56
-0.63,1.29,-0.20,0.34,1.40,-0.17,1.55
-0.49,1.25,-0.21,0.38,0.89,-0.19,1.55
-0.50,1.23,-0.32,0.34,0.91,-0.03,1.56
-0.55,0.85,-0.19,0.26,0.99,-0.08,1.56
-0.40,1.16,-0.33,0.09,1.18,-0.26,1.55
-0.27,1.32,-0.28,0.05,1.34,-0.24,1.56
-0.25,0.89,-0.27,0.11,0.91,-0.24,1.56
-0.28,1.12,-0.29,0.06,1.08,-0.24,1.56
-0.31,0.85,-0.23,0.02,0.84,-0.18,1.56
-0.29,0.82,-0.24,0.10,0.94,-0.30,1.56
-0.35,1.39,-0.28,0.05,1.40,-0.22,1.56
-0.32,1.38,-0.26,0.03,1.38,-0.21,1.56
-0.27,0.86,-0.30,0.06,0.91,-0.31,1.56
-0.29,0.80,-0.18,0.05,0.81,-0.17,1.56
-0.28,0.77,-0.18,0.05,0.80,-0.19,1.56
-0.38,1.44,-0.33,0.10,1.48,-0.25,1.56
-0.35,1.26,-0.30,0.05,1.30,-0.26,1.56
-0.78,1.32,-0.20,0.56,1.28,-0.08,1.56
-0.64,1.26,-0.20,0.40,1.20,-0.07,1.56
-0.44,1.29,-0.31,0.22,1.10,-0.16,1.56
-0.70,1.57,-0.13,0.21,1.13,-0.14,1.56
-0.45,1.01,-0.24,0.07,1.33,-0.28,1.57
-0.49,0.98,-0.14,0.54,1.67,-0.17,1.58
-0.37,1.01,-0.17,0.24,1.25,-0.20,1.56
-0.25,1.02,-0.17,0.02,1.04,-0.15,1.56
-0.28,1.04,-0.20,-0.00,1.03,-0.16,1.55
-0.35,1.26,-0.32,0.07,1.27,-0.27,1.56
-0.85,1.28,-0.16,0.58,1.31,-0.13,1.57
-0.58,1.09,-0.19,0.27,1.08,-0.20,1.56
-0.36,1.28,-0.26,0.08,1.25,-0.27,1.55
-0.26,0.88,-0.29,0.08,0.89,-0.29,1.56
-0.28,0.91,-0.25,0.07,0.94,-0.27,1.56
-0.28,0.89,-0.23,0.04,0.89,-0.24,1.56
-0.37,1.23,-0.47,0.12,1.30,-0.42,1.57
-0.32,0.88,-0.23,0.08,0.94,-0.27,1.56
-0.28,1.07,-0.43,0.07,1.11,-0.39,1.57
-0.26,0.99,-0.35,0.06,0.98,-0.33,1.57
-0.45,1.47,-0.42,0.20,1.43,-0.37,1.57
-0.73,1.53,-0.25,0.51,1.51,-0.14,1.57
-0.41,1.09,-0.26,0.18,1.11,-0.22,1.56
-0.27,0.97,-0.16,0.05,1.26,-0.27,1.56
-0.33,1.12,-0.17,0.09,0.91,-0.18,1.56
-0.29,1.26,-0.26,0.06,1.01,-0.15,1.56
-0.28,1.27,-0.26,0.06,1.06,-0.15,1.55
-0.29,1.30,-0.23,0.07,1.08,-0.13,1.56
-0.35,0.94,-0.25,0.06,1.07,-0.12,1.56
-0.37,1.06,-0.22,0.00,1.08,-0.16,1.56
-0.30,1.12,-0.22,-0.01,1.08,-0.17,1.56
-0.30,1.07,-0.20,-0.02,1.08,-0.16,1.56
-0.35,1.25,-0.25,0.07,1.24,-0.19,1.56
-0.81,1.38,-0.25,0.49,1.43,-0.15,1.57
-0.50,1.02,-0.15,0.22,1.05,-0.13,1.56
-0.29,0.97,-0.18,-0.04,0.92,-0.13,1.56
-0.28,1.29,-0.21,-0.01,1.26,-0.19,1.56
-0.25,0.93,-0.24,0.05,0.94,-0.21,1.56
-0.30,1.03,-0.20,0.02,1.00,-0.19,1.56
-0.27,0.97,-0.17,-0.00,0.98,-0.17,1.56
-0.27,0.92,-0.15,0.01,0.94,-0.16,1.56
-0.32,1.04,-0.38,0.11,1.07,-0.34,1.56
-0.36,1.50,-0.19,0.08,1.44,-0.23,1.56
-0.34,1.39,-0.28,0.06,1.37,-0.28,1.56
-0.35,1.35,-0.34,0.07,1.35,-0.31,1.56
-0.35,1.35,-0.32,0.06,1.35,-0.30,1.56
-0.60,1.59,-0.29,0.33,1.53,-0.26,1.57
-0.76,1.60,-0.15,0.49,1.57,-0.07,1.56
-0.45,1.52,-0.31,0.19,1.53,-0.22,1.56
-0.28,1.18,-0.46,0.10,1.18,-0.41,1.56
-0.31,0.95,-0.37,0.12,0.97,-0.35,1.56
-0.43,0.95,-0.30,0.22,1.02,-0.31,1.56
-0.48,1.32,-0.46,0.20,1.37,-0.44,1.56
-0.26,1.14,-0.49,0.06,1.11,-0.48,1.55
-0.28,0.92,-0.38,0.07,0.93,-0.39,1.56
-0.29,0.93,-0.38,0.02,0.98,-0.41,1.56
-0.33,0.97,-0.41,0.01,1.05,-0.43,1.56
-0.35,1.30,-0.37,0.05,1.31,-0.34,1.56
-0.29,0.89,-0.34,0.07,0.88,-0.30,1.56
-0.25,0.85,-0.26,-0.01,0.90,-0.23,1.56
-0.25,0.93,-0.23,-0.05,1.09,-0.17,1.55
-0.22,1.21,-0.14,-0.06,1.23,-0.11,1.55
-0.23,1.24,-0.13,-0.07,1.26,-0.09,1.55
-0.43,1.47,0.05,0.03,1.49,0.11,1.45
-0.37,1.51,0.03,0.00,1.51,0.09,1.40
-0.43,1.41,-0.09,0.07,1.44,-0.00,1.38
-0.23,1.08,-0.19,-0.06,1.09,-0.20,1.36
-0.23,1.07,-0.18,-0.14,1.05,-0.20,1.37
-0.22,1.10,-0.19,-0.16,1.04,-0.20,1.37
-0.23,1.19,-0.19,-0.17,1.15,-0.21,1.38
-0.25,1.28,-0.17,-0.18,1.27,-0.19,1.37
