x,y,z,x2,y2,z2
0.19,1.10,-0.22,-0.22,1.32,-0.22
0.19,1.10,-0.21,-0.23,1.32,-0.22
0.18,1.21,-0.21,-0.24,1.36,-0.20
0.17,1.28,-0.22,-0.28,1.39,-0.18
0.14,1.34,-0.18,-0.18,1.44,-0.16
0.17,1.39,-0.18,-0.16,1.52,-0.11
0.15,1.38,-0.16,-0.22,1.41,-0.18
0.08,1.38,-0.15,-0.22,1.42,-0.18
0.13,1.35,-0.16,-0.16,1.35,-0.17
0.18,1.35,-0.19,-0.11,1.36,-0.18
0.14,1.35,-0.20,-0.15,1.38,-0.21
0.12,1.36,-0.21,-0.21,1.37,-0.21
0.14,1.36,-0.21,-0.21,1.37,-0.20
0.15,1.35,-0.20,-0.19,1.37,-0.20
0.12,1.36,-0.21,-0.16,1.38,-0.21
0.27,1.42,-0.29,-0.30,1.41,-0.28
0.70,1.47,0.07,-0.73,1.34,0.09
0.35,1.45,-0.21,-0.44,1.37,-0.19
0.17,1.35,-0.23,-0.21,1.30,-0.24
0.13,1.40,-0.22,-0.17,1.42,-0.23
0.12,1.35,-0.23,-0.18,1.36,-0.23
0.13,1.40,-0.25,-0.20,1.38,-0.22
0.12,1.49,-0.23,-0.22,1.38,-0.22
0.13,0.93,-0.35,-0.23,1.38,-0.21
0.18,0.90,-0.14,-0.23,1.35,-0.23
0.16,1.02,-0.19,-0.25,1.17,-0.36
0.16,1.05,-0.17,-0.27,0.86,0.06
0.10,1.15,-0.19,-0.17,1.11,-0.23
0.14,1.19,-0.18,-0.09,1.25,-0.22
0.13,1.24,-0.21,-0.07,1.27,-0.19
0.10,1.22,-0.22,-0.10,1.28,-0.23
0.08,1.19,-0.22,-0.13,1.23,-0.24
0.14,1.19,-0.23,-0.06,1.21,-0.21
0.11,1.23,-0.22,-0.08,1.19,-0.23
0.06,1.21,-0.20,-0.15,1.21,-0.22
0.08,1.22,-0.20,-0.13,1.21,-0.21
0.12,1.20,-0.20,-0.13,1.20,-0.21
0.14,1.20,-0.21,-0.14,1.19,-0.22
0.25,1.48,-0.22,-0.33,1.48,-0.20
0.33,1.12,-0.38,-0.46,1.09,-0.29
0.29,0.86,0.06,-0.28,0.84,0.13
0.15,1.24,-0.29,-0.20,1.23,-0.32
0.10,1.52,-0.23,-0.14,1.54,-0.25
0.10,1.57,-0.19,-0.12,1.57,-0.20
0.17,0.89,-0.27,-0.17,0.89,-0.27
0.24,0.95,-0.05,-0.26,0.94,-0.07
0.11,1.20,-0.22,-0.14,1.18,-0.23
0.09,1.23,-0.17,-0.13,1.21,-0.19
0.12,1.23,-0.18,-0.08,1.25,-0.17
0.10,1.21,-0.19,-0.11,1.24,-0.19
0.08,1.20,-0.20,-0.13,1.21,-0.20
0.12,1.20,-0.19,-0.11,1.20,-0.21
0.14,1.19,-0.20,-0.15,1.34,-0.25
0.10,1.23,-0.22,-0.76,1.33,-0.09
0.14,1.24,-0.21,-0.31,1.04,-0.12
0.16,1.26,-0.25,-0.15,1.19,-0.22
0.27,1.31,-0.25,-0.20,1.13,-0.21
0.58,1.97,-0.32,-0.18,1.15,-0.23
0.47,1.72,-0.18,-0.17,1.18,-0.22
0.26,1.30,-0.25,-0.18,1.18,-0.24
0.14,1.20,-0.22,-0.12,1.15,-0.19
0.12,1.23,-0.25,-0.13,1.20,-0.24
0.12,1.27,-0.32,-0.18,1.22,-0.33
0.16,1.01,-0.16,-0.19,1.01,-0.13
0.13,1.25,-0.25,-0.13,1.22,-0.24
0.60,1.45,-0.32,-0.66,1.39,-0.18
0.17,1.38,-0.28,-0.22,1.34,-0.28
0.16,0.95,-0.15,-0.17,0.94,-0.14
0.14,1.13,-0.22,-0.18,1.08,-0.19
0.11,1.15,-0.22,-0.14,1.13,-0.21
0.16,1.13,-0.22,-0.26,1.23,-0.24
0.16,1.15,-0.24,-0.70,1.82,-0.24
0.18,1.15,-0.25,-0.62,1.56,-0.12
0.13,1.32,-0.23,-0.30,1.31,-0.21
0.19,1.22,-0.23,-0.16,1.16,-0.21
0.32,1.37,-0.29,-0.11,1.14,-0.20
0.73,1.76,-0.28,-0.12,1.16,-0.21
0.32,1.24,-0.27,-0.16,1.15,-0.22
0.09,1.09,-0.19,-0.12,1.10,-0.20
0.16,1.09,-0.20,-0.15,1.08,-0.19
0.25,1.12,-0.19,-0.05,1.13,-0.22
0.13,1.14,-0.34,-0.16,1.41,-0.39
-0.18,1.21,-0.12,-0.54,1.45,-0.16
0.13,1.24,-0.29,-0.33,1.28,-0.24
0.16,1.24,-0.25,-0.17,1.23,-0.27
0.17,1.43,-0.25,-0.10,1.42,-0.27
0.16,0.94,-0.22,-0.14,0.95,-0.19
0.16,1.04,-0.21,-0.16,1.04,-0.20
0.15,1.14,-0.22,-0.14,1.11,-0.21
0.15,1.17,-0.20,-0.16,1.09,-0.19
0.18,1.38,-0.26,-0.17,1.11,-0.19
0.20,0.96,-0.14,-0.18,1.12,-0.20
0.23,1.10,-0.19,-0.16,1.14,-0.22
0.28,1.18,-0.24,-0.16,1.15,-0.22
0.24,1.37,-0.24,-0.15,1.14,-0.23
0.71,1.27,-0.22,-0.15,1.14,-0.22
0.27,1.07,-0.20,-0.16,1.15,-0.21
0.27,1.19,-0.25,-0.21,1.19,-0.23
0.34,1.38,-0.29,-0.33,1.39,-0.28
0.66,1.99,-0.08,-0.69,1.94,0.02
0.44,1.52,-0.21,-0.41,1.51,-0.19
0.22,1.24,-0.20,-0.24,1.47,-0.31
0.19,1.23,-0.19,-0.17,0.92,-0.17
0.22,1.19,-0.22,-0.17,1.36,-0.36
0.20,1.20,-0.23,-0.75,1.40,-0.22
0.15,1.08,-0.19,-0.33,1.05,-0.18
0.13,1.12,-0.22,-0.12,1.11,-0.25
0.13,1.40,-0.26,-0.15,1.40,-0.32
0.15,0.91,-0.27,-0.23,0.91,-0.28
0.27,0.91,-0.08,-0.22,0.91,-0.08
0.16,1.05,-0.23,-0.13,1.16,-0.32
0.20,1.09,-0.20,-0.62,1.06,-0.19
0.15,1.24,-0.24,-0.26,0.92,-0.14
0.53,1.18,-0.36,-0.14,0.96,-0.18
0.38,0.98,-0.14,-0.19,0.98,-0.16
0.19,1.06,-0.20,-0.18,1.07,-0.22
0.24,1.29,-0.27,-0.25,1.26,-0.29
0.52,1.75,-0.37,-0.60,1.68,-0.33
0.53,1.86,-0.12,-0.57,1.80,-0.09
0.23,1.36,-0.27,-0.21,1.18,-0.24
0.12,1.14,-0.32,-0.15,1.29,-0.24
0.22,0.90,-0.10,-0.20,1.42,-0.23
0.19,1.10,-0.21,-0.19,0.96,-0.24
0.16,1.01,-0.19,-0.17,0.96,-0.16
0.14,0.93,-0.18,-0.14,0.93,-0.21
0.16,1.24,-0.35,-0.23,1.23,-0.40
0.19,1.47,-0.21,-0.24,1.43,-0.27
0.13,1.14,-0.21,-0.14,1.10,-0.19
0.10,1.17,-0.20,-0.07,1.13,-0.18
0.09,1.11,-0.17,-0.09,1.06,-0.16
0.10,1.37,-0.20,-0.11,1.34,-0.22
0.18,0.94,-0.17,-0.16,0.92,-0.19
0.18,0.93,-0.13,-0.16,0.90,-0.10
0.14,0.92,-0.16,-0.13,0.90,-0.14
0.13,0.89,-0.20,-0.13,0.85,-0.19
0.17,1.45,-0.18,-0.12,1.38,-0.22
0.17,1.48,-0.16,-0.12,1.43,-0.21
0.12,1.19,-0.28,-0.18,1.17,-0.29
0.27,0.93,-0.05,-0.26,0.91,-0.05
0.14,1.22,-0.27,-0.13,1.19,-0.27
0.70,1.52,-0.32,-0.75,1.44,-0.26
0.61,1.17,-0.18,-0.67,1.06,-0.04
0.17,1.04,-0.19,-0.16,0.99,-0.20
0.14,1.07,-0.17,-0.12,1.04,-0.20
0.29,1.40,-0.28,-0.32,1.39,-0.29
0.60,1.94,-0.08,-0.64,1.93,-0.03
0.37,1.49,-0.26,-0.43,1.31,-0.26
0.16,1.07,-0.19,-0.08,1.05,-0.19
0.16,1.30,-0.24,-0.05,1.28,-0.26
0.14,1.15,-0.33,-0.11,1.15,-0.35
0.29,0.88,-0.01,-0.21,0.89,-0.04
0.26,0.97,-0.19,-0.17,1.01,-0.22
0.36,1.48,-0.25,-0.17,1.08,-0.24
0.36,0.78,-0.03,-0.19,1.06,-0.23
0.27,0.77,0.16,-0.20,1.02,-0.26
0.25,1.01,-0.26,-0.30,1.54,-0.28
0.20,1.05,-0.20,-0.36,0.76,0.06
0.18,0.93,-0.13,-0.29,0.77,0.07
0.16,1.33,-0.31,-0.17,1.39,-0.35
0.15,1.52,-0.22,-0.15,1.56,-0.25
0.23,0.80,-0.19,-0.21,0.80,-0.20
0.24,0.85,-0.15,-0.23,0.84,-0.15
0.19,1.12,-0.43,-0.15,1.13,-0.43
0.20,1.66,-0.16,-0.21,1.66,-0.20
0.23,1.34,-0.29,-0.17,1.15,-0.23
0.18,1.23,-0.28,-0.10,1.11,-0.20
0.58,1.42,-0.47,-0.09,1.13,-0.22
0.53,0.97,-0.21,-0.08,1.12,-0.22
0.22,0.88,-0.14,-0.11,1.17,-0.26
0.16,0.99,-0.20,-0.19,1.24,-0.31
0.15,1.02,-0.21,-0.22,1.30,-0.36
0.14,1.03,-0.21,-0.77,1.35,-0.21
0.18,1.01,-0.22,-0.32,0.95,-0.16
0.22,0.99,-0.24,-0.03,1.03,-0.22
0.27,1.31,-0.38,-0.08,1.03,-0.22
0.52,0.89,-0.21,-0.08,1.05,-0.21
0.34,0.76,0.16,-0.11,0.98,-0.16
0.25,0.92,-0.18,-0.09,1.28,-0.35
0.20,0.93,-0.18,-0.32,1.28,-0.42
0.20,1.04,-0.21,-0.43,0.80,0.04
0.11,1.42,-0.30,-0.20,1.11,-0.25
0.17,0.81,-0.18,-0.18,1.18,-0.27
0.34,0.83,-0.00,-0.20,1.55,-0.26
