y,y2
1.10,1.32
1.10,1.32
1.21,1.36
1.28,1.39
1.34,1.44
1.39,1.52
1.38,1.41
1.38,1.42
1.35,1.35
1.35,1.36
1.35,1.38
1.36,1.37
1.36,1.37
1.35,1.37
1.36,1.38
1.42,1.41
1.47,1.34
1.45,1.37
1.35,1.30
1.40,1.42
1.35,1.36
1.40,1.38
1.49,1.38
0.93,1.38
0.90,1.35
1.02,1.17
1.05,0.86
1.15,1.11
1.19,1.25
1.24,1.27
1.22,1.28
1.19,1.23
1.19,1.21
1.23,1.19
1.21,1.21
1.22,1.21
1.20,1.20
1.20,1.19
1.48,1.48
1.12,1.09
0.86,0.84
1.24,1.23
1.52,1.54
1.57,1.57
0.89,0.89
0.95,0.94
1.20,1.18
1.23,1.21
1.23,1.25
1.21,1.24
1.20,1.21
1.20,1.20
1.19,1.34
1.23,1.33
1.24,1.04
1.26,1.19
1.31,1.13
1.97,1.15
1.72,1.18
1.30,1.18
1.20,1.15
1.23,1.20
1.27,1.22
1.01,1.01
1.25,1.22
1.45,1.39
1.38,1.34
0.95,0.94
1.13,1.08
1.15,1.13
1.13,1.23
1.15,1.82
1.15,1.56
1.32,1.31
1.22,1.16
1.37,1.14
1.76,1.16
1.24,1.15
1.09,1.10
1.09,1.08
1.12,1.13
1.14,1.41
1.21,1.45
1.24,1.28
1.24,1.23
1.43,1.42
0.94,0.95
1.04,1.04
1.14,1.11
1.17,1.09
1.38,1.11
0.96,1.12
1.10,1.14
1.18,1.15
1.37,1.14
1.27,1.14
1.07,1.15
1.19,1.19
1.38,1.39
1.99,1.94
1.52,1.51
1.24,1.47
1.23,0.92
1.19,1.36
1.20,1.40
1.08,1.05
1.12,1.11
1.40,1.40
0.91,0.91
0.91,0.91
1.05,1.16
1.09,1.06
1.24,0.92
1.18,0.96
0.98,0.98
1.06,1.07
1.29,1.26
1.75,1.68
1.86,1.80
1.36,1.18
1.14,1.29
0.90,1.42
1.10,0.96
1.01,0.96
0.93,0.93
1.24,1.23
1.47,1.43
1.14,1.10
1.17,1.13
1.11,1.06
1.37,1.34
0.94,0.92
0.93,0.90
0.92,0.90
0.89,0.85
1.45,1.38
1.48,1.43
1.19,1.17
0.93,0.91
1.22,1.19
1.52,1.44
1.17,1.06
1.04,0.99
1.07,1.04
1.40,1.39
1.94,1.93
1.49,1.31
1.07,1.05
1.30,1.28
1.15,1.15
0.88,0.89
0.97,1.01
1.48,1.08
0.78,1.06
0.77,1.02
1.01,1.54
1.05,0.76
0.93,0.77
1.33,1.39
1.52,1.56
0.80,0.80
0.85,0.84
1.12,1.13
1.66,1.66
1.34,1.15
1.23,1.11
1.42,1.13
0.97,1.12
0.88,1.17
0.99,1.24
1.02,1.30
1.03,1.35
1.01,0.95
0.99,1.03
1.31,1.03
0.89,1.05
0.76,0.98
0.92,1.28
0.93,1.28
1.04,0.80
1.42,1.11
0.81,1.18
0.83,1.55
0.95,0.89
1.04,0.80
1.12,1.06
1.41,1.46
0.77,0.75
0.79,0.79
1.12,1.12
1.08,1.07
0.99,0.95
1.26,1.29
1.88,1.94
1.38,1.27
1.13,1.09
1.20,1.14
1.14,1.22
1.15,1.17
1.09,1.17
1.10,1.11
1.24,1.24
1.42,1.40
1.03,0.93
1.03,0.90
1.21,1.67
1.05,1.15
1.70,1.13
1.56,1.12
1.25,1.21
1.41,1.42
1.32,1.31
1.56,1.51
1.02,1.00
1.07,1.06
1.07,1.08
1.41,1.43
1.00,1.00
1.47,1.45
1.62,1.62
1.25,1.28
0.84,0.83
0.87,0.98
1.05,1.12
1.20,0.88
1.02,1.01
1.20,1.23
1.51,1.49
1.07,1.01
1.59,1.56
1.04,1.04
0.81,0.79
0.92,0.92
0.88,0.91
1.61,1.57
1.66,1.67
1.46,1.46
0.79,0.79
0.77,0.81
1.32,1.02
1.62,1.44
1.57,1.00
1.67,1.70
1.59,1.60
1.14,1.17
0.86,0.80
1.48,1.09
0.78,1.33
0.87,0.76
0.91,0.75
1.47,1.46
1.15,1.16
0.81,0.80
0.78,0.80
0.77,0.79
1.47,1.46
1.69,1.72
1.53,1.57
0.76,0.75
0.75,0.75
1.21,1.20
1.50,1.56
1.52,1.46
1.05,0.98
0.90,0.93
0.96,1.74
0.96,1.53
1.34,0.95
1.91,0.94
1.33,1.03
1.11,1.06
1.04,1.01
1.37,1.33
1.45,1.41
1.41,1.37
1.43,1.41
0.78,0.78
0.80,0.78
0.84,0.81
1.62,1.60
1.62,1.63
0.87,0.88
1.32,1.31
1.73,1.65
1.66,1.66
1.70,1.60
1.01,1.27
0.81,1.39
0.86,1.66
0.98,1.70
0.98,1.21
0.99,0.78
0.97,0.79
1.07,1.15
0.98,1.08
1.29,1.29
1.35,1.31
0.99,0.93
1.02,1.27
1.27,1.31
0.79,0.78
0.88,0.88
0.96,0.98
0.82,0.82
1.68,1.67
1.51,1.44
1.21,1.14
1.10,1.02
1.29,1.24
1.89,1.93
1.76,1.73
1.61,1.61
0.83,0.83
0.83,0.81
1.19,1.12
1.58,1.58
0.78,0.78
0.80,0.79
1.06,1.01
1.71,1.75
1.51,1.54
0.80,0.78
0.78,0.78
1.24,1.20
1.13,1.06
1.04,1.02
1.13,1.13
1.11,1.02
1.09,1.09
1.10,1.05
