y,y2
1.03,1.02
1.04,1.02
1.04,1.02
1.10,1.09
1.02,1.00
0.71,0.73
0.72,0.73
0.84,0.87
1.07,1.11
1.13,1.17
1.11,1.10
1.10,1.11
1.08,1.09
1.09,1.09
1.08,1.11
1.09,1.14
1.25,1.27
1.24,1.31
1.18,1.22
0.99,1.00
1.07,1.10
0.85,0.84
0.99,1.26
0.99,0.87
1.04,0.82
1.28,0.84
0.74,0.82
0.94,0.94
1.09,1.08
1.07,1.06
1.07,1.07
1.07,1.07
1.07,1.08
1.07,1.07
1.08,1.07
1.08,1.07
1.08,1.07
1.06,1.07
1.01,1.02
1.17,1.25
0.82,0.82
1.16,1.18
0.93,0.89
1.22,1.27
0.86,0.84
0.88,0.91
1.02,1.05
1.18,1.03
1.30,1.02
1.26,1.01
1.24,1.00
1.23,1.00
1.24,0.99
1.30,0.99
1.00,0.97
0.88,1.35
0.89,1.29
0.85,1.33
0.88,1.68
1.00,1.21
0.88,0.89
1.05,1.10
1.15,1.19
0.88,0.92
1.17,1.23
1.20,1.25
1.22,1.26
0.81,0.79
0.87,0.89
1.17,1.03
1.41,1.00
1.48,1.00
1.61,1.02
1.19,1.22
0.98,1.54
0.93,1.17
0.94,1.61
0.97,1.49
0.98,0.96
0.93,1.20
0.93,1.17
0.92,1.24
0.91,1.19
0.94,0.99
0.85,0.84
1.17,1.24
0.81,0.80
0.82,0.89
0.98,1.09
0.91,0.90
0.99,1.29
0.96,0.81
0.97,1.23
0.96,1.17
0.95,1.19
0.94,1.28
0.96,0.99
1.21,1.23
1.21,1.18
1.68,1.74
1.59,1.67
1.33,1.63
0.78,1.41
1.11,1.41
1.28,1.41
1.00,1.34
1.24,1.42
1.41,1.50
0.92,0.90
0.90,0.88
1.08,1.05
1.00,1.04
0.81,1.00
0.82,1.06
0.85,0.98
1.22,1.30
1.20,1.22
1.32,1.36
1.60,1.71
1.30,1.65
1.19,1.23
1.25,0.75
0.81,0.82
0.84,0.84
0.77,0.75
1.19,1.27
1.38,1.47
1.28,1.30
1.20,1.21
1.23,1.28
1.31,1.37
0.75,0.75
0.83,0.88
0.79,0.80
0.83,0.88
1.37,1.43
1.37,1.46
0.98,0.98
0.80,0.82
1.11,1.19
1.23,1.28
1.10,1.20
1.30,1.38
0.96,0.97
0.98,1.01
1.68,1.77
1.46,1.63
0.98,0.98
1.09,1.09
1.15,1.22
0.76,0.75
0.87,0.99
0.86,1.46
0.86,0.74
0.98,0.77
1.38,0.83
0.73,0.80
0.88,0.88
0.90,0.90
1.27,1.34
0.78,0.77
0.83,0.87
0.96,1.02
1.25,1.30
1.10,1.31
1.02,1.19
1.00,1.28
0.99,1.14
1.06,0.97
0.96,1.00
1.09,0.95
1.20,0.98
0.75,0.97
0.88,1.21
0.86,1.47
0.85,0.80
0.94,0.80
1.35,0.83
1.14,0.82
0.70,0.82
0.75,1.28
0.80,0.71
1.17,0.78
0.80,0.78
0.73,0.78
0.84,0.85
1.20,1.30
0.71,0.70
0.87,0.95
1.31,1.42
1.00,1.07
0.75,0.79
0.84,0.85
1.77,1.90
1.62,1.77
1.17,1.21
1.02,1.03
1.08,1.15
1.04,1.20
1.10,1.24
1.11,1.23
1.11,1.23
1.27,1.32
1.17,1.19
0.96,1.08
1.49,1.08
1.03,0.84
1.00,1.58
1.01,1.52
1.25,1.52
1.16,1.25
1.09,1.12
1.16,1.36
1.24,1.28
1.09,1.10
1.06,1.06
1.22,1.26
0.96,0.97
1.21,1.31
1.30,1.43
1.19,1.20
0.90,0.88
1.09,0.96
1.05,0.92
0.81,1.01
0.86,0.98
1.11,1.14
1.19,1.30
1.09,1.10
1.07,1.06
1.05,1.06
0.88,0.89
1.00,1.00
0.74,0.75
1.29,1.43
1.25,1.34
1.31,1.38
0.76,0.74
0.76,0.73
0.79,1.39
0.77,1.57
0.81,1.49
1.29,1.40
1.24,1.28
1.23,1.31
1.16,1.41
1.15,1.35
1.20,0.81
0.78,0.90
0.86,0.91
1.07,1.09
1.08,1.11
0.83,0.86
0.89,0.90
0.74,0.75
1.44,1.54
1.45,1.56
1.32,1.41
0.74,0.72
0.72,0.70
1.13,1.22
1.28,1.35
1.28,1.33
1.20,1.27
1.22,1.21
1.63,1.15
1.30,1.10
0.99,1.16
0.98,1.69
1.06,1.35
1.19,1.34
1.12,1.24
1.21,1.28
1.19,1.24
1.09,1.11
1.26,1.35
0.75,0.75
0.77,0.78
0.72,0.73
1.28,1.35
1.31,1.41
0.83,0.80
0.97,0.99
1.49,1.57
1.53,1.70
1.36,1.59
1.26,0.97
1.21,0.76
1.21,0.83
1.24,0.83
1.01,0.82
0.86,0.84
1.01,1.01
1.11,1.26
1.13,1.27
1.17,1.26
1.16,1.27
1.21,1.30
1.23,1.28
1.19,1.24
0.83,0.82
0.96,0.98
0.80,0.78
0.72,0.72
1.28,1.36
1.27,1.37
1.22,1.31
1.22,1.30
1.19,1.23
1.73,1.79
1.56,1.71
1.28,1.36
0.82,0.79
0.81,0.78
0.98,1.14
1.27,1.37
0.76,0.74
0.82,0.87
0.98,1.02
1.23,1.34
1.20,1.26
0.69,0.69
0.77,0.77
0.78,0.78
0.70,0.74
0.72,0.75
0.76,0.95
0.74,0.92
0.73,0.91
0.73,0.92
