x,y,z,x2,y2,z2
-0.16,1.29,-0.07,-0.37,1.20,-0.12
-0.16,1.28,-0.08,-0.37,1.19,-0.13
-0.16,1.28,-0.09,-0.38,1.21,-0.13
-0.15,1.26,-0.10,-0.38,1.22,-0.13
-0.12,1.24,-0.10,-0.37,1.20,-0.12
-0.13,1.23,-0.09,-0.36,1.20,-0.10
-0.14,1.23,-0.08,-0.37,1.22,-0.09
-0.18,1.23,-0.06,-0.38,1.22,-0.08
-0.15,1.21,-0.07,-0.37,1.19,-0.09
-0.08,1.22,-0.13,-0.32,1.18,-0.13
-0.07,1.25,-0.17,-0.24,1.19,-0.15
0.16,1.33,-0.19,-0.35,1.27,-0.18
0.38,1.28,-0.05,-0.67,1.30,-0.14
-0.07,1.17,-0.11,-0.24,1.16,-0.11
-0.06,1.15,-0.10,-0.24,1.15,-0.10
-0.04,1.16,-0.11,-0.27,1.17,-0.12
-0.04,1.17,-0.11,-0.27,1.18,-0.12
-0.03,1.14,-0.12,-0.26,1.18,-0.11
0.03,1.23,-0.19,-0.27,1.17,-0.13
0.10,0.77,-0.17,-0.29,1.15,-0.11
-0.03,0.89,-0.10,-0.32,1.15,-0.12
0.01,0.99,-0.11,-0.29,0.99,-0.27
0.08,1.08,-0.09,-0.22,1.01,-0.15
0.00,1.19,-0.12,-0.25,1.21,-0.10
-0.04,1.21,-0.10,-0.26,1.24,-0.08
-0.05,1.20,-0.10,-0.28,1.24,-0.12
-0.06,1.20,-0.10,-0.30,1.24,-0.13
-0.07,1.20,-0.12,-0.30,1.23,-0.13
-0.07,1.19,-0.13,-0.30,1.22,-0.14
-0.06,1.20,-0.13,-0.30,1.21,-0.14
-0.02,1.20,-0.15,-0.31,1.21,-0.15
0.01,1.20,-0.15,-0.30,1.20,-0.15
0.04,1.18,-0.15,-0.25,1.19,-0.15
0.09,1.15,-0.17,-0.21,1.16,-0.15
0.14,1.14,-0.22,-0.26,1.15,-0.18
0.35,1.14,-0.25,-0.59,1.13,-0.30
0.33,0.91,-0.04,-0.59,0.93,-0.10
0.07,1.14,-0.16,-0.36,1.18,-0.18
0.02,1.16,-0.20,-0.20,1.18,-0.20
0.03,1.31,-0.25,-0.19,1.31,-0.27
0.14,0.69,-0.16,-0.25,0.69,-0.23
0.10,1.20,-0.17,-0.25,1.23,-0.22
0.04,1.26,-0.14,-0.19,1.28,-0.15
0.10,1.18,-0.13,-0.13,1.23,-0.17
0.13,1.20,-0.15,-0.12,1.25,-0.19
0.10,1.24,-0.16,-0.14,1.24,-0.19
0.09,1.25,-0.17,-0.15,1.22,-0.22
0.02,1.25,-0.18,-0.20,1.22,-0.26
-0.07,1.26,-0.21,-0.34,1.23,-0.30
-0.09,1.27,-0.23,-0.94,1.37,-0.16
-0.14,1.25,-0.24,-0.55,1.15,-0.21
-0.10,1.22,-0.29,-0.69,1.02,0.02
0.07,1.23,-0.38,-0.32,0.88,0.36
0.49,1.75,-0.28,-0.26,0.89,-0.07
0.41,1.51,-0.13,-0.21,1.07,-0.26
0.07,1.24,-0.23,-0.19,1.17,-0.28
-0.06,1.17,-0.24,-0.29,1.16,-0.27
-0.05,1.22,-0.30,-0.30,1.21,-0.34
0.08,1.07,-0.40,-0.25,1.03,-0.46
0.04,0.92,-0.22,-0.25,0.97,-0.33
-0.01,1.26,-0.35,-0.32,1.23,-0.32
0.63,1.47,-0.09,-0.95,1.52,-0.21
0.13,1.42,-0.37,-0.37,1.32,-0.45
0.10,0.70,-0.18,-0.18,0.73,-0.30
0.06,1.14,-0.26,-0.31,1.19,-0.29
-0.03,1.14,-0.24,-0.31,1.19,-0.26
-0.03,1.15,-0.23,-0.41,1.29,-0.33
-0.04,1.19,-0.24,-0.75,1.79,-0.39
-0.04,1.22,-0.26,-0.78,1.68,-0.28
-0.05,1.15,-0.25,-0.43,1.06,-0.26
0.00,1.19,-0.29,-0.28,1.04,-0.24
0.22,1.37,-0.42,-0.25,1.08,-0.32
0.78,1.81,-0.23,-0.20,1.12,-0.34
0.37,1.46,-0.28,-0.21,1.10,-0.32
0.02,1.24,-0.28,-0.21,1.06,-0.26
-0.10,1.23,-0.27,-0.16,1.03,-0.23
-0.19,1.30,-0.34,0.01,1.07,-0.28
0.13,1.39,-0.61,-0.05,1.05,-0.53
0.45,1.18,-0.17,-0.70,1.09,-0.19
0.06,1.13,-0.32,-0.31,1.02,-0.34
0.03,1.13,-0.33,-0.18,1.08,-0.33
0.05,1.34,-0.41,-0.22,1.30,-0.45
0.19,0.67,-0.36,-0.22,0.66,-0.42
0.12,1.08,-0.33,-0.25,1.12,-0.36
0.06,1.16,-0.34,-0.23,1.16,-0.33
0.04,1.15,-0.43,-0.24,1.19,-0.30
0.17,1.24,-0.54,-0.27,1.15,-0.27
0.11,0.87,-0.39,-0.29,1.16,-0.28
0.03,1.10,-0.34,-0.27,1.25,-0.32
0.05,1.26,-0.44,-0.26,1.23,-0.31
0.44,1.37,-0.55,-0.19,1.21,-0.37
0.80,1.32,-0.29,-0.12,1.21,-0.39
0.24,1.07,-0.36,-0.05,1.15,-0.35
