y,y2
1.29,1.20
1.28,1.19
1.28,1.21
1.26,1.22
1.24,1.20
1.23,1.20
1.23,1.22
1.23,1.22
1.21,1.19
1.22,1.18
1.25,1.19
1.33,1.27
1.28,1.30
1.17,1.16
1.15,1.15
1.16,1.17
1.17,1.18
1.14,1.18
1.23,1.17
0.77,1.15
0.89,1.15
0.99,0.99
1.08,1.01
1.19,1.21
1.21,1.24
1.20,1.24
1.20,1.24
1.20,1.23
1.19,1.22
1.20,1.21
1.20,1.21
1.20,1.20
1.18,1.19
1.15,1.16
1.14,1.15
1.14,1.13
0.91,0.93
1.14,1.18
1.16,1.18
1.31,1.31
0.69,0.69
1.20,1.23
1.26,1.28
1.18,1.23
1.20,1.25
1.24,1.24
1.25,1.22
1.25,1.22
1.26,1.23
1.27,1.37
1.25,1.15
1.22,1.02
1.23,0.88
1.75,0.89
1.51,1.07
1.24,1.17
1.17,1.16
1.22,1.21
1.07,1.03
0.92,0.97
1.26,1.23
1.47,1.52
1.42,1.32
0.70,0.73
1.14,1.19
1.14,1.19
1.15,1.29
1.19,1.79
1.22,1.68
1.15,1.06
1.19,1.04
1.37,1.08
1.81,1.12
1.46,1.10
1.24,1.06
1.23,1.03
1.30,1.07
1.39,1.05
1.18,1.09
1.13,1.02
1.13,1.08
1.34,1.30
0.67,0.66
1.08,1.12
1.16,1.16
1.15,1.19
1.24,1.15
0.87,1.16
1.10,1.25
1.26,1.23
1.37,1.21
1.32,1.21
1.07,1.15
1.20,1.20
1.41,1.34
1.96,2.00
1.38,1.46
1.24,1.28
1.21,0.81
1.27,1.18
1.23,1.32
1.24,1.02
1.14,1.04
1.33,1.30
0.69,0.67
1.09,1.09
1.06,1.04
1.03,0.99
1.05,0.90
1.10,0.92
0.87,0.98
1.10,1.06
1.23,1.19
1.80,1.75
1.67,1.71
1.21,1.15
0.84,1.14
0.91,1.22
1.06,0.76
1.04,1.12
0.70,0.66
1.45,1.49
1.27,1.34
0.95,0.99
1.07,1.05
1.11,1.07
1.26,1.27
0.72,0.69
0.87,0.83
0.82,0.74
0.90,0.84
1.55,1.59
1.46,1.49
0.71,0.71
0.78,0.81
1.22,1.19
1.50,1.60
1.07,1.06
0.97,0.95
1.13,1.07
1.45,1.40
1.87,1.97
1.17,1.21
1.00,1.03
1.16,1.16
0.75,0.75
0.93,0.98
1.09,1.13
1.27,1.17
0.74,1.08
0.96,1.14
1.01,1.17
1.08,0.87
1.11,1.11
1.14,1.17
1.43,1.41
0.81,0.80
1.00,1.02
1.30,1.22
1.42,1.41
1.15,1.16
1.27,1.16
1.42,1.18
1.01,1.15
1.01,1.12
1.00,1.21
1.01,1.27
1.06,1.35
1.11,1.05
1.09,1.10
1.20,1.05
0.74,0.98
0.86,1.08
0.87,1.17
0.84,0.81
0.96,0.86
1.18,0.92
0.78,1.00
0.93,1.20
0.93,0.70
1.03,1.17
1.12,1.21
1.18,1.14
0.93,0.97
1.07,1.13
1.11,1.14
1.19,1.16
1.24,1.19
1.46,1.37
1.89,2.00
1.22,1.38
1.06,1.11
1.10,1.15
1.11,1.16
1.10,1.14
1.11,1.14
1.19,1.15
1.31,1.20
1.36,1.40
1.29,1.28
1.14,0.84
1.19,1.33
0.94,0.84
1.68,0.93
0.86,0.90
1.16,1.13
1.08,1.04
1.25,1.20
1.36,1.32
1.11,1.05
1.10,1.10
1.11,1.11
1.34,1.27
0.84,0.79
1.48,1.63
1.49,1.42
0.75,0.71
1.22,1.27
1.14,1.10
1.09,1.10
1.11,0.79
0.88,0.90
1.35,1.33
1.33,1.38
1.06,1.05
1.37,1.36
0.73,0.66
1.34,1.32
0.92,0.97
0.59,0.55
1.52,1.58
1.01,1.00
1.20,1.20
0.75,0.80
0.73,1.12
1.53,1.09
1.07,0.83
1.09,1.07
1.17,1.11
1.41,1.34
1.30,1.38
1.09,0.99
0.76,0.90
0.79,1.21
0.98,0.69
1.10,0.84
1.33,1.30
0.68,0.68
0.82,0.85
0.82,0.82
0.65,0.64
1.62,1.65
1.39,1.40
1.10,1.04
0.68,0.73
0.68,0.70
1.52,1.50
1.31,1.29
1.50,1.57
1.26,1.29
1.00,1.03
1.04,1.96
1.02,1.08
1.70,0.97
1.44,1.02
0.97,1.02
1.03,1.02
1.21,1.14
1.51,1.52
1.14,1.17
1.24,1.26
1.24,1.21
0.81,0.88
0.86,0.89
0.74,0.67
1.60,1.62
1.47,1.47
0.64,0.65
1.23,1.20
1.94,2.08
1.24,1.22
1.30,0.96
0.66,0.96
0.78,1.11
0.89,1.16
0.91,1.31
0.87,0.56
0.97,0.93
1.05,1.05
1.15,1.14
1.15,1.20
1.49,1.53
1.28,1.24
1.13,1.06
1.20,1.20
0.90,0.84
0.81,0.91
0.94,1.01
0.78,0.77
0.81,0.77
1.81,1.86
1.42,1.48
1.06,1.08
1.14,1.15
1.51,1.39
1.87,1.98
1.13,1.22
1.24,1.20
0.59,0.60
0.71,0.60
1.54,1.39
1.11,1.14
1.39,1.26
1.48,1.49
1.40,1.43
1.38,1.43
1.12,1.17
1.17,1.14
1.54,1.57
1.57,1.59
1.56,1.57
1.63,1.61
1.63,1.61
1.63,1.62
1.63,1.62
1.63,1.61
1.63,1.61
1.63,1.61
1.63,1.61
1.63,1.61
