x,y,z,x2,y2,z2
-0.28,1.44,0.46,-0.14,1.21,0.46
-0.28,1.45,0.47,-0.15,1.22,0.46
-0.28,1.45,0.47,-0.15,1.22,0.47
-0.30,1.45,0.47,-0.15,1.23,0.47
-0.32,1.41,0.43,-0.16,1.24,0.47
-0.34,1.32,0.41,-0.14,1.23,0.46
-0.37,1.24,0.41,-0.14,1.22,0.46
-0.38,1.20,0.41,-0.13,1.22,0.45
-0.37,1.20,0.42,-0.12,1.23,0.44
-0.35,1.21,0.44,-0.11,1.26,0.43
-0.38,1.28,0.44,-0.09,1.32,0.43
-0.46,1.34,0.44,0.03,1.36,0.45
-1.02,1.50,0.51,0.62,1.48,0.88
-0.76,1.38,0.37,0.34,1.40,0.53
-0.41,1.19,0.42,-0.06,1.13,0.43
-0.38,1.14,0.44,-0.13,1.05,0.47
-0.41,1.16,0.43,-0.12,1.08,0.44
-0.40,1.19,0.43,-0.09,1.06,0.43
-0.39,1.17,0.42,-0.05,1.14,0.38
-0.40,1.17,0.43,0.11,0.92,0.30
-0.42,1.16,0.41,0.01,0.74,0.56
-0.37,1.20,0.38,-0.07,0.90,0.45
-0.32,0.71,0.47,0.01,1.01,0.47
-0.33,1.11,0.37,-0.05,1.06,0.45
-0.28,1.11,0.44,-0.10,1.03,0.44
-0.32,1.16,0.42,-0.12,1.11,0.44
-0.33,1.21,0.42,-0.14,1.17,0.44
-0.34,1.17,0.41,-0.11,1.15,0.43
-0.33,1.17,0.41,-0.07,1.14,0.43
-0.34,1.20,0.40,-0.03,1.18,0.42
-0.32,1.18,0.42,-0.02,1.15,0.43
-0.32,1.18,0.42,-0.01,1.15,0.43
-0.33,1.19,0.38,0.01,1.16,0.40
-0.36,1.19,0.35,0.02,1.17,0.37
-0.46,1.28,0.32,0.11,1.30,0.36
-0.60,1.29,0.34,0.21,1.34,0.43
-0.71,0.62,0.38,0.34,0.63,0.60
-0.52,1.13,0.35,0.10,1.03,0.44
-0.36,1.02,0.41,-0.10,0.99,0.44
-0.40,1.27,0.32,-0.08,1.29,0.38
-0.31,0.78,0.23,0.05,0.86,0.29
-0.35,1.01,0.35,-0.14,0.90,0.50
-0.38,1.00,0.41,-0.23,0.95,0.47
-0.39,1.02,0.43,-0.21,0.96,0.47
-0.45,1.20,0.35,-0.17,1.09,0.45
-0.48,1.24,0.32,-0.15,1.23,0.43
-0.43,1.18,0.32,-0.13,1.20,0.43
-0.40,1.19,0.31,-0.10,1.21,0.41
-0.41,1.24,0.28,-0.09,1.21,0.41
