y,y2
1.44,1.21
1.45,1.22
1.45,1.22
1.45,1.23
1.41,1.24
1.32,1.23
1.24,1.22
1.20,1.22
1.20,1.23
1.21,1.26
1.28,1.32
1.34,1.36
1.50,1.48
1.38,1.40
1.19,1.13
1.14,1.05
1.16,1.08
1.19,1.06
1.17,1.14
1.17,0.92
1.16,0.74
1.20,0.90
0.71,1.01
1.11,1.06
1.11,1.03
1.16,1.11
1.21,1.17
1.17,1.15
1.17,1.14
1.20,1.18
1.18,1.15
1.18,1.15
1.19,1.16
1.19,1.17
1.28,1.30
1.29,1.34
0.62,0.63
1.13,1.03
1.02,0.99
1.27,1.29
0.78,0.86
1.01,0.90
1.00,0.95
1.02,0.96
1.20,1.09
1.24,1.23
1.18,1.20
1.19,1.21
1.24,1.21
1.52,1.21
1.18,1.22
0.96,1.13
0.98,1.23
1.01,1.61
1.02,1.83
1.06,1.12
1.13,1.09
1.12,1.15
1.18,1.24
0.70,0.69
1.08,1.09
1.60,1.56
1.41,1.39
0.61,0.58
0.78,0.77
1.02,0.97
1.10,1.00
1.65,1.03
1.75,1.14
0.95,1.06
1.00,1.05
1.10,1.23
1.14,1.95
1.16,1.52
1.19,1.08
1.10,1.09
1.02,1.25
1.08,1.37
1.21,1.37
0.96,1.00
1.03,1.09
1.37,1.37
0.64,0.65
0.84,0.84
1.00,0.95
1.11,1.11
1.13,1.26
1.03,0.66
1.18,0.94
1.20,1.09
1.20,1.28
1.21,1.39
1.21,1.01
1.20,1.13
1.38,1.43
1.99,1.95
1.62,1.56
1.36,1.31
0.60,1.23
1.13,1.31
1.45,1.29
1.11,1.29
1.11,1.20
1.27,1.29
0.78,0.80
0.92,0.91
1.00,1.09
1.00,1.02
0.83,1.00
0.88,1.07
0.96,0.85
1.04,0.92
1.15,1.20
1.69,1.74
1.93,1.93
1.34,1.26
1.16,1.21
1.18,0.80
0.68,0.90
0.92,1.05
0.84,0.84
0.94,0.95
1.64,1.57
1.38,1.30
1.29,1.24
1.26,1.23
1.29,1.27
0.61,0.58
0.84,0.80
0.83,0.81
0.62,0.65
1.74,1.69
1.66,1.62
1.29,1.34
0.66,0.65
0.92,0.94
1.51,1.51
1.48,1.38
0.96,0.92
1.00,1.04
1.19,1.27
2.02,1.92
1.61,1.42
0.98,0.95
1.10,1.09
1.20,1.21
0.77,0.73
0.91,0.91
1.02,1.29
0.93,0.67
1.06,0.76
1.22,0.82
0.60,0.82
0.80,0.93
1.03,1.03
1.36,1.34
0.65,0.61
0.91,0.88
0.60,0.64
1.82,1.76
1.59,1.54
1.15,1.17
1.16,1.49
1.14,1.01
1.08,0.84
1.05,0.87
1.18,0.90
1.41,0.96
1.01,1.01
0.99,1.01
1.04,1.23
1.40,0.80
1.59,0.79
1.57,0.94
1.26,0.90
0.67,0.89
0.87,1.08
0.99,0.67
1.08,0.77
0.92,0.81
0.82,0.87
0.99,0.99
1.36,1.37
0.62,0.58
0.87,0.83
0.87,0.86
0.87,0.88
0.91,0.93
1.21,1.31
2.06,1.97
1.64,1.46
1.05,0.95
1.04,0.92
1.09,0.96
1.12,1.08
1.10,1.17
1.13,1.19
1.28,1.37
1.44,1.47
1.35,1.33
0.76,0.89
1.72,1.08
0.99,0.90
0.95,1.54
0.99,1.15
1.02,1.01
1.30,1.37
0.72,0.80
1.64,1.48
1.03,1.10
0.99,0.95
1.02,1.00
1.26,1.28
0.75,0.76
1.45,1.42
1.33,1.29
1.22,1.29
0.74,0.71
0.91,0.89
1.10,0.89
0.92,1.03
0.82,0.90
1.04,1.04
1.62,1.57
1.17,1.09
1.17,1.25
1.16,1.23
0.78,0.76
1.06,0.95
0.65,0.65
1.39,1.37
1.57,1.48
1.38,1.38
0.59,0.59
0.77,0.77
0.85,1.09
0.86,1.45
0.60,0.92
1.57,1.14
1.30,1.33
1.54,1.51
1.17,1.17
1.05,1.36
1.06,0.68
0.63,0.79
0.76,0.93
0.91,0.97
1.17,1.21
0.71,0.70
0.75,0.75
0.65,0.67
1.68,1.70
1.66,1.65
1.52,1.55
0.51,0.52
0.65,0.65
1.01,1.07
1.68,1.66
1.49,1.50
1.55,1.47
1.06,1.02
1.75,1.08
1.40,1.07
1.08,1.40
1.18,1.75
1.16,1.08
1.04,1.08
1.14,1.26
1.44,1.49
1.42,1.34
1.09,1.00
1.23,1.28
0.53,0.49
0.86,0.82
0.63,0.65
1.59,1.59
1.69,1.66
0.81,0.82
0.92,0.93
1.60,1.62
1.94,1.80
1.42,1.49
1.20,0.92
1.28,0.79
1.23,0.86
1.21,0.88
0.79,0.77
0.75,0.90
1.03,0.99
1.11,1.08
1.14,1.22
1.30,1.42
1.52,1.48
1.24,1.18
1.19,1.16
1.26,1.30
0.75,0.68
1.27,0.99
0.87,0.82
0.55,0.60
1.82,1.79
1.66,1.64
1.38,1.38
1.18,1.21
1.29,1.39
1.98,1.82
1.50,1.35
1.34,1.38
0.60,0.58
0.76,0.81
0.83,0.94
1.69,1.68
0.57,0.57
0.72,0.74
1.15,1.21
1.41,1.41
1.22,1.23
0.66,0.65
1.27,1.31
1.50,1.49
1.61,1.60
1.63,1.63
1.62,1.62
1.61,1.61
1.61,1.61
1.61,1.60
1.61,1.61
1.78,1.78
1.66,1.68
1.67,1.68
