x,y,z,x2,y2,z2,altezza
-0.18,1.19,-0.19,0.04,1.14,-0.16,1.76
-0.21,1.35,-0.14,0.08,1.27,-0.18,1.76
-0.19,1.76,0.13,0.16,1.78,0.09,1.75
-0.22,1.78,0.14,0.07,1.76,0.13,1.76
-0.30,1.78,0.13,0.01,1.77,0.12,1.77
-0.29,1.78,0.23,0.09,1.76,0.21,1.77
-0.19,1.76,0.25,0.17,1.76,0.19,1.77
-0.25,1.72,0.04,0.13,1.65,-0.11,1.78
-0.23,1.46,-0.16,0.06,1.41,-0.21,1.79
-0.24,1.36,-0.21,0.11,1.35,-0.23,1.79
-0.28,1.30,-0.27,0.10,1.28,-0.29,1.79
-0.66,1.36,-0.27,0.54,1.35,-0.31,1.79
-0.47,1.39,-0.27,0.44,1.38,-0.28,1.79
-0.26,1.36,-0.27,0.24,1.41,-0.29,1.79
-0.15,1.36,-0.19,0.21,1.32,-0.26,1.78
-0.24,1.35,-0.21,0.11,1.32,-0.23,1.78
-0.26,1.27,-0.17,0.05,1.25,-0.21,1.79
-0.23,1.21,-0.15,0.12,1.50,-0.23,1.79
-0.21,1.25,-0.17,0.18,1.51,-0.28,1.78
-0.22,1.37,-0.18,0.24,0.80,-0.02,1.77
-0.20,1.76,-0.08,0.23,0.86,-0.07,1.78
-0.24,0.88,-0.19,0.19,0.94,-0.15,1.76
-0.26,0.83,-0.05,0.23,0.87,-0.07,1.77
-0.26,0.87,-0.07,0.18,0.86,-0.06,1.79
-0.23,0.87,-0.08,0.17,0.88,-0.10,1.79
-0.20,0.88,-0.09,0.16,0.88,-0.10,1.79
-0.16,0.82,-0.01,0.16,0.84,-0.03,1.79
-0.12,0.84,-0.01,0.24,0.81,0.02,1.78
-0.11,0.83,0.02,0.23,0.84,0.00,1.80
-0.26,0.84,0.05,0.10,0.85,0.06,1.79
-0.34,0.80,0.15,0.10,0.82,0.13,1.79
-0.27,0.82,0.10,0.13,0.84,0.09,1.80
-0.19,0.84,0.05,0.20,0.83,0.06,1.79
-0.36,1.19,-0.20,0.23,1.13,-0.23,1.79
-0.48,1.48,-0.23,0.32,1.50,-0.32,1.79
-0.58,0.99,-0.14,0.53,1.03,-0.17,1.78
-0.54,0.92,-0.04,0.51,0.92,-0.02,1.78
-0.49,1.32,-0.31,0.43,1.29,-0.33,1.78
-0.32,1.58,-0.35,0.23,1.60,-0.37,1.78
-0.25,1.45,-0.38,0.18,1.46,-0.40,1.78
-0.20,1.00,-0.27,0.18,0.99,-0.26,1.77
-0.22,1.04,-0.29,0.18,1.03,-0.30,1.78
-0.23,1.05,-0.29,0.18,1.05,-0.30,1.77
-0.23,1.05,-0.28,0.19,1.05,-0.30,1.78
-0.27,0.89,-0.07,0.17,0.92,-0.09,1.79
-0.36,0.78,0.26,0.19,0.79,0.24,1.80
-0.36,0.84,-0.04,0.15,0.85,-0.03,1.79
-0.17,1.33,-0.32,0.10,0.89,-0.11,1.80
-0.16,1.40,-0.29,0.07,0.86,-0.05,1.80
-0.89,1.22,-0.01,0.06,0.88,-0.07,1.79
-0.84,1.12,0.18,0.03,0.88,-0.10,1.79
-0.58,0.95,0.07,0.01,0.93,-0.11,1.80
-0.22,0.77,0.17,0.15,1.06,-0.11,1.79
-0.24,0.80,0.08,0.70,1.80,-0.20,1.79
-0.25,0.85,-0.01,0.63,1.81,-0.02,1.79
-0.25,1.03,-0.13,0.39,1.32,-0.24,1.79
-0.23,1.34,-0.21,0.16,1.34,-0.26,1.79
-0.18,1.46,-0.21,0.14,1.50,-0.25,1.78
-0.22,1.12,-0.24,0.19,1.13,-0.27,1.78
-0.21,1.31,-0.27,0.14,1.32,-0.30,1.79
-0.30,1.34,-0.28,0.23,1.36,-0.32,1.79
-0.45,1.44,-0.17,0.42,1.48,-0.23,1.79
-0.24,1.26,-0.29,0.22,1.26,-0.32,1.78
-0.24,1.18,-0.27,0.21,1.19,-0.30,1.78
-0.26,1.25,-0.28,0.22,1.19,-0.28,1.79
-0.24,1.29,-0.30,0.22,1.06,-0.23,1.79
-0.31,1.42,-0.31,0.20,1.05,-0.21,1.79
-0.62,1.69,-0.24,0.17,1.05,-0.24,1.80
-0.56,1.57,-0.24,0.13,1.08,-0.29,1.80
-0.41,1.05,-0.17,0.21,1.32,-0.38,1.80
-0.27,0.84,0.03,0.28,1.40,-0.42,1.79
-0.26,0.88,-0.01,0.37,1.45,-0.42,1.79
-0.24,0.90,-0.04,0.58,1.70,-0.24,1.79
-0.22,0.95,-0.13,0.42,1.59,-0.32,1.79
-0.13,1.10,-0.22,0.26,1.38,-0.36,1.79
-0.01,1.18,-0.28,0.05,1.38,-0.31,1.79
0.02,1.16,-0.27,-0.01,1.34,-0.30,1.79
-0.26,1.09,-0.28,0.25,1.34,-0.34,1.78
-0.24,1.14,-0.29,0.22,1.34,-0.33,1.79
-0.21,1.29,-0.27,0.18,1.35,-0.28,1.79
-0.20,1.37,-0.27,0.15,1.36,-0.28,1.79
-0.19,1.26,-0.29,0.14,1.29,-0.31,1.78
-0.19,1.15,-0.28,0.15,1.17,-0.30,1.78
-0.17,1.23,-0.30,0.14,1.21,-0.32,1.78
-0.16,1.22,-0.29,0.16,1.21,-0.31,1.78
-0.15,1.22,-0.28,0.19,1.34,-0.31,1.78
-0.15,1.22,-0.27,0.22,1.14,-0.33,1.78
-0.15,1.22,-0.26,0.20,1.25,-0.32,1.78
-0.16,1.21,-0.25,0.19,1.28,-0.34,1.79
-0.17,1.21,-0.23,0.17,1.38,-0.38,1.78
-0.15,1.19,-0.24,0.43,1.38,-0.40,1.78
-0.14,1.22,-0.27,0.35,1.37,-0.38,1.79
-0.22,1.37,-0.33,0.25,1.44,-0.40,1.79
-0.30,1.46,-0.35,0.25,1.45,-0.42,1.80
-0.41,1.56,-0.34,0.36,1.55,-0.40,1.80
-0.44,1.74,-0.13,0.45,1.79,-0.16,1.79
-0.26,1.60,-0.25,0.28,1.68,-0.25,1.79
-0.22,1.22,-0.35,0.26,1.60,-0.26,1.78
-0.20,1.29,-0.34,0.26,1.58,-0.27,1.78
-0.25,1.34,-0.33,0.21,1.52,-0.28,1.79
-0.46,1.40,-0.24,0.18,1.44,-0.30,1.79
-0.26,1.32,-0.21,0.18,1.35,-0.28,1.79
-0.20,1.44,-0.23,0.18,1.46,-0.26,1.78
-0.17,1.33,-0.27,0.18,1.36,-0.29,1.78
-0.19,1.20,-0.29,0.18,1.21,-0.31,1.78
-0.19,1.24,-0.28,0.19,1.18,-0.30,1.78
-0.26,1.20,-0.28,0.19,1.16,-0.28,1.78
-0.41,1.16,-0.23,0.13,1.18,-0.29,1.78
-0.33,1.15,-0.23,0.20,1.22,-0.33,1.78
-0.30,1.14,-0.23,0.50,1.19,-0.29,1.78
-0.30,1.17,-0.24,0.31,1.23,-0.34,1.79
-0.31,1.31,-0.26,0.25,1.36,-0.37,1.79
-0.31,1.36,-0.26,0.23,1.37,-0.35,1.79
-0.53,1.69,-0.02,0.59,1.76,-0.08,1.79
-0.40,1.66,-0.11,0.39,1.73,-0.12,1.79
-0.28,1.57,-0.19,0.25,1.59,-0.21,1.78
-0.29,1.58,-0.18,0.23,0.93,-0.16,1.78
-0.25,1.54,-0.20,0.23,1.00,-0.21,1.78
-0.18,1.12,-0.25,0.22,1.05,-0.23,1.78
-0.21,1.10,-0.26,0.20,1.04,-0.25,1.78
-0.18,1.03,-0.22,0.18,1.02,-0.24,1.78
-0.19,1.23,-0.27,0.20,1.23,-0.30,1.77
-0.17,1.22,-0.24,0.18,1.19,-0.27,1.78
-0.17,1.25,-0.17,0.17,1.27,-0.19,1.78
-0.16,1.21,-0.17,0.16,1.21,-0.20,1.78
-0.14,1.23,-0.18,0.16,1.23,-0.21,1.78
-0.15,1.19,-0.21,0.17,1.19,-0.24,1.78
-0.16,1.24,-0.20,0.17,1.25,-0.21,1.78
-0.16,1.19,-0.21,0.16,1.19,-0.23,1.78
-0.15,1.09,-0.19,0.17,1.10,-0.22,1.78
-0.18,1.21,-0.20,0.18,1.23,-0.22,1.77
-0.17,1.28,-0.20,0.17,1.27,-0.22,1.78
-0.16,1.26,-0.20,0.17,1.27,-0.23,1.78
-0.18,1.22,-0.21,0.18,1.25,-0.24,1.77
-0.17,1.27,-0.24,0.18,1.28,-0.28,1.78
-0.23,1.32,-0.26,0.24,1.34,-0.32,1.78
-0.46,1.38,-0.21,0.51,1.41,-0.25,1.79
-0.34,1.34,-0.28,0.32,1.37,-0.33,1.79
-0.31,1.35,-0.29,0.30,1.38,-0.36,1.81
-0.31,1.48,-0.30,0.29,1.45,-0.37,1.81
-0.43,1.61,-0.29,0.51,1.62,-0.36,1.81
-0.47,1.74,-0.09,0.57,1.78,-0.08,1.81
-0.31,1.64,-0.16,0.32,1.65,-0.21,1.80
-0.22,1.57,-0.18,0.21,1.60,-0.21,1.80
-0.19,1.49,-0.22,0.18,1.50,-0.25,1.80
-0.19,1.11,-0.23,0.17,1.14,-0.25,1.79
-0.18,1.06,-0.17,0.18,1.11,-0.23,1.79
-0.16,1.10,-0.18,0.31,1.41,-0.33,1.79
-0.14,1.08,-0.17,0.45,1.31,-0.34,1.79
-0.18,1.15,-0.20,0.43,0.82,-0.02,1.78
-0.31,1.47,-0.23,0.33,0.83,-0.02,1.78
-0.49,1.31,-0.28,0.22,0.89,-0.11,1.78
-0.49,0.85,-0.03,0.18,0.87,-0.08,1.77
-0.34,0.99,-0.14,0.15,1.00,-0.21,1.78
-0.26,1.42,-0.24,0.15,1.45,-0.26,1.78
-0.21,1.28,-0.27,0.16,1.30,-0.29,1.78
-0.24,0.83,-0.03,0.24,0.80,0.01,1.78
-0.24,0.82,0.03,0.26,0.79,0.07,1.78
-0.18,1.29,-0.22,0.20,1.29,-0.24,1.77
-0.16,1.60,-0.05,0.18,1.63,-0.06,1.78
-0.17,1.58,-0.09,0.15,1.60,-0.09,1.78
-0.21,1.50,-0.13,0.13,1.38,-0.23,1.78
-0.20,1.49,-0.13,0.57,1.47,-0.15,1.78
-0.20,1.46,-0.16,0.43,1.49,-0.18,1.79
-0.16,1.43,-0.20,0.18,1.12,-0.21,1.79
-0.13,1.38,-0.17,-0.02,1.00,-0.10,1.79
-0.32,1.37,-0.26,-0.04,1.00,-0.12,1.78
-0.72,1.33,-0.13,-0.06,1.01,-0.14,1.78
-0.66,1.22,-0.10,-0.05,1.04,-0.20,1.78
-0.51,1.17,-0.12,-0.02,1.37,-0.26,1.78
-0.43,1.19,-0.15,0.24,1.41,-0.33,1.77
-0.35,1.21,-0.23,0.51,0.81,0.25,1.77
-0.18,1.50,-0.30,0.40,0.82,0.08,1.78
-0.22,1.55,-0.26,0.27,0.94,-0.10,1.78
-0.59,1.10,-0.28,0.17,0.92,-0.09,1.76
-0.54,0.83,0.00,0.06,1.07,-0.23,1.77
-0.47,0.87,-0.07,0.07,1.50,-0.27,1.76
-0.45,1.13,-0.24,0.15,0.80,0.08,1.75
-0.28,1.66,-0.17,0.14,0.88,-0.09,1.77
-0.24,0.84,-0.07,0.17,0.88,-0.06,1.74
-0.25,0.93,-0.15,0.12,1.17,-0.23,1.78
-0.27,1.24,-0.24,0.11,1.64,-0.14,1.78
-0.21,1.28,-0.27,0.14,1.30,-0.28,1.76
-0.23,1.05,-0.17,0.17,1.01,-0.14,1.74
-0.24,1.43,-0.22,0.15,1.42,-0.22,1.80
-0.28,1.27,-0.26,0.20,1.24,-0.28,1.81
-0.28,1.04,-0.18,0.20,1.02,-0.20,1.81
-0.32,1.14,-0.20,0.22,1.13,-0.23,1.81
-0.50,1.54,-0.29,0.43,1.55,-0.35,1.82
-0.58,1.88,-0.01,0.55,1.94,0.06,1.82
-0.38,1.68,-0.20,0.35,1.72,-0.20,1.80
-0.28,1.33,-0.26,0.19,1.28,-0.30,1.80
-0.32,1.32,-0.27,0.26,1.35,-0.31,1.79
-0.23,1.28,-0.27,0.31,1.29,-0.30,1.79
-0.20,1.28,-0.28,0.29,1.28,-0.31,1.80
-0.26,1.29,-0.28,0.25,1.29,-0.33,1.80
-0.60,1.46,-0.19,0.45,1.42,-0.26,1.79
-0.40,1.35,-0.27,0.21,1.35,-0.29,1.79
-0.67,1.39,-0.12,0.60,1.39,-0.15,1.78
-0.34,1.12,-0.23,0.26,1.15,-0.27,1.78
-0.50,1.25,-0.27,0.23,1.07,-0.21,1.78
-0.54,1.46,-0.15,0.20,1.07,-0.21,1.78
-0.49,1.26,-0.14,0.37,1.05,-0.21,1.78
-0.44,1.26,-0.16,0.57,1.54,-0.18,1.78
-0.38,1.28,-0.22,0.38,1.25,-0.24,1.79
-0.31,1.41,-0.23,0.18,1.41,-0.25,1.79
-0.23,1.14,-0.27,0.18,1.12,-0.26,1.78
-0.44,1.38,-0.27,0.41,1.37,-0.29,1.78
-0.52,1.43,-0.21,0.48,1.44,-0.22,1.78
-0.32,1.37,-0.25,0.24,1.32,-0.29,1.78
-0.27,1.38,-0.25,0.19,1.32,-0.29,1.78
-0.23,1.48,-0.25,0.17,1.50,-0.28,1.79
-0.22,1.34,-0.28,0.17,1.33,-0.31,1.78
-0.25,1.20,-0.27,0.17,1.22,-0.29,1.78
-0.57,1.43,-0.12,0.54,1.41,-0.18,1.79
-0.29,1.46,-0.23,0.23,1.47,-0.26,1.79
-0.22,1.10,-0.23,0.20,1.06,-0.23,1.79
-0.21,1.22,-0.28,0.22,1.20,-0.27,1.78
-0.20,1.23,-0.28,0.20,1.17,-0.26,1.79
