x,y,z,x2,y2,z2,altezza
0.26,1.21,0.14,-0.05,1.59,0.19,1.75
0.25,1.20,0.11,-0.11,1.40,0.18,1.76
0.25,1.21,0.10,-0.13,1.35,0.17,1.77
0.23,1.23,0.11,-0.15,1.28,0.16,1.79
0.18,1.22,0.19,-0.11,1.25,0.19,1.81
0.20,1.23,0.19,-0.08,1.25,0.20,1.79
0.16,1.21,0.19,-0.07,1.27,0.21,1.76
0.12,1.21,0.21,-0.11,1.27,0.21,1.77
0.10,1.24,0.19,-0.18,1.27,0.17,1.79
0.09,1.25,0.16,-0.18,1.28,0.15,1.80
0.11,1.29,0.13,-0.12,1.29,0.13,1.82
0.12,1.32,0.07,-0.09,1.35,0.07,1.82
0.11,1.31,0.12,-0.10,1.32,0.12,1.83
0.10,1.31,0.15,-0.10,1.32,0.16,1.82
0.10,1.31,0.15,-0.10,1.32,0.16,1.82
0.09,1.37,0.11,-0.10,1.37,0.12,1.82
0.27,1.47,0.05,-0.30,1.46,0.07,1.82
0.40,1.48,0.15,-0.43,1.49,0.17,1.82
0.14,1.36,0.15,-0.17,1.38,0.16,1.82
0.13,1.29,0.17,-0.11,1.30,0.19,1.83
0.14,1.30,0.15,-0.11,1.32,0.17,1.82
0.14,1.30,0.12,-0.09,1.30,0.18,1.82
0.14,1.32,0.10,-0.09,1.30,0.18,1.82
0.14,1.37,0.09,-0.08,1.32,0.20,1.82
0.14,1.07,0.10,-0.08,1.36,0.22,1.82
0.16,1.12,0.18,-0.08,1.38,0.17,1.82
0.19,1.19,0.17,-0.13,1.16,0.11,1.82
0.18,1.22,0.18,-0.12,1.26,0.19,1.82
0.15,1.22,0.17,-0.11,1.28,0.17,1.81
0.20,1.22,0.17,-0.15,1.25,0.18,1.78
0.20,1.21,0.17,-0.14,1.25,0.17,1.77
0.15,1.20,0.17,-0.15,1.24,0.18,1.77
0.12,1.22,0.17,-0.21,1.24,0.18,1.78
0.13,1.21,0.17,-0.19,1.22,0.21,1.79
0.16,1.26,0.18,-0.20,1.29,0.19,1.80
0.19,1.26,0.21,-0.22,1.30,0.20,1.81
0.18,1.24,0.21,-0.18,1.28,0.22,1.81
0.15,1.24,0.21,-0.13,1.27,0.22,1.81
0.16,1.24,0.21,-0.16,1.28,0.21,1.81
0.22,1.35,0.18,-0.25,1.37,0.17,1.81
0.33,1.16,0.15,-0.42,1.20,0.11,1.81
0.26,1.09,0.21,-0.34,1.12,0.21,1.81
0.18,1.29,0.16,-0.19,1.36,0.16,1.81
0.17,1.44,0.17,-0.15,1.48,0.19,1.82
0.15,1.46,0.18,-0.14,1.48,0.19,1.82
0.12,1.10,0.15,-0.11,1.13,0.16,1.82
0.14,1.20,0.14,-0.08,1.24,0.15,1.81
0.15,1.21,0.17,-0.08,1.27,0.16,1.81
0.21,1.22,0.16,-0.12,1.25,0.17,1.81
0.25,1.23,0.16,-0.12,1.27,0.15,1.81
0.19,1.22,0.16,-0.07,1.27,0.16,1.81
0.13,1.22,0.18,-0.04,1.26,0.19,1.81
0.13,1.22,0.18,-0.06,1.26,0.18,1.81
0.14,1.23,0.19,-0.21,1.43,-0.00,1.81
0.14,1.24,0.19,-0.50,1.53,0.09,1.82
0.12,1.27,0.18,-0.27,1.40,0.14,1.82
0.15,1.31,0.15,-0.08,1.30,0.19,1.82
0.23,1.40,0.03,-0.09,1.30,0.18,1.82
0.54,1.79,0.02,-0.11,1.29,0.19,1.83
0.39,1.59,0.05,-0.08,1.29,0.17,1.82
0.13,1.31,0.13,-0.08,1.29,0.16,1.82
0.12,1.24,0.15,-0.09,1.25,0.18,1.82
0.17,1.44,0.08,-0.12,1.44,0.09,1.82
0.15,1.27,0.03,-0.12,1.27,0.03,1.82
0.16,1.10,0.12,-0.12,1.11,0.13,1.82
0.18,1.39,0.04,-0.12,1.37,0.05,1.81
0.49,1.53,0.07,-0.46,1.51,0.06,1.82
0.23,1.51,0.06,-0.22,1.52,0.08,1.81
0.12,1.05,0.15,-0.09,1.05,0.18,1.81
0.15,1.22,0.14,-0.06,1.25,0.13,1.82
0.17,1.19,0.17,-0.06,1.23,0.16,1.82
0.17,1.20,0.15,-0.14,1.32,0.08,1.82
0.18,1.23,0.14,-0.45,1.80,0.01,1.82
0.20,1.29,0.12,-0.35,1.65,0.09,1.82
0.24,1.37,0.05,-0.14,1.38,0.11,1.82
0.28,1.41,0.02,-0.07,1.31,0.17,1.82
0.38,1.51,-0.03,-0.09,1.31,0.18,1.83
0.63,2.03,0.25,-0.13,1.30,0.19,1.83
0.53,1.77,0.02,-0.12,1.31,0.15,1.82
0.19,1.34,0.06,-0.08,1.29,0.14,1.82
0.11,1.30,0.08,-0.06,1.30,0.13,1.82
0.12,1.32,0.06,-0.09,1.33,0.10,1.82
0.27,1.45,-0.06,-0.00,1.40,-0.02,1.80
0.41,1.40,0.10,0.13,1.43,0.16,1.81
0.24,1.30,0.13,-0.09,1.34,0.13,1.80
0.15,1.28,0.10,-0.13,1.28,0.14,1.81
0.16,1.48,0.07,-0.15,1.52,0.11,1.81
0.17,1.01,0.13,-0.17,1.02,0.17,1.82
0.18,1.12,0.12,-0.13,1.11,0.16,1.81
0.20,1.29,0.04,-0.13,1.27,0.10,1.81
0.23,1.45,-0.01,-0.16,1.28,0.13,1.81
0.25,1.52,0.01,-0.17,1.30,0.15,1.81
0.18,0.99,0.10,-0.15,1.31,0.15,1.81
0.24,1.24,0.03,-0.13,1.30,0.13,1.81
0.20,1.27,0.00,-0.12,1.29,0.15,1.81
0.17,1.35,-0.01,-0.11,1.28,0.16,1.82
0.63,1.62,0.17,-0.13,1.27,0.17,1.82
0.42,1.45,0.07,-0.15,1.29,0.15,1.82
0.24,1.25,0.09,-0.13,1.23,0.16,1.82
0.37,1.44,-0.01,-0.26,1.40,0.02,1.83
0.48,1.84,0.25,-0.42,1.81,0.22,1.82
0.35,1.61,0.12,-0.27,1.71,0.16,1.82
0.29,1.48,0.17,-0.15,1.30,-0.05,1.82
0.25,1.35,0.17,-0.12,1.10,0.16,1.82
0.21,1.32,0.16,-0.10,1.33,0.10,1.82
0.24,1.35,0.14,-0.52,1.52,0.12,1.82
0.17,1.46,0.09,-0.19,1.51,0.14,1.81
0.18,1.64,0.15,-0.18,1.67,0.23,1.82
0.15,1.46,0.08,-0.14,1.45,0.08,1.82
0.15,1.05,0.10,-0.14,1.01,0.16,1.82
0.19,1.10,0.14,0.01,1.24,0.13,1.81
0.20,1.15,0.15,-0.09,1.30,0.03,1.82
0.21,1.21,0.13,-0.56,1.25,0.14,1.82
0.02,1.28,0.06,-0.13,1.39,0.22,1.82
0.60,1.42,0.04,-0.13,1.35,0.23,1.83
0.21,1.25,0.09,-0.13,1.29,0.18,1.83
0.11,1.24,0.13,-0.10,1.27,0.19,1.82
0.15,1.19,0.18,-0.16,1.21,0.22,1.82
0.48,1.80,0.14,-0.45,1.77,0.08,1.82
0.34,1.81,0.33,-0.40,1.79,0.25,1.82
0.22,1.76,0.19,-0.27,1.56,0.17,1.82
0.14,1.11,-0.05,-0.19,1.58,0.24,1.82
0.15,1.06,0.14,-0.15,1.51,0.13,1.82
0.19,1.16,0.12,-0.11,1.05,0.14,1.82
0.13,0.99,0.16,-0.15,0.98,0.19,1.82
0.13,1.06,0.03,-0.14,1.09,0.02,1.82
0.23,1.76,0.29,-0.18,1.77,0.30,1.81
