x,y,z,x2,y2,z2
-0.33,1.11,0.25,0.02,1.03,0.42
-0.33,1.11,0.24,0.02,1.03,0.42
-0.32,1.12,0.24,0.02,1.05,0.41
-0.22,1.20,0.30,0.03,1.15,0.37
-0.23,1.19,0.31,0.03,1.15,0.37
-0.24,1.24,0.31,0.05,1.19,0.37
-0.23,1.24,0.32,0.06,1.20,0.37
-0.23,1.25,0.32,0.07,1.21,0.37
-0.24,1.27,0.31,0.07,1.22,0.37
-0.25,1.34,0.32,0.08,1.28,0.36
-0.27,1.45,0.33,0.11,1.39,0.36
-0.28,0.87,0.27,0.17,0.91,0.30
-0.51,1.32,0.39,0.35,1.27,0.44
-0.31,1.32,0.32,0.16,1.28,0.33
-0.25,1.40,0.32,0.10,1.38,0.34
-0.23,1.38,0.30,0.07,1.37,0.32
-0.21,1.39,0.29,0.06,1.38,0.32
-0.21,1.41,0.30,0.05,1.39,0.33
-0.21,1.44,0.25,0.02,1.41,0.31
-0.21,1.26,0.13,0.01,1.10,0.25
-0.22,1.38,0.15,-0.03,0.82,0.44
-0.16,0.86,0.14,0.04,0.98,0.41
-0.31,1.39,0.27,0.05,1.21,0.34
-0.28,1.36,0.31,0.05,1.25,0.34
-0.24,1.12,0.29,0.04,1.20,0.33
-0.28,1.18,0.30,0.03,1.20,0.33
-0.32,1.19,0.32,0.01,1.19,0.33
-0.32,1.24,0.31,0.00,1.23,0.34
-0.29,1.25,0.32,0.02,1.23,0.35
-0.27,1.24,0.32,0.02,1.23,0.35
-0.26,1.24,0.32,0.04,1.23,0.35
-0.26,1.25,0.31,0.04,1.24,0.34
-0.26,1.23,0.30,0.05,1.23,0.33
-0.31,1.32,0.29,0.09,1.29,0.33
-0.37,1.59,0.44,0.15,1.54,0.44
-0.42,0.72,0.47,0.25,0.75,0.48
-0.43,1.50,0.40,0.25,1.42,0.44
-0.37,1.56,0.44,0.21,1.50,0.51
-0.30,1.58,0.46,0.12,1.54,0.51
-0.22,1.50,0.37,0.03,1.48,0.40
-0.17,0.89,0.22,0.04,0.89,0.27
-0.27,1.51,0.42,0.10,1.46,0.45
-0.28,1.45,0.46,0.09,1.43,0.51
-0.24,1.32,0.39,0.08,1.22,0.42
-0.17,1.10,0.34,0.08,0.98,0.40
-0.20,1.14,0.31,0.12,1.13,0.38
-0.18,1.14,0.30,0.15,1.09,0.39
-0.15,1.15,0.30,0.14,1.12,0.39
-0.32,1.23,0.20,0.14,1.16,0.39
-0.70,1.30,0.54,0.04,1.18,0.35
-0.43,1.07,0.49,-0.16,1.21,0.37
-0.48,1.09,0.53,-0.05,1.14,0.36
-0.43,1.10,0.52,0.32,1.55,0.14
-0.27,1.12,0.46,0.25,1.49,0.27
-0.16,1.12,0.47,0.37,1.73,0.49
-0.26,1.15,0.32,0.06,1.12,0.36
-0.27,1.59,0.40,0.05,1.60,0.42
-0.24,1.59,0.35,0.03,1.60,0.43
-0.23,0.76,0.28,0.05,0.79,0.29
-0.30,1.48,0.33,0.09,1.49,0.39
-0.20,1.36,0.32,-0.02,1.37,0.33
-0.80,1.34,0.47,0.59,1.38,0.55
-0.42,1.54,0.52,0.21,1.52,0.57
-0.26,0.91,0.38,0.08,1.05,0.31
-0.31,1.49,0.43,0.10,1.45,0.45
-0.27,1.45,0.42,0.10,1.44,0.46
-0.27,0.94,0.35,0.12,1.15,0.38
-0.56,1.71,0.36,0.11,1.16,0.39
-0.55,1.68,0.53,0.06,1.18,0.37
-0.49,1.22,0.25,0.06,1.13,0.36
-0.39,1.04,0.28,0.04,1.07,0.33
-0.49,1.02,0.24,0.24,1.30,0.19
-0.46,1.03,0.15,0.34,1.57,0.33
-0.26,1.14,0.39,0.11,1.06,0.43
-0.23,1.20,0.31,0.06,1.16,0.34
-0.27,1.26,0.28,0.05,1.25,0.30
-0.61,1.23,0.47,0.04,1.26,0.33
0.34,1.37,0.40,0.44,1.23,0.88
-0.28,1.53,0.24,-0.18,1.00,0.42
-0.59,1.07,0.43,0.22,0.95,0.40
-0.34,1.59,0.43,0.15,1.55,0.44
-0.31,1.67,0.47,0.08,1.65,0.52
-0.24,0.69,0.47,0.12,0.71,0.48
-0.29,1.34,0.31,0.12,1.29,0.32
-0.28,1.45,0.42,0.14,1.43,0.48
-0.27,1.44,0.44,0.11,1.44,0.49
-0.34,1.42,0.46,0.08,1.47,0.49
-0.32,1.40,0.44,0.12,1.04,0.44
-0.31,1.36,0.43,0.11,1.32,0.47
-0.37,1.38,0.49,0.03,1.34,0.43
-0.43,1.33,0.53,0.01,1.30,0.41
-0.35,1.37,0.48,0.42,1.39,0.50
-0.30,1.36,0.41,0.17,1.26,0.43
-0.29,1.22,0.36,0.07,1.21,0.38
-0.30,1.20,0.32,0.07,1.20,0.35
-0.64,1.64,0.55,0.49,1.62,0.55
-0.37,1.31,0.42,0.17,1.34,0.42
-0.30,1.46,0.51,0.11,1.31,0.42
-0.40,1.02,0.50,0.09,1.29,0.40
-0.30,1.33,0.43,0.10,1.27,0.38
-0.80,1.27,0.55,0.08,1.26,0.38
-0.53,1.35,0.61,0.06,1.31,0.35
-0.32,1.52,0.47,0.07,1.48,0.46
-0.27,1.54,0.44,0.09,1.52,0.48
-0.18,0.79,0.32,0.11,0.84,0.31
-0.23,1.28,0.31,0.15,1.25,0.33
-0.24,1.38,0.31,0.15,1.35,0.31
-0.27,1.33,0.26,-0.02,1.36,0.19
-0.37,1.11,0.31,0.29,1.28,-0.32
-0.30,1.22,0.14,0.16,1.16,-0.06
-0.25,1.20,0.03,0.40,0.99,0.02
-0.20,1.38,-0.01,0.10,1.35,-0.04
-0.27,1.22,-0.03,0.09,1.16,-0.02
-0.61,1.65,0.08,0.55,1.67,-0.03
-0.60,1.58,0.05,0.69,1.50,0.10
-0.36,1.40,-0.01,0.38,1.47,0.04
-0.30,1.41,0.10,0.17,1.32,-0.06
-0.27,1.45,0.05,0.25,1.01,0.08
-0.21,0.77,-0.03,0.22,1.19,0.08
-0.28,1.21,0.03,0.17,1.34,0.02
-0.26,0.95,0.10,0.16,1.02,0.07
-0.28,1.26,-0.09,0.23,1.24,-0.04
-0.19,1.01,0.05,0.09,1.03,0.03
-0.13,0.92,0.09,0.08,0.97,0.01
-0.13,1.20,0.02,0.12,1.23,-0.04
-0.21,1.42,0.03,0.13,1.41,0.03
-0.20,1.43,0.03,0.12,1.42,0.06
-0.13,0.81,-0.02,0.09,0.83,-0.02
-0.22,1.26,-0.05,0.10,1.19,-0.06
-0.23,0.86,0.08,0.12,0.86,0.04
-0.17,0.86,-0.04,0.15,0.88,-0.07
-0.19,1.02,-0.04,0.12,0.99,-0.01
-0.20,1.23,0.01,0.13,1.26,-0.00
-0.20,0.93,-0.05,0.12,0.91,-0.06
-0.22,1.21,-0.03,0.11,1.22,-0.02
-0.14,1.24,0.02,-0.01,1.17,-0.02
