y,y2
1.11,1.03
1.11,1.03
1.12,1.05
1.20,1.15
1.19,1.15
1.24,1.19
1.24,1.20
1.25,1.21
1.27,1.22
1.34,1.28
1.45,1.39
0.87,0.91
1.32,1.27
1.32,1.28
1.40,1.38
1.38,1.37
1.39,1.38
1.41,1.39
1.44,1.41
1.26,1.10
1.38,0.82
0.86,0.98
1.39,1.21
1.36,1.25
1.12,1.20
1.18,1.20
1.19,1.19
1.24,1.23
1.25,1.23
1.24,1.23
1.24,1.23
1.25,1.24
1.23,1.23
1.32,1.29
1.59,1.54
0.72,0.75
1.50,1.42
1.56,1.50
1.58,1.54
1.50,1.48
0.89,0.89
1.51,1.46
1.45,1.43
1.32,1.22
1.10,0.98
1.14,1.13
1.14,1.09
1.15,1.12
1.23,1.16
1.30,1.18
1.07,1.21
1.09,1.14
1.10,1.55
1.12,1.49
1.12,1.73
1.15,1.12
1.59,1.60
1.59,1.60
0.76,0.79
1.48,1.49
1.36,1.37
1.34,1.38
1.54,1.52
0.91,1.05
1.49,1.45
1.45,1.44
0.94,1.15
1.71,1.16
1.68,1.18
1.22,1.13
1.04,1.07
1.02,1.30
1.03,1.57
1.14,1.06
1.20,1.16
1.26,1.25
1.23,1.26
1.37,1.23
1.53,1.00
1.07,0.95
1.59,1.55
1.67,1.65
0.69,0.71
1.34,1.29
1.45,1.43
1.44,1.44
1.42,1.47
1.40,1.04
1.36,1.32
1.38,1.34
1.33,1.30
1.37,1.39
1.36,1.26
1.22,1.21
1.20,1.20
1.64,1.62
1.31,1.34
1.46,1.31
1.02,1.29
1.33,1.27
1.27,1.26
1.35,1.31
1.52,1.48
1.54,1.52
0.79,0.84
1.28,1.25
1.38,1.35
1.33,1.36
1.11,1.28
1.22,1.16
1.20,0.99
1.38,1.35
1.22,1.16
1.65,1.67
1.58,1.50
1.40,1.47
1.41,1.32
1.45,1.01
0.77,1.19
1.21,1.34
0.95,1.02
1.26,1.24
1.01,1.03
0.92,0.97
1.20,1.23
1.42,1.41
1.43,1.42
0.81,0.83
1.26,1.19
0.86,0.86
0.86,0.88
1.02,0.99
1.23,1.26
0.93,0.91
1.21,1.22
1.24,1.17
1.18,1.22
1.39,1.37
1.20,1.17
1.06,1.05
1.18,1.18
1.67,1.65
1.31,1.24
1.38,1.38
1.52,1.50
1.19,1.17
1.07,1.11
1.24,1.11
1.24,1.52
1.24,0.91
1.25,1.12
1.42,1.04
0.77,1.04
1.28,1.11
1.47,1.41
1.43,1.40
0.87,0.90
1.25,1.20
0.78,0.80
1.12,1.13
1.26,1.25
1.09,1.20
1.17,1.26
1.20,1.10
1.17,0.99
1.16,0.97
1.19,0.99
1.30,0.98
1.32,1.06
1.24,1.36
1.23,1.50
1.26,0.81
1.28,1.15
1.38,1.15
1.02,1.13
1.25,1.13
1.34,1.33
1.34,0.95
1.38,1.30
0.71,1.28
1.16,1.26
1.38,1.34
1.39,1.37
0.94,1.01
1.41,1.37
1.33,1.30
1.28,1.26
1.25,1.25
1.49,1.50
1.71,1.62
1.35,1.37
1.10,1.11
1.11,1.10
1.15,1.12
1.14,1.13
1.15,1.13
1.15,1.13
1.19,1.16
1.35,1.24
1.24,1.20
0.78,1.02
1.36,1.05
1.08,0.96
1.14,1.64
1.06,0.84
1.43,1.41
1.18,1.15
1.27,1.16
1.29,1.21
1.21,1.14
1.45,1.44
1.57,1.58
1.57,1.58
0.83,0.82
1.28,1.23
1.52,1.50
1.37,1.34
1.23,1.21
1.29,1.28
1.13,1.22
1.25,1.11
1.27,1.03
1.44,1.33
1.24,1.25
1.51,1.44
1.63,1.61
1.11,0.99
0.92,0.91
1.21,1.20
0.71,0.70
1.40,1.47
0.95,0.96
1.37,1.42
0.79,0.83
1.19,0.68
1.19,1.02
1.25,0.89
1.11,0.88
0.74,0.82
1.21,1.17
1.35,1.36
1.37,1.30
1.46,1.37
1.61,0.81
0.71,1.08
1.38,1.39
1.61,1.59
1.14,1.07
1.21,1.19
1.11,1.12
0.68,0.67
1.09,1.06
1.08,1.07
1.40,1.43
0.74,0.78
0.72,0.74
1.32,1.31
1.37,1.33
1.28,1.29
1.39,1.37
1.32,1.30
1.67,1.04
1.44,1.15
1.25,1.25
1.36,1.43
1.27,0.91
1.12,0.99
1.16,1.12
1.25,1.23
1.41,1.29
1.51,1.46
1.47,1.46
0.75,0.75
1.28,1.25
0.70,0.69
1.03,1.01
1.14,1.16
0.75,0.74
1.00,1.09
1.14,1.68
1.57,1.60
1.38,1.52
1.29,0.79
1.37,0.82
1.51,0.86
1.53,0.85
1.33,0.87
0.45,0.90
1.15,1.00
1.13,1.07
1.17,1.13
1.20,1.17
1.26,1.23
1.48,1.42
1.55,1.51
1.41,1.40
0.84,0.83
1.27,1.25
0.73,0.75
0.66,0.67
1.12,1.12
1.34,1.31
1.28,1.19
1.26,1.19
1.25,1.31
1.69,1.72
1.50,1.54
1.34,1.52
0.76,0.76
0.70,0.72
1.20,1.25
1.57,1.56
0.74,0.76
1.20,1.22
1.38,1.40
1.42,1.44
1.31,1.32
0.97,0.92
1.21,1.10
1.04,1.00
1.06,0.98
1.06,0.98
1.07,0.98
1.06,0.97
1.07,0.97
1.07,0.97
1.07,0.98
1.07,0.98
1.12,1.10
0.92,0.99
