x,y,z,x2,y2,z2
-0.25,1.08,0.06,0.01,1.08,0.15
-0.25,1.08,0.07,0.01,1.08,0.15
-0.20,1.11,0.13,0.01,1.08,0.15
-0.22,1.09,0.11,0.00,1.07,0.15
-0.23,1.05,0.10,-0.00,1.04,0.15
-0.20,1.05,0.14,-0.00,1.04,0.15
-0.16,1.12,0.17,-0.01,1.06,0.14
-0.11,1.16,0.21,-0.00,1.06,0.14
-0.07,1.22,0.29,-0.00,1.07,0.13
-0.21,1.15,0.12,0.00,1.08,0.13
-0.22,1.15,0.11,0.00,1.09,0.13
-0.36,1.15,0.09,0.22,1.15,0.06
-0.60,1.33,0.26,0.38,1.32,0.22
-0.36,1.40,0.21,0.18,1.39,0.19
-0.29,1.37,0.23,0.11,1.38,0.19
-0.29,1.27,0.19,0.09,1.28,0.15
-0.28,1.27,0.18,0.08,1.27,0.13
-0.30,1.27,0.18,0.08,1.29,0.12
-0.30,1.26,0.17,0.09,1.34,0.08
-0.31,1.22,0.13,0.10,0.79,0.08
-0.29,1.32,0.07,-0.01,0.98,0.07
-0.27,0.71,0.12,0.05,0.98,0.06
-0.34,1.31,0.14,0.03,1.08,0.03
-0.27,1.12,0.09,0.02,1.10,0.05
-0.16,1.04,0.07,-0.01,0.99,0.05
-0.14,1.11,0.02,0.01,1.03,-0.03
-0.14,1.08,0.02,-0.02,1.05,-0.05
-0.18,1.09,-0.01,-0.02,1.05,-0.06
-0.19,1.08,-0.01,-0.02,1.05,-0.06
-0.25,1.19,-0.04,0.05,1.12,-0.10
-0.39,1.35,-0.04,0.15,1.30,-0.08
-0.39,1.36,-0.02,0.16,1.32,-0.07
-0.43,1.32,-0.04,0.19,1.29,-0.08
-0.47,1.47,-0.02,0.23,1.39,-0.09
-0.49,1.67,0.12,0.23,1.62,0.04
-0.56,0.89,-0.12,0.41,0.87,0.02
-0.63,1.19,-0.03,0.34,1.22,-0.01
-0.44,1.49,0.07,0.17,1.49,0.07
-0.36,1.52,0.05,0.09,1.53,0.07
-0.30,1.45,-0.02,0.06,1.47,0.02
-0.24,0.72,-0.09,0.07,0.76,-0.09
-0.27,1.24,-0.09,0.04,1.23,-0.11
-0.33,1.32,0.07,0.05,1.28,-0.00
-0.29,1.04,-0.07,0.02,1.00,-0.08
-0.18,1.09,-0.12,0.06,1.00,-0.07
-0.21,1.18,-0.16,0.09,1.07,-0.07
-0.18,1.18,-0.16,0.09,1.08,-0.07
-0.17,1.19,-0.15,0.08,1.09,-0.07
-0.24,1.20,-0.12,0.04,1.10,-0.08
-0.84,1.42,0.10,-0.00,1.10,-0.10
-0.60,1.31,0.25,-0.17,1.15,-0.08
-0.55,1.22,0.13,-0.06,1.11,-0.08
-0.39,1.21,0.05,0.09,1.13,-0.12
-0.28,1.29,-0.05,0.70,1.61,-0.33
-0.22,1.38,-0.13,0.56,1.34,-0.11
-0.25,1.45,-0.09,0.29,1.35,-0.11
-0.30,1.53,-0.06,0.09,1.51,-0.01
-0.31,1.55,-0.03,0.05,1.55,0.04
-0.27,0.87,-0.30,0.09,0.83,-0.25
-0.31,1.05,-0.16,-0.04,1.01,-0.14
-0.30,1.21,-0.14,-0.07,1.18,-0.10
-0.81,1.34,0.14,0.61,1.33,0.08
-0.33,1.52,0.06,0.15,1.50,0.08
-0.30,1.04,-0.15,0.09,1.05,-0.13
-0.32,1.43,-0.06,0.10,1.41,-0.04
-0.27,1.15,-0.08,0.16,1.23,-0.09
-0.36,1.24,-0.05,0.15,1.21,-0.10
-0.78,1.75,0.10,0.11,1.22,-0.12
-0.53,1.53,0.26,0.02,1.22,-0.13
-0.41,1.10,0.03,-0.03,1.05,-0.03
-0.32,1.15,0.03,0.02,1.05,-0.02
-0.34,1.20,0.07,0.11,1.13,-0.08
-0.35,1.30,-0.01,0.58,1.59,-0.07
-0.29,1.35,-0.07,0.27,1.30,-0.05
-0.24,1.24,-0.12,0.07,1.13,-0.12
-0.27,1.22,-0.12,-0.04,1.17,-0.14
-0.49,1.10,0.02,-0.24,1.28,-0.12
0.12,1.08,-0.10,0.51,1.21,-0.18
-0.56,1.26,-0.02,0.50,1.28,0.25
-0.26,1.05,-0.07,0.12,1.02,-0.11
-0.31,1.47,-0.01,0.13,1.47,-0.05
-0.28,1.50,0.04,0.12,1.53,0.06
-0.23,0.83,-0.11,0.07,0.84,-0.09
-0.29,1.32,-0.10,0.08,1.30,-0.14
-0.36,1.33,0.03,0.08,1.47,-0.02
-0.37,1.30,0.03,0.07,1.51,-0.03
-0.35,1.26,-0.01,0.12,1.01,-0.39
-0.33,1.29,0.01,-0.11,1.06,-0.19
-0.38,1.29,0.06,-0.20,1.19,-0.13
-0.39,1.30,0.08,-0.20,1.22,-0.12
-0.36,1.31,0.05,0.36,1.32,-0.39
-0.31,1.33,-0.02,0.28,1.32,-0.12
-0.28,1.25,-0.08,0.05,1.02,-0.10
-0.29,1.13,-0.08,0.02,1.01,-0.08
-0.57,1.43,-0.26,0.32,1.49,-0.43
-0.59,1.73,-0.00,0.41,1.73,-0.07
-0.43,1.51,-0.07,0.14,1.46,-0.15
-0.32,1.41,-0.13,0.13,1.44,-0.11
-0.29,1.01,-0.21,0.18,1.36,-0.12
-0.19,1.25,-0.24,0.22,1.37,-0.10
-0.79,1.39,0.06,0.17,1.32,-0.16
-0.48,1.44,0.02,0.07,1.35,-0.18
-0.29,1.56,-0.01,0.07,1.53,-0.05
-0.26,1.52,-0.11,0.07,1.50,-0.07
-0.24,0.78,-0.22,0.12,0.82,-0.18
-0.12,1.14,-0.20,0.11,1.03,-0.22
-0.24,1.12,-0.13,0.11,1.00,-0.18
-0.86,1.07,0.01,0.05,0.98,-0.17
-0.59,1.13,0.05,-0.10,1.01,-0.16
-0.46,1.19,-0.03,0.54,1.11,-0.17
-0.34,1.20,-0.13,0.15,1.00,-0.11
-0.26,1.14,-0.14,-0.01,1.05,-0.16
-0.28,1.09,-0.11,-0.02,1.03,-0.11
-0.70,1.65,-0.13,0.48,1.64,-0.25
-0.53,1.63,-0.04,0.33,1.58,-0.09
-0.33,1.25,-0.11,0.10,1.21,-0.16
-0.39,1.35,-0.05,0.09,0.96,-0.25
-0.29,1.35,-0.14,0.08,0.89,-0.08
-0.26,0.81,-0.15,0.12,0.94,-0.09
-0.26,0.70,0.01,0.06,0.72,-0.04
-0.20,0.61,0.11,0.06,0.62,0.05
-0.25,1.23,-0.44,0.09,1.27,-0.42
-0.28,1.21,-0.20,0.10,1.23,-0.21
-0.26,0.97,-0.10,0.04,1.01,-0.15
-0.30,1.34,-0.14,0.03,1.37,-0.17
-0.30,1.48,-0.06,0.03,1.50,-0.08
-0.28,1.44,-0.11,0.05,1.46,-0.10
