y,y2
1.08,1.08
1.08,1.08
1.11,1.08
1.09,1.07
1.05,1.04
1.05,1.04
1.12,1.06
1.16,1.06
1.22,1.07
1.15,1.08
1.15,1.09
1.15,1.15
1.33,1.32
1.40,1.39
1.37,1.38
1.27,1.28
1.27,1.27
1.27,1.29
1.26,1.34
1.22,0.79
1.32,0.98
0.71,0.98
1.31,1.08
1.12,1.10
1.04,0.99
1.11,1.03
1.08,1.05
1.09,1.05
1.08,1.05
1.19,1.12
1.35,1.30
1.36,1.32
1.32,1.29
1.47,1.39
1.67,1.62
0.89,0.87
1.19,1.22
1.49,1.49
1.52,1.53
1.45,1.47
0.72,0.76
1.24,1.23
1.32,1.28
1.04,1.00
1.09,1.00
1.18,1.07
1.18,1.08
1.19,1.09
1.20,1.10
1.42,1.10
1.31,1.15
1.22,1.11
1.21,1.13
1.29,1.61
1.38,1.34
1.45,1.35
1.53,1.51
1.55,1.55
0.87,0.83
1.05,1.01
1.21,1.18
1.34,1.33
1.52,1.50
1.04,1.05
1.43,1.41
1.15,1.23
1.24,1.21
1.75,1.22
1.53,1.22
1.10,1.05
1.15,1.05
1.20,1.13
1.30,1.59
1.35,1.30
1.24,1.13
1.22,1.17
1.10,1.28
1.08,1.21
1.26,1.28
1.05,1.02
1.47,1.47
1.50,1.53
0.83,0.84
1.32,1.30
1.33,1.47
1.30,1.51
1.26,1.01
1.29,1.06
1.29,1.19
1.30,1.22
1.31,1.32
1.33,1.32
1.25,1.02
1.13,1.01
1.43,1.49
1.73,1.73
1.51,1.46
1.41,1.44
1.01,1.36
1.25,1.37
1.39,1.32
1.44,1.35
1.56,1.53
1.52,1.50
0.78,0.82
1.14,1.03
1.12,1.00
1.07,0.98
1.13,1.01
1.19,1.11
1.20,1.00
1.14,1.05
1.09,1.03
1.65,1.64
1.63,1.58
1.25,1.21
1.35,0.96
1.35,0.89
0.81,0.94
0.70,0.72
0.61,0.62
1.23,1.27
1.21,1.23
0.97,1.01
1.34,1.37
1.48,1.50
1.44,1.46
0.80,0.79
0.69,0.71
0.64,0.63
1.00,1.06
1.42,1.39
1.49,1.49
0.75,0.78
1.13,1.03
1.31,1.23
1.17,1.25
1.53,1.51
1.30,1.26
1.26,1.20
1.52,1.55
1.69,1.62
1.58,1.60
1.60,1.60
1.63,1.63
0.92,0.85
0.92,0.91
1.14,1.31
1.12,1.56
1.12,0.80
1.39,1.06
1.16,1.07
0.88,1.05
1.17,1.18
1.40,1.41
1.30,1.34
0.82,0.83
1.06,1.07
1.08,1.17
1.03,0.97
1.00,1.08
1.15,1.24
1.18,1.23
1.18,0.91
1.13,0.84
1.19,0.85
1.21,0.86
1.39,0.88
1.06,0.94
1.05,1.40
1.08,1.54
1.10,0.72
1.16,0.94
1.31,1.02
0.99,0.97
0.96,0.93
1.35,1.44
1.30,0.76
1.45,0.85
0.75,0.88
1.21,1.15
1.49,1.49
1.31,1.31
0.87,0.85
1.35,1.23
1.21,1.13
1.17,1.10
1.17,1.11
1.22,1.19
1.70,1.64
1.17,1.09
0.90,0.89
0.98,0.98
1.01,1.01
1.05,1.06
1.16,1.15
1.16,1.14
1.21,1.16
1.28,1.22
0.95,0.99
0.75,0.83
1.27,0.88
0.93,0.71
1.01,1.59
1.00,0.99
1.49,1.51
1.01,0.97
1.25,1.14
1.22,1.28
0.96,0.88
0.89,0.83
1.46,1.45
1.48,1.49
1.13,1.01
1.22,1.26
1.65,1.63
0.82,0.79
0.88,0.83
1.09,0.83
1.12,0.90
1.02,1.02
1.08,0.85
1.22,1.16
1.32,1.26
1.53,1.50
1.66,1.64
0.76,0.74
1.03,0.95
0.76,0.78
0.69,0.66
1.51,1.54
1.56,1.57
1.49,1.46
0.66,0.65
0.78,0.61
0.91,1.30
1.50,1.44
0.68,1.02
1.10,0.96
1.23,1.31
1.41,1.40
1.45,1.64
1.39,1.02
1.51,0.67
0.67,0.84
1.30,1.41
1.58,1.60
0.72,0.74
0.73,0.72
0.64,0.62
0.55,0.55
1.26,1.30
1.48,1.52
1.37,1.38
0.64,0.64
0.61,0.60
1.60,1.66
1.64,1.61
1.24,1.22
1.35,1.36
1.15,1.51
1.73,1.43
1.40,1.25
1.31,1.39
1.33,1.37
1.15,0.87
1.23,1.14
1.28,1.20
1.19,1.19
1.36,1.29
1.62,1.65
1.47,1.43
0.64,0.64
0.65,0.62
0.79,0.92
1.51,1.50
1.53,1.53
0.66,0.72
1.02,1.02
1.74,1.73
1.67,1.63
1.61,1.60
1.48,0.72
0.93,0.70
0.67,0.69
1.41,0.71
0.74,0.74
0.82,0.81
1.01,0.95
1.23,1.20
1.20,1.17
1.21,1.25
1.27,1.21
1.36,1.33
1.51,1.52
1.37,1.38
0.65,0.67
0.62,0.63
0.63,0.62
0.61,0.61
1.29,1.28
1.18,1.14
1.17,1.12
1.16,1.11
1.31,1.33
1.68,1.68
1.33,1.35
1.44,1.46
0.64,0.65
0.64,0.63
1.55,1.60
1.61,1.63
0.65,0.69
0.85,0.87
1.53,1.54
1.49,1.53
0.95,0.92
0.85,0.89
1.53,1.53
1.41,1.43
0.95,0.96
1.02,1.05
1.00,1.06
1.00,1.08
1.00,1.08
0.99,1.08
0.99,1.08
1.02,1.09
1.02,1.12
1.01,1.11
