x,y,z,x2,y2,z2
-0.23,0.77,0.05,-0.50,1.08,-0.09
-0.23,0.77,0.05,-0.50,1.09,-0.09
-0.23,0.77,0.05,-0.51,1.09,-0.09
-0.23,0.78,0.05,-0.53,1.03,-0.09
-0.19,0.95,-0.06,-0.58,1.03,-0.09
-0.17,1.06,-0.11,-0.50,1.10,-0.09
-0.14,1.08,-0.08,-0.39,1.09,-0.06
-0.10,1.08,-0.08,-0.38,1.08,-0.06
-0.11,1.11,-0.08,-0.37,1.11,-0.07
-0.09,1.14,-0.10,-0.39,1.14,-0.10
-0.06,1.17,-0.12,-0.42,1.17,-0.11
-0.03,1.21,-0.15,-0.47,1.20,-0.16
0.55,1.21,0.07,-0.90,1.11,0.09
0.08,1.18,-0.11,-0.50,1.12,-0.10
-0.07,1.15,-0.11,-0.33,1.13,-0.11
-0.03,1.16,-0.09,-0.33,1.14,-0.09
-0.02,1.16,-0.08,-0.34,1.14,-0.08
0.02,1.18,-0.07,-0.34,1.18,-0.07
0.08,1.33,-0.08,-0.34,1.23,-0.06
0.16,0.81,-0.20,-0.32,1.25,-0.04
0.03,0.75,-0.01,-0.28,1.34,-0.04
0.02,0.92,-0.03,-0.21,1.25,-0.10
0.06,0.90,0.12,-0.19,0.81,-0.06
-0.06,0.99,-0.02,-0.32,1.06,-0.01
-0.19,1.06,-0.05,-0.48,1.10,-0.03
-0.30,1.08,-0.02,-0.60,1.13,-0.09
-0.35,1.11,-0.01,-0.59,1.16,-0.06
-0.35,1.13,-0.01,-0.60,1.17,-0.04
-0.23,1.17,-0.03,-0.62,1.19,-0.04
-0.08,1.25,-0.06,-0.56,1.27,-0.07
0.00,1.26,-0.08,-0.48,1.31,-0.07
0.04,1.28,-0.09,-0.46,1.34,-0.08
0.08,1.31,-0.05,-0.41,1.36,-0.04
0.13,1.36,0.01,-0.45,1.41,0.02
0.13,1.43,0.06,-0.46,1.46,0.07
0.14,1.35,0.01,-0.43,1.37,-0.01
0.22,0.73,-0.06,-0.43,0.68,0.01
-0.01,1.14,-0.09,-0.35,1.14,-0.08
-0.05,1.22,-0.06,-0.31,1.26,-0.08
-0.03,1.33,-0.03,-0.28,1.37,-0.07
0.07,0.80,-0.24,-0.17,0.78,-0.27
-0.07,0.93,-0.10,-0.26,0.94,-0.10
-0.21,1.17,-0.04,-0.43,1.19,-0.03
-0.31,1.18,-0.02,-0.53,1.19,-0.03
-0.28,1.19,-0.00,-0.49,1.22,-0.11
-0.19,1.22,-0.00,-0.46,1.22,-0.14
-0.13,1.24,0.01,-0.44,1.21,-0.17
-0.13,1.23,0.02,-0.43,1.22,-0.16
-0.14,1.26,0.05,-0.43,1.23,-0.12
-0.19,1.25,0.04,-0.99,1.21,-0.24
-0.27,1.22,-0.09,-0.81,1.11,0.01
-0.15,1.26,-0.15,-0.52,1.18,-0.00
-0.01,1.22,-0.13,-0.50,1.24,-0.05
0.27,1.39,-0.14,-0.49,1.23,-0.07
0.34,1.82,0.04,-0.45,1.25,-0.07
0.13,1.39,-0.09,-0.37,1.26,-0.11
-0.10,1.34,-0.17,-0.34,1.33,-0.14
-0.07,1.41,-0.14,-0.32,1.42,-0.12
0.01,1.36,-0.09,-0.29,1.37,-0.13
0.02,0.85,-0.17,-0.28,0.84,-0.18
-0.08,1.20,-0.27,-0.32,1.17,-0.33
0.45,1.22,-0.24,-0.85,1.19,-0.41
0.06,1.46,-0.05,-0.40,1.48,-0.10
0.04,0.85,-0.20,-0.29,0.83,-0.18
-0.10,1.19,-0.13,-0.39,1.20,-0.12
-0.16,1.19,-0.11,-0.43,1.17,-0.15
-0.11,1.17,-0.06,-0.46,1.20,-0.21
-0.15,1.19,-0.03,-0.68,1.69,-0.36
-0.18,1.26,-0.04,-0.78,1.68,-0.07
-0.14,1.29,-0.08,-0.53,1.31,-0.13
-0.02,1.23,-0.15,-0.38,1.35,-0.14
0.10,1.24,-0.17,-0.34,1.43,-0.10
0.52,1.75,0.01,-0.38,1.44,-0.05
0.27,1.49,-0.13,-0.39,1.43,-0.07
-0.07,1.27,-0.14,-0.34,1.36,-0.11
-0.04,1.25,-0.16,-0.38,1.31,-0.12
0.03,1.23,-0.14,-0.46,1.24,-0.11
0.00,1.25,-0.16,-0.38,1.22,-0.24
0.06,0.85,-0.03,-0.31,0.89,-0.04
-0.04,1.00,-0.10,-0.40,1.03,-0.07
-0.07,1.22,-0.09,-0.38,1.28,-0.10
-0.02,1.39,-0.07,-0.31,1.41,-0.07
0.08,0.80,-0.24,-0.21,0.78,-0.24
-0.04,1.08,-0.13,-0.30,1.04,-0.13
-0.04,1.21,-0.12,-0.37,1.24,-0.10
-0.03,1.25,-0.11,-0.44,1.24,-0.06
-0.03,1.40,-0.09,-0.45,1.26,-0.02
0.01,0.81,-0.16,-0.44,1.19,-0.00
-0.12,1.17,-0.14,-0.44,1.26,-0.02
-0.13,1.25,-0.14,-0.46,1.30,-0.02
-0.10,1.29,-0.09,-0.45,1.34,-0.03
0.53,1.37,-0.10,-0.47,1.34,-0.01
0.06,1.09,-0.16,-0.49,1.19,-0.09
0.02,1.29,-0.22,-0.48,1.28,-0.14
0.04,1.29,-0.17,-0.51,1.26,-0.16
0.34,1.86,-0.00,-0.78,1.79,0.05
0.13,1.56,-0.14,-0.71,1.60,-0.06
-0.11,1.42,-0.16,-0.45,1.44,-0.11
-0.02,1.37,-0.03,-0.26,0.86,-0.12
0.01,1.34,-0.02,-0.27,1.18,-0.17
-0.05,1.30,-0.06,-1.04,1.31,-0.14
-0.22,1.23,-0.14,-0.75,1.15,-0.09
-0.17,1.25,-0.16,-0.45,1.32,-0.18
-0.03,1.31,-0.15,-0.32,1.35,-0.19
0.10,0.80,-0.34,-0.20,0.82,-0.33
-0.12,0.85,-0.08,-0.34,0.88,-0.06
-0.17,1.09,-0.08,-0.37,1.08,-0.13
-0.14,1.08,-0.04,-0.92,0.95,-0.15
-0.17,1.03,-0.05,-0.59,0.95,-0.00
-0.05,1.04,-0.07,-0.38,1.00,0.01
0.25,0.94,-0.06,-0.42,0.97,0.04
-0.10,1.15,-0.13,-0.37,1.15,-0.09
-0.07,1.29,-0.18,-0.40,1.27,-0.17
0.07,1.31,-0.15,-0.51,1.33,-0.20
0.34,1.80,-0.00,-0.77,1.82,0.06
0.03,1.42,-0.17,-0.55,1.47,-0.18
0.06,1.36,-0.14,-0.40,1.42,-0.14
0.00,0.74,-0.02,-0.39,1.42,-0.10
-0.00,1.05,-0.01,-0.32,0.85,-0.21
0.04,1.28,0.01,-0.36,1.07,-0.05
-0.03,0.90,-0.03,-0.35,0.95,-0.09
0.00,1.30,-0.25,-0.29,1.25,-0.28
0.00,1.21,-0.17,-0.39,1.27,-0.14
-0.12,1.10,-0.08,-0.39,1.12,-0.07
-0.12,1.20,-0.10,-0.37,1.23,-0.11
-0.06,1.25,-0.11,-0.32,1.29,-0.12
-0.05,1.36,-0.06,-0.31,1.38,-0.10
0.03,0.77,-0.21,-0.26,0.74,-0.18
-0.10,1.04,-0.11,-0.35,1.03,-0.13
-0.10,0.93,-0.11,-0.34,0.98,-0.16
-0.02,0.71,-0.12,-0.27,0.73,-0.16
0.02,1.38,-0.15,-0.36,1.47,-0.11
-0.06,1.37,-0.03,-0.31,1.40,-0.06
0.02,1.16,-0.26,-0.22,1.21,-0.25
-0.08,0.82,-0.05,-0.31,0.85,-0.07
-0.10,1.14,-0.19,-0.37,1.17,-0.19
0.44,1.32,-0.25,-0.97,1.31,-0.20
0.23,1.15,-0.18,-0.76,1.18,-0.13
-0.02,1.19,-0.24,-0.51,1.23,-0.23
0.01,1.28,-0.24,-0.51,1.29,-0.21
0.03,1.27,-0.17,-0.56,1.28,-0.17
0.32,1.81,-0.13,-0.78,1.84,-0.06
0.14,1.45,-0.27,-0.70,1.44,-0.25
-0.00,1.30,-0.24,-0.39,1.28,-0.24
0.02,1.36,-0.14,-0.32,1.39,-0.17
0.03,1.22,-0.19,-0.24,1.22,-0.25
0.02,0.82,-0.12,-0.22,0.83,-0.10
-0.01,0.97,-0.09,-0.24,1.03,-0.10
0.13,1.25,-0.16,-0.36,1.10,-0.06
0.25,0.78,-0.13,-0.44,1.09,-0.03
-0.06,0.84,-0.03,-0.42,1.22,-0.08
-0.07,0.95,-0.02,-0.46,1.29,-0.10
-0.08,0.97,0.03,-0.59,0.85,-0.18
-0.11,1.05,-0.03,-0.52,1.05,-0.07
-0.07,1.15,-0.07,-0.37,1.22,-0.12
-0.03,1.30,-0.07,-0.30,1.33,-0.12
0.07,0.79,-0.18,-0.21,0.81,-0.18
0.04,1.01,-0.12,-0.24,1.02,-0.15
0.05,1.17,-0.12,-0.26,1.17,-0.18
-0.05,1.17,-0.17,-0.24,1.15,-0.18
-0.05,1.12,-0.16,-0.29,1.11,-0.14
0.02,1.23,-0.17,-0.39,1.16,-0.12
0.11,1.33,-0.17,-0.43,1.24,-0.09
0.37,1.16,-0.18,-0.43,1.21,-0.06
0.01,1.00,-0.13,-0.28,1.20,-0.14
-0.01,1.02,-0.10,-0.31,1.26,-0.19
-0.00,1.00,-0.06,-0.35,1.26,-0.18
-0.05,0.99,-0.03,-0.96,1.31,-0.23
-0.08,0.99,-0.05,-0.64,1.06,-0.12
0.03,1.07,-0.08,-0.49,1.09,-0.09
0.03,1.22,-0.16,-0.45,1.10,-0.09
0.49,0.97,-0.13,-0.48,1.11,-0.06
0.09,0.78,-0.03,-0.41,1.05,-0.04
-0.11,0.88,-0.02,-0.32,1.20,-0.13
-0.10,0.94,0.02,-0.50,1.27,-0.23
