y,y2
0.77,1.08
0.77,1.09
0.77,1.09
0.78,1.03
0.95,1.03
1.06,1.10
1.08,1.09
1.08,1.08
1.11,1.11
1.14,1.14
1.17,1.17
1.21,1.20
1.21,1.11
1.18,1.12
1.15,1.13
1.16,1.14
1.16,1.14
1.18,1.18
1.33,1.23
0.81,1.25
0.75,1.34
0.92,1.25
0.90,0.81
0.99,1.06
1.06,1.10
1.08,1.13
1.11,1.16
1.13,1.17
1.17,1.19
1.25,1.27
1.26,1.31
1.28,1.34
1.31,1.36
1.36,1.41
1.43,1.46
1.35,1.37
0.73,0.68
1.14,1.14
1.22,1.26
1.33,1.37
0.80,0.78
0.93,0.94
1.17,1.19
1.18,1.19
1.19,1.22
1.22,1.22
1.24,1.21
1.23,1.22
1.26,1.23
1.25,1.21
1.22,1.11
1.26,1.18
1.22,1.24
1.39,1.23
1.82,1.25
1.39,1.26
1.34,1.33
1.41,1.42
1.36,1.37
0.85,0.84
1.20,1.17
1.22,1.19
1.46,1.48
0.85,0.83
1.19,1.20
1.19,1.17
1.17,1.20
1.19,1.69
1.26,1.68
1.29,1.31
1.23,1.35
1.24,1.43
1.75,1.44
1.49,1.43
1.27,1.36
1.25,1.31
1.23,1.24
1.25,1.22
0.85,0.89
1.00,1.03
1.22,1.28
1.39,1.41
0.80,0.78
1.08,1.04
1.21,1.24
1.25,1.24
1.40,1.26
0.81,1.19
1.17,1.26
1.25,1.30
1.29,1.34
1.37,1.34
1.09,1.19
1.29,1.28
1.29,1.26
1.86,1.79
1.56,1.60
1.42,1.44
1.37,0.86
1.34,1.18
1.30,1.31
1.23,1.15
1.25,1.32
1.31,1.35
0.80,0.82
0.85,0.88
1.09,1.08
1.08,0.95
1.03,0.95
1.04,1.00
0.94,0.97
1.15,1.15
1.29,1.27
1.31,1.33
1.80,1.82
1.42,1.47
1.36,1.42
0.74,1.42
1.05,0.85
1.28,1.07
0.90,0.95
1.30,1.25
1.21,1.27
1.10,1.12
1.20,1.23
1.25,1.29
1.36,1.38
0.77,0.74
1.04,1.03
0.93,0.98
0.71,0.73
1.38,1.47
1.37,1.40
1.16,1.21
0.82,0.85
1.14,1.17
1.32,1.31
1.15,1.18
1.19,1.23
1.28,1.29
1.27,1.28
1.81,1.84
1.45,1.44
1.30,1.28
1.36,1.39
1.22,1.22
0.82,0.83
0.97,1.03
1.25,1.10
0.78,1.09
0.84,1.22
0.95,1.29
0.97,0.85
1.05,1.05
1.15,1.22
1.30,1.33
0.79,0.81
1.01,1.02
1.17,1.17
1.17,1.15
1.12,1.11
1.23,1.16
1.33,1.24
1.16,1.21
1.00,1.20
1.02,1.26
1.00,1.26
0.99,1.31
0.99,1.06
1.07,1.09
1.22,1.10
0.97,1.11
0.78,1.05
0.88,1.20
0.94,1.27
0.91,0.71
1.15,0.91
0.71,1.01
0.82,1.30
0.93,0.90
0.97,0.92
1.16,1.23
1.34,1.35
0.73,0.76
0.90,0.88
1.06,1.06
1.18,1.18
1.23,1.25
1.23,1.27
1.84,1.84
1.41,1.50
1.07,1.15
1.07,1.09
1.08,1.08
1.07,1.05
1.08,1.09
1.11,1.14
1.17,1.18
1.23,1.13
0.97,0.99
0.89,0.85
0.93,1.54
0.85,1.05
1.56,1.00
1.15,1.01
1.22,1.21
1.20,1.19
0.94,0.88
1.29,1.30
1.03,1.01
1.13,1.15
1.21,1.27
1.40,1.40
0.72,0.67
1.16,1.15
1.34,1.25
1.09,1.12
0.73,0.80
1.06,1.07
1.06,1.02
0.95,0.91
1.03,0.92
1.26,1.25
1.24,1.25
1.32,1.33
1.50,1.53
1.09,1.14
0.84,0.79
0.96,1.00
0.71,0.75
1.43,1.46
1.40,1.46
1.39,1.40
0.82,0.78
1.06,1.15
1.26,1.08
0.93,0.94
0.87,0.78
0.91,1.09
1.18,1.24
1.20,1.22
1.23,1.13
1.50,1.13
0.75,1.25
0.96,0.79
0.99,0.87
1.02,1.02
1.19,1.22
0.79,0.79
0.88,0.92
0.72,0.74
1.44,1.48
0.94,0.99
1.28,1.30
0.75,0.77
0.71,0.72
1.33,1.36
1.25,1.30
1.30,1.29
1.23,1.25
1.05,1.26
1.01,1.68
1.03,1.45
1.18,1.14
1.48,1.03
1.01,1.01
1.07,1.09
1.13,1.14
1.19,1.25
1.09,1.10
1.20,1.28
1.34,1.38
0.89,0.92
0.93,0.98
0.72,0.76
1.22,1.32
1.32,1.36
0.84,0.83
0.79,0.81
1.16,1.15
1.53,1.57
1.33,1.35
0.89,1.26
0.77,1.10
0.94,1.01
1.03,1.12
1.02,1.05
0.99,0.88
0.99,0.99
1.13,1.16
1.23,1.25
1.25,1.27
1.23,1.23
1.19,1.25
1.20,1.26
1.28,1.33
0.82,0.82
0.84,0.83
0.80,0.80
0.75,0.77
1.15,1.25
1.09,1.13
1.13,1.15
1.29,1.31
1.32,1.34
1.79,1.77
1.56,1.63
1.36,1.41
0.77,0.76
0.74,0.76
1.53,1.47
1.53,1.59
0.79,0.82
0.86,0.91
1.04,1.05
1.37,1.45
1.45,1.48
0.73,0.75
0.84,0.89
0.83,0.87
0.81,0.83
0.86,0.86
0.90,0.91
0.90,0.93
0.89,0.93
0.90,0.92
0.90,0.90
0.91,0.92
0.96,0.94
0.95,0.95
