x,y,z,x2,y2,z2
0.14,1.03,-0.27,-0.13,1.12,-0.32
0.13,1.04,-0.27,-0.13,1.12,-0.31
0.12,1.05,-0.26,-0.13,1.13,-0.31
0.08,1.07,-0.27,-0.14,1.13,-0.31
0.06,1.10,-0.27,-0.14,1.14,-0.31
0.03,1.10,-0.27,-0.15,1.14,-0.30
0.02,1.10,-0.27,-0.16,1.14,-0.29
0.03,1.11,-0.27,-0.16,1.14,-0.29
0.03,1.11,-0.28,-0.17,1.15,-0.31
0.04,1.11,-0.28,-0.16,1.14,-0.31
0.03,1.11,-0.29,-0.16,1.13,-0.32
0.03,1.12,-0.30,-0.16,1.13,-0.32
0.02,1.12,-0.30,-0.16,1.13,-0.32
0.02,1.11,-0.30,-0.16,1.12,-0.32
0.01,1.11,-0.30,-0.15,1.12,-0.32
0.09,1.19,-0.34,-0.26,1.23,-0.39
0.57,1.39,-0.16,-0.73,1.36,-0.28
0.36,1.27,-0.28,-0.53,1.21,-0.32
0.09,1.18,-0.35,-0.25,1.17,-0.36
0.05,1.12,-0.32,-0.21,1.11,-0.35
0.05,1.12,-0.32,-0.19,1.11,-0.36
0.06,1.11,-0.33,-0.17,1.11,-0.35
0.08,1.19,-0.35,-0.17,1.11,-0.35
0.10,1.05,-0.37,-0.17,1.11,-0.34
0.08,1.10,-0.32,-0.18,1.12,-0.35
0.06,1.12,-0.32,-0.20,1.29,-0.36
0.08,1.15,-0.32,-0.22,1.00,-0.37
0.07,1.16,-0.33,-0.19,1.23,-0.36
0.05,1.13,-0.33,-0.17,1.09,-0.35
0.04,1.13,-0.33,-0.16,1.11,-0.35
0.05,1.12,-0.32,-0.16,1.11,-0.34
0.04,1.12,-0.31,-0.17,1.11,-0.33
0.04,1.12,-0.31,-0.17,1.11,-0.32
0.05,1.12,-0.31,-0.17,1.10,-0.33
0.06,1.12,-0.31,-0.18,1.10,-0.33
0.06,1.11,-0.31,-0.18,1.10,-0.33
0.07,1.11,-0.31,-0.19,1.10,-0.33
0.07,1.10,-0.31,-0.20,1.09,-0.33
0.13,1.19,-0.33,-0.26,1.17,-0.36
0.22,1.38,-0.27,-0.36,1.35,-0.36
0.26,0.99,-0.28,-0.40,0.89,-0.27
0.18,1.18,-0.34,-0.32,1.17,-0.36
0.11,1.12,-0.34,-0.23,1.11,-0.36
0.08,1.26,-0.33,-0.18,1.24,-0.36
0.07,0.99,-0.39,-0.21,0.98,-0.43
0.08,1.10,-0.34,-0.23,1.06,-0.36
0.07,1.17,-0.35,-0.20,1.15,-0.37
0.09,1.13,-0.34,-0.19,1.08,-0.36
0.08,1.12,-0.33,-0.17,1.08,-0.35
0.07,1.12,-0.33,-0.17,1.08,-0.35
0.07,1.12,-0.33,-0.16,1.07,-0.35
0.06,1.13,-0.33,-0.17,1.07,-0.36
0.07,1.13,-0.33,-0.16,1.09,-0.37
0.08,1.14,-0.33,-0.60,1.34,-0.44
0.07,1.15,-0.34,-0.53,1.25,-0.36
0.02,1.14,-0.34,-0.27,1.08,-0.37
0.06,1.10,-0.34,-0.22,1.04,-0.35
0.23,1.23,-0.38,-0.21,1.03,-0.35
0.59,1.68,-0.21,-0.23,1.06,-0.35
0.27,1.28,-0.37,-0.21,1.08,-0.36
0.06,1.05,-0.33,-0.19,1.06,-0.35
0.08,1.13,-0.35,-0.17,1.10,-0.36
0.10,1.26,-0.35,-0.20,1.21,-0.41
0.09,1.01,-0.32,-0.22,1.00,-0.33
0.02,1.23,-0.36,-0.13,1.25,-0.35
0.18,1.17,-0.40,-0.30,1.17,-0.40
0.29,1.23,-0.32,-0.48,1.20,-0.34
0.07,0.96,-0.33,-0.25,0.91,-0.32
0.06,1.23,-0.34,-0.22,1.19,-0.34
0.04,1.15,-0.34,-0.17,1.14,-0.34
0.07,1.13,-0.35,-0.15,1.05,-0.34
0.10,1.15,-0.36,-0.34,1.26,-0.45
0.13,1.16,-0.36,-0.65,1.56,-0.28
0.06,1.19,-0.36,-0.34,1.14,-0.39
0.09,1.15,-0.37,-0.17,1.08,-0.36
0.16,1.14,-0.36,-0.13,1.07,-0.34
0.61,1.62,-0.29,-0.16,1.09,-0.34
0.51,1.41,-0.35,-0.21,1.11,-0.35
0.29,1.32,-0.33,-0.22,1.12,-0.34
0.09,1.15,-0.35,-0.21,1.11,-0.35
0.05,1.15,-0.36,-0.19,1.08,-0.36
-0.16,1.19,-0.42,-0.04,1.07,-0.39
0.52,1.24,-0.25,-0.75,1.07,-0.16
0.19,1.18,-0.37,-0.28,1.05,-0.39
0.06,1.13,-0.37,-0.12,1.06,-0.37
0.09,1.25,-0.38,-0.15,1.21,-0.39
0.10,0.98,-0.40,-0.22,0.95,-0.41
0.08,1.17,-0.35,-0.18,1.15,-0.36
0.07,1.12,-0.35,-0.14,1.09,-0.33
0.07,1.09,-0.35,-0.12,1.08,-0.33
0.10,1.26,-0.36,-0.12,1.09,-0.33
0.11,1.04,-0.36,-0.14,1.11,-0.32
0.07,1.19,-0.34,-0.15,1.11,-0.33
0.09,1.13,-0.35,-0.14,1.11,-0.33
0.11,1.13,-0.36,-0.15,1.10,-0.33
0.49,1.31,-0.36,-0.16,1.12,-0.32
0.19,1.21,-0.39,-0.16,1.12,-0.34
0.08,1.15,-0.37,-0.15,1.11,-0.34
0.15,1.14,-0.38,-0.17,1.11,-0.37
0.45,1.58,-0.35,-0.64,1.56,-0.31
0.29,1.40,-0.38,-0.50,1.39,-0.32
0.12,1.27,-0.38,-0.27,1.31,-0.35
0.14,1.28,-0.36,-0.24,1.02,-0.36
0.12,1.25,-0.36,-0.18,1.25,-0.35
0.15,1.25,-0.36,-0.55,1.27,-0.35
0.12,1.24,-0.36,-0.38,1.22,-0.39
0.06,1.15,-0.35,-0.18,1.11,-0.36
0.07,1.22,-0.35,-0.14,1.20,-0.36
0.08,1.07,-0.42,-0.20,1.02,-0.44
0.06,1.11,-0.35,-0.19,1.08,-0.34
0.04,1.11,-0.35,-0.13,1.09,-0.35
0.11,1.13,-0.35,-0.63,1.05,-0.37
0.03,1.12,-0.34,-0.46,1.02,-0.34
0.25,1.06,-0.41,-0.23,1.04,-0.34
0.33,1.01,-0.36,-0.25,1.02,-0.32
0.05,1.07,-0.37,-0.19,1.06,-0.34
0.05,1.10,-0.37,-0.20,1.05,-0.36
0.22,1.30,-0.45,-0.31,1.27,-0.46
0.49,1.61,-0.36,-0.63,1.60,-0.31
0.21,1.29,-0.38,-0.36,1.20,-0.38
0.11,1.24,-0.36,-0.21,1.24,-0.37
0.09,1.06,-0.33,-0.19,1.27,-0.34
0.06,1.15,-0.33,-0.20,0.97,-0.44
0.06,1.21,-0.33,-0.18,1.03,-0.32
0.06,0.99,-0.33,-0.15,0.92,-0.32
0.08,1.20,-0.44,-0.22,1.19,-0.46
0.11,1.27,-0.37,-0.25,1.23,-0.38
0.06,1.08,-0.36,-0.19,1.07,-0.35
0.05,1.07,-0.34,-0.15,1.06,-0.35
0.06,1.06,-0.34,-0.12,1.03,-0.33
0.08,1.06,-0.35,-0.13,1.04,-0.35
0.09,1.00,-0.36,-0.21,0.96,-0.39
0.07,1.13,-0.35,-0.18,1.13,-0.36
0.07,1.04,-0.35,-0.14,1.00,-0.35
0.09,1.05,-0.40,-0.17,1.04,-0.41
0.10,1.20,-0.38,-0.28,1.14,-0.42
0.10,1.11,-0.37,-0.17,1.08,-0.35
0.05,1.05,-0.40,-0.19,1.01,-0.42
0.08,0.99,-0.32,-0.18,0.89,-0.28
0.05,1.10,-0.36,-0.15,1.05,-0.35
0.33,1.26,-0.46,-0.43,1.25,-0.45
0.37,1.26,-0.36,-0.57,1.22,-0.35
0.10,1.15,-0.39,-0.23,1.09,-0.40
